,episode,make_span,reward
0,0.0,5223.0,-55.64499999999998
1,0.0,4728.0,6.230000000000026
2,0.0,4812.0,-4.2699999999999765
3,0.0,4877.0,-12.39499999999998
4,0.0,4745.0,4.104999999999993
5,1.0,4811.0,-4.144999999999988
6,1.0,5258.0,-60.02000000000004
7,1.0,4908.0,-16.269999999999918
8,1.0,5042.0,-33.02
9,1.0,4774.0,0.48000000000005016
10,2.0,4931.0,-19.144999999999982
11,2.0,5295.0,-64.64499999999998
12,2.0,4919.0,-17.645000000000017
13,2.0,4975.0,-24.64499999999996
14,2.0,4933.0,-19.394999999999982
15,3.0,5172.0,-49.26999999999998
16,3.0,4956.0,-22.27000000000001
17,3.0,4824.0,-5.769999999999942
18,3.0,5237.0,-57.394999999999975
19,3.0,4843.0,-8.144999999999978
20,4.0,5028.0,-31.27000000000008
21,4.0,5103.0,-40.64500000000001
22,4.0,4984.0,-25.76999999999999
23,4.0,4759.0,2.3550000000001083
24,4.0,4881.0,-12.89500000000005
25,5.0,4758.0,2.480000000000027
26,5.0,4945.0,-20.89500000000009
27,5.0,5126.0,-43.51999999999997
28,5.0,4901.0,-15.394999999999913
29,5.0,4650.0,15.98000000000004
30,6.0,5035.0,-32.14499999999994
31,6.0,4795.0,-2.144999999999981
32,6.0,4913.0,-16.894999999999996
33,6.0,4961.0,-22.894999999999925
34,6.0,4866.0,-11.019999999999932
35,7.0,4752.0,3.2300000000000217
36,7.0,4961.0,-22.895000000000017
37,7.0,4916.0,-17.26999999999999
38,7.0,5005.0,-28.39500000000003
39,7.0,4982.0,-25.51999999999997
40,8.0,5073.0,-36.895000000000024
41,8.0,4890.0,-14.019999999999941
42,8.0,5011.0,-29.14499999999994
43,8.0,4986.0,-26.020000000000064
44,8.0,4928.0,-18.769999999999996
45,9.0,4946.0,-21.02000000000001
46,9.0,4768.0,1.2299999999999827
47,9.0,4837.0,-7.394999999999895
48,9.0,4822.0,-5.519999999999982
49,9.0,5080.0,-37.76999999999995
50,10.0,5263.0,-60.64499999999998
51,10.0,4830.0,-6.519999999999925
52,10.0,4820.0,-5.2699999999999605
53,10.0,4921.0,-17.894999999999982
54,10.0,4790.0,-1.519999999999996
55,11.0,4869.0,-11.394999999999984
56,11.0,4830.0,-6.520000000000012
57,11.0,4714.0,7.979999999999979
58,11.0,4788.0,-1.2699999999999871
59,11.0,4916.0,-17.270000000000014
60,12.0,5044.0,-33.26999999999994
61,12.0,4999.0,-27.644999999999964
62,12.0,4881.0,-12.895000000000026
63,12.0,4929.0,-18.89500000000003
64,12.0,4798.0,-2.5199999999999427
65,13.0,4980.0,-25.27000000000002
66,13.0,4866.0,-11.019999999999996
67,13.0,4924.0,-18.269999999999985
68,13.0,4784.0,-0.7700000000000795
69,13.0,5030.0,-31.52000000000005
70,14.0,4777.0,0.10500000000000043
71,14.0,4900.0,-15.270000000000005
72,14.0,5081.0,-37.89500000000002
73,14.0,5128.0,-43.77000000000004
74,14.0,4694.0,10.479999999999993
75,15.0,4712.0,8.230000000000066
76,15.0,4682.0,11.980000000000025
77,15.0,4935.0,-19.644999999999992
78,15.0,4878.0,-12.519999999999982
79,15.0,4586.0,23.980000000000032
80,16.0,5064.0,-35.770000000000046
81,16.0,4780.0,-0.2699999999999747
82,16.0,5332.0,-69.27000000000004
83,16.0,4680.0,12.230000000000022
84,16.0,5016.0,-29.77000000000001
85,17.0,4833.0,-6.894999999999962
86,17.0,4817.0,-4.894999999999987
87,17.0,5149.0,-46.39499999999994
88,17.0,4719.0,7.35499999999996
89,17.0,4746.0,3.9800000000000324
90,18.0,4721.0,7.105000000000017
91,18.0,4724.0,6.730000000000084
92,18.0,4817.0,-4.894999999999958
93,18.0,4719.0,7.355000000000034
94,18.0,4690.0,10.980000000000086
95,19.0,4818.0,-5.019999999999964
96,19.0,4928.0,-18.76999999999993
97,19.0,4775.0,0.35500000000006615
98,19.0,4683.0,11.855000000000054
99,19.0,4800.0,-2.7699999999999783
100,20.0,4861.0,-10.395000000000007
101,20.0,4865.0,-10.895000000000001
102,20.0,4697.0,10.104999999999961
103,20.0,4964.0,-23.26999999999999
104,20.0,4851.0,-9.144999999999943
105,21.0,4996.0,-27.26999999999996
106,21.0,4834.0,-7.02000000000004
107,21.0,4826.0,-6.019999999999917
108,21.0,4864.0,-10.769999999999978
109,21.0,4797.0,-2.395000000000035
110,22.0,4702.0,9.479999999999944
111,22.0,4715.0,7.855000000000047
112,22.0,4908.0,-16.26999999999995
113,22.0,4760.0,2.2299999999999685
114,22.0,4784.0,-0.7699999999999783
115,23.0,4771.0,0.8549999999999507
116,23.0,4974.0,-24.51999999999989
117,23.0,5037.0,-32.394999999999975
118,23.0,4764.0,1.730000000000011
119,23.0,4694.0,10.479999999999979
120,24.0,4716.0,7.729999999999986
121,24.0,4700.0,9.729999999999984
122,24.0,4755.0,2.855000000000068
123,24.0,4542.0,29.47999999999996
124,24.0,4701.0,9.60500000000006
125,25.0,4547.0,28.85499999999994
126,25.0,4715.0,7.854999999999981
127,25.0,4753.0,3.105000000000029
128,25.0,4708.0,8.730000000000075
129,25.0,4865.0,-10.894999999999941
130,26.0,4664.0,14.230000000000018
131,26.0,4761.0,2.1050000000000004
132,26.0,4867.0,-11.144999999999943
133,26.0,4716.0,7.730000000000114
134,26.0,4809.0,-3.894999999999982
135,27.0,4847.0,-8.644999999999952
136,27.0,4664.0,14.22999999999989
137,27.0,4690.0,10.979999999999938
138,27.0,4958.0,-22.52000000000009
139,27.0,5025.0,-30.894999999999932
140,28.0,4896.0,-14.76999999999994
141,28.0,4803.0,-3.1449999999999783
142,28.0,4705.0,9.105000000000011
143,28.0,5076.0,-37.27000000000004
144,28.0,5095.0,-39.64500000000001
145,29.0,4890.0,-14.020000000000017
146,29.0,4828.0,-6.27000000000006
147,29.0,4685.0,11.60500000000002
148,29.0,4835.0,-7.144999999999996
149,29.0,4769.0,1.1050000000000555
150,30.0,4678.0,12.48000000000008
151,30.0,4863.0,-10.644999999999998
152,30.0,5008.0,-28.77000000000003
153,30.0,4779.0,-0.14499999999999247
154,30.0,4623.0,19.355000000000025
155,31.0,4693.0,10.604999999999972
156,31.0,4739.0,4.8549999999999915
157,31.0,4529.0,31.10500000000006
158,31.0,4810.0,-4.01999999999999
159,31.0,4809.0,-3.894999999999941
160,32.0,4674.0,12.979999999999931
161,32.0,4745.0,4.104999999999986
162,32.0,4849.0,-8.895000000000014
163,32.0,4745.0,4.104999999999912
164,32.0,4575.0,25.35499999999997
165,33.0,4625.0,19.105000000000082
166,33.0,4919.0,-17.64499999999995
167,33.0,4907.0,-16.145000000000053
