,episode,make_span,reward
0,0.0,1417.0,-2.2727272727272636
1,0.0,1493.0,-13.787878787878787
2,0.0,1494.0,-13.939393939393945
3,0.0,1443.0,-6.212121212121207
4,0.0,1461.0,-8.939393939393943
5,1.0,1537.0,-20.454545454545446
6,1.0,1406.0,-0.6060606060606077
7,1.0,1520.0,-17.878787878787882
8,1.0,1459.0,-8.63636363636364
9,1.0,1458.0,-8.484848484848484
10,2.0,1537.0,-20.454545454545453
11,2.0,1445.0,-6.515151515151528
12,2.0,1504.0,-15.454545454545448
13,2.0,1427.0,-3.787878787878799
14,2.0,1698.0,-44.848484848484844
15,3.0,1437.0,-5.303030303030303
16,3.0,1514.0,-16.969696969696983
17,3.0,1518.0,-17.575757575757567
18,3.0,1497.0,-14.393939393939387
19,3.0,1322.0,12.121212121212112
20,4.0,1432.0,-4.545454545454552
21,4.0,1350.0,7.878787878787891
22,4.0,1403.0,-0.15151515151516115
23,4.0,1509.0,-16.212121212121218
24,4.0,1394.0,1.2121212121212146
25,5.0,1487.0,-12.878787878787888
26,5.0,1436.0,-5.15151515151515
27,5.0,1507.0,-15.909090909090917
28,5.0,1556.0,-23.33333333333333
29,5.0,1552.0,-22.727272727272727
30,6.0,1427.0,-3.787878787878789
31,6.0,1461.0,-8.939393939393941
32,6.0,1551.0,-22.575757575757585
33,6.0,1491.0,-13.484848484848486
34,6.0,1434.0,-4.848484848484844
35,7.0,1511.0,-16.515151515151523
36,7.0,1447.0,-6.818181818181804
37,7.0,1431.0,-4.39393939393939
38,7.0,1480.0,-11.818181818181824
39,7.0,1423.0,-3.1818181818181994
40,8.0,1560.0,-23.93939393939396
41,8.0,1583.0,-27.424242424242422
42,8.0,1443.0,-6.21212121212122
43,8.0,1578.0,-26.66666666666667
44,8.0,1457.0,-8.33333333333334
45,9.0,1460.0,-8.787878787878771
46,9.0,1525.0,-18.636363636363637
47,9.0,1563.0,-24.393939393939398
48,9.0,1492.0,-13.636363636363628
49,9.0,1506.0,-15.757575757575765
50,10.0,1537.0,-20.454545454545453
51,10.0,1465.0,-9.545454545454543
52,10.0,1476.0,-11.21212121212121
53,10.0,1545.0,-21.666666666666664
54,10.0,1477.0,-11.363636363636367
55,11.0,1495.0,-14.090909090909095
56,11.0,1539.0,-20.757575757575758
57,11.0,1395.0,1.0606060606060566
58,11.0,1547.0,-21.969696969696972
59,11.0,1578.0,-26.666666666666664
60,12.0,1402.0,-2.886579864025407e-15
61,12.0,1450.0,-7.272727272727267
62,12.0,1517.0,-17.42424242424243
63,12.0,1411.0,-1.3636363636363644
64,12.0,1399.0,0.4545454545454408
65,13.0,1448.0,-6.969696969696976
66,13.0,1493.0,-13.787878787878793
67,13.0,1530.0,-19.393939393939394
68,13.0,1380.0,3.333333333333334
69,13.0,1458.0,-8.484848484848484
70,14.0,1525.0,-18.636363636363626
71,14.0,1577.0,-26.515151515151526
72,14.0,1485.0,-12.575757575757578
73,14.0,1513.0,-16.818181818181806
74,14.0,1454.0,-7.878787878787881
75,15.0,1398.0,0.6060606060606091
76,15.0,1531.0,-19.54545454545455
77,15.0,1497.0,-14.393939393939396
78,15.0,1550.0,-22.424242424242422
79,15.0,1543.0,-21.363636363636367
80,16.0,1456.0,-8.181818181818187
81,16.0,1364.0,5.757575757575756
82,16.0,1517.0,-17.424242424242422
83,16.0,1581.0,-27.121212121212135
84,16.0,1680.0,-42.121212121212125
85,17.0,1595.0,-29.24242424242424
86,17.0,1476.0,-11.212121212121211
87,17.0,1563.0,-24.39393939393941
88,17.0,1413.0,-1.666666666666659
