,episode,make_span,reward
0,0.0,1330.0,-25.07070707070707
1,0.0,1319.0,-23.95959595959596
2,0.0,1355.0,-27.5959595959596
3,0.0,1418.0,-33.95959595959596
4,0.0,1380.0,-30.121212121212125
5,1.0,1428.0,-34.96969696969697
6,1.0,1395.0,-31.636363636363644
7,1.0,1381.0,-30.22222222222222
8,1.0,1387.0,-30.828282828282827
9,1.0,1407.0,-32.848484848484844
10,2.0,1424.0,-34.56565656565657
11,2.0,1388.0,-30.929292929292934
12,2.0,1349.0,-26.98989898989899
13,2.0,1426.0,-34.767676767676775
14,2.0,1367.0,-28.80808080808081
15,3.0,1444.0,-36.58585858585858
16,3.0,1530.0,-45.27272727272728
17,3.0,1188.0,-10.727272727272727
18,3.0,1401.0,-32.24242424242424
19,3.0,1347.0,-26.78787878787879
20,4.0,1366.0,-28.70707070707071
21,4.0,1474.0,-39.61616161616162
22,4.0,1299.0,-21.939393939393945
23,4.0,1362.0,-28.303030303030305
24,4.0,1398.0,-31.939393939393945
25,5.0,1425.0,-34.66666666666667
26,5.0,1367.0,-28.80808080808081
27,5.0,1408.0,-32.949494949494955
28,5.0,1319.0,-23.959595959595962
29,5.0,1354.0,-27.494949494949495
30,6.0,1358.0,-27.898989898989903
31,6.0,1338.0,-25.87878787878788
32,6.0,1291.0,-21.131313131313128
33,6.0,1411.0,-33.252525252525245
34,6.0,1226.0,-14.565656565656568
35,7.0,1381.0,-30.22222222222222
36,7.0,1380.0,-30.121212121212125
37,7.0,1262.0,-18.202020202020204
38,7.0,1411.0,-33.25252525252525
39,7.0,1333.0,-25.373737373737374
40,8.0,1351.0,-27.191919191919197
41,8.0,1370.0,-29.111111111111114
42,8.0,1409.0,-33.05050505050505
43,8.0,1441.0,-36.282828282828284
44,8.0,1338.0,-25.878787878787875
45,9.0,1242.0,-16.181818181818183
46,9.0,1259.0,-17.898989898989896
47,9.0,1381.0,-30.222222222222214
48,9.0,1288.0,-20.828282828282834
49,9.0,1444.0,-36.58585858585859
50,10.0,1343.0,-26.383838383838388
51,10.0,1283.0,-20.32323232323232
52,10.0,1452.0,-37.3939393939394
53,10.0,1471.0,-39.313131313131315
54,10.0,1296.0,-21.636363636363633
55,11.0,1395.0,-31.63636363636364
56,11.0,1361.0,-28.202020202020204
57,11.0,1279.0,-19.91919191919192
58,11.0,1284.0,-20.424242424242426
59,11.0,1418.0,-33.95959595959596
60,12.0,1424.0,-34.56565656565657
61,12.0,1311.0,-23.15151515151515
62,12.0,1392.0,-31.333333333333343
63,12.0,1336.0,-25.67676767676768
64,12.0,1412.0,-33.35353535353536
65,13.0,1455.0,-37.6969696969697
66,13.0,1357.0,-27.797979797979796
67,13.0,1385.0,-30.626262626262637
68,13.0,1309.0,-22.94949494949495
69,13.0,1302.0,-22.242424242424242
70,14.0,1307.0,-22.747474747474747
71,14.0,1528.0,-45.07070707070707
72,14.0,1370.0,-29.111111111111114
73,14.0,1256.0,-17.5959595959596
74,14.0,1380.0,-30.121212121212128
75,15.0,1346.0,-26.686868686868696
76,15.0,1297.0,-21.73737373737374
77,15.0,1295.0,-21.53535353535354
78,15.0,1419.0,-34.06060606060606
79,15.0,1302.0,-22.242424242424242
80,16.0,1360.0,-28.1010101010101
81,16.0,1354.0,-27.4949494949495
82,16.0,1439.0,-36.08080808080808
83,16.0,1356.0,-27.696969696969695
84,16.0,1374.0,-29.515151515151516
85,17.0,1338.0,-25.878787878787882
86,17.0,1403.0,-32.44444444444444
87,17.0,1315.0,-23.555555555555557
88,17.0,1406.0,-32.74747474747475
89,17.0,1243.0,-16.282828282828284
90,18.0,1306.0,-22.646464646464647
91,18.0,1284.0,-20.424242424242426
92,18.0,1355.0,-27.59595959595959
93,18.0,1198.0,-11.737373737373739
94,18.0,1264.0,-18.404040404040405
95,19.0,1280.0,-20.020202020202024
96,19.0,1273.0,-19.31313131313131
97,19.0,1278.0,-19.81818181818182
98,19.0,1355.0,-27.595959595959595
99,19.0,1300.0,-22.04040404040404
100,20.0,1308.0,-22.848484848484848
101,20.0,1395.0,-31.636363636363637
102,20.0,1374.0,-29.51515151515152
103,20.0,1414.0,-33.55555555555556
104,20.0,1318.0,-23.85858585858586
105,21.0,1318.0,-23.85858585858586
106,21.0,1265.0,-18.505050505050505
107,21.0,1374.0,-29.515151515151516
108,21.0,1310.0,-23.050505050505052
109,21.0,1289.0,-20.92929292929293
110,22.0,1328.0,-24.868686868686872
111,22.0,1415.0,-33.65656565656567
112,22.0,1274.0,-19.41414141414141
113,22.0,1329.0,-24.96969696969697
114,22.0,1398.0,-31.939393939393938
115,23.0,1269.0,-18.90909090909091
116,23.0,1373.0,-29.414141414141415
117,23.0,1336.0,-25.67676767676768
118,23.0,1352.0,-27.292929292929294
119,23.0,1299.0,-21.939393939393945
120,24.0,1336.0,-25.676767676767682
121,24.0,1252.0,-17.191919191919194
122,24.0,1320.0,-24.060606060606066
123,24.0,1417.0,-33.858585858585855
124,24.0,1302.0,-22.242424242424242
125,25.0,1339.0,-25.97979797979798
126,25.0,1402.0,-32.343434343434346
127,25.0,1383.0,-30.424242424242422
128,25.0,1313.0,-23.35353535353535
129,25.0,1272.0,-19.212121212121215
130,26.0,1326.0,-24.666666666666668
131,26.0,1237.0,-15.67676767676768
132,26.0,1283.0,-20.323232323232325
133,26.0,1255.0,-17.494949494949495
134,26.0,1320.0,-24.060606060606062
135,27.0,1289.0,-20.929292929292934
136,27.0,1370.0,-29.111111111111107
137,27.0,1318.0,-23.858585858585865
138,27.0,1321.0,-24.161616161616163
139,27.0,1304.0,-22.44444444444444
140,28.0,1272.0,-19.21212121212121
141,28.0,1202.0,-12.141414141414144
142,28.0,1265.0,-18.5050505050505
143,28.0,1473.0,-39.515151515151516
144,28.0,1339.0,-25.979797979797986
145,29.0,1375.0,-29.616161616161616
146,29.0,1403.0,-32.44444444444445
147,29.0,1285.0,-20.525252525252526
148,29.0,1341.0,-26.18181818181818
149,29.0,1283.0,-20.323232323232325
150,30.0,1232.0,-15.17171717171717
151,30.0,1388.0,-30.92929292929293
152,30.0,1315.0,-23.555555555555557
153,30.0,1317.0,-23.757575757575758
154,30.0,1315.0,-23.55555555555556
155,31.0,1459.0,-38.101010101010104
156,31.0,1395.0,-31.63636363636364
157,31.0,1406.0,-32.74747474747475
158,31.0,1300.0,-22.040404040404038
159,31.0,1389.0,-31.030303030303035
160,32.0,1299.0,-21.939393939393934
161,32.0,1338.0,-25.878787878787875
162,32.0,1378.0,-29.919191919191928
163,32.0,1321.0,-24.161616161616166
164,32.0,1341.0,-26.181818181818176
165,33.0,1258.0,-17.7979797979798
166,33.0,1245.0,-16.484848484848488
167,33.0,1229.0,-14.86868686868687
168,33.0,1317.0,-23.75757575757576
169,33.0,1405.0,-32.64646464646465
170,34.0,1350.0,-27.090909090909097
171,34.0,1362.0,-28.303030303030305
172,34.0,1340.0,-26.080808080808083
173,34.0,1314.0,-23.454545454545457
174,34.0,1377.0,-29.81818181818182
175,35.0,1237.0,-15.676767676767675
176,35.0,1253.0,-17.292929292929294
177,35.0,1315.0,-23.55555555555556
178,35.0,1301.0,-22.141414141414145
179,35.0,1181.0,-10.020202020202019
180,36.0,1263.0,-18.303030303030308
181,36.0,1302.0,-22.242424242424242
182,36.0,1294.0,-21.434343434343436
183,36.0,1401.0,-32.24242424242424
184,36.0,1345.0,-26.585858585858592
185,37.0,1383.0,-30.424242424242422
186,37.0,1342.0,-26.282828282828284
187,37.0,1247.0,-16.68686868686869
188,37.0,1273.0,-19.313131313131315
189,37.0,1292.0,-21.232323232323235
190,38.0,1353.0,-27.393939393939394
191,38.0,1365.0,-28.606060606060606
192,38.0,1272.0,-19.21212121212121
193,38.0,1269.0,-18.90909090909091
194,38.0,1300.0,-22.04040404040404
195,39.0,1226.0,-14.565656565656566
196,39.0,1438.0,-35.97979797979798
197,39.0,1330.0,-25.07070707070707
198,39.0,1243.0,-16.28282828282828
199,39.0,1349.0,-26.98989898989899
200,40.0,1319.0,-23.959595959595962
201,40.0,1289.0,-20.92929292929293
202,40.0,1443.0,-36.484848484848484
203,40.0,1306.0,-22.646464646464647
204,40.0,1324.0,-24.46464646464647
205,41.0,1367.0,-28.808080808080813
206,41.0,1372.0,-29.313131313131315
207,41.0,1249.0,-16.88888888888889
208,41.0,1294.0,-21.434343434343432
209,41.0,1376.0,-29.717171717171716
210,42.0,1320.0,-24.06060606060606
211,42.0,1370.0,-29.111111111111118
212,42.0,1238.0,-15.77777777777778
213,42.0,1349.0,-26.989898989898986
214,42.0,1305.0,-22.545454545454547
215,43.0,1352.0,-27.292929292929294
216,43.0,1325.0,-24.565656565656564
217,43.0,1302.0,-22.24242424242425
218,43.0,1275.0,-19.515151515151516
219,43.0,1294.0,-21.434343434343432
220,44.0,1226.0,-14.565656565656564
221,44.0,1353.0,-27.393939393939394
222,44.0,1324.0,-24.464646464646464
223,44.0,1216.0,-13.555555555555554
224,44.0,1254.0,-17.39393939393939
225,45.0,1258.0,-17.7979797979798
226,45.0,1403.0,-32.44444444444444
227,45.0,1291.0,-21.131313131313128
228,45.0,1383.0,-30.424242424242426
229,45.0,1192.0,-11.131313131313133
230,46.0,1261.0,-18.1010101010101
231,46.0,1238.0,-15.777777777777777
232,46.0,1285.0,-20.525252525252526
233,46.0,1232.0,-15.171717171717171
234,46.0,1242.0,-16.18181818181818
235,47.0,1239.0,-15.878787878787882
236,47.0,1300.0,-22.04040404040404
237,47.0,1332.0,-25.272727272727277
238,47.0,1306.0,-22.646464646464647
239,47.0,1281.0,-20.12121212121212
240,48.0,1292.0,-21.23232323232324
241,48.0,1261.0,-18.1010101010101
242,48.0,1344.0,-26.484848484848488
243,48.0,1360.0,-28.101010101010107
244,48.0,1330.0,-25.07070707070707
245,49.0,1323.0,-24.363636363636367
246,49.0,1270.0,-19.01010101010101
247,49.0,1300.0,-22.040404040404038
248,49.0,1284.0,-20.424242424242422
249,49.0,1260.0,-18.0
250,50.0,1278.0,-19.818181818181813
251,50.0,1414.0,-33.555555555555564
252,50.0,1380.0,-30.121212121212118
253,50.0,1374.0,-29.51515151515151
254,50.0,1289.0,-20.929292929292927
255,51.0,1249.0,-16.888888888888886
256,51.0,1342.0,-26.282828282828284
257,51.0,1374.0,-29.515151515151516
258,51.0,1239.0,-15.878787878787882
259,51.0,1329.0,-24.96969696969697
260,52.0,1296.0,-21.636363636363637
261,52.0,1383.0,-30.42424242424242
262,52.0,1398.0,-31.93939393939394
263,52.0,1340.0,-26.080808080808083
264,52.0,1316.0,-23.656565656565657
265,53.0,1264.0,-18.4040404040404
266,53.0,1305.0,-22.54545454545454
267,53.0,1259.0,-17.898989898989896
268,53.0,1264.0,-18.404040404040405
269,53.0,1360.0,-28.101010101010104
270,54.0,1328.0,-24.86868686868687
271,54.0,1307.0,-22.747474747474744
272,54.0,1352.0,-27.292929292929294
273,54.0,1391.0,-31.232323232323232
274,54.0,1411.0,-33.25252525252525
275,55.0,1388.0,-30.929292929292934
276,55.0,1293.0,-21.333333333333336
