,episode,make_span,reward
0,0.0,3705.0,-280.27272727272714
1,0.0,3591.0,-239.969696969697
2,0.0,3748.0,-295.4747474747474
3,0.0,3757.0,-298.6565656565658
4,0.0,3682.0,-272.1414141414141
5,1.0,3515.0,-213.10101010101016
6,1.0,3625.0,-251.9898989898989
7,1.0,3579.0,-235.7272727272729
8,1.0,3606.0,-245.27272727272714
9,1.0,3703.0,-279.56565656565647
10,2.0,3832.0,-325.1717171717172
11,2.0,3502.0,-208.50505050505046
12,2.0,3653.0,-261.8888888888889
13,2.0,3761.0,-300.07070707070704
14,2.0,3628.0,-253.050505050505
15,3.0,3585.0,-237.84848484848482
16,3.0,3472.0,-197.8989898989898
17,3.0,3534.0,-219.81818181818187
18,3.0,3544.0,-223.3535353535354
19,3.0,3663.0,-265.42424242424255
20,4.0,3512.0,-212.04040404040398
21,4.0,3596.0,-241.73737373737387
22,4.0,3662.0,-265.0707070707068
23,4.0,3484.0,-202.141414141414
24,4.0,3760.0,-299.7171717171716
25,5.0,3365.0,-160.07070707070693
26,5.0,3551.0,-225.8282828282829
27,5.0,3690.0,-274.9696969696969
28,5.0,3635.0,-255.52525252525248
29,5.0,3701.0,-278.8585858585858
30,6.0,3514.0,-212.74747474747454
31,6.0,3635.0,-255.5252525252524
32,6.0,3516.0,-213.45454545454547
33,6.0,3537.0,-220.87878787878788
34,6.0,3458.0,-192.94949494949498
35,7.0,3631.0,-254.11111111111111
36,7.0,3629.0,-253.4040404040404
37,7.0,3447.0,-189.0606060606061
38,7.0,3632.0,-254.4646464646466
39,7.0,3548.0,-224.76767676767696
40,8.0,3717.0,-284.51515151515144
41,8.0,3598.0,-242.44444444444468
42,8.0,3588.0,-238.90909090909085
43,8.0,3397.0,-171.3838383838384
44,8.0,3618.0,-249.5151515151516
45,9.0,3508.0,-210.6262626262626
46,9.0,3599.0,-242.79797979797985
47,9.0,3613.0,-247.74747474747477
48,9.0,3372.0,-162.54545454545456
49,9.0,3504.0,-209.21212121212102
50,10.0,3460.0,-193.65656565656562
51,10.0,3619.0,-249.86868686868695
52,10.0,3313.0,-141.6868686868686
53,10.0,3638.0,-256.58585858585866
54,10.0,3542.0,-222.64646464646475
55,11.0,3605.0,-244.91919191919206
56,11.0,3472.0,-197.89898989898978
57,11.0,3555.0,-227.24242424242425
58,11.0,3558.0,-228.30303030303025
59,11.0,3508.0,-210.62626262626264
60,12.0,3425.0,-181.28282828282835
61,12.0,3482.0,-201.43434343434353
62,12.0,3451.0,-190.47474747474752
63,12.0,3570.0,-232.54545454545448
64,12.0,3440.0,-186.58585858585857
65,13.0,3503.0,-208.85858585858585
66,13.0,3455.0,-191.88888888888889
67,13.0,3408.0,-175.27272727272725
68,13.0,3520.0,-214.8686868686868
69,13.0,3502.0,-208.50505050505046
70,14.0,3509.0,-210.979797979798
71,14.0,3462.0,-194.36363636363635
72,14.0,3501.0,-208.15151515151518
73,14.0,3635.0,-255.5252525252525
74,14.0,3446.0,-188.7070707070706
75,15.0,3537.0,-220.87878787878776
76,15.0,3420.0,-179.5151515151515
77,15.0,3587.0,-238.55555555555566
78,15.0,3571.0,-232.89898989898987
79,15.0,3360.0,-158.30303030303034
80,16.0,3476.0,-199.31313131313135
81,16.0,3566.0,-231.13131313131308
82,16.0,3492.0,-204.96969696969688
83,16.0,3493.0,-205.32323232323233
84,16.0,3462.0,-194.36363636363632
85,17.0,3660.0,-264.36363636363626
86,17.0,3528.0,-217.69696969696966
87,17.0,3526.0,-216.98989898989902
88,17.0,3490.0,-204.26262626262604
89,17.0,3389.0,-168.5555555555556
90,18.0,3443.0,-187.64646464646466
