,episode,make_span,reward
0,0.0,484.0,-34.6
1,0.0,523.0,-52.14999999999999
2,0.0,518.0,-49.89999999999999
3,0.0,453.0,-20.649999999999995
4,0.0,443.0,-16.15
5,1.0,467.0,-26.950000000000006
6,1.0,448.0,-18.39999999999999
7,1.0,469.0,-27.850000000000026
8,1.0,492.0,-38.2
9,1.0,505.0,-44.050000000000004
10,2.0,467.0,-26.95
11,2.0,477.0,-31.450000000000006
12,2.0,490.0,-37.300000000000004
13,2.0,448.0,-18.40000000000001
14,2.0,454.0,-21.1
15,3.0,446.0,-17.5
16,3.0,501.0,-42.25000000000001
17,3.0,484.0,-34.60000000000001
18,3.0,509.0,-45.849999999999994
19,3.0,507.0,-44.94999999999998
20,4.0,505.0,-44.05000000000001
21,4.0,455.0,-21.55
22,4.0,441.0,-15.25000000000001
23,4.0,516.0,-49.0
24,4.0,460.0,-23.8
25,5.0,515.0,-48.55
26,5.0,487.0,-35.94999999999999
27,5.0,445.0,-17.050000000000004
28,5.0,438.0,-13.900000000000002
29,5.0,505.0,-44.05
30,6.0,494.0,-39.1
31,6.0,458.0,-22.899999999999995
32,6.0,471.0,-28.75000000000001
33,6.0,461.0,-24.25
34,6.0,445.0,-17.050000000000004
35,7.0,452.0,-20.199999999999992
36,7.0,488.0,-36.39999999999999
37,7.0,501.0,-42.25000000000001
38,7.0,471.0,-28.75
39,7.0,546.0,-62.49999999999999
40,8.0,436.0,-12.99999999999999
41,8.0,448.0,-18.40000000000001
42,8.0,463.0,-25.150000000000006
43,8.0,463.0,-25.150000000000006
44,8.0,464.0,-25.6
45,9.0,483.0,-34.15000000000002
46,9.0,477.0,-31.45
47,9.0,512.0,-47.20000000000001
48,9.0,456.0,-22.000000000000004
49,9.0,497.0,-40.45
50,10.0,440.0,-14.799999999999995
51,10.0,489.0,-36.85
52,10.0,472.0,-29.2
53,10.0,446.0,-17.500000000000007
54,10.0,532.0,-56.2
55,11.0,504.0,-43.599999999999994
56,11.0,467.0,-26.950000000000006
