,episode,make_span,reward
0,0.0,297.0,-39.05
1,0.0,297.0,-39.050000000000004
2,0.0,284.0,-33.2
3,0.0,297.0,-39.050000000000004
4,0.0,297.0,-39.05
5,1.0,305.0,-42.65
6,1.0,324.0,-51.2
7,1.0,318.0,-48.50000000000001
8,1.0,310.0,-44.9
9,1.0,317.0,-48.050000000000004
10,2.0,310.0,-44.900000000000006
11,2.0,318.0,-48.5
12,2.0,316.0,-47.6
13,2.0,318.0,-48.50000000000001
14,2.0,309.0,-44.45000000000001
15,3.0,317.0,-48.05
16,3.0,322.0,-50.30000000000001
17,3.0,290.0,-35.900000000000006
18,3.0,311.0,-45.349999999999994
19,3.0,299.0,-39.95
20,4.0,318.0,-48.50000000000001
21,4.0,334.0,-55.7
22,4.0,331.0,-54.35
23,4.0,318.0,-48.50000000000001
24,4.0,307.0,-43.550000000000004
25,5.0,284.0,-33.19999999999999
26,5.0,308.0,-44.0
27,5.0,323.0,-50.75
28,5.0,308.0,-44.00000000000001
29,5.0,317.0,-48.050000000000004
30,6.0,331.0,-54.35000000000001
31,6.0,323.0,-50.75000000000001
32,6.0,329.0,-53.45000000000001
33,6.0,323.0,-50.75000000000001
34,6.0,317.0,-48.050000000000004
35,7.0,310.0,-44.900000000000006
36,7.0,289.0,-35.45
37,7.0,285.0,-33.64999999999999
38,7.0,284.0,-33.2
39,7.0,310.0,-44.900000000000006
40,8.0,297.0,-39.050000000000004
41,8.0,315.0,-47.15
42,8.0,294.0,-37.7
43,8.0,306.0,-43.1
44,8.0,310.0,-44.9
45,9.0,323.0,-50.75000000000001
46,9.0,305.0,-42.650000000000006
47,9.0,310.0,-44.9
48,9.0,323.0,-50.75000000000001
49,9.0,284.0,-33.2
50,10.0,305.0,-42.65
51,10.0,320.0,-49.40000000000001
52,10.0,319.0,-48.95000000000001
53,10.0,263.0,-23.750000000000004
54,10.0,306.0,-43.1
55,11.0,300.0,-40.400000000000006
56,11.0,310.0,-44.900000000000006
57,11.0,285.0,-33.650000000000006
58,11.0,332.0,-54.800000000000004
59,11.0,290.0,-35.900000000000006
60,12.0,310.0,-44.900000000000006
61,12.0,305.0,-42.650000000000006
62,12.0,323.0,-50.75000000000001
63,12.0,310.0,-44.900000000000006
64,12.0,323.0,-50.75000000000001
65,13.0,297.0,-39.050000000000004
66,13.0,303.0,-41.75
67,13.0,324.0,-51.2
68,13.0,324.0,-51.2
69,13.0,285.0,-33.650000000000006
70,14.0,305.0,-42.650000000000006
71,14.0,310.0,-44.900000000000006
72,14.0,305.0,-42.65
73,14.0,284.0,-33.2
74,14.0,313.0,-46.25
75,15.0,310.0,-44.900000000000006
76,15.0,297.0,-39.050000000000004
77,15.0,305.0,-42.650000000000006
78,15.0,284.0,-33.2
79,15.0,297.0,-39.050000000000004
80,16.0,284.0,-33.2
81,16.0,284.0,-33.2
82,16.0,310.0,-44.9
83,16.0,310.0,-44.900000000000006
84,16.0,284.0,-33.2
85,17.0,297.0,-39.050000000000004
86,17.0,284.0,-33.2
87,17.0,284.0,-33.2
88,17.0,284.0,-33.2
89,17.0,284.0,-33.2
90,18.0,284.0,-33.2
91,18.0,310.0,-44.900000000000006
92,18.0,310.0,-44.900000000000006
93,18.0,310.0,-44.900000000000006
94,18.0,284.0,-33.2
95,19.0,284.0,-33.2
96,19.0,284.0,-33.2
97,19.0,284.0,-33.2
98,19.0,284.0,-33.2
99,19.0,284.0,-33.2
100,20.0,284.0,-33.2
101,20.0,297.0,-39.050000000000004
102,20.0,310.0,-44.900000000000006
103,20.0,284.0,-33.2
104,20.0,297.0,-39.050000000000004
105,21.0,284.0,-33.2
106,21.0,284.0,-33.2
107,21.0,284.0,-33.2
108,21.0,284.0,-33.2
109,21.0,284.0,-33.2
110,22.0,284.0,-33.2
111,22.0,284.0,-33.2
112,22.0,310.0,-44.900000000000006
113,22.0,284.0,-33.2
114,22.0,284.0,-33.2
115,23.0,284.0,-33.2
116,23.0,284.0,-33.2
117,23.0,284.0,-33.2
118,23.0,284.0,-33.2
119,23.0,306.0,-43.10000000000001
120,24.0,284.0,-33.2
121,24.0,284.0,-33.2
122,24.0,310.0,-44.900000000000006
123,24.0,284.0,-33.2
124,24.0,284.0,-33.2
125,25.0,284.0,-33.2
126,25.0,284.0,-33.2
127,25.0,284.0,-33.2
128,25.0,284.0,-33.2
129,25.0,284.0,-33.2
130,26.0,310.0,-44.900000000000006
131,26.0,284.0,-33.2
132,26.0,284.0,-33.2
133,26.0,284.0,-33.2
134,26.0,284.0,-33.2
135,27.0,284.0,-33.2
136,27.0,284.0,-33.2
137,27.0,284.0,-33.2
138,27.0,284.0,-33.2
139,27.0,284.0,-33.2
140,28.0,310.0,-44.900000000000006
141,28.0,284.0,-33.2
142,28.0,284.0,-33.2
143,28.0,284.0,-33.2
144,28.0,284.0,-33.2
145,29.0,284.0,-33.2
146,29.0,284.0,-33.2
147,29.0,284.0,-33.2
148,29.0,310.0,-44.900000000000006
149,29.0,310.0,-44.900000000000006
150,30.0,284.0,-33.2
151,30.0,284.0,-33.2
152,30.0,284.0,-33.2
153,30.0,284.0,-33.2
154,30.0,284.0,-33.2
155,31.0,284.0,-33.2
156,31.0,310.0,-44.900000000000006
157,31.0,284.0,-33.2
158,31.0,284.0,-33.2
159,31.0,284.0,-33.2
