,episode,make_span,reward
0,0.0,3043.0,-79.55499999999999
1,0.0,3330.0,-115.42999999999998
2,0.0,3534.0,-140.93
3,0.0,3236.0,-103.68
4,0.0,2982.0,-71.93000000000004
5,1.0,3122.0,-89.43
6,1.0,3095.0,-86.05499999999998
7,1.0,3319.0,-114.055
8,1.0,3041.0,-79.30499999999999
9,1.0,3403.0,-124.555
10,2.0,3259.0,-106.555
11,2.0,3371.0,-120.555
12,2.0,3120.0,-89.18000000000004
13,2.0,3348.0,-117.67999999999998
14,2.0,3079.0,-84.055
15,3.0,3082.0,-84.43
16,3.0,2896.0,-61.18000000000001
17,3.0,3165.0,-94.80500000000004
18,3.0,3007.0,-75.055
19,3.0,2886.0,-59.93000000000001
20,4.0,3408.0,-125.18
21,4.0,3239.0,-104.055
22,4.0,3210.0,-100.42999999999999
23,4.0,3358.0,-118.93
24,4.0,3479.0,-134.05499999999998
25,5.0,3018.0,-76.43
26,5.0,3434.0,-128.42999999999998
27,5.0,3028.0,-77.68
28,5.0,3480.0,-134.17999999999998
29,5.0,3078.0,-83.93
30,6.0,3208.0,-100.17999999999998
31,6.0,3483.0,-134.555
32,6.0,3198.0,-98.92999999999998
33,6.0,3057.0,-81.30499999999999
34,6.0,3396.0,-123.67999999999998
35,7.0,3440.0,-129.17999999999998
36,7.0,3082.0,-84.42999999999999
37,7.0,3393.0,-123.305
38,7.0,2878.0,-58.93000000000001
39,7.0,3055.0,-81.05499999999999
40,8.0,3398.0,-123.92999999999998
41,8.0,3252.0,-105.67999999999998
42,8.0,3344.0,-117.18
43,8.0,3072.0,-83.17999999999999
44,8.0,3101.0,-86.805
45,9.0,3160.0,-94.17999999999999
46,9.0,3647.0,-155.055
47,9.0,3455.0,-131.05499999999998
48,9.0,3143.0,-92.05499999999998
49,9.0,3563.0,-144.55499999999998
50,10.0,3571.0,-145.555
51,10.0,3242.0,-104.43
52,10.0,3281.0,-109.30500000000004
53,10.0,3449.0,-130.305
54,10.0,3589.0,-147.805
55,11.0,3309.0,-112.80499999999998
56,11.0,3376.0,-121.18
57,11.0,3343.0,-117.055
58,11.0,2968.0,-70.17999999999999
59,11.0,3203.0,-99.555
60,12.0,3059.0,-81.55499999999999
61,12.0,3102.0,-86.93
62,12.0,3217.0,-101.305
63,12.0,3483.0,-134.55499999999998
64,12.0,3620.0,-151.68
65,13.0,3039.0,-79.05499999999998
66,13.0,3290.0,-110.43
67,13.0,3434.0,-128.43
68,13.0,3464.0,-132.18
69,13.0,3069.0,-82.80499999999999
70,14.0,3194.0,-98.43
71,14.0,3091.0,-85.55499999999998
72,14.0,3052.0,-80.68000000000002
73,14.0,3492.0,-135.67999999999998
74,14.0,3245.0,-104.805
75,15.0,3454.0,-130.92999999999998
76,15.0,3296.0,-111.18
77,15.0,3371.0,-120.55499999999998
78,15.0,3147.0,-92.555
79,15.0,3066.0,-82.43000000000002
80,16.0,3212.0,-100.68000000000004
81,16.0,3365.0,-119.805
82,16.0,3256.0,-106.18
83,16.0,3327.0,-115.055
84,16.0,3192.0,-98.17999999999998
85,17.0,3212.0,-100.67999999999998
86,17.0,3364.0,-119.67999999999998
87,17.0,2998.0,-73.92999999999998
88,17.0,3244.0,-104.67999999999999
89,17.0,3122.0,-89.43
90,18.0,3412.0,-125.67999999999998
91,18.0,3370.0,-120.43
92,18.0,3103.0,-87.055
93,18.0,3493.0,-135.805
94,18.0,3377.0,-121.30499999999998
95,19.0,3025.0,-77.305
96,19.0,3565.0,-144.80499999999998
97,19.0,3440.0,-129.17999999999998
98,19.0,3167.0,-95.05499999999998
99,19.0,3097.0,-86.30499999999998
100,20.0,2975.0,-71.055
101,20.0,3348.0,-117.68
102,20.0,3007.0,-75.05500000000002
103,20.0,3368.0,-120.17999999999998
104,20.0,3401.0,-124.305
105,21.0,3035.0,-78.555
106,21.0,3185.0,-97.305
107,21.0,3311.0,-113.055
108,21.0,3110.0,-87.93
109,21.0,3178.0,-96.43
110,22.0,3350.0,-117.93
111,22.0,3469.0,-132.80499999999998
112,22.0,3063.0,-82.05500000000002
113,22.0,3011.0,-75.555
114,22.0,3049.0,-80.30499999999999
115,23.0,3009.0,-75.30500000000002
116,23.0,3093.0,-85.805
117,23.0,3102.0,-86.92999999999998
118,23.0,3220.0,-101.68
119,23.0,3334.0,-115.93
120,24.0,3015.0,-76.055
121,24.0,3389.0,-122.80499999999998
122,24.0,3312.0,-113.17999999999998
123,24.0,3038.0,-78.92999999999999
124,24.0,3038.0,-78.92999999999999
125,25.0,3162.0,-94.43
126,25.0,3301.0,-111.805
127,25.0,3127.0,-90.055
128,25.0,3290.0,-110.42999999999998
129,25.0,3072.0,-83.18
130,26.0,3068.0,-82.67999999999999
131,26.0,3378.0,-121.43
132,26.0,3153.0,-93.305
133,26.0,3127.0,-90.055
134,26.0,3435.0,-128.555
135,27.0,3184.0,-97.18
136,27.0,2970.0,-70.43
137,27.0,3021.0,-76.805
138,27.0,3280.0,-109.17999999999998
139,27.0,3357.0,-118.805
140,28.0,3310.0,-112.93
141,28.0,3110.0,-87.92999999999999
142,28.0,3046.0,-79.93
143,28.0,3219.0,-101.555
144,28.0,2959.0,-69.055
145,29.0,3126.0,-89.93
146,29.0,2915.0,-63.55500000000001
147,29.0,3037.0,-78.805
148,29.0,2983.0,-72.05499999999999
149,29.0,3142.0,-91.92999999999999
150,30.0,3367.0,-120.055
151,30.0,3091.0,-85.555
152,30.0,3308.0,-112.68
153,30.0,3015.0,-76.05499999999999
154,30.0,3124.0,-89.68
155,31.0,2958.0,-68.93
156,31.0,3275.0,-108.55499999999998
157,31.0,3304.0,-112.18
158,31.0,3023.0,-77.055
159,31.0,3321.0,-114.305
160,32.0,2989.0,-72.80499999999999
161,32.0,3510.0,-137.93000000000004
162,32.0,3039.0,-79.055
163,32.0,3023.0,-77.05499999999999
164,32.0,3172.0,-95.67999999999998
165,33.0,3474.0,-133.43
166,33.0,3210.0,-100.43000000000002
167,33.0,2989.0,-72.805
168,33.0,3109.0,-87.80499999999999
169,33.0,3032.0,-78.18000000000002
170,34.0,3027.0,-77.55499999999999
171,34.0,3036.0,-78.68
172,34.0,3427.0,-127.555
173,34.0,2889.0,-60.30500000000001
174,34.0,3162.0,-94.42999999999999
175,35.0,3007.0,-75.055
176,35.0,3242.0,-104.43
177,35.0,3377.0,-121.30499999999998
178,35.0,3156.0,-93.68
179,35.0,3132.0,-90.68
180,36.0,3003.0,-74.55499999999999
181,36.0,2854.0,-55.929999999999986
