,episode,make_span,reward
0,0.0,2534.0,-157.15
1,0.0,2706.0,-178.64999999999998
2,0.0,2717.0,-180.02499999999998
3,0.0,2768.0,-186.39999999999998
4,0.0,2906.0,-203.64999999999998
5,1.0,2777.0,-187.52499999999998
6,1.0,2842.0,-195.64999999999998
7,1.0,2687.0,-176.27499999999998
8,1.0,2490.0,-151.65
9,1.0,2592.0,-164.4
10,2.0,2632.0,-169.4
11,2.0,2670.0,-174.14999999999998
12,2.0,2751.0,-184.27499999999998
13,2.0,2699.0,-177.77499999999998
14,2.0,2770.0,-186.64999999999998
15,3.0,2701.0,-178.02499999999998
16,3.0,2670.0,-174.14999999999998
17,3.0,2545.0,-158.525
18,3.0,2479.0,-150.275
19,3.0,2560.0,-160.4
20,4.0,2821.0,-193.02499999999998
21,4.0,2485.0,-151.025
22,4.0,2771.0,-186.77499999999998
23,4.0,2848.0,-196.39999999999998
24,4.0,2560.0,-160.4
25,5.0,2736.0,-182.39999999999998
26,5.0,2838.0,-195.14999999999998
27,5.0,2779.0,-187.77499999999998
28,5.0,2705.0,-178.52499999999998
29,5.0,2507.0,-153.775
30,6.0,2581.0,-163.025
31,6.0,2800.0,-190.39999999999998
32,6.0,2662.0,-173.14999999999998
33,6.0,2847.0,-196.27499999999998
34,6.0,2537.0,-157.525
35,7.0,2609.0,-166.525
36,7.0,2560.0,-160.4
37,7.0,2531.0,-156.775
38,7.0,2595.0,-164.775
39,7.0,2501.0,-153.025
40,8.0,2912.0,-204.39999999999998
41,8.0,2502.0,-153.15
42,8.0,2546.0,-158.65
43,8.0,2495.0,-152.275
44,8.0,2739.0,-182.77499999999998
45,9.0,2793.0,-189.52499999999998
46,9.0,2812.0,-191.89999999999998
47,9.0,2636.0,-169.9
48,9.0,2815.0,-192.27499999999998
49,9.0,2695.0,-177.27499999999998
50,10.0,2749.0,-184.02499999999998
51,10.0,2725.0,-181.02499999999998
52,10.0,2499.0,-152.775
53,10.0,2527.0,-156.275
54,10.0,2968.0,-211.39999999999998
55,11.0,2537.0,-157.525
56,11.0,2643.0,-170.775
57,11.0,2742.0,-183.14999999999998
58,11.0,2773.0,-187.02499999999998
59,11.0,2579.0,-162.775
60,12.0,2806.0,-191.14999999999998
61,12.0,2594.0,-164.65
62,12.0,2522.0,-155.65
63,12.0,2679.0,-175.27499999999998
64,12.0,2528.0,-156.4
65,13.0,2536.0,-157.4
66,13.0,2520.0,-155.4
67,13.0,2667.0,-173.77499999999998
68,13.0,2643.0,-170.775
69,13.0,2564.0,-160.9
70,14.0,2836.0,-194.89999999999998
71,14.0,2729.0,-181.52499999999998
72,14.0,2456.0,-147.4
73,14.0,2518.0,-155.15
74,14.0,2523.0,-155.775
75,15.0,2583.0,-163.275
76,15.0,2510.0,-154.15
77,15.0,2464.0,-148.4
78,15.0,2596.0,-164.9
79,15.0,2613.0,-167.025
80,16.0,2630.0,-169.15
81,16.0,2572.0,-161.9
82,16.0,2572.0,-161.9
83,16.0,2636.0,-169.9
84,16.0,2468.0,-148.9
85,17.0,2693.0,-177.02499999999998
86,17.0,2570.0,-161.65
87,17.0,2514.0,-154.65
88,17.0,2619.0,-167.775
89,17.0,2487.0,-151.275
90,18.0,2591.0,-164.275
91,18.0,2493.0,-152.025
92,18.0,2544.0,-158.4
93,18.0,2544.0,-158.4
94,18.0,2487.0,-151.275
95,19.0,2472.0,-149.4
96,19.0,2533.0,-157.025
97,19.0,2533.0,-157.025
98,19.0,2828.0,-193.89999999999998
99,19.0,2735.0,-182.27499999999998
100,20.0,2492.0,-151.9
101,20.0,2639.0,-170.275
102,20.0,2547.0,-158.775
103,20.0,2505.0,-153.525
104,20.0,2495.0,-152.275
105,21.0,2522.0,-155.65
106,21.0,2502.0,-153.15
107,21.0,2479.0,-150.275
108,21.0,2526.0,-156.15
109,21.0,2479.0,-150.27500000000003
110,22.0,2522.0,-155.65
111,22.0,2456.0,-147.4
112,22.0,2456.0,-147.4
113,22.0,2502.0,-153.15
114,22.0,2522.0,-155.65
115,23.0,2522.0,-155.65
116,23.0,2493.0,-152.025
