,episode,make_span,reward
0,0.0,34.0,-5.4
1,0.0,34.0,-5.4
2,0.0,34.0,-5.3999999999999995
3,0.0,34.0,-5.4
4,0.0,34.0,-5.3999999999999995
5,1.0,34.0,-5.4
6,1.0,34.0,-5.3999999999999995
7,1.0,34.0,-5.4
8,1.0,34.0,-5.4
9,1.0,34.0,-5.4
10,2.0,34.0,-5.3999999999999995
11,2.0,34.0,-5.4
12,2.0,34.0,-5.4
13,2.0,34.0,-5.4
14,2.0,34.0,-5.4
15,3.0,34.0,-5.4
16,3.0,34.0,-5.4
17,3.0,34.0,-5.4
18,3.0,34.0,-5.3999999999999995
19,3.0,34.0,-5.4
20,4.0,34.0,-5.3999999999999995
21,4.0,34.0,-5.3999999999999995
22,4.0,34.0,-5.4
23,4.0,34.0,-5.4
24,4.0,34.0,-5.4
25,5.0,34.0,-5.4
26,5.0,34.0,-5.4
27,5.0,34.0,-5.4
28,5.0,34.0,-5.4
29,5.0,34.0,-5.4
