,episode,make_span,reward
0,0.0,723.0,-5.602040816326531
1,0.0,736.0,-7.326530612244893
2,0.0,723.0,-5.602040816326531
3,0.0,736.0,-7.3265306122448965
4,0.0,736.0,-7.326530612244895
5,1.0,723.0,-5.602040816326531
6,1.0,719.0,-5.071428571428573
7,1.0,743.0,-8.255102040816324
8,1.0,719.0,-5.0714285714285685
9,1.0,723.0,-5.602040816326535
10,2.0,723.0,-5.602040816326531
11,2.0,723.0,-5.602040816326531
12,2.0,723.0,-5.602040816326533
13,2.0,723.0,-5.602040816326533
14,2.0,719.0,-5.071428571428573
15,3.0,723.0,-5.602040816326531
16,3.0,782.0,-13.42857142857143
17,3.0,723.0,-5.602040816326531
18,3.0,723.0,-5.602040816326531
19,3.0,736.0,-7.3265306122448965
20,4.0,723.0,-5.602040816326531
21,4.0,723.0,-5.602040816326531
22,4.0,736.0,-7.326530612244895
23,4.0,723.0,-5.602040816326531
24,4.0,723.0,-5.602040816326531
25,5.0,723.0,-5.602040816326533
26,5.0,791.0,-14.62244897959184
27,5.0,791.0,-14.62244897959184
28,5.0,743.0,-8.255102040816329
29,5.0,723.0,-5.602040816326533
30,6.0,724.0,-5.734693877551024
31,6.0,723.0,-5.602040816326531
32,6.0,723.0,-5.602040816326532
33,6.0,723.0,-5.602040816326531
34,6.0,723.0,-5.602040816326531
35,7.0,723.0,-5.602040816326531
36,7.0,723.0,-5.602040816326535
37,7.0,723.0,-5.602040816326531
38,7.0,710.0,-3.87755102040816
39,7.0,778.0,-12.89795918367347
40,8.0,723.0,-5.602040816326531
41,8.0,723.0,-5.602040816326531
42,8.0,723.0,-5.602040816326533
43,8.0,723.0,-5.6020408163265305
44,8.0,723.0,-5.602040816326534
45,9.0,723.0,-5.602040816326531
46,9.0,723.0,-5.602040816326537
47,9.0,723.0,-5.602040816326535
48,9.0,723.0,-5.602040816326531
49,9.0,723.0,-5.6020408163265305
50,10.0,723.0,-5.602040816326531
51,10.0,723.0,-5.602040816326533
52,10.0,723.0,-5.602040816326531
53,10.0,723.0,-5.602040816326531
54,10.0,723.0,-5.602040816326535
55,11.0,723.0,-5.6020408163265305
56,11.0,723.0,-5.602040816326531
57,11.0,723.0,-5.602040816326531
58,11.0,736.0,-7.326530612244894
59,11.0,723.0,-5.60204081632653
60,12.0,723.0,-5.602040816326533
61,12.0,723.0,-5.602040816326535
62,12.0,723.0,-5.602040816326531
63,12.0,746.0,-8.653061224489797
64,12.0,723.0,-5.602040816326531
65,13.0,723.0,-5.6020408163265305
66,13.0,723.0,-5.602040816326535
67,13.0,710.0,-3.877551020408162
68,13.0,723.0,-5.602040816326531
69,13.0,723.0,-5.602040816326531
70,14.0,693.0,-1.622448979591834
71,14.0,723.0,-5.602040816326531
72,14.0,768.0,-11.571428571428571
73,14.0,736.0,-7.326530612244895
74,14.0,723.0,-5.602040816326535
75,15.0,723.0,-5.602040816326528
76,15.0,743.0,-8.255102040816329
77,15.0,723.0,-5.602040816326531
78,15.0,723.0,-5.602040816326531
79,15.0,693.0,-1.622448979591834
80,16.0,723.0,-5.602040816326531
81,16.0,693.0,-1.622448979591834
82,16.0,723.0,-5.602040816326528
83,16.0,817.0,-18.071428571428573
84,16.0,723.0,-5.602040816326531
85,17.0,723.0,-5.602040816326531
86,17.0,736.0,-7.326530612244898
87,17.0,723.0,-5.602040816326533
88,17.0,743.0,-8.255102040816325
89,17.0,719.0,-5.071428571428569
90,18.0,719.0,-5.0714285714285685
91,18.0,743.0,-8.255102040816325
92,18.0,685.0,-0.5612244897959155
93,18.0,723.0,-5.6020408163265305
94,18.0,719.0,-5.071428571428569
95,19.0,723.0,-5.60204081632653
96,19.0,723.0,-5.602040816326535
97,19.0,719.0,-5.071428571428569
98,19.0,736.0,-7.3265306122449
99,19.0,723.0,-5.602040816326531
100,20.0,723.0,-5.602040816326531
101,20.0,693.0,-1.622448979591834
102,20.0,685.0,-0.5612244897959155
103,20.0,723.0,-5.60204081632653
104,20.0,723.0,-5.602040816326531
105,21.0,719.0,-5.0714285714285685
106,21.0,723.0,-5.602040816326531
107,21.0,723.0,-5.6020408163265305
108,21.0,719.0,-5.071428571428569
109,21.0,723.0,-5.6020408163265305
110,22.0,723.0,-5.6020408163265305
111,22.0,723.0,-5.602040816326533
112,22.0,719.0,-5.071428571428567
113,22.0,736.0,-7.326530612244898
114,22.0,719.0,-5.0714285714285685
115,23.0,719.0,-5.0714285714285685
116,23.0,723.0,-5.6020408163265305
117,23.0,719.0,-5.0714285714285685
118,23.0,701.0,-2.6836734693877515
119,23.0,719.0,-5.0714285714285685
120,24.0,723.0,-5.6020408163265305
121,24.0,723.0,-5.602040816326531
122,24.0,719.0,-5.0714285714285685
123,24.0,723.0,-5.60204081632653
124,24.0,697.0,-2.153061224489796
125,25.0,723.0,-5.602040816326531
126,25.0,719.0,-5.0714285714285685
127,25.0,685.0,-0.5612244897959155
128,25.0,719.0,-5.071428571428568
129,25.0,710.0,-3.8775510204081614
130,26.0,692.0,-1.489795918367342
131,26.0,719.0,-5.0714285714285685
132,26.0,719.0,-5.071428571428569
133,26.0,719.0,-5.0714285714285685
134,26.0,723.0,-5.602040816326531
135,27.0,719.0,-5.071428571428566
136,27.0,723.0,-5.602040816326531
137,27.0,693.0,-1.622448979591834
138,27.0,723.0,-5.602040816326531
139,27.0,723.0,-5.602040816326531
140,28.0,723.0,-5.602040816326531
141,28.0,710.0,-3.8775510204081614
142,28.0,719.0,-5.0714285714285685
143,28.0,723.0,-5.602040816326531
144,28.0,693.0,-1.622448979591834
145,29.0,685.0,-0.5612244897959155
146,29.0,719.0,-5.0714285714285685
147,29.0,719.0,-5.0714285714285685
148,29.0,719.0,-5.071428571428567
149,29.0,719.0,-5.0714285714285685
150,30.0,693.0,-1.6224489795918322
151,30.0,710.0,-3.8775510204081614
152,30.0,710.0,-3.877551020408162
153,30.0,693.0,-1.622448979591834
154,30.0,719.0,-5.071428571428569
155,31.0,719.0,-5.071428571428569
156,31.0,685.0,-0.561224489795916
157,31.0,719.0,-5.071428571428569
158,31.0,719.0,-5.0714285714285685
159,31.0,685.0,-0.561224489795916
160,32.0,685.0,-0.5612244897959151
161,32.0,685.0,-0.5612244897959155
162,32.0,719.0,-5.0714285714285685
163,32.0,723.0,-5.60204081632653
164,32.0,736.0,-7.326530612244893
165,33.0,697.0,-2.153061224489791
166,33.0,723.0,-5.6020408163265305
167,33.0,685.0,-0.5612244897959169
168,33.0,685.0,-0.5612244897959155
169,33.0,692.0,-1.4897959183673446
170,34.0,719.0,-5.0714285714285685
171,34.0,685.0,-0.5612244897959151
172,34.0,723.0,-5.6020408163265305
173,34.0,685.0,-0.561224489795916
174,34.0,796.0,-15.285714285714288
175,35.0,719.0,-5.071428571428567
176,35.0,710.0,-3.8775510204081582
177,35.0,719.0,-5.071428571428568
178,35.0,685.0,-0.5612244897959155
179,35.0,685.0,-0.5612244897959169
180,36.0,697.0,-2.1530612244897904
181,36.0,697.0,-2.1530612244897918
182,36.0,736.0,-7.326530612244898
183,36.0,685.0,-0.561224489795916
184,36.0,697.0,-2.153061224489791
185,37.0,685.0,-0.561224489795916
186,37.0,719.0,-5.0714285714285685
187,37.0,685.0,-0.5612244897959169
188,37.0,685.0,-0.561224489795916
189,37.0,685.0,-0.5612244897959169
190,38.0,736.0,-7.326530612244893
191,38.0,697.0,-2.1530612244897926
192,38.0,685.0,-0.561224489795916
193,38.0,719.0,-5.071428571428572
194,38.0,685.0,-0.561224489795916
195,39.0,685.0,-0.5612244897959169
196,39.0,685.0,-0.561224489795916
197,39.0,685.0,-0.561224489795916
198,39.0,685.0,-0.561224489795916
199,39.0,719.0,-5.0714285714285685
200,40.0,719.0,-5.071428571428568
201,40.0,685.0,-0.561224489795916
202,40.0,723.0,-5.6020408163265305
203,40.0,685.0,-0.5612244897959169
204,40.0,685.0,-0.5612244897959169
205,41.0,697.0,-2.1530612244897926
206,41.0,685.0,-0.5612244897959169
207,41.0,685.0,-0.561224489795916
208,41.0,685.0,-0.5612244897959142
209,41.0,685.0,-0.561224489795916
210,42.0,720.0,-5.204081632653058
211,42.0,685.0,-0.5612244897959142
212,42.0,719.0,-5.07142857142857
213,42.0,719.0,-5.071428571428567
214,42.0,782.0,-13.428571428571425
215,43.0,685.0,-0.5612244897959151
216,43.0,685.0,-0.5612244897959142
217,43.0,685.0,-0.561224489795916
218,43.0,685.0,-0.5612244897959151
219,43.0,723.0,-5.6020408163265305
220,44.0,685.0,-0.5612244897959151
221,44.0,685.0,-0.5612244897959142
222,44.0,685.0,-0.5612244897959142
223,44.0,685.0,-0.5612244897959142
224,44.0,723.0,-5.602040816326531
225,45.0,692.0,-1.489795918367344
226,45.0,685.0,-0.561224489795916
227,45.0,685.0,-0.5612244897959107
228,45.0,685.0,-0.5612244897959151
229,45.0,685.0,-0.5612244897959142
230,46.0,685.0,-0.5612244897959142
