,episode,make_span,reward
0,0.0,873.0,-23.371134020618555
1,0.0,1143.0,-65.12371134020617
2,0.0,1053.0,-51.2061855670103
3,0.0,981.0,-40.072164948453604
4,0.0,844.0,-18.886597938144334
5,1.0,835.0,-17.494845360824744
6,1.0,947.0,-34.81443298969072
7,1.0,1007.0,-44.09278350515464
8,1.0,894.0,-26.618556701030933
9,1.0,993.0,-41.92783505154639
10,2.0,896.0,-26.927835051546396
11,2.0,933.0,-32.64948453608247
12,2.0,977.0,-39.45360824742268
13,2.0,864.0,-21.979381443298966
14,2.0,946.0,-34.659793814432994
15,3.0,909.0,-28.93814432989691
16,3.0,997.0,-42.54639175257732
17,3.0,915.0,-29.8659793814433
18,3.0,904.0,-28.164948453608247
19,3.0,988.0,-41.15463917525773
20,4.0,917.0,-30.175257731958766
21,4.0,911.0,-29.24742268041237
22,4.0,983.0,-40.381443298969074
23,4.0,901.0,-27.701030927835053
24,4.0,971.0,-38.52577319587629
25,5.0,897.0,-27.082474226804127
26,5.0,932.0,-32.49484536082473
27,5.0,984.0,-40.5360824742268
28,5.0,847.0,-19.350515463917525
29,5.0,886.0,-25.381443298969067
30,6.0,938.0,-33.422680412371136
31,6.0,938.0,-33.422680412371136
32,6.0,1009.0,-44.402061855670105
33,6.0,923.0,-31.103092783505158
34,6.0,952.0,-35.58762886597938
35,7.0,903.0,-28.010309278350515
36,7.0,925.0,-31.41237113402062
37,7.0,869.0,-22.752577319587633
38,7.0,897.0,-27.08247422680412
39,7.0,769.0,-7.288659793814435
40,8.0,892.0,-26.30927835051546
41,8.0,885.0,-25.22680412371134
42,8.0,873.0,-23.37113402061856
43,8.0,870.0,-22.907216494845358
44,8.0,955.0,-36.05154639175258
45,9.0,1064.0,-52.90721649484536
46,9.0,918.0,-30.329896907216494
47,9.0,930.0,-32.185567010309285
48,9.0,912.0,-29.402061855670105
49,9.0,936.0,-33.113402061855666
50,10.0,932.0,-32.49484536082474
51,10.0,1062.0,-52.597938144329895
52,10.0,936.0,-33.11340206185567
53,10.0,909.0,-28.938144329896907
54,10.0,1010.0,-44.55670103092783
55,11.0,876.0,-23.835051546391753
56,11.0,885.0,-25.226804123711343
57,11.0,926.0,-31.56701030927835
58,11.0,871.0,-23.06185567010309
59,11.0,1023.0,-46.567010309278345
60,12.0,848.0,-19.50515463917526
61,12.0,877.0,-23.98969072164949
62,12.0,826.0,-16.103092783505154
63,12.0,868.0,-22.597938144329902
64,12.0,923.0,-31.103092783505154
65,13.0,877.0,-23.989690721649485
66,13.0,1001.0,-43.16494845360825
67,13.0,852.0,-20.123711340206185
68,13.0,890.0,-26.0
69,13.0,861.0,-21.515463917525768
70,14.0,897.0,-27.082474226804127
71,14.0,861.0,-21.51546391752577
72,14.0,919.0,-30.48453608247423
73,14.0,972.0,-38.680412371134025
74,14.0,873.0,-23.37113402061856
75,15.0,889.0,-25.845360824742272
76,15.0,948.0,-34.96907216494846
77,15.0,915.0,-29.865979381443296
78,15.0,925.0,-31.412371134020614
79,15.0,842.0,-18.577319587628864
80,16.0,906.0,-28.47422680412371
81,16.0,932.0,-32.49484536082473
82,16.0,946.0,-34.65979381443299
83,16.0,981.0,-40.072164948453604
84,16.0,936.0,-33.113402061855666
85,17.0,885.0,-25.22680412371134
86,17.0,956.0,-36.206185567010316
87,17.0,906.0,-28.474226804123713
88,17.0,915.0,-29.865979381443296
89,17.0,1012.0,-44.865979381443296
90,18.0,821.0,-15.329896907216497
91,18.0,883.0,-24.917525773195877
92,18.0,954.0,-35.896907216494846
93,18.0,859.0,-21.20618556701031
94,18.0,968.0,-38.0618556701031
