,episode,make_span,reward
0,0.0,783.0,-20.448979591836736
1,0.0,799.0,-22.081632653061224
2,0.0,838.0,-26.06122448979592
3,0.0,644.0,-6.2653061224489806
4,0.0,771.0,-19.224489795918366
5,1.0,660.0,-7.89795918367347
6,1.0,818.0,-24.02040816326531
7,1.0,697.0,-11.673469387755103
8,1.0,696.0,-11.571428571428571
9,1.0,694.0,-11.367346938775512
10,2.0,828.0,-25.04081632653061
11,2.0,794.0,-21.57142857142857
12,2.0,693.0,-11.265306122448978
13,2.0,787.0,-20.857142857142858
14,2.0,691.0,-11.06122448979592
15,3.0,811.0,-23.30612244897959
16,3.0,790.0,-21.163265306122447
17,3.0,749.0,-16.979591836734695
18,3.0,678.0,-9.73469387755102
19,3.0,813.0,-23.510204081632658
20,4.0,807.0,-22.89795918367347
21,4.0,861.0,-28.40816326530613
22,4.0,743.0,-16.36734693877551
23,4.0,812.0,-23.408163265306122
24,4.0,702.0,-12.183673469387752
25,5.0,731.0,-15.142857142857144
26,5.0,755.0,-17.591836734693878
27,5.0,731.0,-15.142857142857144
28,5.0,760.0,-18.102040816326532
29,5.0,683.0,-10.244897959183675
30,6.0,661.0,-8.000000000000002
31,6.0,779.0,-20.04081632653061
32,6.0,781.0,-20.244897959183675
33,6.0,761.0,-18.20408163265306
34,6.0,792.0,-21.367346938775512
35,7.0,729.0,-14.938775510204081
36,7.0,693.0,-11.26530612244898
37,7.0,776.0,-19.734693877551024
38,7.0,812.0,-23.408163265306122
39,7.0,774.0,-19.53061224489796
40,8.0,724.0,-14.42857142857143
41,8.0,749.0,-16.97959183673469
42,8.0,704.0,-12.387755102040815
43,8.0,666.0,-8.510204081632654
44,8.0,731.0,-15.142857142857146
45,9.0,749.0,-16.9795918367347
46,9.0,740.0,-16.06122448979592
47,9.0,685.0,-10.448979591836737
48,9.0,694.0,-11.367346938775508
49,9.0,778.0,-19.93877551020408
50,10.0,771.0,-19.224489795918366
51,10.0,809.0,-23.102040816326532
52,10.0,686.0,-10.551020408163264
53,10.0,775.0,-19.632653061224488
54,10.0,736.0,-15.653061224489795
55,11.0,686.0,-10.551020408163266
56,11.0,815.0,-23.714285714285715
57,11.0,731.0,-15.14285714285714
58,11.0,701.0,-12.081632653061227
59,11.0,675.0,-9.42857142857143
60,12.0,778.0,-19.93877551020408
61,12.0,678.0,-9.734693877551022
62,12.0,810.0,-23.20408163265306
63,12.0,701.0,-12.081632653061225
64,12.0,687.0,-10.653061224489798
65,13.0,728.0,-14.836734693877549
66,13.0,774.0,-19.53061224489796
67,13.0,812.0,-23.408163265306122
68,13.0,730.0,-15.04081632653061
69,13.0,654.0,-7.285714285714286
70,14.0,726.0,-14.63265306122449
71,14.0,729.0,-14.938775510204081
72,14.0,775.0,-19.632653061224488
73,14.0,801.0,-22.285714285714285
74,14.0,731.0,-15.14285714285714
75,15.0,770.0,-19.122448979591837
76,15.0,674.0,-9.3265306122449
77,15.0,682.0,-10.14285714285714
78,15.0,752.0,-17.28571428571429
79,15.0,813.0,-23.510204081632654
80,16.0,694.0,-11.36734693877551
81,16.0,731.0,-15.142857142857142
82,16.0,736.0,-15.653061224489797
83,16.0,723.0,-14.326530612244897
84,16.0,774.0,-19.53061224489796
85,17.0,668.0,-8.714285714285714
86,17.0,727.0,-14.73469387755102
87,17.0,683.0,-10.244897959183675
88,17.0,771.0,-19.224489795918366
89,17.0,778.0,-19.93877551020408
90,18.0,675.0,-9.428571428571429
91,18.0,802.0,-22.38775510204082
92,18.0,731.0,-15.142857142857144
93,18.0,839.0,-26.163265306122454
94,18.0,726.0,-14.632653061224492
95,19.0,724.0,-14.428571428571427
96,19.0,647.0,-6.571428571428572
97,19.0,778.0,-19.93877551020408
98,19.0,683.0,-10.244897959183675
99,19.0,758.0,-17.897959183673468
100,20.0,647.0,-6.57142857142857
101,20.0,686.0,-10.551020408163268
102,20.0,854.0,-27.693877551020407
103,20.0,761.0,-18.204081632653065
104,20.0,731.0,-15.142857142857144
105,21.0,752.0,-17.285714285714285
106,21.0,698.0,-11.775510204081634
107,21.0,698.0,-11.775510204081634
108,21.0,721.0,-14.122448979591837
109,21.0,673.0,-9.224489795918368
110,22.0,657.0,-7.591836734693878
111,22.0,701.0,-12.081632653061224
112,22.0,783.0,-20.448979591836732
113,22.0,775.0,-19.63265306122449
114,22.0,691.0,-11.061224489795919
115,23.0,777.0,-19.836734693877553
116,23.0,652.0,-7.081632653061227
117,23.0,698.0,-11.775510204081634
118,23.0,729.0,-14.938775510204081
119,23.0,731.0,-15.142857142857142
120,24.0,698.0,-11.775510204081634
121,24.0,832.0,-25.448979591836732
122,24.0,694.0,-11.367346938775514
123,24.0,768.0,-18.91836734693878
124,24.0,698.0,-11.775510204081636
125,25.0,810.0,-23.20408163265306
126,25.0,778.0,-19.93877551020408
127,25.0,868.0,-29.122448979591837
128,25.0,810.0,-23.204081632653065
129,25.0,740.0,-16.06122448979592
130,26.0,861.0,-28.408163265306122
131,26.0,848.0,-27.081632653061227
132,26.0,714.0,-13.408163265306122
133,26.0,724.0,-14.42857142857143
134,26.0,740.0,-16.06122448979592
135,27.0,731.0,-15.142857142857142
136,27.0,682.0,-10.142857142857142
137,27.0,879.0,-30.244897959183675
138,27.0,856.0,-27.89795918367347
139,27.0,777.0,-19.836734693877553
140,28.0,704.0,-12.387755102040817
141,28.0,731.0,-15.142857142857144
142,28.0,682.0,-10.142857142857142
143,28.0,690.0,-10.95918367346939
144,28.0,734.0,-15.448979591836736
145,29.0,785.0,-20.653061224489797
146,29.0,737.0,-15.755102040816327
147,29.0,740.0,-16.06122448979592
148,29.0,698.0,-11.775510204081634
149,29.0,731.0,-15.142857142857142
150,30.0,724.0,-14.42857142857143
151,30.0,726.0,-14.632653061224488
152,30.0,724.0,-14.428571428571432
153,30.0,792.0,-21.367346938775512
154,30.0,724.0,-14.428571428571429
155,31.0,656.0,-7.4897959183673475
156,31.0,698.0,-11.775510204081634
157,31.0,788.0,-20.95918367346939
158,31.0,668.0,-8.714285714285715
159,31.0,777.0,-19.83673469387755
160,32.0,731.0,-15.142857142857144
161,32.0,668.0,-8.714285714285715
162,32.0,689.0,-10.85714285714286
163,32.0,859.0,-28.204081632653065
164,32.0,664.0,-8.306122448979593
165,33.0,731.0,-15.142857142857144
166,33.0,724.0,-14.428571428571429
167,33.0,698.0,-11.775510204081634
168,33.0,677.0,-9.632653061224495
169,33.0,731.0,-15.142857142857142
170,34.0,731.0,-15.142857142857142
171,34.0,698.0,-11.775510204081634
172,34.0,694.0,-11.367346938775508
173,34.0,724.0,-14.428571428571429
174,34.0,657.0,-7.59183673469388
175,35.0,661.0,-8.000000000000002
176,35.0,777.0,-19.836734693877553
177,35.0,698.0,-11.775510204081634
178,35.0,719.0,-13.918367346938776
179,35.0,677.0,-9.632653061224492
180,36.0,768.0,-18.918367346938776
181,36.0,691.0,-11.061224489795919
182,36.0,701.0,-12.081632653061224
183,36.0,691.0,-11.061224489795919
184,36.0,692.0,-11.163265306122451
185,37.0,691.0,-11.061224489795919
186,37.0,698.0,-11.775510204081634
187,37.0,749.0,-16.979591836734695
188,37.0,691.0,-11.061224489795919
189,37.0,691.0,-11.06122448979592
190,38.0,698.0,-11.775510204081634
191,38.0,691.0,-11.06122448979592
192,38.0,717.0,-13.714285714285712
193,38.0,719.0,-13.918367346938775
194,38.0,698.0,-11.775510204081634
195,39.0,650.0,-6.8775510204081645
196,39.0,644.0,-6.26530612244898
197,39.0,671.0,-9.020408163265307
198,39.0,698.0,-11.775510204081634
199,39.0,690.0,-10.959183673469392
200,40.0,661.0,-8.000000000000002
201,40.0,701.0,-12.081632653061227
202,40.0,698.0,-11.775510204081632
203,40.0,691.0,-11.061224489795919
204,40.0,668.0,-8.714285714285717
205,41.0,698.0,-11.775510204081632
206,41.0,706.0,-12.591836734693878
207,41.0,698.0,-11.775510204081634
208,41.0,691.0,-11.061224489795919
209,41.0,731.0,-15.142857142857142
210,42.0,698.0,-11.775510204081634
211,42.0,691.0,-11.06122448979592
212,42.0,661.0,-8.0
213,42.0,731.0,-15.142857142857146
214,42.0,710.0,-13.0
215,43.0,698.0,-11.775510204081634
216,43.0,672.0,-9.122448979591836
217,43.0,726.0,-14.632653061224492
218,43.0,668.0,-8.714285714285717
219,43.0,661.0,-8.000000000000002
220,44.0,724.0,-14.42857142857143
221,44.0,691.0,-11.061224489795922
222,44.0,691.0,-11.06122448979592
223,44.0,785.0,-20.653061224489797
224,44.0,694.0,-11.36734693877551
225,45.0,661.0,-8.000000000000002
226,45.0,701.0,-12.081632653061224
227,45.0,698.0,-11.775510204081632
228,45.0,691.0,-11.06122448979592
229,45.0,648.0,-6.6734693877551
230,46.0,681.0,-10.04081632653061
231,46.0,676.0,-9.53061224489796
232,46.0,652.0,-7.0816326530612255
233,46.0,661.0,-8.000000000000002
234,46.0,648.0,-6.673469387755099
235,47.0,727.0,-14.734693877551024
236,47.0,695.0,-11.469387755102044
237,47.0,644.0,-6.2653061224489806
238,47.0,691.0,-11.061224489795919
239,47.0,691.0,-11.061224489795919
240,48.0,691.0,-11.06122448979592
241,48.0,653.0,-7.183673469387756
242,48.0,698.0,-11.775510204081632
243,48.0,691.0,-11.061224489795919
244,48.0,716.0,-13.612244897959183
245,49.0,698.0,-11.775510204081636
246,49.0,698.0,-11.775510204081634
247,49.0,724.0,-14.42857142857143
248,49.0,749.0,-16.979591836734695
249,49.0,698.0,-11.775510204081634
250,50.0,686.0,-10.551020408163266
251,50.0,698.0,-11.775510204081634
252,50.0,653.0,-7.183673469387756
253,50.0,644.0,-6.2653061224489806
254,50.0,698.0,-11.775510204081634
255,51.0,698.0,-11.77551020408163
256,51.0,644.0,-6.265306122448978
257,51.0,691.0,-11.06122448979592
258,51.0,698.0,-11.77551020408163
259,51.0,666.0,-8.510204081632653
260,52.0,698.0,-11.775510204081632
261,52.0,691.0,-11.061224489795919
262,52.0,681.0,-10.040816326530612
263,52.0,698.0,-11.775510204081634
264,52.0,644.0,-6.26530612244898
265,53.0,661.0,-8.000000000000002
266,53.0,698.0,-11.775510204081632
267,53.0,676.0,-9.53061224489796
268,53.0,698.0,-11.775510204081634
269,53.0,698.0,-11.775510204081632
270,54.0,644.0,-6.265306122448981
271,54.0,698.0,-11.77551020408163
272,54.0,644.0,-6.26530612244898
273,54.0,644.0,-6.265306122448981
274,54.0,691.0,-11.06122448979592
