,episode,make_span,reward
0,0.0,690.0,-33.44897959183673
1,0.0,690.0,-33.44897959183673
2,0.0,690.0,-33.44897959183673
3,0.0,690.0,-33.44897959183673
4,0.0,690.0,-33.44897959183673
5,1.0,701.0,-34.57142857142857
6,1.0,782.0,-42.83673469387756
7,1.0,701.0,-34.57142857142857
8,1.0,737.0,-38.244897959183675
9,1.0,782.0,-42.83673469387756
10,2.0,614.0,-25.693877551020414
11,2.0,690.0,-33.44897959183673
12,2.0,782.0,-42.83673469387756
13,2.0,690.0,-33.44897959183673
14,2.0,614.0,-25.693877551020414
15,3.0,737.0,-38.244897959183675
16,3.0,690.0,-33.44897959183673
17,3.0,690.0,-33.44897959183673
18,3.0,737.0,-38.244897959183675
19,3.0,782.0,-42.83673469387756
20,4.0,701.0,-34.57142857142857
21,4.0,782.0,-42.83673469387756
22,4.0,690.0,-33.44897959183673
23,4.0,701.0,-34.57142857142857
24,4.0,701.0,-34.57142857142857
25,5.0,701.0,-34.57142857142857
26,5.0,579.0,-22.122448979591837
27,5.0,690.0,-33.44897959183673
28,5.0,690.0,-33.44897959183673
29,5.0,690.0,-33.44897959183673
30,6.0,690.0,-33.44897959183673
31,6.0,690.0,-33.44897959183673
32,6.0,690.0,-33.44897959183673
33,6.0,690.0,-33.44897959183673
34,6.0,690.0,-33.44897959183673
35,7.0,690.0,-33.44897959183673
36,7.0,690.0,-33.44897959183673
37,7.0,690.0,-33.44897959183673
38,7.0,579.0,-22.122448979591837
39,7.0,690.0,-33.44897959183673
40,8.0,606.0,-24.877551020408163
41,8.0,579.0,-22.122448979591837
42,8.0,690.0,-33.44897959183673
43,8.0,753.0,-39.87755102040816
44,8.0,579.0,-22.122448979591837
45,9.0,737.0,-38.244897959183675
46,9.0,579.0,-22.122448979591837
47,9.0,641.0,-28.448979591836732
48,9.0,690.0,-33.44897959183673
49,9.0,690.0,-33.44897959183673
50,10.0,641.0,-28.448979591836732
51,10.0,599.0,-24.163265306122447
52,10.0,579.0,-22.122448979591837
53,10.0,579.0,-22.122448979591837
54,10.0,690.0,-33.44897959183673
55,11.0,606.0,-24.877551020408163
56,11.0,690.0,-33.44897959183673
57,11.0,614.0,-25.693877551020414
58,11.0,599.0,-24.163265306122447
59,11.0,690.0,-33.44897959183673
60,12.0,606.0,-24.877551020408163
61,12.0,579.0,-22.122448979591834
62,12.0,592.0,-23.448979591836732
63,12.0,565.0,-20.69387755102041
64,12.0,579.0,-22.122448979591837
65,13.0,579.0,-22.122448979591837
66,13.0,565.0,-20.69387755102041
67,13.0,692.0,-33.6530612244898
68,13.0,579.0,-22.122448979591837
69,13.0,641.0,-28.44897959183674
70,14.0,579.0,-22.122448979591837
71,14.0,690.0,-33.44897959183673
72,14.0,614.0,-25.693877551020414
73,14.0,641.0,-28.448979591836732
74,14.0,641.0,-28.448979591836732
75,15.0,690.0,-33.44897959183673
76,15.0,579.0,-22.122448979591837
77,15.0,579.0,-22.122448979591837
78,15.0,579.0,-22.122448979591837
79,15.0,690.0,-33.44897959183673
80,16.0,641.0,-28.448979591836732
81,16.0,614.0,-25.693877551020407
82,16.0,563.0,-20.48979591836735
83,16.0,659.0,-30.285714285714285
84,16.0,606.0,-24.877551020408163
85,17.0,565.0,-20.69387755102041
86,17.0,579.0,-22.122448979591837
87,17.0,606.0,-24.877551020408163
88,17.0,690.0,-33.44897959183673
89,17.0,690.0,-33.44897959183673
90,18.0,565.0,-20.69387755102041
91,18.0,614.0,-25.693877551020414
92,18.0,641.0,-28.448979591836732
93,18.0,650.0,-29.367346938775512
94,18.0,565.0,-20.69387755102041
95,19.0,579.0,-22.122448979591834
96,19.0,565.0,-20.69387755102041
97,19.0,614.0,-25.693877551020407
98,19.0,579.0,-22.122448979591834
99,19.0,579.0,-22.122448979591837
100,20.0,599.0,-24.163265306122447
101,20.0,599.0,-24.163265306122447
102,20.0,599.0,-24.163265306122447
103,20.0,565.0,-20.69387755102041
104,20.0,641.0,-28.44897959183674
105,21.0,599.0,-24.163265306122447
106,21.0,599.0,-24.163265306122447
107,21.0,599.0,-24.163265306122447
108,21.0,614.0,-25.693877551020407
109,21.0,599.0,-24.163265306122447
110,22.0,583.0,-22.53061224489796
111,22.0,565.0,-20.69387755102041
112,22.0,599.0,-24.163265306122447
113,22.0,599.0,-24.163265306122447
114,22.0,599.0,-24.163265306122447
115,23.0,565.0,-20.69387755102041
116,23.0,599.0,-24.163265306122447
117,23.0,565.0,-20.69387755102041
118,23.0,565.0,-20.69387755102041
119,23.0,614.0,-25.693877551020407
120,24.0,574.0,-21.612244897959187
121,24.0,599.0,-24.163265306122447
122,24.0,641.0,-28.44897959183674
123,24.0,599.0,-24.163265306122447
124,24.0,579.0,-22.122448979591837
125,25.0,565.0,-20.69387755102041
126,25.0,579.0,-22.122448979591837
127,25.0,579.0,-22.122448979591837
128,25.0,574.0,-21.612244897959187
129,25.0,565.0,-20.69387755102041
130,26.0,565.0,-20.69387755102041
131,26.0,583.0,-22.53061224489796
132,26.0,565.0,-20.69387755102041
133,26.0,565.0,-20.69387755102041
134,26.0,614.0,-25.693877551020407
135,27.0,565.0,-20.69387755102041
136,27.0,565.0,-20.69387755102041
137,27.0,565.0,-20.69387755102041
138,27.0,565.0,-20.69387755102041
139,27.0,565.0,-20.69387755102041
140,28.0,565.0,-20.69387755102041
141,28.0,565.0,-20.69387755102041
142,28.0,565.0,-20.69387755102041
143,28.0,565.0,-20.69387755102041
144,28.0,565.0,-20.69387755102041
145,29.0,574.0,-21.612244897959187
146,29.0,650.0,-29.367346938775512
147,29.0,548.0,-18.95918367346939
148,29.0,574.0,-21.612244897959187
149,29.0,583.0,-22.53061224489796
150,30.0,565.0,-20.69387755102041
151,30.0,565.0,-20.69387755102041
152,30.0,599.0,-24.163265306122447
153,30.0,565.0,-20.69387755102041
154,30.0,650.0,-29.367346938775512
155,31.0,650.0,-29.367346938775512
156,31.0,574.0,-21.612244897959187
157,31.0,599.0,-24.163265306122447
158,31.0,599.0,-24.163265306122447
159,31.0,565.0,-20.69387755102041
160,32.0,565.0,-20.69387755102041
161,32.0,599.0,-24.163265306122447
162,32.0,565.0,-20.69387755102041
163,32.0,650.0,-29.367346938775512
164,32.0,574.0,-21.61224489795918
165,33.0,622.0,-26.51020408163265
166,33.0,650.0,-29.367346938775512
167,33.0,565.0,-20.69387755102041
168,33.0,565.0,-20.69387755102041
169,33.0,565.0,-20.69387755102041
170,34.0,565.0,-20.69387755102041
171,34.0,599.0,-24.163265306122447
172,34.0,658.0,-30.183673469387756
173,34.0,641.0,-28.44897959183674
174,34.0,574.0,-21.612244897959187
175,35.0,659.0,-30.285714285714292
176,35.0,565.0,-20.69387755102041
177,35.0,599.0,-24.163265306122447
178,35.0,599.0,-24.163265306122447
179,35.0,599.0,-24.163265306122447
180,36.0,641.0,-28.44897959183674
181,36.0,622.0,-26.51020408163265
182,36.0,565.0,-20.69387755102041
183,36.0,599.0,-24.163265306122447
184,36.0,599.0,-24.163265306122447
