,episode,make_span,reward
0,0.0,1126.0,-114.86868686868688
1,0.0,882.0,-65.57575757575758
2,0.0,964.0,-82.14141414141415
3,0.0,986.0,-86.5858585858586
4,0.0,1081.0,-105.77777777777779
5,1.0,994.0,-88.20202020202021
6,1.0,948.0,-78.90909090909092
7,1.0,1030.0,-95.47474747474749
8,1.0,888.0,-66.7878787878788
9,1.0,915.0,-72.24242424242425
10,2.0,1048.0,-99.11111111111111
11,2.0,993.0,-88.00000000000001
12,2.0,1028.0,-95.07070707070709
13,2.0,913.0,-71.83838383838385
14,2.0,1091.0,-107.7979797979798
15,3.0,1070.0,-103.55555555555556
16,3.0,926.0,-74.46464646464648
17,3.0,981.0,-85.57575757575759
18,3.0,1032.0,-95.87878787878789
19,3.0,1083.0,-106.18181818181819
20,4.0,905.0,-70.22222222222223
21,4.0,914.0,-72.04040404040404
22,4.0,933.0,-75.87878787878789
23,4.0,1003.0,-90.02020202020203
24,4.0,935.0,-76.28282828282829
25,5.0,978.0,-84.96969696969697
26,5.0,1012.0,-91.83838383838385
27,5.0,1005.0,-90.42424242424244
28,5.0,1029.0,-95.27272727272728
29,5.0,1046.0,-98.70707070707071
30,6.0,1042.0,-97.89898989898991
31,6.0,1167.0,-123.15151515151517
32,6.0,927.0,-74.66666666666667
33,6.0,1029.0,-95.27272727272728
34,6.0,908.0,-70.82828282828284
35,7.0,1032.0,-95.87878787878789
36,7.0,1040.0,-97.49494949494951
37,7.0,1024.0,-94.26262626262627
38,7.0,1011.0,-91.63636363636364
39,7.0,1106.0,-110.82828282828284
40,8.0,996.0,-88.60606060606061
41,8.0,974.0,-84.16161616161617
42,8.0,1012.0,-91.83838383838385
43,8.0,1011.0,-91.63636363636364
44,8.0,932.0,-75.67676767676768
45,9.0,986.0,-86.58585858585859
46,9.0,940.0,-77.2929292929293
47,9.0,952.0,-79.71717171717172
48,9.0,883.0,-65.77777777777779
49,9.0,1037.0,-96.8888888888889
50,10.0,970.0,-83.35353535353535
51,10.0,1095.0,-108.60606060606062
52,10.0,951.0,-79.51515151515153
53,10.0,971.0,-83.55555555555556
54,10.0,965.0,-82.34343434343434
55,11.0,965.0,-82.34343434343435
56,11.0,1033.0,-96.0808080808081
57,11.0,1020.0,-93.45454545454547
58,11.0,908.0,-70.82828282828284
59,11.0,1029.0,-95.27272727272728
60,12.0,1046.0,-98.70707070707073
61,12.0,922.0,-73.65656565656566
62,12.0,922.0,-73.65656565656566
63,12.0,957.0,-80.72727272727273
64,12.0,968.0,-82.94949494949495
65,13.0,948.0,-78.9090909090909
66,13.0,952.0,-79.71717171717172
67,13.0,981.0,-85.57575757575758
68,13.0,1046.0,-98.70707070707071
69,13.0,984.0,-86.18181818181819
70,14.0,924.0,-74.06060606060606
71,14.0,954.0,-80.12121212121211
72,14.0,946.0,-78.5050505050505
73,14.0,905.0,-70.22222222222223
74,14.0,921.0,-73.45454545454547
75,15.0,1047.0,-98.90909090909092
76,15.0,986.0,-86.58585858585859
77,15.0,905.0,-70.22222222222223
78,15.0,1026.0,-94.66666666666667
79,15.0,1028.0,-95.07070707070709
80,16.0,1079.0,-105.37373737373738
81,16.0,1028.0,-95.07070707070707
82,16.0,929.0,-75.07070707070707
83,16.0,905.0,-70.22222222222223
84,16.0,1026.0,-94.66666666666667
85,17.0,905.0,-70.22222222222223
86,17.0,991.0,-87.5959595959596
87,17.0,941.0,-77.49494949494951
88,17.0,930.0,-75.27272727272728
89,17.0,973.0,-83.95959595959597
90,18.0,922.0,-73.65656565656566
91,18.0,930.0,-75.27272727272728
92,18.0,1026.0,-94.66666666666667
93,18.0,904.0,-70.02020202020203
94,18.0,952.0,-79.71717171717172
95,19.0,971.0,-83.55555555555556
96,19.0,945.0,-78.30303030303031
97,19.0,1012.0,-91.83838383838385
98,19.0,930.0,-75.27272727272728
99,19.0,922.0,-73.65656565656568
100,20.0,905.0,-70.22222222222223
101,20.0,892.0,-67.5959595959596
102,20.0,1034.0,-96.28282828282829
103,20.0,903.0,-69.81818181818183
104,20.0,952.0,-79.71717171717171
105,21.0,941.0,-77.4949494949495
106,21.0,952.0,-79.71717171717171
107,21.0,897.0,-68.60606060606062
108,21.0,958.0,-80.92929292929293
109,21.0,922.0,-73.65656565656566
110,22.0,922.0,-73.65656565656566
111,22.0,952.0,-79.71717171717172
112,22.0,937.0,-76.68686868686868
113,22.0,922.0,-73.65656565656566
114,22.0,962.0,-81.73737373737374
115,23.0,903.0,-69.81818181818183
116,23.0,952.0,-79.71717171717172
117,23.0,930.0,-75.27272727272728
118,23.0,1026.0,-94.66666666666667
119,23.0,930.0,-75.27272727272728
120,24.0,941.0,-77.49494949494951
121,24.0,980.0,-85.37373737373738
122,24.0,991.0,-87.5959595959596
123,24.0,907.0,-70.62626262626264
124,24.0,930.0,-75.27272727272728
125,25.0,955.0,-80.32323232323233
126,25.0,928.0,-74.86868686868688
127,25.0,930.0,-75.27272727272728
128,25.0,921.0,-73.45454545454545
129,25.0,922.0,-73.65656565656566
130,26.0,937.0,-76.68686868686869
131,26.0,930.0,-75.27272727272727
132,26.0,903.0,-69.81818181818183
133,26.0,944.0,-78.1010101010101
134,26.0,944.0,-78.1010101010101
135,27.0,922.0,-73.65656565656568
136,27.0,1017.0,-92.84848484848486
137,27.0,922.0,-73.65656565656566
138,27.0,952.0,-79.71717171717171
139,27.0,931.0,-75.47474747474749
140,28.0,930.0,-75.27272727272728
141,28.0,897.0,-68.60606060606061
142,28.0,1018.0,-93.05050505050505
143,28.0,905.0,-70.22222222222223
144,28.0,948.0,-78.9090909090909
