,episode,make_span,reward
0,0.0,1160.0,-150.34693877551018
1,0.0,1193.0,-162.1326530612245
2,0.0,1179.0,-157.1326530612245
3,0.0,1271.0,-189.98979591836735
4,0.0,1252.0,-183.20408163265307
5,1.0,1215.0,-169.98979591836735
6,1.0,1243.0,-179.98979591836735
7,1.0,1144.0,-144.6326530612245
8,1.0,1242.0,-179.6326530612245
9,1.0,1104.0,-130.3469387755102
10,2.0,1199.0,-164.27551020408166
11,2.0,1138.0,-142.48979591836735
12,2.0,1384.0,-230.3469387755102
13,2.0,1259.0,-185.70408163265304
14,2.0,1273.0,-190.70408163265304
15,3.0,1231.0,-175.70408163265307
16,3.0,1172.0,-154.63265306122446
17,3.0,1250.0,-182.48979591836735
18,3.0,1180.0,-157.48979591836735
19,3.0,1137.0,-142.13265306122446
20,4.0,1215.0,-169.98979591836735
21,4.0,1125.0,-137.84693877551018
22,4.0,1270.0,-189.6326530612245
23,4.0,1137.0,-142.1326530612245
24,4.0,1193.0,-162.1326530612245
25,5.0,1154.0,-148.20408163265304
26,5.0,1133.0,-140.70408163265304
27,5.0,1151.0,-147.1326530612245
28,5.0,1154.0,-148.20408163265307
29,5.0,1256.0,-184.63265306122452
30,6.0,1309.0,-203.5612244897959
31,6.0,1153.0,-147.84693877551018
32,6.0,1179.0,-157.1326530612245
33,6.0,1177.0,-156.41836734693877
34,6.0,1129.0,-139.2755102040816
35,7.0,1122.0,-136.77551020408163
36,7.0,1158.0,-149.6326530612245
37,7.0,1175.0,-155.70408163265304
38,7.0,1212.0,-168.91836734693877
39,7.0,1152.0,-147.48979591836735
40,8.0,1126.0,-138.20408163265304
41,8.0,1179.0,-157.1326530612245
42,8.0,1166.0,-152.48979591836735
43,8.0,1106.0,-131.0612244897959
44,8.0,1217.0,-170.70408163265307
45,9.0,1195.0,-162.84693877551018
46,9.0,1098.0,-128.20408163265304
47,9.0,1168.0,-153.20408163265304
48,9.0,1154.0,-148.20408163265304
49,9.0,1120.0,-136.0612244897959
50,10.0,1189.0,-160.70408163265307
51,10.0,1242.0,-179.6326530612245
52,10.0,1306.0,-202.48979591836735
53,10.0,1137.0,-142.1326530612245
54,10.0,1147.0,-145.70408163265304
55,11.0,1293.0,-197.8469387755102
56,11.0,1297.0,-199.27551020408166
57,11.0,1242.0,-179.6326530612245
58,11.0,1287.0,-195.70408163265304
59,11.0,1194.0,-162.48979591836735
60,12.0,1179.0,-157.1326530612245
61,12.0,1208.0,-167.48979591836735
62,12.0,1081.0,-122.1326530612245
63,12.0,1276.0,-191.77551020408163
64,12.0,1195.0,-162.8469387755102
65,13.0,1128.0,-138.91836734693877
66,13.0,1253.0,-183.56122448979593
67,13.0,1119.0,-135.70408163265304
68,13.0,1243.0,-179.98979591836735
69,13.0,1165.0,-152.1326530612245
70,14.0,1142.0,-143.91836734693877
71,14.0,1119.0,-135.70408163265304
72,14.0,1143.0,-144.27551020408163
73,14.0,1112.0,-133.20408163265304
74,14.0,1251.0,-182.8469387755102
75,15.0,1303.0,-201.41836734693877
76,15.0,1103.0,-129.98979591836732
77,15.0,1251.0,-182.84693877551018
78,15.0,1141.0,-143.5612244897959
79,15.0,1153.0,-147.84693877551018
80,16.0,1119.0,-135.70408163265307
81,16.0,1100.0,-128.91836734693877
82,16.0,1120.0,-136.0612244897959
83,16.0,1195.0,-162.84693877551018
84,16.0,1276.0,-191.7755102040816
85,17.0,1123.0,-137.1326530612245
86,17.0,1119.0,-135.70408163265307
87,17.0,1119.0,-135.70408163265304
88,17.0,1119.0,-135.70408163265307
89,17.0,1099.0,-128.5612244897959
90,18.0,1251.0,-182.8469387755102
91,18.0,1100.0,-128.91836734693877
92,18.0,1124.0,-137.48979591836735
93,18.0,1100.0,-128.91836734693877
94,18.0,1152.0,-147.48979591836735
95,19.0,1192.0,-161.7755102040816
96,19.0,1164.0,-151.7755102040816
97,19.0,1072.0,-118.91836734693878
98,19.0,1231.0,-175.70408163265307
99,19.0,1100.0,-128.91836734693877
100,20.0,1293.0,-197.8469387755102
101,20.0,1182.0,-158.20408163265304
102,20.0,1157.0,-149.27551020408163
103,20.0,1207.0,-167.1326530612245
104,20.0,1143.0,-144.27551020408163
105,21.0,1151.0,-147.1326530612245
106,21.0,1103.0,-129.98979591836735
107,21.0,1212.0,-168.9183673469388
108,21.0,1168.0,-153.20408163265307
109,21.0,1286.0,-195.34693877551018
110,22.0,1274.0,-191.06122448979593
111,22.0,1277.0,-192.1326530612245
112,22.0,1170.0,-153.91836734693877
113,22.0,1160.0,-150.3469387755102
114,22.0,1077.0,-120.70408163265306
115,23.0,1209.0,-167.8469387755102
116,23.0,1147.0,-145.70408163265304
117,23.0,1212.0,-168.9183673469388
118,23.0,1202.0,-165.3469387755102
119,23.0,1373.0,-226.41836734693877
120,24.0,1232.0,-176.06122448979588
121,24.0,1127.0,-138.5612244897959
122,24.0,1140.0,-143.20408163265307
123,24.0,1285.0,-194.98979591836735
124,24.0,1128.0,-138.91836734693877
125,25.0,1141.0,-143.5612244897959
126,25.0,1211.0,-168.5612244897959
127,25.0,1206.0,-166.7755102040816
128,25.0,1305.0,-202.1326530612245
129,25.0,1483.0,-265.704081632653
130,26.0,1230.0,-175.34693877551018
131,26.0,1133.0,-140.70408163265304
132,26.0,1191.0,-161.41836734693877
133,26.0,1330.0,-211.0612244897959
134,26.0,1177.0,-156.41836734693877
135,27.0,1209.0,-167.84693877551015
136,27.0,1302.0,-201.06122448979596
137,27.0,1200.0,-164.63265306122446
138,27.0,1226.0,-173.91836734693882
139,27.0,1217.0,-170.70408163265307
140,28.0,1168.0,-153.20408163265304
141,28.0,1202.0,-165.34693877551018
142,28.0,1294.0,-198.20408163265307
143,28.0,1297.0,-199.27551020408163
144,28.0,1245.0,-180.70408163265307
145,29.0,1179.0,-157.13265306122443
146,29.0,1237.0,-177.84693877551018
147,29.0,1357.0,-220.70408163265304
148,29.0,1223.0,-172.8469387755102
149,29.0,1164.0,-151.77551020408166
150,30.0,1236.0,-177.48979591836738
151,30.0,1194.0,-162.48979591836735
152,30.0,1198.0,-163.91836734693877
153,30.0,1382.0,-229.6326530612245
154,30.0,1301.0,-200.70408163265307
155,31.0,1173.0,-154.98979591836732
156,31.0,1168.0,-153.20408163265304
157,31.0,1259.0,-185.70408163265307
158,31.0,1299.0,-199.9897959183674
159,31.0,1335.0,-212.84693877551018
160,32.0,1169.0,-153.5612244897959
161,32.0,1124.0,-137.48979591836735
162,32.0,1159.0,-149.98979591836735
163,32.0,1271.0,-189.98979591836735
164,32.0,1294.0,-198.20408163265304
165,33.0,1155.0,-148.56122448979593
166,33.0,1307.0,-202.8469387755102
167,33.0,1210.0,-168.20408163265304
168,33.0,1205.0,-166.41836734693877
169,33.0,1296.0,-198.91836734693874
170,34.0,1326.0,-209.6326530612245
171,34.0,1115.0,-134.2755102040816
172,34.0,1221.0,-172.13265306122446
173,34.0,1151.0,-147.1326530612245
174,34.0,1284.0,-194.6326530612245
175,35.0,1172.0,-154.6326530612245
176,35.0,1348.0,-217.48979591836738
177,35.0,1112.0,-133.20408163265304
178,35.0,1139.0,-142.84693877551018
179,35.0,1252.0,-183.20408163265301
180,36.0,1245.0,-180.7040816326531
181,36.0,1203.0,-165.70408163265304
182,36.0,1220.0,-171.7755102040816
183,36.0,1231.0,-175.7040816326531
184,36.0,1220.0,-171.77551020408163
185,37.0,1204.0,-166.06122448979593
186,37.0,1226.0,-173.91836734693877
187,37.0,1207.0,-167.13265306122443
188,37.0,1176.0,-156.0612244897959
189,37.0,1218.0,-171.0612244897959
190,38.0,1133.0,-140.70408163265304
191,38.0,1272.0,-190.34693877551018
192,38.0,1232.0,-176.06122448979593
193,38.0,1400.0,-236.06122448979588
194,38.0,1121.0,-136.41836734693877
195,39.0,1211.0,-168.5612244897959
196,39.0,1109.0,-132.1326530612245
197,39.0,1280.0,-193.20408163265307
198,39.0,1252.0,-183.20408163265307
199,39.0,1236.0,-177.48979591836732
200,40.0,1180.0,-157.48979591836732
201,40.0,1149.0,-146.41836734693874
202,40.0,1239.0,-178.5612244897959
203,40.0,1179.0,-157.1326530612245
204,40.0,1197.0,-163.5612244897959
205,41.0,1256.0,-184.6326530612245
206,41.0,1191.0,-161.41836734693877
207,41.0,1202.0,-165.3469387755102
208,41.0,1191.0,-161.41836734693877
209,41.0,1270.0,-189.6326530612245
210,42.0,1329.0,-210.70408163265307
211,42.0,1242.0,-179.6326530612245
212,42.0,1214.0,-169.6326530612245
213,42.0,1161.0,-150.70408163265307
214,42.0,1181.0,-157.84693877551015
215,43.0,1202.0,-165.34693877551018
216,43.0,1209.0,-167.84693877551018
217,43.0,1155.0,-148.5612244897959
218,43.0,1152.0,-147.48979591836732
219,43.0,1108.0,-131.77551020408163
220,44.0,1108.0,-131.77551020408163
221,44.0,1173.0,-154.9897959183673
222,44.0,1179.0,-157.1326530612245
223,44.0,1125.0,-137.8469387755102
224,44.0,1223.0,-172.8469387755103
225,45.0,1179.0,-157.1326530612245
226,45.0,1116.0,-134.6326530612245
227,45.0,1130.0,-139.63265306122452
228,45.0,1152.0,-147.48979591836732
229,45.0,1177.0,-156.41836734693877
230,46.0,1213.0,-169.27551020408163
231,46.0,1202.0,-165.34693877551018
232,46.0,1137.0,-142.1326530612245
233,46.0,1193.0,-162.1326530612245
234,46.0,1205.0,-166.41836734693877
235,47.0,1295.0,-198.5612244897959
