,episode,make_span,reward
0,0.0,474.0,-30.100000000000005
1,0.0,439.0,-14.349999999999998
2,0.0,457.0,-22.450000000000006
3,0.0,435.0,-12.550000000000004
4,0.0,457.0,-22.449999999999985
5,1.0,429.0,-9.850000000000012
6,1.0,433.0,-11.650000000000002
7,1.0,426.0,-8.499999999999996
8,1.0,447.0,-17.949999999999996
9,1.0,479.0,-32.35000000000001
10,2.0,433.0,-11.649999999999993
11,2.0,448.0,-18.400000000000002
12,2.0,415.0,-3.5500000000000065
13,2.0,477.0,-31.449999999999996
14,2.0,421.0,-6.25
15,3.0,467.0,-26.950000000000017
16,3.0,440.0,-14.799999999999994
17,3.0,445.0,-17.050000000000004
18,3.0,440.0,-14.8
19,3.0,472.0,-29.199999999999996
20,4.0,431.0,-10.749999999999998
21,4.0,440.0,-14.799999999999995
22,4.0,456.0,-22.0
23,4.0,466.0,-26.500000000000004
24,4.0,422.0,-6.699999999999991
25,5.0,433.0,-11.649999999999999
26,5.0,418.0,-4.8999999999999915
27,5.0,451.0,-19.750000000000004
28,5.0,450.0,-19.300000000000004
29,5.0,416.0,-4.000000000000007
30,6.0,455.0,-21.550000000000004
31,6.0,426.0,-8.499999999999996
32,6.0,481.0,-33.25
33,6.0,442.0,-15.700000000000003
34,6.0,476.0,-31.000000000000004
35,7.0,464.0,-25.599999999999998
36,7.0,424.0,-7.600000000000004
37,7.0,416.0,-4.000000000000009
38,7.0,438.0,-13.90000000000001
39,7.0,481.0,-33.25
40,8.0,439.0,-14.350000000000005
41,8.0,437.0,-13.450000000000001
42,8.0,448.0,-18.400000000000002
43,8.0,443.0,-16.15
44,8.0,408.0,-0.40000000000000835
45,9.0,483.0,-34.150000000000006
46,9.0,431.0,-10.749999999999993
47,9.0,439.0,-14.350000000000007
48,9.0,419.0,-5.350000000000001
49,9.0,422.0,-6.700000000000015
50,10.0,435.0,-12.550000000000015
51,10.0,432.0,-11.199999999999996
52,10.0,448.0,-18.4
53,10.0,409.0,-0.8499999999999988
54,10.0,455.0,-21.54999999999999
55,11.0,426.0,-8.5
56,11.0,452.0,-20.20000000000001
57,11.0,431.0,-10.749999999999996
58,11.0,446.0,-17.500000000000004
59,11.0,437.0,-13.450000000000003
60,12.0,456.0,-22.000000000000007
61,12.0,421.0,-6.250000000000016
62,12.0,462.0,-24.700000000000006
63,12.0,427.0,-8.949999999999989
64,12.0,433.0,-11.650000000000022
65,13.0,433.0,-11.650000000000011
66,13.0,449.0,-18.849999999999998
67,13.0,422.0,-6.699999999999998
