,episode,make_span,reward
0,0.0,4051.0,-167.895
1,0.0,3684.0,-118.35000000000002
2,0.0,3775.0,-130.635
3,0.0,3440.0,-85.41
4,0.0,3907.0,-148.45499999999998
5,1.0,3635.0,-111.735
6,1.0,3523.0,-96.61499999999997
7,1.0,3954.0,-154.79999999999998
8,1.0,3687.0,-118.755
9,1.0,3834.0,-138.59999999999997
10,2.0,3665.0,-115.785
11,2.0,3650.0,-113.75999999999998
12,2.0,3923.0,-150.615
13,2.0,3600.0,-107.01
14,2.0,4017.0,-163.305
15,3.0,3592.0,-105.92999999999999
16,3.0,3788.0,-132.39
17,3.0,3404.0,-80.55000000000001
18,3.0,3760.0,-128.60999999999999
19,3.0,3949.0,-154.125
20,4.0,3380.0,-77.31000000000003
21,4.0,3561.0,-101.745
22,4.0,3447.0,-86.35499999999999
23,4.0,3486.0,-91.61999999999999
24,4.0,3543.0,-99.31500000000003
25,5.0,3553.0,-100.66500000000002
26,5.0,3792.0,-132.93000000000004
27,5.0,3860.0,-142.11
28,5.0,3804.0,-134.54999999999995
29,5.0,3930.0,-151.56
30,6.0,3456.0,-87.57000000000001
31,6.0,3792.0,-132.93
32,6.0,3412.0,-81.63000000000001
33,6.0,3444.0,-85.94999999999999
34,6.0,3858.0,-141.84
35,7.0,3560.0,-101.60999999999999
36,7.0,3493.0,-92.565
37,7.0,3534.0,-98.10000000000004
38,7.0,3841.0,-139.54499999999996
39,7.0,3633.0,-111.46500000000003
40,8.0,3659.0,-114.975
41,8.0,3671.0,-116.59499999999998
42,8.0,3411.0,-81.49499999999999
43,8.0,3664.0,-115.65
44,8.0,4059.0,-168.97499999999997
45,9.0,3841.0,-139.54500000000002
46,9.0,3376.0,-76.76999999999998
47,9.0,3653.0,-114.16500000000003
48,9.0,3283.0,-64.215
49,9.0,3902.0,-147.77999999999997
50,10.0,3478.0,-90.53999999999996
51,10.0,3817.0,-136.305
52,10.0,3877.0,-144.40499999999997
53,10.0,3678.0,-117.53999999999999
54,10.0,3434.0,-84.6
55,11.0,3612.0,-108.63
56,11.0,3480.0,-90.80999999999999
57,11.0,3820.0,-136.71
58,11.0,3795.0,-133.33500000000004
59,11.0,3565.0,-102.28500000000001
60,12.0,3656.0,-114.57000000000002
61,12.0,3697.0,-120.105
62,12.0,3767.0,-129.555
63,12.0,3678.0,-117.54000000000002
64,12.0,3560.0,-101.61000000000001
65,13.0,3698.0,-120.23999999999998
66,13.0,3663.0,-115.51499999999997
67,13.0,3620.0,-109.71000000000001
68,13.0,3395.0,-79.33500000000002
69,13.0,3594.0,-106.20000000000002
70,14.0,3744.0,-126.45000000000002
71,14.0,3803.0,-134.41500000000002
72,14.0,3711.0,-121.99499999999998
73,14.0,3563.0,-102.01500000000001
74,14.0,3743.0,-126.31500000000003
