,episode,make_span,reward
0,0.0,50.0,-14.0
1,0.0,46.0,-11.2
2,0.0,53.0,-16.1
3,0.0,51.0,-14.7
4,0.0,54.0,-16.8
5,1.0,43.0,-9.1
6,1.0,50.0,-14.0
7,1.0,43.0,-9.1
8,1.0,45.0,-10.5
9,1.0,53.0,-16.1
10,2.0,53.0,-16.1
11,2.0,43.0,-9.1
12,2.0,54.0,-16.8
13,2.0,43.0,-9.1
14,2.0,53.0,-16.1
15,3.0,41.0,-7.7
16,3.0,53.0,-16.1
17,3.0,49.0,-13.3
18,3.0,50.0,-14.0
19,3.0,51.0,-14.700000000000001
20,4.0,53.0,-16.1
21,4.0,41.0,-7.7
22,4.0,45.0,-10.499999999999998
23,4.0,46.0,-11.2
24,4.0,40.0,-7.0
25,5.0,51.0,-14.700000000000001
26,5.0,41.0,-7.7
27,5.0,43.0,-9.1
28,5.0,42.0,-8.399999999999999
29,5.0,40.0,-7.000000000000001
30,6.0,50.0,-14.0
31,6.0,47.0,-11.9
32,6.0,41.0,-7.7
33,6.0,40.0,-7.000000000000001
34,6.0,46.0,-11.2
35,7.0,41.0,-7.699999999999999
36,7.0,46.0,-11.2
37,7.0,53.0,-16.1
38,7.0,42.0,-8.4
39,7.0,41.0,-7.7
40,8.0,43.0,-9.100000000000001
41,8.0,41.0,-7.7
42,8.0,47.0,-11.9
43,8.0,40.0,-7.000000000000001
44,8.0,41.0,-7.7
45,9.0,46.0,-11.2
46,9.0,46.0,-11.2
47,9.0,43.0,-9.100000000000001
48,9.0,49.0,-13.3
49,9.0,45.0,-10.5
50,10.0,40.0,-7.000000000000001
51,10.0,43.0,-9.1
52,10.0,43.0,-9.099999999999998
53,10.0,53.0,-16.099999999999998
54,10.0,41.0,-7.7
55,11.0,41.0,-7.7
56,11.0,41.0,-7.7
57,11.0,40.0,-7.000000000000001
58,11.0,45.0,-10.499999999999998
59,11.0,46.0,-11.2
60,12.0,46.0,-11.2
61,12.0,41.0,-7.7
62,12.0,45.0,-10.5
63,12.0,51.0,-14.700000000000001
64,12.0,53.0,-16.1
65,13.0,41.0,-7.7
66,13.0,50.0,-14.0
67,13.0,43.0,-9.1
68,13.0,43.0,-9.100000000000001
69,13.0,41.0,-7.7
70,14.0,41.0,-7.7
71,14.0,41.0,-7.699999999999999
72,14.0,50.0,-14.0
73,14.0,43.0,-9.100000000000001
74,14.0,53.0,-16.1
75,15.0,40.0,-7.000000000000001
76,15.0,45.0,-10.5
77,15.0,50.0,-14.0
78,15.0,41.0,-7.7
79,15.0,41.0,-7.7
80,16.0,43.0,-9.1
81,16.0,41.0,-7.7
82,16.0,41.0,-7.7
83,16.0,41.0,-7.7
84,16.0,41.0,-7.7
85,17.0,49.0,-13.3
86,17.0,40.0,-7.0
87,17.0,41.0,-7.7
88,17.0,50.0,-14.0
89,17.0,41.0,-7.7
90,18.0,40.0,-7.000000000000001
91,18.0,41.0,-7.7
92,18.0,41.0,-7.699999999999999
93,18.0,41.0,-7.699999999999999
94,18.0,40.0,-7.000000000000001
95,19.0,50.0,-14.0
96,19.0,43.0,-9.100000000000001
97,19.0,41.0,-7.7
98,19.0,41.0,-7.7
99,19.0,40.0,-7.000000000000001
100,20.0,40.0,-7.000000000000001
101,20.0,41.0,-7.699999999999999
102,20.0,40.0,-7.0
103,20.0,40.0,-7.000000000000001
104,20.0,40.0,-7.000000000000001
105,21.0,41.0,-7.7
106,21.0,41.0,-7.7
107,21.0,41.0,-7.699999999999999
108,21.0,40.0,-7.000000000000001
109,21.0,41.0,-7.7
110,22.0,41.0,-7.7
111,22.0,41.0,-7.7
112,22.0,41.0,-7.7
113,22.0,50.0,-14.0
114,22.0,41.0,-7.7
115,23.0,41.0,-7.7
116,23.0,40.0,-7.000000000000001
117,23.0,40.0,-7.0
118,23.0,40.0,-7.000000000000001
119,23.0,41.0,-7.699999999999999
120,24.0,41.0,-7.699999999999999
121,24.0,41.0,-7.7
122,24.0,40.0,-7.0
123,24.0,40.0,-7.000000000000001
124,24.0,41.0,-7.7
125,25.0,41.0,-7.699999999999999
126,25.0,41.0,-7.7
127,25.0,40.0,-7.000000000000001
128,25.0,40.0,-7.000000000000001
129,25.0,41.0,-7.7
130,26.0,41.0,-7.7
131,26.0,41.0,-7.7
132,26.0,41.0,-7.7
133,26.0,41.0,-7.7
134,26.0,40.0,-7.000000000000001
135,27.0,41.0,-7.7
136,27.0,41.0,-7.7
137,27.0,41.0,-7.7
138,27.0,40.0,-7.000000000000001
139,27.0,41.0,-7.7
140,28.0,40.0,-7.000000000000001
141,28.0,41.0,-7.7
142,28.0,40.0,-7.000000000000001
143,28.0,41.0,-7.7
144,28.0,40.0,-7.000000000000001
145,29.0,41.0,-7.7
146,29.0,41.0,-7.699999999999999
147,29.0,40.0,-7.000000000000001
148,29.0,41.0,-7.7
149,29.0,41.0,-7.7
