,episode,make_span,reward
0,0.0,1175.0,-14.868686868686867
1,0.0,1205.0,-19.111111111111114
2,0.0,1265.0,-27.595959595959595
3,0.0,1196.0,-17.83838383838384
4,0.0,1231.0,-22.78787878787879
5,1.0,1201.0,-18.54545454545454
6,1.0,1280.0,-29.717171717171716
7,1.0,1203.0,-18.828282828282816
8,1.0,1172.0,-14.444444444444443
9,1.0,1268.0,-28.02020202020202
10,2.0,1199.0,-18.26262626262626
11,2.0,1170.0,-14.161616161616164
12,2.0,1306.0,-33.39393939393939
13,2.0,1292.0,-31.414141414141415
14,2.0,1235.0,-23.35353535353535
15,3.0,1208.0,-19.535353535353533
16,3.0,1225.0,-21.939393939393938
17,3.0,1265.0,-27.5959595959596
18,3.0,1242.0,-24.34343434343434
19,3.0,1156.0,-12.181818181818178
20,4.0,1309.0,-33.81818181818181
21,4.0,1159.0,-12.606060606060609
22,4.0,1210.0,-19.81818181818182
23,4.0,1222.0,-21.515151515151516
24,4.0,1196.0,-17.83838383838384
25,5.0,1221.0,-21.373737373737388
26,5.0,1369.0,-42.303030303030305
27,5.0,1264.0,-27.454545454545453
28,5.0,1247.0,-25.05050505050505
29,5.0,1243.0,-24.484848484848488
30,6.0,1266.0,-27.73737373737373
31,6.0,1326.0,-36.22222222222223
32,6.0,1198.0,-18.12121212121212
33,6.0,1324.0,-35.939393939393945
34,6.0,1260.0,-26.888888888888893
35,7.0,1196.0,-17.838383838383834
36,7.0,1228.0,-22.363636363636363
37,7.0,1305.0,-33.25252525252525
38,7.0,1135.0,-9.212121212121215
39,7.0,1421.0,-49.656565656565654
40,8.0,1159.0,-12.606060606060602
41,8.0,1257.0,-26.464646464646467
42,8.0,1200.0,-18.404040404040405
43,8.0,1349.0,-39.474747474747474
44,8.0,1133.0,-8.929292929292927
45,9.0,1222.0,-21.515151515151516
46,9.0,1308.0,-33.676767676767675
47,9.0,1254.0,-26.040404040404034
48,9.0,1236.0,-23.494949494949495
49,9.0,1148.0,-11.050505050505054
50,10.0,1255.0,-26.18181818181818
51,10.0,1191.0,-17.131313131313128
52,10.0,1198.0,-18.121212121212125
53,10.0,1333.0,-37.21212121212121
54,10.0,1282.0,-30.0
55,11.0,1301.0,-32.686868686868685
56,11.0,1310.0,-33.95959595959596
57,11.0,1260.0,-26.88888888888889
58,11.0,1259.0,-26.74747474747475
59,11.0,1391.0,-45.41414141414142
60,12.0,1402.0,-46.96969696969697
61,12.0,1194.0,-17.555555555555554
62,12.0,1172.0,-14.444444444444448
63,12.0,1224.0,-21.7979797979798
64,12.0,1283.0,-30.141414141414145
65,13.0,1198.0,-18.121212121212125
66,13.0,1307.0,-33.535353535353536
67,13.0,1141.0,-10.060606060606055
68,13.0,1246.0,-24.909090909090914
69,13.0,1159.0,-12.606060606060606
70,14.0,1169.0,-14.020202020202019
71,14.0,1234.0,-23.21212121212121
72,14.0,1195.0,-17.696969696969692
73,14.0,1202.0,-18.686868686868685
74,14.0,1201.0,-18.545454545454547
75,15.0,1237.0,-23.636363636363637
76,15.0,1172.0,-14.444444444444443
77,15.0,1178.0,-15.292929292929294
78,15.0,1149.0,-11.191919191919192
79,15.0,1236.0,-23.494949494949495
80,16.0,1167.0,-13.737373737373739
81,16.0,1165.0,-13.454545454545451
82,16.0,1232.0,-22.92929292929293
83,16.0,1212.0,-20.101010101010104
84,16.0,1307.0,-33.53535353535353
85,17.0,1205.0,-19.111111111111107
86,17.0,1296.0,-31.979797979797986
87,17.0,1199.0,-18.262626262626263
88,17.0,1203.0,-18.828282828282827
89,17.0,1240.0,-24.060606060606062
90,18.0,1244.0,-24.626262626262623
91,18.0,1211.0,-19.95959595959596
92,18.0,1201.0,-18.545454545454547
93,18.0,1146.0,-10.767676767676772
94,18.0,1292.0,-31.41414141414141
95,19.0,1169.0,-14.020202020202017
96,19.0,1231.0,-22.78787878787879
97,19.0,1209.0,-19.67676767676767
98,19.0,1390.0,-45.27272727272727
99,19.0,1160.0,-12.74747474747475
100,20.0,1195.0,-17.696969696969703
101,20.0,1173.0,-14.585858585858592
102,20.0,1214.0,-20.38383838383838
103,20.0,1235.0,-23.353535353535356
104,20.0,1176.0,-15.010101010101012
105,21.0,1176.0,-15.010101010101005
106,21.0,1306.0,-33.39393939393939
107,21.0,1215.0,-20.52525252525252
108,21.0,1192.0,-17.272727272727266
109,21.0,1251.0,-25.616161616161612
110,22.0,1208.0,-19.535353535353536
111,22.0,1139.0,-9.777777777777777
112,22.0,1167.0,-13.73737373737374
113,22.0,1216.0,-20.666666666666668
114,22.0,1263.0,-27.313131313131315
115,23.0,1273.0,-28.727272727272723
116,23.0,1247.0,-25.05050505050505
117,23.0,1162.0,-13.030303030303031
