,episode,make_span,reward
0,0.0,731.0,-6.663265306122451
1,0.0,731.0,-6.663265306122449
2,0.0,757.0,-10.112244897959185
3,0.0,704.0,-3.081632653061223
4,0.0,704.0,-3.081632653061223
5,1.0,703.0,-2.9489795918367365
6,1.0,731.0,-6.663265306122446
7,1.0,707.0,-3.4795918367346896
8,1.0,731.0,-6.663265306122449
9,1.0,677.0,0.5000000000000013
10,2.0,703.0,-2.9489795918367347
11,2.0,677.0,0.49999999999999956
12,2.0,730.0,-6.530612244897959
13,2.0,703.0,-2.948979591836733
14,2.0,703.0,-2.9489795918367347
15,3.0,703.0,-2.9489795918367347
16,3.0,703.0,-2.9489795918367347
17,3.0,677.0,0.5000000000000049
18,3.0,704.0,-3.081632653061221
19,3.0,730.0,-6.53061224489796
20,4.0,703.0,-2.948979591836733
21,4.0,703.0,-2.9489795918367356
22,4.0,703.0,-2.9489795918367356
23,4.0,677.0,0.49999999999999956
24,4.0,677.0,0.5000000000000031
25,5.0,703.0,-2.948979591836736
26,5.0,664.0,2.224489795918365
27,5.0,757.0,-10.112244897959183
28,5.0,716.0,-4.673469387755108
29,5.0,799.0,-15.683673469387754
30,6.0,703.0,-2.9489795918367365
31,6.0,677.0,0.5000000000000031
32,6.0,677.0,0.5000000000000049
33,6.0,703.0,-2.9489795918367347
34,6.0,703.0,-2.948979591836734
35,7.0,677.0,0.5000000000000013
36,7.0,703.0,-2.9489795918367347
37,7.0,677.0,0.5000000000000027
38,7.0,677.0,0.5000000000000049
39,7.0,677.0,0.5000000000000031
40,8.0,704.0,-3.0816326530612197
41,8.0,677.0,0.5000000000000031
42,8.0,677.0,0.500000000000004
43,8.0,716.0,-4.673469387755101
44,8.0,703.0,-2.9489795918367365
45,9.0,664.0,2.2244897959183687
46,9.0,664.0,2.2244897959183705
47,9.0,757.0,-10.112244897959185
48,9.0,664.0,2.2244897959183705
49,9.0,664.0,2.2244897959183705
50,10.0,664.0,2.224489795918372
51,10.0,704.0,-3.0816326530612224
52,10.0,677.0,0.5000000000000036
53,10.0,716.0,-4.673469387755099
54,10.0,769.0,-11.704081632653065
55,11.0,664.0,2.224489795918372
56,11.0,677.0,0.5000000000000031
57,11.0,704.0,-3.0816326530612277
58,11.0,677.0,0.5000000000000022
59,11.0,704.0,-3.0816326530612215
60,12.0,664.0,2.2244897959183665
61,12.0,677.0,0.5000000000000031
62,12.0,664.0,2.22448979591837
63,12.0,664.0,2.22448979591837
64,12.0,664.0,2.224489795918367
65,13.0,677.0,0.5000000000000044
66,13.0,703.0,-2.9489795918367316
67,13.0,704.0,-3.0816326530612215
68,13.0,677.0,0.5000000000000031
69,13.0,664.0,2.2244897959183665
70,14.0,677.0,0.5000000000000049
71,14.0,677.0,0.5000000000000031
72,14.0,677.0,0.5000000000000031
73,14.0,704.0,-3.0816326530612277
74,14.0,664.0,2.224489795918372
75,15.0,677.0,0.5000000000000031
76,15.0,664.0,2.224489795918372
77,15.0,664.0,2.224489795918372
78,15.0,664.0,2.2244897959183705
79,15.0,664.0,2.224489795918372
80,16.0,664.0,2.224489795918372
81,16.0,704.0,-3.0816326530612215
82,16.0,664.0,2.2244897959183714
83,16.0,677.0,0.5000000000000031
84,16.0,677.0,0.5000000000000049
85,17.0,677.0,0.5000000000000031
86,17.0,664.0,2.224489795918366
87,17.0,664.0,2.224489795918372
88,17.0,677.0,0.5000000000000031
89,17.0,664.0,2.2244897959183705
90,18.0,677.0,0.5000000000000031
91,18.0,677.0,0.5000000000000049
92,18.0,664.0,2.224489795918372
93,18.0,677.0,0.5000000000000031
94,18.0,664.0,2.2244897959183714
95,19.0,664.0,2.2244897959183714
96,19.0,664.0,2.2244897959183665
97,19.0,664.0,2.2244897959183687
98,19.0,664.0,2.2244897959183714
99,19.0,664.0,2.224489795918372
100,20.0,677.0,0.5000000000000031
101,20.0,664.0,2.224489795918365
102,20.0,704.0,-3.0816326530612255
103,20.0,704.0,-3.081632653061227
104,20.0,664.0,2.2244897959183714
105,21.0,664.0,2.2244897959183714
106,21.0,664.0,2.2244897959183714
107,21.0,664.0,2.2244897959183714
108,21.0,664.0,2.224489795918372
109,21.0,664.0,2.2244897959183714
110,22.0,677.0,0.5000000000000031
111,22.0,677.0,0.5000000000000049
112,22.0,664.0,2.2244897959183714
113,22.0,704.0,-3.0816326530612255
114,22.0,704.0,-3.0816326530612277
115,23.0,704.0,-3.0816326530612255
116,23.0,664.0,2.2244897959183714
117,23.0,704.0,-3.0816326530612255
118,23.0,704.0,-3.0816326530612255
119,23.0,664.0,2.224489795918372
120,24.0,677.0,0.5000000000000031
121,24.0,664.0,2.2244897959183705
122,24.0,664.0,2.2244897959183714
123,24.0,664.0,2.2244897959183714
124,24.0,664.0,2.2244897959183705
125,25.0,664.0,2.2244897959183714
126,25.0,664.0,2.2244897959183714
127,25.0,704.0,-3.0816326530612237
128,25.0,677.0,0.5000000000000049
129,25.0,704.0,-3.0816326530612264
130,26.0,677.0,0.5000000000000031
131,26.0,664.0,2.2244897959183714
132,26.0,664.0,2.2244897959183714
133,26.0,664.0,2.2244897959183714
134,26.0,704.0,-3.0816326530612255
135,27.0,677.0,0.5000000000000031
136,27.0,664.0,2.2244897959183714
137,27.0,664.0,2.2244897959183714
138,27.0,664.0,2.2244897959183714
139,27.0,664.0,2.2244897959183714
140,28.0,664.0,2.2244897959183714
141,28.0,664.0,2.2244897959183714
142,28.0,664.0,2.2244897959183714
143,28.0,664.0,2.2244897959183714
144,28.0,677.0,0.5000000000000031
145,29.0,664.0,2.2244897959183714
146,29.0,664.0,2.2244897959183714
147,29.0,664.0,2.2244897959183687
148,29.0,677.0,0.5000000000000049
149,29.0,664.0,2.2244897959183705
150,30.0,664.0,2.2244897959183705
151,30.0,664.0,2.2244897959183714
152,30.0,664.0,2.2244897959183714
153,30.0,704.0,-3.0816326530612255
154,30.0,664.0,2.224489795918372
155,31.0,664.0,2.2244897959183714
156,31.0,664.0,2.2244897959183714
157,31.0,664.0,2.2244897959183714
158,31.0,664.0,2.224489795918372
159,31.0,664.0,2.2244897959183714
160,32.0,664.0,2.2244897959183714
161,32.0,664.0,2.2244897959183665
162,32.0,664.0,2.2244897959183714
163,32.0,664.0,2.2244897959183714
164,32.0,664.0,2.2244897959183714
165,33.0,664.0,2.2244897959183705
166,33.0,664.0,2.2244897959183714
167,33.0,664.0,2.2244897959183714
168,33.0,664.0,2.2244897959183714
169,33.0,664.0,2.2244897959183714
170,34.0,677.0,0.5000000000000031
171,34.0,664.0,2.2244897959183714
172,34.0,664.0,2.2244897959183714
173,34.0,664.0,2.2244897959183714
174,34.0,704.0,-3.0816326530612224
175,35.0,664.0,2.2244897959183714
176,35.0,664.0,2.224489795918372
177,35.0,664.0,2.2244897959183714
178,35.0,664.0,2.2244897959183714
179,35.0,664.0,2.2244897959183714
180,36.0,664.0,2.2244897959183714
181,36.0,664.0,2.2244897959183714
182,36.0,664.0,2.2244897959183705
183,36.0,664.0,2.224489795918372
184,36.0,664.0,2.2244897959183714
185,37.0,664.0,2.2244897959183714
186,37.0,704.0,-3.0816326530612255
187,37.0,664.0,2.2244897959183705
188,37.0,664.0,2.224489795918372
189,37.0,664.0,2.2244897959183714
190,38.0,664.0,2.2244897959183714
191,38.0,677.0,0.5000000000000031
192,38.0,664.0,2.2244897959183714
193,38.0,664.0,2.2244897959183705
194,38.0,664.0,2.2244897959183714
195,39.0,664.0,2.2244897959183714
196,39.0,664.0,2.2244897959183714
197,39.0,664.0,2.2244897959183714
198,39.0,664.0,2.2244897959183714
199,39.0,664.0,2.2244897959183714
200,40.0,664.0,2.224489795918372
201,40.0,664.0,2.2244897959183714
202,40.0,682.0,-0.16326530612244605
203,40.0,664.0,2.2244897959183714
204,40.0,664.0,2.2244897959183714
205,41.0,664.0,2.224489795918372
206,41.0,677.0,0.5000000000000044
207,41.0,664.0,2.2244897959183714
208,41.0,664.0,2.2244897959183714
209,41.0,664.0,2.2244897959183705
210,42.0,664.0,2.2244897959183714
211,42.0,664.0,2.2244897959183714
212,42.0,664.0,2.2244897959183714
213,42.0,664.0,2.2244897959183705
214,42.0,664.0,2.2244897959183714
215,43.0,664.0,2.2244897959183714
216,43.0,664.0,2.224489795918372
217,43.0,664.0,2.2244897959183714
218,43.0,664.0,2.2244897959183714
219,43.0,664.0,2.2244897959183714
220,44.0,664.0,2.224489795918372
221,44.0,664.0,2.224489795918372
222,44.0,664.0,2.2244897959183714
223,44.0,664.0,2.2244897959183687
224,44.0,664.0,2.2244897959183714
225,45.0,664.0,2.224489795918372
226,45.0,664.0,2.224489795918372
227,45.0,664.0,2.2244897959183714
228,45.0,664.0,2.2244897959183714
229,45.0,677.0,0.5000000000000049
230,46.0,664.0,2.2244897959183714
231,46.0,664.0,2.2244897959183714
232,46.0,664.0,2.2244897959183714
233,46.0,664.0,2.2244897959183714
234,46.0,664.0,2.2244897959183714
235,47.0,664.0,2.2244897959183705
236,47.0,664.0,2.224489795918372
237,47.0,664.0,2.2244897959183714
238,47.0,664.0,2.2244897959183714
239,47.0,664.0,2.2244897959183714
240,48.0,664.0,2.2244897959183714
241,48.0,664.0,2.224489795918372
242,48.0,664.0,2.224489795918372
243,48.0,664.0,2.2244897959183705
244,48.0,664.0,2.2244897959183714
245,49.0,664.0,2.2244897959183705
246,49.0,664.0,2.2244897959183714
247,49.0,664.0,2.2244897959183714
248,49.0,664.0,2.224489795918366
249,49.0,677.0,0.5000000000000049
250,50.0,664.0,2.2244897959183714
251,50.0,664.0,2.2244897959183714
252,50.0,664.0,2.2244897959183714
253,50.0,664.0,2.224489795918366
254,50.0,664.0,2.2244897959183714
255,51.0,664.0,2.2244897959183714
256,51.0,664.0,2.2244897959183714
257,51.0,664.0,2.2244897959183714
258,51.0,664.0,2.2244897959183705
259,51.0,664.0,2.2244897959183714
260,52.0,664.0,2.224489795918372
261,52.0,677.0,0.5000000000000031
262,52.0,664.0,2.2244897959183714
263,52.0,664.0,2.224489795918372
264,52.0,664.0,2.224489795918372
265,53.0,664.0,2.2244897959183714
266,53.0,664.0,2.2244897959183714
267,53.0,664.0,2.224489795918372
268,53.0,664.0,2.2244897959183714
269,53.0,664.0,2.224489795918366
270,54.0,664.0,2.2244897959183714
271,54.0,664.0,2.2244897959183705
272,54.0,664.0,2.224489795918372
273,54.0,704.0,-3.0816326530612215
274,54.0,664.0,2.224489795918372
275,55.0,664.0,2.2244897959183714
276,55.0,677.0,0.5000000000000031
277,55.0,664.0,2.224489795918372
278,55.0,664.0,2.2244897959183714
279,55.0,664.0,2.2244897959183714
280,56.0,664.0,2.224489795918372
281,56.0,664.0,2.224489795918372
282,56.0,704.0,-3.0816326530612255
283,56.0,664.0,2.224489795918372
284,56.0,664.0,2.224489795918372
285,57.0,664.0,2.224489795918372
286,57.0,664.0,2.224489795918372
287,57.0,664.0,2.224489795918372
288,57.0,664.0,2.2244897959183714
289,57.0,664.0,2.2244897959183714
290,58.0,664.0,2.224489795918372
