,episode,make_span,reward
0,0.0,726.0,-14.63265306122449
1,0.0,707.0,-12.69387755102041
2,0.0,701.0,-12.081632653061225
3,0.0,691.0,-11.061224489795919
4,0.0,691.0,-11.06122448979592
5,1.0,698.0,-11.775510204081634
6,1.0,691.0,-11.06122448979592
7,1.0,691.0,-11.061224489795919
8,1.0,685.0,-10.448979591836736
9,1.0,691.0,-11.061224489795919
10,2.0,692.0,-11.163265306122451
11,2.0,691.0,-11.06122448979592
12,2.0,692.0,-11.163265306122451
13,2.0,698.0,-11.775510204081634
14,2.0,691.0,-11.06122448979592
15,3.0,691.0,-11.06122448979592
16,3.0,691.0,-11.061224489795922
17,3.0,844.0,-26.673469387755098
18,3.0,691.0,-11.061224489795919
19,3.0,691.0,-11.06122448979592
20,4.0,691.0,-11.06122448979592
21,4.0,691.0,-11.06122448979592
22,4.0,691.0,-11.06122448979592
23,4.0,691.0,-11.06122448979592
24,4.0,691.0,-11.061224489795922
25,5.0,691.0,-11.061224489795915
26,5.0,698.0,-11.77551020408163
27,5.0,691.0,-11.061224489795922
28,5.0,691.0,-11.06122448979592
29,5.0,745.0,-16.57142857142857
30,6.0,691.0,-11.061224489795922
31,6.0,647.0,-6.571428571428573
32,6.0,691.0,-11.061224489795919
33,6.0,705.0,-12.489795918367346
34,6.0,644.0,-6.265306122448982
35,7.0,691.0,-11.06122448979592
36,7.0,691.0,-11.06122448979592
37,7.0,698.0,-11.77551020408163
38,7.0,774.0,-19.53061224489796
39,7.0,691.0,-11.061224489795922
40,8.0,647.0,-6.571428571428574
41,8.0,692.0,-11.163265306122451
42,8.0,644.0,-6.265306122448982
43,8.0,691.0,-11.061224489795919
44,8.0,701.0,-12.081632653061225
45,9.0,701.0,-12.081632653061227
46,9.0,691.0,-11.061224489795919
47,9.0,691.0,-11.06122448979592
48,9.0,701.0,-12.081632653061225
49,9.0,691.0,-11.061224489795922
50,10.0,691.0,-11.06122448979592
51,10.0,727.0,-14.73469387755102
52,10.0,777.0,-19.836734693877553
53,10.0,694.0,-11.367346938775512
54,10.0,719.0,-13.918367346938775
55,11.0,691.0,-11.06122448979592
56,11.0,691.0,-11.061224489795919
57,11.0,738.0,-15.857142857142858
58,11.0,691.0,-11.061224489795919
59,11.0,691.0,-11.061224489795919
60,12.0,738.0,-15.857142857142856
61,12.0,644.0,-6.265306122448981
62,12.0,691.0,-11.061224489795919
63,12.0,731.0,-15.142857142857142
64,12.0,701.0,-12.081632653061225
65,13.0,691.0,-11.06122448979592
66,13.0,691.0,-11.061224489795919
67,13.0,691.0,-11.061224489795919
68,13.0,691.0,-11.061224489795919
69,13.0,647.0,-6.571428571428575
70,14.0,691.0,-11.061224489795922
71,14.0,777.0,-19.836734693877553
72,14.0,701.0,-12.081632653061225
73,14.0,701.0,-12.081632653061227
74,14.0,691.0,-11.06122448979592
75,15.0,691.0,-11.061224489795922
76,15.0,749.0,-16.979591836734695
77,15.0,691.0,-11.061224489795919
78,15.0,691.0,-11.061224489795919
79,15.0,691.0,-11.061224489795919
80,16.0,691.0,-11.061224489795922
81,16.0,691.0,-11.06122448979592
82,16.0,691.0,-11.061224489795919
83,16.0,692.0,-11.163265306122451
84,16.0,691.0,-11.061224489795919
85,17.0,691.0,-11.06122448979592
86,17.0,647.0,-6.571428571428574
87,17.0,691.0,-11.06122448979592
88,17.0,691.0,-11.06122448979592
89,17.0,738.0,-15.857142857142858
90,18.0,691.0,-11.06122448979592
91,18.0,647.0,-6.571428571428574
92,18.0,691.0,-11.061224489795922
93,18.0,701.0,-12.081632653061224
94,18.0,691.0,-11.061224489795919
95,19.0,647.0,-6.571428571428575
96,19.0,644.0,-6.26530612244898
97,19.0,692.0,-11.163265306122451
98,19.0,691.0,-11.061224489795919
99,19.0,691.0,-11.061224489795919
