,episode,make_span,reward
0,0.0,1686.0,-297.4285714285714
1,0.0,1672.0,-292.14285714285717
2,0.0,1736.0,-316.3061224489795
3,0.0,1645.0,-281.94897959183663
4,0.0,1642.0,-280.8163265306123
5,1.0,1817.0,-346.88775510204084
6,1.0,1705.0,-304.6020408163265
7,1.0,1627.0,-275.15306122448976
8,1.0,1757.0,-324.23469387755097
9,1.0,1768.0,-328.3877551020407
10,2.0,1603.0,-266.0918367346939
11,2.0,1681.0,-295.54081632653055
12,2.0,1638.0,-279.30612244897964
13,2.0,1743.0,-318.94897959183675
14,2.0,1679.0,-294.7857142857143
15,3.0,1648.0,-283.08163265306126
16,3.0,1741.0,-318.1938775510203
17,3.0,1773.0,-330.2755102040817
18,3.0,1680.0,-295.16326530612247
19,3.0,1714.0,-308.0
20,4.0,1769.0,-328.765306122449
21,4.0,1638.0,-279.30612244897964
22,4.0,1722.0,-311.02040816326536
23,4.0,1888.0,-373.6938775510205
24,4.0,1662.0,-288.3673469387755
25,5.0,1671.0,-291.765306122449
26,5.0,1644.0,-281.5714285714286
27,5.0,1775.0,-331.030612244898
28,5.0,1640.0,-280.0612244897961
29,5.0,1707.0,-305.3571428571429
30,6.0,1686.0,-297.4285714285714
31,6.0,1645.0,-281.9489795918367
32,6.0,1647.0,-282.704081632653
33,6.0,1796.0,-338.95918367346934
34,6.0,1722.0,-311.0204081632654
35,7.0,1688.0,-298.1836734693877
36,7.0,1836.0,-354.0612244897961
37,7.0,1584.0,-258.9183673469388
38,7.0,1592.0,-261.93877551020404
39,7.0,1657.0,-286.47959183673464
40,8.0,1646.0,-282.3265306122448
41,8.0,1827.0,-350.6632653061224
42,8.0,1565.0,-251.74489795918367
43,8.0,1798.0,-339.7142857142857
44,8.0,1577.0,-256.2755102040816
45,9.0,1579.0,-257.0306122448979
46,9.0,1565.0,-251.7448979591837
47,9.0,1651.0,-284.2142857142858
48,9.0,1699.0,-302.3367346938775
49,9.0,1659.0,-287.23469387755097
50,10.0,1617.0,-271.3775510204082
51,10.0,1719.0,-309.88775510204084
52,10.0,1619.0,-272.13265306122446
53,10.0,1669.0,-291.0102040816326
54,10.0,1541.0,-242.68367346938777
55,11.0,1689.0,-298.56122448979596
56,11.0,1629.0,-275.9081632653062
57,11.0,1738.0,-317.06122448979596
58,11.0,1789.0,-336.3163265306122
59,11.0,1896.0,-376.7142857142857
60,12.0,1682.0,-295.9183673469388
61,12.0,1607.0,-267.60204081632656
62,12.0,1587.0,-260.0510204081633
63,12.0,1678.0,-294.4081632653061
64,12.0,1603.0,-266.0918367346938
65,13.0,1658.0,-286.8571428571429
66,13.0,1612.0,-269.4897959183673
67,13.0,1768.0,-328.3877551020408
68,13.0,1715.0,-308.3775510204082
69,13.0,1615.0,-270.62244897959187
70,14.0,1735.0,-315.9285714285715
71,14.0,1622.0,-273.265306122449
72,14.0,1638.0,-279.3061224489795
73,14.0,1648.0,-283.0816326530612
74,14.0,1618.0,-271.7551020408163
75,15.0,1602.0,-265.7142857142857
76,15.0,1684.0,-296.6734693877552
77,15.0,1627.0,-275.15306122448976
78,15.0,1617.0,-271.3775510204082
79,15.0,1592.0,-261.93877551020404
80,16.0,1627.0,-275.1530612244898
81,16.0,1640.0,-280.06122448979585
82,16.0,1592.0,-261.93877551020415
83,16.0,1658.0,-286.85714285714295
84,16.0,1661.0,-287.98979591836735
85,17.0,1701.0,-303.0918367346939
86,17.0,1701.0,-303.09183673469397
87,17.0,1740.0,-317.8163265306123
88,17.0,1597.0,-263.8265306122448
89,17.0,1683.0,-296.29591836734704
90,18.0,1653.0,-284.96938775510205
91,18.0,1735.0,-315.92857142857156
92,18.0,1695.0,-300.82653061224494
93,18.0,1577.0,-256.2755102040816
94,18.0,1654.0,-285.3469387755101
95,19.0,1750.0,-321.5918367346938
96,19.0,1584.0,-258.91836734693885
97,19.0,1617.0,-271.3775510204082
98,19.0,1668.0,-290.6326530612244
99,19.0,1688.0,-298.1836734693878
100,20.0,1667.0,-290.25510204081627
101,20.0,1550.0,-246.08163265306126
102,20.0,1623.0,-273.64285714285717
103,20.0,1598.0,-264.20408163265296
104,20.0,1630.0,-276.28571428571433
105,21.0,1594.0,-262.6938775510204
106,21.0,1699.0,-302.33673469387753
107,21.0,1713.0,-307.6224489795918
108,21.0,1712.0,-307.24489795918356
109,21.0,1708.0,-305.7346938775511
110,22.0,1818.0,-347.2653061224492
111,22.0,1734.0,-315.5510204081633
112,22.0,1568.0,-252.87755102040813
113,22.0,1722.0,-311.0204081632654
114,22.0,1634.0,-277.795918367347
115,23.0,1741.0,-318.19387755102036
116,23.0,1672.0,-292.1428571428572
117,23.0,1650.0,-283.8367346938775
118,23.0,1822.0,-348.77551020408174
119,23.0,1666.0,-289.87755102040825
120,24.0,1773.0,-330.27551020408174
121,24.0,1642.0,-280.81632653061234
122,24.0,1704.0,-304.2244897959183
123,24.0,1587.0,-260.05102040816325
124,24.0,1649.0,-283.4591836734694
125,25.0,1638.0,-279.3061224489795
126,25.0,1601.0,-265.33673469387764
127,25.0,1693.0,-300.07142857142856
128,25.0,1675.0,-293.27551020408157
129,25.0,1755.0,-323.47959183673476
130,26.0,1605.0,-266.8469387755102
131,26.0,1700.0,-302.7142857142856
132,26.0,1568.0,-252.8775510204081
133,26.0,1742.0,-318.57142857142856
134,26.0,1623.0,-273.6428571428571
135,27.0,1733.0,-315.1734693877552
136,27.0,1590.0,-261.18367346938777
137,27.0,1756.0,-323.8571428571429
138,27.0,1712.0,-307.2448979591837
139,27.0,1671.0,-291.7653061224488
140,28.0,1743.0,-318.9489795918367
141,28.0,1588.0,-260.4285714285715
142,28.0,1716.0,-308.7551020408163
143,28.0,1601.0,-265.3367346938776
144,28.0,1603.0,-266.0918367346939
145,29.0,1619.0,-272.1326530612245
146,29.0,1588.0,-260.4285714285714
147,29.0,1623.0,-273.642857142857
148,29.0,1661.0,-287.98979591836735
