,episode,make_span,reward
0,0.0,364.0,-50.80000000000001
1,0.0,364.0,-50.80000000000001
2,0.0,376.0,-56.500000000000014
3,0.0,364.0,-50.80000000000001
4,0.0,364.0,-50.80000000000001
5,1.0,364.0,-50.80000000000001
6,1.0,370.0,-53.65
7,1.0,364.0,-50.80000000000001
8,1.0,376.0,-56.499999999999986
9,1.0,397.0,-66.475
10,2.0,364.0,-50.80000000000001
11,2.0,377.0,-56.974999999999994
12,2.0,397.0,-66.475
13,2.0,397.0,-66.475
14,2.0,364.0,-50.80000000000001
15,3.0,397.0,-66.475
16,3.0,364.0,-50.80000000000001
17,3.0,364.0,-50.80000000000001
18,3.0,364.0,-50.8
19,3.0,397.0,-66.475
20,4.0,397.0,-66.475
21,4.0,364.0,-50.80000000000001
22,4.0,364.0,-50.80000000000001
23,4.0,397.0,-66.475
24,4.0,364.0,-50.80000000000001
25,5.0,362.0,-49.85
26,5.0,364.0,-50.80000000000001
27,5.0,397.0,-66.475
28,5.0,371.0,-54.125
29,5.0,364.0,-50.80000000000001
30,6.0,397.0,-66.475
31,6.0,364.0,-50.80000000000001
32,6.0,372.0,-54.599999999999994
33,6.0,364.0,-50.80000000000001
34,6.0,371.0,-54.12499999999999
35,7.0,364.0,-50.80000000000001
36,7.0,389.0,-62.675
37,7.0,364.0,-50.80000000000001
38,7.0,362.0,-49.85
39,7.0,364.0,-50.80000000000001
40,8.0,364.0,-50.8
41,8.0,364.0,-50.8
42,8.0,362.0,-49.85
43,8.0,364.0,-50.80000000000001
44,8.0,376.0,-56.50000000000001
45,9.0,364.0,-50.8
46,9.0,389.0,-62.675
47,9.0,364.0,-50.80000000000001
48,9.0,389.0,-62.675
49,9.0,364.0,-50.80000000000001
50,10.0,364.0,-50.80000000000001
51,10.0,364.0,-50.80000000000001
52,10.0,364.0,-50.80000000000001
53,10.0,364.0,-50.80000000000001
54,10.0,377.0,-56.974999999999994
55,11.0,364.0,-50.80000000000001
56,11.0,364.0,-50.80000000000001
57,11.0,364.0,-50.80000000000001
58,11.0,364.0,-50.8
59,11.0,364.0,-50.8
60,12.0,397.0,-66.475
61,12.0,364.0,-50.80000000000001
62,12.0,362.0,-49.85
63,12.0,371.0,-54.12500000000001
64,12.0,371.0,-54.12500000000001
65,13.0,362.0,-49.85
66,13.0,362.0,-49.85000000000001
67,13.0,364.0,-50.80000000000001
