,episode,make_span,reward
0,0.0,4557.0,-81.40500000000002
1,0.0,4305.0,-47.38500000000002
2,0.0,4519.0,-76.27500000000002
3,0.0,4473.0,-70.065
4,0.0,4524.0,-76.94999999999997
5,1.0,4949.0,-134.325
6,1.0,4647.0,-93.555
7,1.0,4645.0,-93.28500000000003
8,1.0,4754.0,-108.0
9,1.0,4539.0,-78.97500000000001
10,2.0,4621.0,-90.04500000000003
11,2.0,4482.0,-71.28000000000003
12,2.0,4500.0,-73.71000000000001
13,2.0,4978.0,-138.24
14,2.0,4460.0,-68.30999999999997
15,3.0,4955.0,-135.13499999999996
16,3.0,4576.0,-83.96999999999998
17,3.0,4763.0,-109.215
18,3.0,4448.0,-66.68999999999998
19,3.0,4514.0,-75.60000000000002
20,4.0,4438.0,-65.34
21,4.0,4640.0,-92.61000000000003
22,4.0,5196.0,-167.67000000000004
23,4.0,4481.0,-71.14500000000001
24,4.0,4521.0,-76.545
25,5.0,4353.0,-53.86499999999999
26,5.0,4630.0,-91.25999999999999
27,5.0,4474.0,-70.2
28,5.0,4636.0,-92.07000000000004
29,5.0,4714.0,-102.60000000000001
30,6.0,4757.0,-108.405
31,6.0,4976.0,-137.97000000000003
32,6.0,4531.0,-77.89500000000001
33,6.0,4707.0,-101.65500000000003
34,6.0,4614.0,-89.10000000000001
35,7.0,4402.0,-60.48000000000003
36,7.0,4430.0,-64.26
37,7.0,4451.0,-67.095
38,7.0,4312.0,-48.33
39,7.0,4525.0,-77.08500000000001
40,8.0,4820.0,-116.91000000000001
41,8.0,4554.0,-81.00000000000003
42,8.0,4706.0,-101.52000000000001
43,8.0,4559.0,-81.67500000000004
44,8.0,4767.0,-109.75499999999995
45,9.0,4592.0,-86.13000000000002
46,9.0,4932.0,-132.03000000000003
47,9.0,4513.0,-75.46500000000002
48,9.0,4267.0,-42.254999999999995
49,9.0,4539.0,-78.97500000000001
50,10.0,4382.0,-57.78000000000002
51,10.0,4579.0,-84.375
52,10.0,4445.0,-66.28499999999997
53,10.0,4270.0,-42.66
54,10.0,4554.0,-81.00000000000001
55,11.0,4467.0,-69.25499999999997
56,11.0,4097.0,-19.305000000000014
57,11.0,4443.0,-66.015
58,11.0,4300.0,-46.709999999999994
59,11.0,4271.0,-42.794999999999995
60,12.0,4499.0,-73.57500000000002
61,12.0,4260.0,-41.309999999999995
62,12.0,4068.0,-15.389999999999988
63,12.0,4169.0,-29.025000000000027
64,12.0,4417.0,-62.50500000000001
65,13.0,4259.0,-41.175000000000054
66,13.0,4342.0,-52.37999999999997
67,13.0,4500.0,-73.71000000000004
68,13.0,4354.0,-54.000000000000036
69,13.0,4653.0,-94.36500000000001
70,14.0,4488.0,-72.08999999999999
71,14.0,4172.0,-29.43
72,14.0,4177.0,-30.104999999999986
73,14.0,4393.0,-59.26500000000004
74,14.0,4291.0,-45.495
75,15.0,4418.0,-62.64000000000002
76,15.0,4341.0,-52.24499999999999
77,15.0,4676.0,-97.47
78,15.0,4520.0,-76.41
79,15.0,4331.0,-50.895000000000024
80,16.0,4185.0,-31.185000000000016
81,16.0,4786.0,-112.32000000000004
82,16.0,4375.0,-56.835000000000015
83,16.0,4532.0,-78.03
84,16.0,4415.0,-62.23500000000001
85,17.0,4473.0,-70.065
86,17.0,4726.0,-104.22000000000001
87,17.0,4190.0,-31.860000000000007
88,17.0,4447.0,-66.55500000000004
89,17.0,4432.0,-64.53000000000004
90,18.0,4283.0,-44.41500000000003
91,18.0,4355.0,-54.135000000000005
92,18.0,4437.0,-65.20500000000001
93,18.0,4353.0,-53.86500000000003
94,18.0,4203.0,-33.615000000000045
95,19.0,4654.0,-94.5
96,19.0,4294.0,-45.900000000000006
97,19.0,4144.0,-25.64999999999999
98,19.0,4438.0,-65.34
99,19.0,4384.0,-58.05000000000001
100,20.0,4272.0,-42.93000000000002
101,20.0,4564.0,-82.35000000000002
102,20.0,4112.0,-21.32999999999998
103,20.0,4307.0,-47.655000000000044
104,20.0,4410.0,-61.56000000000002
105,21.0,4357.0,-54.40499999999999
106,21.0,4730.0,-104.76000000000005
107,21.0,4571.0,-83.29499999999999
108,21.0,4119.0,-22.274999999999935
109,21.0,4720.0,-103.41000000000003
110,22.0,4414.0,-62.100000000000016
111,22.0,4374.0,-56.69999999999999
112,22.0,4401.0,-60.34500000000001
113,22.0,4361.0,-54.94499999999998
114,22.0,4403.0,-60.61500000000001
115,23.0,4450.0,-66.96000000000002
116,23.0,4280.0,-44.00999999999999
117,23.0,4330.0,-50.75999999999998
118,23.0,4164.0,-28.349999999999998
119,23.0,4225.0,-36.58500000000002
120,24.0,4422.0,-63.18000000000002
121,24.0,4117.0,-22.005000000000006
122,24.0,4253.0,-40.36500000000003
123,24.0,4667.0,-96.255
124,24.0,4248.0,-39.689999999999976
