,episode,make_span,reward
0,0.0,2463.0,-148.275
1,0.0,2544.0,-158.4
2,0.0,2463.0,-148.275
3,0.0,2544.0,-158.4
4,0.0,2544.0,-158.4
5,1.0,2463.0,-148.275
6,1.0,2544.0,-158.4
7,1.0,2505.0,-153.52500000000003
8,1.0,2544.0,-158.4
9,1.0,2559.0,-160.275
10,2.0,2636.0,-169.9
11,2.0,2636.0,-169.9
12,2.0,2544.0,-158.4
13,2.0,2558.0,-160.15
14,2.0,2544.0,-158.4
15,3.0,2636.0,-169.9
16,3.0,2560.0,-160.4
17,3.0,2544.0,-158.4
18,3.0,2558.0,-160.15
19,3.0,2544.0,-158.4
20,4.0,2463.0,-148.275
21,4.0,2505.0,-153.525
22,4.0,2458.0,-147.65
23,4.0,2494.0,-152.15
24,4.0,2564.0,-160.9
25,5.0,2544.0,-158.4
26,5.0,2544.0,-158.4
27,5.0,2463.0,-148.275
28,5.0,2505.0,-153.525
29,5.0,2558.0,-160.15
30,6.0,2544.0,-158.4
31,6.0,2504.0,-153.4
32,6.0,2544.0,-158.4
33,6.0,2463.0,-148.275
34,6.0,2544.0,-158.4
35,7.0,2505.0,-153.525
36,7.0,2544.0,-158.4
37,7.0,2732.0,-181.89999999999998
38,7.0,2458.0,-147.65
39,7.0,2505.0,-153.525
40,8.0,2541.0,-158.025
41,8.0,2636.0,-169.9
42,8.0,2523.0,-155.775
43,8.0,2463.0,-148.275
44,8.0,2544.0,-158.4
45,9.0,2636.0,-169.9
46,9.0,2463.0,-148.275
47,9.0,2463.0,-148.275
48,9.0,2544.0,-158.4
49,9.0,2458.0,-147.65
50,10.0,2544.0,-158.4
51,10.0,2544.0,-158.4
52,10.0,2544.0,-158.4
53,10.0,2463.0,-148.275
54,10.0,2636.0,-169.9
55,11.0,2558.0,-160.15
56,11.0,2544.0,-158.4
57,11.0,2504.0,-153.4
58,11.0,2544.0,-158.4
59,11.0,2558.0,-160.15
60,12.0,2463.0,-148.275
61,12.0,2504.0,-153.4
62,12.0,2558.0,-160.15
63,12.0,2558.0,-160.15
64,12.0,2504.0,-153.4
65,13.0,2463.0,-148.275
66,13.0,2463.0,-148.275
67,13.0,2558.0,-160.15
68,13.0,2523.0,-155.775
69,13.0,2544.0,-158.4
70,14.0,2544.0,-158.4
71,14.0,2463.0,-148.275
72,14.0,2544.0,-158.4
73,14.0,2544.0,-158.4
74,14.0,2544.0,-158.4
75,15.0,2558.0,-160.15
76,15.0,2544.0,-158.4
77,15.0,2456.0,-147.4
78,15.0,2558.0,-160.15
79,15.0,2502.0,-153.15
80,16.0,2558.0,-160.15
81,16.0,2544.0,-158.4
82,16.0,2544.0,-158.4
83,16.0,2544.0,-158.4
84,16.0,2544.0,-158.4
85,17.0,2463.0,-148.275
86,17.0,2544.0,-158.4
87,17.0,2558.0,-160.15
88,17.0,2544.0,-158.4
89,17.0,2544.0,-158.4
90,18.0,2463.0,-148.275
91,18.0,2544.0,-158.4
92,18.0,2544.0,-158.4
93,18.0,2463.0,-148.275
94,18.0,2558.0,-160.15
95,19.0,2547.0,-158.775
96,19.0,2544.0,-158.4
97,19.0,2723.0,-180.77499999999998
98,19.0,2544.0,-158.4
99,19.0,2463.0,-148.275
100,20.0,2523.0,-155.775
101,20.0,2544.0,-158.4
102,20.0,2463.0,-148.275
103,20.0,2463.0,-148.275
104,20.0,2459.0,-147.775
105,21.0,2456.0,-147.4
106,21.0,2544.0,-158.4
107,21.0,2489.0,-151.525
108,21.0,2544.0,-158.4
109,21.0,2480.0,-150.4
110,22.0,2544.0,-158.4
111,22.0,2544.0,-158.4
112,22.0,2463.0,-148.275
113,22.0,2463.0,-148.275
114,22.0,2544.0,-158.4
115,23.0,2544.0,-158.4
116,23.0,2544.0,-158.4
117,23.0,2558.0,-160.15
118,23.0,2557.0,-160.025
119,23.0,2463.0,-148.275
120,24.0,2544.0,-158.4
121,24.0,2544.0,-158.4
122,24.0,2544.0,-158.4
123,24.0,2559.0,-160.275
124,24.0,2463.0,-148.275
125,25.0,2523.0,-155.775
126,25.0,2504.0,-153.4
127,25.0,2456.0,-147.4
128,25.0,2463.0,-148.275
129,25.0,2463.0,-148.275
130,26.0,2557.0,-160.02500000000003
131,26.0,2459.0,-147.775
132,26.0,2544.0,-158.4
133,26.0,2544.0,-158.4
134,26.0,2459.0,-147.775
135,27.0,2463.0,-148.275
136,27.0,2544.0,-158.4
137,27.0,2463.0,-148.275
138,27.0,2532.0,-156.9
139,27.0,2505.0,-153.525
140,28.0,2463.0,-148.275
141,28.0,2463.0,-148.275
142,28.0,2636.0,-169.9
143,28.0,2463.0,-148.275
144,28.0,2636.0,-169.9
145,29.0,2463.0,-148.275
146,29.0,2463.0,-148.275
147,29.0,2505.0,-153.525
148,29.0,2502.0,-153.15
149,29.0,2636.0,-169.9
150,30.0,2558.0,-160.15
151,30.0,2505.0,-153.525
152,30.0,2636.0,-169.9
153,30.0,2558.0,-160.15
154,30.0,2544.0,-158.4
155,31.0,2463.0,-148.275
156,31.0,2558.0,-160.15
157,31.0,2544.0,-158.4
158,31.0,2456.0,-147.4
159,31.0,2459.0,-147.775
160,32.0,2558.0,-160.15
161,32.0,2463.0,-148.275
162,32.0,2636.0,-169.9
163,32.0,2558.0,-160.15
164,32.0,2558.0,-160.15
165,33.0,2544.0,-158.4
166,33.0,2463.0,-148.275
167,33.0,2458.0,-147.65
168,33.0,2636.0,-169.9
169,33.0,2456.0,-147.4
170,34.0,2456.0,-147.4
171,34.0,2544.0,-158.4
172,34.0,2452.0,-146.9
173,34.0,2544.0,-158.4
174,34.0,2636.0,-169.9
175,35.0,2463.0,-148.275
176,35.0,2572.0,-161.9
177,35.0,2505.0,-153.525
178,35.0,2544.0,-158.4
179,35.0,2636.0,-169.9
180,36.0,2558.0,-160.15
181,36.0,2544.0,-158.4
182,36.0,2544.0,-158.4
183,36.0,2544.0,-158.4
184,36.0,2558.0,-160.15
185,37.0,2544.0,-158.4
186,37.0,2456.0,-147.4
187,37.0,2558.0,-160.15
188,37.0,2456.0,-147.4
189,37.0,2544.0,-158.4
190,38.0,2550.0,-159.15
191,38.0,2544.0,-158.4
192,38.0,2558.0,-160.15
193,38.0,2558.0,-160.15
194,38.0,2544.0,-158.4
195,39.0,2544.0,-158.4
196,39.0,2558.0,-160.15
197,39.0,2459.0,-147.775
198,39.0,2558.0,-160.15
199,39.0,2458.0,-147.65
200,40.0,2456.0,-147.4
201,40.0,2544.0,-158.4
202,40.0,2456.0,-147.4
203,40.0,2544.0,-158.4
204,40.0,2544.0,-158.4
205,41.0,2544.0,-158.4
206,41.0,2458.0,-147.65
207,41.0,2544.0,-158.4
208,41.0,2463.0,-148.275
209,41.0,2458.0,-147.65
210,42.0,2544.0,-158.4
211,42.0,2544.0,-158.4
212,42.0,2558.0,-160.15
213,42.0,2636.0,-169.9
214,42.0,2523.0,-155.775
215,43.0,2544.0,-158.4
216,43.0,2456.0,-147.4
