,episode,make_span,reward
0,0.0,58.0,-1.2000000000000004
1,0.0,58.0,-1.2000000000000006
2,0.0,58.0,-1.2000000000000006
3,0.0,58.0,-1.2000000000000004
4,0.0,58.0,-1.2000000000000006
5,1.0,58.0,-1.2000000000000002
6,1.0,58.0,-1.2000000000000006
7,1.0,58.0,-1.2000000000000006
8,1.0,58.0,-1.2000000000000006
9,1.0,58.0,-1.2000000000000004
10,2.0,58.0,-1.2000000000000002
11,2.0,58.0,-1.2000000000000013
12,2.0,58.0,-1.2000000000000002
13,2.0,58.0,-1.2000000000000006
14,2.0,57.0,-0.5000000000000007
15,3.0,58.0,-1.2000000000000006
16,3.0,57.0,-0.5000000000000011
17,3.0,58.0,-1.2000000000000006
18,3.0,58.0,-1.2000000000000002
19,3.0,57.0,-0.5000000000000007
20,4.0,58.0,-1.2000000000000004
21,4.0,58.0,-1.200000000000001
22,4.0,57.0,-0.5000000000000011
23,4.0,58.0,-1.2000000000000006
24,4.0,57.0,-0.5000000000000013
25,5.0,57.0,-0.5000000000000002
26,5.0,57.0,-0.5000000000000011
27,5.0,57.0,-0.5000000000000011
28,5.0,57.0,-0.5000000000000002
29,5.0,57.0,-0.5000000000000007
30,6.0,57.0,-0.5000000000000011
31,6.0,57.0,-0.5000000000000004
32,6.0,58.0,-1.2000000000000006
33,6.0,58.0,-1.2000000000000006
34,6.0,57.0,-0.5000000000000011
35,7.0,58.0,-1.2000000000000002
36,7.0,57.0,-0.5000000000000011
37,7.0,58.0,-1.2000000000000006
38,7.0,57.0,-0.5000000000000011
39,7.0,57.0,-0.5000000000000004
40,8.0,57.0,-0.5000000000000011
41,8.0,57.0,-0.5000000000000004
42,8.0,58.0,-1.2000000000000006
43,8.0,57.0,-0.5000000000000011
44,8.0,57.0,-0.5000000000000004
45,9.0,58.0,-1.2000000000000013
46,9.0,57.0,-0.5000000000000011
47,9.0,58.0,-1.2000000000000013
48,9.0,57.0,-0.5000000000000004
49,9.0,66.0,-6.800000000000001
50,10.0,57.0,-0.5000000000000009
51,10.0,58.0,-1.2000000000000013
52,10.0,58.0,-1.2000000000000006
53,10.0,58.0,-1.2000000000000004
54,10.0,57.0,-0.5000000000000009
55,11.0,58.0,-1.2000000000000004
56,11.0,57.0,-0.5000000000000002
57,11.0,57.0,-0.5000000000000004
58,11.0,58.0,-1.200000000000001
59,11.0,57.0,-0.5
60,12.0,57.0,-0.5000000000000009
61,12.0,57.0,-0.5000000000000004
62,12.0,66.0,-6.800000000000001
63,12.0,57.0,-0.5000000000000004
64,12.0,57.0,-0.5000000000000007
65,13.0,57.0,-0.5000000000000004
66,13.0,57.0,-0.5000000000000004
67,13.0,57.0,-0.5000000000000004
68,13.0,69.0,-8.9
69,13.0,57.0,-0.5
70,14.0,57.0,-0.5000000000000013
71,14.0,57.0,-0.5000000000000013
72,14.0,57.0,-0.5000000000000011
73,14.0,57.0,-0.5000000000000009
74,14.0,59.0,-1.8999999999999997
75,15.0,57.0,-0.5000000000000004
76,15.0,62.0,-4.0
77,15.0,57.0,-0.5000000000000004
78,15.0,58.0,-1.2000000000000002
79,15.0,58.0,-1.2000000000000013
80,16.0,57.0,-0.5000000000000004
81,16.0,57.0,-0.5000000000000007
82,16.0,57.0,-0.5000000000000004
83,16.0,57.0,-0.5
84,16.0,57.0,-0.5000000000000004
85,17.0,57.0,-0.5000000000000009
86,17.0,58.0,-1.2000000000000013
87,17.0,57.0,-0.5
88,17.0,57.0,-0.5000000000000004
89,17.0,58.0,-1.2000000000000002
90,18.0,57.0,-0.5000000000000009
91,18.0,57.0,-0.5000000000000004
92,18.0,57.0,-0.5000000000000004
93,18.0,57.0,-0.5000000000000007
94,18.0,57.0,-0.5000000000000004
95,19.0,57.0,-0.5000000000000009
96,19.0,57.0,-0.5000000000000004
97,19.0,57.0,-0.5
98,19.0,59.0,-1.9
99,19.0,57.0,-0.5000000000000011
100,20.0,57.0,-0.5000000000000011
101,20.0,66.0,-6.8
102,20.0,57.0,-0.5
103,20.0,57.0,-0.5000000000000009
104,20.0,58.0,-1.2000000000000006
105,21.0,57.0,-0.5000000000000009
106,21.0,59.0,-1.9000000000000004
107,21.0,57.0,-0.5000000000000007
108,21.0,57.0,-0.5000000000000007
109,21.0,57.0,-0.5000000000000009
110,22.0,57.0,-0.5000000000000013
111,22.0,57.0,-0.5000000000000004
112,22.0,57.0,-0.5000000000000009
113,22.0,58.0,-1.2000000000000013
114,22.0,57.0,-0.5000000000000004
115,23.0,57.0,-0.5000000000000009
116,23.0,57.0,-0.5000000000000007
117,23.0,57.0,-0.5
118,23.0,57.0,-0.5000000000000004
119,23.0,57.0,-0.5000000000000002
120,24.0,58.0,-1.2000000000000006
121,24.0,57.0,-0.5
122,24.0,57.0,-0.5000000000000009
123,24.0,57.0,-0.5000000000000011
124,24.0,57.0,-0.5000000000000009
125,25.0,57.0,-0.5000000000000009
126,25.0,57.0,-0.5
127,25.0,57.0,-0.5000000000000009
128,25.0,57.0,-0.5000000000000004
129,25.0,57.0,-0.49999999999999956
130,26.0,57.0,-0.5000000000000004
131,26.0,57.0,-0.5000000000000004
132,26.0,57.0,-0.5000000000000004
133,26.0,57.0,-0.5000000000000004
134,26.0,57.0,-0.5
135,27.0,57.0,-0.5000000000000009
136,27.0,57.0,-0.5000000000000004
137,27.0,57.0,-0.5
138,27.0,57.0,-0.5000000000000004
139,27.0,57.0,-0.5000000000000004
140,28.0,57.0,-0.5
141,28.0,57.0,-0.5000000000000009
142,28.0,57.0,-0.5000000000000009
143,28.0,57.0,-0.5000000000000004
144,28.0,57.0,-0.5000000000000007
145,29.0,57.0,-0.5000000000000004
146,29.0,57.0,-0.5000000000000004
147,29.0,57.0,-0.5
148,29.0,57.0,-0.5000000000000013
149,29.0,57.0,-0.5000000000000004
150,30.0,57.0,-0.5000000000000007
151,30.0,57.0,-0.5000000000000007
152,30.0,57.0,-0.5000000000000009
153,30.0,57.0,-0.5000000000000004
154,30.0,57.0,-0.5000000000000009
