,episode,make_span,reward
0,0.0,660.0,-23.1340206185567
1,0.0,704.0,-29.48453608247423
2,0.0,879.0,-54.74226804123711
3,0.0,698.0,-28.618556701030926
4,0.0,678.0,-25.7319587628866
5,1.0,795.0,-42.618556701030926
6,1.0,736.0,-34.10309278350516
7,1.0,656.0,-22.55670103092784
8,1.0,665.0,-23.855670103092788
9,1.0,682.0,-26.30927835051546
10,2.0,725.0,-32.51546391752578
11,2.0,652.0,-21.97938144329897
12,2.0,705.0,-29.628865979381448
13,2.0,714.0,-30.927835051546396
14,2.0,802.0,-43.62886597938144
15,3.0,609.0,-15.773195876288657
16,3.0,812.0,-45.072164948453604
17,3.0,714.0,-30.92783505154639
18,3.0,665.0,-23.85567010309279
19,3.0,682.0,-26.309278350515466
20,4.0,725.0,-32.51546391752578
21,4.0,713.0,-30.783505154639176
22,4.0,713.0,-30.78350515463918
23,4.0,700.0,-28.907216494845365
24,4.0,749.0,-35.979381443298976
25,5.0,722.0,-32.08247422680413
26,5.0,678.0,-25.731958762886606
27,5.0,736.0,-34.103092783505154
28,5.0,713.0,-30.783505154639183
29,5.0,678.0,-25.7319587628866
30,6.0,684.0,-26.597938144329902
31,6.0,682.0,-26.30927835051547
32,6.0,725.0,-32.51546391752578
33,6.0,725.0,-32.51546391752578
34,6.0,678.0,-25.7319587628866
35,7.0,725.0,-32.51546391752578
36,7.0,642.0,-20.536082474226802
37,7.0,700.0,-28.90721649484537
38,7.0,659.0,-22.989690721649488
39,7.0,639.0,-20.103092783505154
40,8.0,684.0,-26.597938144329895
41,8.0,679.0,-25.876288659793815
42,8.0,725.0,-32.51546391752578
43,8.0,637.0,-19.81443298969073
44,8.0,705.0,-29.628865979381438
45,9.0,725.0,-32.51546391752578
46,9.0,740.0,-34.68041237113402
47,9.0,684.0,-26.597938144329902
48,9.0,897.0,-57.34020618556701
49,9.0,833.0,-48.10309278350516
50,10.0,652.0,-21.97938144329897
51,10.0,661.0,-23.278350515463917
52,10.0,693.0,-27.896907216494853
53,10.0,714.0,-30.927835051546396
54,10.0,700.0,-28.90721649484536
55,11.0,725.0,-32.51546391752578
56,11.0,617.0,-16.927835051546392
57,11.0,684.0,-26.597938144329902
58,11.0,656.0,-22.55670103092784
59,11.0,865.0,-52.72164948453609
