,episode,make_span,reward
0,0.0,1213.0,-62.47422680412371
1,0.0,1190.0,-58.68041237113401
2,0.0,1125.0,-47.95876288659795
3,0.0,1118.0,-46.8041237113402
4,0.0,1147.0,-51.58762886597938
5,1.0,1185.0,-57.855670103092784
6,1.0,1117.0,-46.63917525773196
7,1.0,1155.0,-52.907216494845365
8,1.0,1179.0,-56.865979381443296
9,1.0,1206.0,-61.319587628865975
10,2.0,1231.0,-65.44329896907216
11,2.0,1047.0,-35.092783505154635
12,2.0,1146.0,-51.42268041237114
13,2.0,1143.0,-50.92783505154639
14,2.0,1207.0,-61.48453608247422
15,3.0,1186.0,-58.02061855670104
16,3.0,1138.0,-50.10309278350516
17,3.0,1180.0,-57.03092783505154
18,3.0,1190.0,-58.68041237113402
19,3.0,1099.0,-43.670103092783506
20,4.0,1237.0,-66.43298969072166
21,4.0,1169.0,-55.21649484536083
22,4.0,1112.0,-45.81443298969072
23,4.0,1162.0,-54.06185567010309
24,4.0,1220.0,-63.62886597938146
25,5.0,1205.0,-61.154639175257735
26,5.0,1331.0,-81.93814432989691
27,5.0,1229.0,-65.11340206185568
28,5.0,1216.0,-62.96907216494844
29,5.0,1252.0,-68.90721649484537
30,6.0,1201.0,-60.49484536082474
31,6.0,1099.0,-43.670103092783506
32,6.0,1085.0,-41.36082474226804
33,6.0,1152.0,-52.41237113402062
34,6.0,1049.0,-35.422680412371136
35,7.0,1249.0,-68.41237113402063
36,7.0,1182.0,-57.360824742268036
37,7.0,1116.0,-46.47422680412371
38,7.0,1265.0,-71.05154639175258
39,7.0,1196.0,-59.670103092783506
40,8.0,1191.0,-58.84536082474227
41,8.0,1112.0,-45.814432989690715
42,8.0,1249.0,-68.41237113402062
43,8.0,1170.0,-55.38144329896907
44,8.0,1188.0,-58.350515463917525
45,9.0,1233.0,-65.77319587628865
46,9.0,1219.0,-63.4639175257732
47,9.0,1130.0,-48.78350515463917
48,9.0,1150.0,-52.082474226804116
49,9.0,1128.0,-48.45360824742268
50,10.0,1122.0,-47.4639175257732
51,10.0,1232.0,-65.6082474226804
52,10.0,1216.0,-62.96907216494846
53,10.0,1153.0,-52.57731958762886
54,10.0,1159.0,-53.56701030927836
55,11.0,1134.0,-49.44329896907217
56,11.0,1113.0,-45.97938144329897
57,11.0,1193.0,-59.175257731958766
58,11.0,1241.0,-67.09278350515464
59,11.0,1073.0,-39.381443298969074
60,12.0,1113.0,-45.979381443298976
61,12.0,1118.0,-46.80412371134021
62,12.0,1229.0,-65.11340206185568
63,12.0,1224.0,-64.28865979381445
64,12.0,1109.0,-45.319587628865975
65,13.0,1208.0,-61.64948453608248
66,13.0,1125.0,-47.95876288659794
67,13.0,1163.0,-54.22680412371134
68,13.0,1295.0,-76.00000000000001
69,13.0,1208.0,-61.649484536082475
70,14.0,1236.0,-66.2680412371134
71,14.0,1125.0,-47.95876288659794
72,14.0,1167.0,-54.88659793814432
73,14.0,1208.0,-61.649484536082475
74,14.0,1069.0,-38.72164948453608
75,15.0,1198.0,-60.0
76,15.0,1150.0,-52.08247422680412
77,15.0,1250.0,-68.57731958762888
78,15.0,1175.0,-56.20618556701031
79,15.0,1045.0,-34.76288659793814
80,16.0,1140.0,-50.43298969072164
81,16.0,1174.0,-56.04123711340206
82,16.0,1092.0,-42.51546391752578
83,16.0,1170.0,-55.381443298969074
84,16.0,1134.0,-49.443298969072174
85,17.0,1177.0,-56.53608247422681
86,17.0,1155.0,-52.90721649484536
87,17.0,1111.0,-45.64948453608247
88,17.0,1134.0,-49.44329896907217
89,17.0,1097.0,-43.34020618556701
90,18.0,1139.0,-50.268041237113394
91,18.0,1184.0,-57.69072164948454
92,18.0,1141.0,-50.59793814432989
93,18.0,1169.0,-55.21649484536083
94,18.0,1110.0,-45.48453608247423
95,19.0,1185.0,-57.855670103092784
96,19.0,1201.0,-60.49484536082474
97,19.0,1103.0,-44.329896907216494
98,19.0,1100.0,-43.83505154639175
99,19.0,1149.0,-51.91752577319588
100,20.0,1092.0,-42.51546391752577
101,20.0,996.0,-26.680412371134018
102,20.0,1212.0,-62.309278350515456
103,20.0,1050.0,-35.58762886597938
104,20.0,1257.0,-69.73195876288659
105,21.0,1194.0,-59.34020618556701
106,21.0,1115.0,-46.309278350515456
107,21.0,1248.0,-68.24742268041238
108,21.0,1240.0,-66.92783505154638
109,21.0,1092.0,-42.51546391752577
110,22.0,1190.0,-58.680412371134025
111,22.0,1063.0,-37.7319587628866
112,22.0,1110.0,-45.48453608247422
113,22.0,1149.0,-51.917525773195884
114,22.0,1187.0,-58.18556701030928
115,23.0,1113.0,-45.979381443298976
116,23.0,1189.0,-58.51546391752577
117,23.0,1189.0,-58.51546391752578
118,23.0,1110.0,-45.48453608247423
119,23.0,1094.0,-42.845360824742265
120,24.0,1153.0,-52.577319587628864
121,24.0,1066.0,-38.22680412371133
122,24.0,1137.0,-49.9381443298969
123,24.0,1049.0,-35.422680412371136
124,24.0,1146.0,-51.42268041237113
125,25.0,1146.0,-51.422680412371136
126,25.0,1087.0,-41.69072164948453
127,25.0,1123.0,-47.628865979381445
128,25.0,1090.0,-42.18556701030928
129,25.0,1087.0,-41.69072164948454
130,26.0,1127.0,-48.288659793814425
131,26.0,1101.0,-44.0
132,26.0,1069.0,-38.72164948453608
133,26.0,984.0,-24.70103092783505
134,26.0,1126.0,-48.123711340206185
135,27.0,1101.0,-44.00000000000001
136,27.0,1108.0,-45.15463917525773
137,27.0,1197.0,-59.83505154639175
138,27.0,1062.0,-37.56701030927835
139,27.0,1100.0,-43.835051546391746
140,28.0,1169.0,-55.21649484536083
141,28.0,1103.0,-44.329896907216494
142,28.0,1116.0,-46.47422680412372
143,28.0,1174.0,-56.04123711340206
144,28.0,1248.0,-68.24742268041237
145,29.0,1091.0,-42.350515463917525
146,29.0,1117.0,-46.63917525773196
147,29.0,1066.0,-38.22680412371135
148,29.0,1103.0,-44.329896907216494
149,29.0,1179.0,-56.865979381443296
150,30.0,1119.0,-46.96907216494846
151,30.0,1091.0,-42.350515463917525
152,30.0,1121.0,-47.29896907216495
153,30.0,973.0,-22.886597938144327
154,30.0,1105.0,-44.659793814432994
155,31.0,1180.0,-57.03092783505154
156,31.0,1159.0,-53.56701030927836
157,31.0,1131.0,-48.948453608247426
158,31.0,1094.0,-42.84536082474227
159,31.0,1160.0,-53.73195876288659
160,32.0,1111.0,-45.64948453608247
161,32.0,1079.0,-40.371134020618555
162,32.0,1103.0,-44.329896907216494
163,32.0,1159.0,-53.56701030927836
164,32.0,1106.0,-44.82474226804124
165,33.0,1200.0,-60.329896907216494
166,33.0,1154.0,-52.74226804123712
167,33.0,1066.0,-38.22680412371134
168,33.0,1145.0,-51.25773195876288
169,33.0,1203.0,-60.824742268041234
170,34.0,1060.0,-37.23711340206186
171,34.0,1185.0,-57.85567010309278
172,34.0,977.0,-23.546391752577318
173,34.0,1108.0,-45.154639175257735
174,34.0,1107.0,-44.98969072164948
175,35.0,1171.0,-55.54639175257731
176,35.0,1194.0,-59.34020618556702
177,35.0,1091.0,-42.35051546391753
178,35.0,1139.0,-50.2680412371134
179,35.0,1121.0,-47.29896907216495
180,36.0,1135.0,-49.608247422680414
181,36.0,1144.0,-51.092783505154635
182,36.0,1129.0,-48.618556701030926
183,36.0,1096.0,-43.175257731958766
184,36.0,1132.0,-49.113402061855666
185,37.0,1103.0,-44.329896907216494
186,37.0,1103.0,-44.329896907216494
187,37.0,1084.0,-41.19587628865979
188,37.0,1041.0,-34.103092783505154
189,37.0,1132.0,-49.113402061855666
190,38.0,1109.0,-45.319587628865975
191,38.0,1276.0,-72.8659793814433
192,38.0,1133.0,-49.27835051546391
193,38.0,1082.0,-40.865979381443296
194,38.0,950.0,-19.09278350515464
195,39.0,1138.0,-50.103092783505154
196,39.0,1091.0,-42.350515463917525
197,39.0,1165.0,-54.556701030927826
198,39.0,977.0,-23.546391752577318
199,39.0,1074.0,-39.546391752577314
200,40.0,1111.0,-45.649484536082475
201,40.0,1069.0,-38.72164948453608
202,40.0,1142.0,-50.76288659793815
203,40.0,1103.0,-44.329896907216494
204,40.0,1108.0,-45.15463917525773
205,41.0,1163.0,-54.22680412371134
206,41.0,1172.0,-55.711340206185575
207,41.0,1217.0,-63.134020618556704
208,41.0,1113.0,-45.97938144329896
209,41.0,1158.0,-53.4020618556701
210,42.0,1170.0,-55.381443298969074
211,42.0,1161.0,-53.89690721649485
212,42.0,1171.0,-55.54639175257732
213,42.0,1074.0,-39.54639175257732
214,42.0,1103.0,-44.329896907216494
215,43.0,1115.0,-46.30927835051547
216,43.0,1067.0,-38.39175257731959
217,43.0,1044.0,-34.597938144329895
218,43.0,1117.0,-46.639175257731964
219,43.0,1159.0,-53.56701030927836
220,44.0,1066.0,-38.22680412371134
221,44.0,1091.0,-42.350515463917525
222,44.0,1071.0,-39.05154639175258
223,44.0,1146.0,-51.422680412371136
224,44.0,1139.0,-50.26804123711341
225,45.0,1149.0,-51.91752577319588
226,45.0,1078.0,-40.20618556701031
227,45.0,1132.0,-49.113402061855666
228,45.0,1054.0,-36.24742268041237
229,45.0,1087.0,-41.69072164948453
230,46.0,1070.0,-38.88659793814433
231,46.0,1052.0,-35.91752577319588
232,46.0,1055.0,-36.41237113402062
233,46.0,1054.0,-36.24742268041237
234,46.0,1074.0,-39.54639175257732
235,47.0,1146.0,-51.422680412371136
236,47.0,1063.0,-37.7319587628866
237,47.0,1082.0,-40.865979381443296
238,47.0,1066.0,-38.22680412371134
239,47.0,1109.0,-45.319587628865975
240,48.0,1117.0,-46.63917525773196
241,48.0,1153.0,-52.577319587628864
242,48.0,1005.0,-28.164948453608243
243,48.0,1127.0,-48.28865979381443
244,48.0,1063.0,-37.73195876288659
245,49.0,1082.0,-40.865979381443296
246,49.0,1082.0,-40.865979381443296
247,49.0,1032.0,-32.618556701030926
248,49.0,1199.0,-60.16494845360825
249,49.0,1057.0,-36.74226804123711
250,50.0,1083.0,-41.03092783505154
251,50.0,1109.0,-45.319587628865975
252,50.0,1042.0,-34.2680412371134
253,50.0,1199.0,-60.164948453608254
254,50.0,1047.0,-35.09278350515464
255,51.0,1083.0,-41.03092783505154
256,51.0,1110.0,-45.48453608247422
257,51.0,1088.0,-41.855670103092784
258,51.0,1089.0,-42.02061855670103
259,51.0,1019.0,-30.47422680412371
260,52.0,1005.0,-28.164948453608247
261,52.0,1071.0,-39.051546391752574
262,52.0,1170.0,-55.381443298969074
263,52.0,1151.0,-52.24742268041236
