,episode,make_span,reward
0,0.0,928.0,-4.040404040404036
1,0.0,991.0,-10.404040404040398
2,0.0,892.0,-0.40404040404039954
3,0.0,892.0,-0.40404040404040753
4,0.0,964.0,-7.676767676767674
5,1.0,964.0,-7.676767676767674
6,1.0,928.0,-4.040404040404033
7,1.0,892.0,-0.40404040404039865
8,1.0,928.0,-4.04040404040404
9,1.0,964.0,-7.676767676767664
10,2.0,928.0,-4.040404040404036
11,2.0,928.0,-4.040404040404045
12,2.0,928.0,-4.040404040404039
13,2.0,928.0,-4.040404040404034
14,2.0,928.0,-4.0404040404040344
15,3.0,928.0,-4.040404040404039
16,3.0,928.0,-4.040404040404033
17,3.0,963.0,-7.575757575757575
18,3.0,892.0,-0.4040404040404013
19,3.0,928.0,-4.040404040404042
20,4.0,964.0,-7.676767676767674
21,4.0,928.0,-4.040404040404038
22,4.0,975.0,-8.787878787878782
23,4.0,960.0,-7.2727272727272725
24,4.0,964.0,-7.676767676767668
25,5.0,948.0,-6.060606060606061
26,5.0,892.0,-0.404040404040404
27,5.0,928.0,-4.040404040404045
28,5.0,887.0,0.10101010101010122
29,5.0,963.0,-7.575757575757576
30,6.0,928.0,-4.040404040404037
31,6.0,928.0,-4.040404040404033
32,6.0,928.0,-4.040404040404031
33,6.0,928.0,-4.040404040404037
34,6.0,928.0,-4.040404040404031
35,7.0,928.0,-4.04040404040403
36,7.0,928.0,-4.040404040404036
37,7.0,928.0,-4.040404040404046
38,7.0,928.0,-4.040404040404038
39,7.0,928.0,-4.040404040404038
40,8.0,928.0,-4.040404040404036
41,8.0,928.0,-4.0404040404040344
42,8.0,948.0,-6.060606060606061
43,8.0,887.0,0.10101010101010122
44,8.0,928.0,-4.040404040404039
45,9.0,928.0,-4.040404040404033
46,9.0,928.0,-4.040404040404036
47,9.0,928.0,-4.040404040404039
48,9.0,928.0,-4.0404040404040416
49,9.0,928.0,-4.040404040404039
50,10.0,928.0,-4.040404040404032
51,10.0,928.0,-4.040404040404044
52,10.0,946.0,-5.858585858585857
53,10.0,975.0,-8.787878787878785
54,10.0,928.0,-4.040404040404039
55,11.0,928.0,-4.040404040404039
56,11.0,928.0,-4.0404040404040344
57,11.0,934.0,-4.646464646464645
58,11.0,928.0,-4.0404040404040344
59,11.0,928.0,-4.04040404040404
60,12.0,928.0,-4.040404040404035
61,12.0,928.0,-4.040404040404037
62,12.0,928.0,-4.040404040404031
63,12.0,928.0,-4.040404040404042
64,12.0,928.0,-4.040404040404036
65,13.0,928.0,-4.040404040404039
66,13.0,928.0,-4.040404040404033
67,13.0,928.0,-4.04040404040404
68,13.0,928.0,-4.040404040404031
69,13.0,928.0,-4.040404040404031
70,14.0,928.0,-4.040404040404042
71,14.0,928.0,-4.0404040404040344
72,14.0,928.0,-4.040404040404039
73,14.0,887.0,0.10101010101010122
74,14.0,928.0,-4.040404040404037
75,15.0,928.0,-4.040404040404042
76,15.0,928.0,-4.040404040404039
77,15.0,928.0,-4.04040404040403
78,15.0,928.0,-4.0404040404040344
79,15.0,928.0,-4.040404040404031
80,16.0,928.0,-4.04040404040404
81,16.0,928.0,-4.040404040404039
82,16.0,928.0,-4.040404040404036
83,16.0,928.0,-4.040404040404036
84,16.0,928.0,-4.040404040404033
85,17.0,928.0,-4.040404040404039
86,17.0,928.0,-4.040404040404033
87,17.0,928.0,-4.040404040404031
88,17.0,928.0,-4.040404040404033
89,17.0,928.0,-4.040404040404042
90,18.0,928.0,-4.040404040404031
91,18.0,928.0,-4.040404040404033
92,18.0,928.0,-4.040404040404032
93,18.0,928.0,-4.040404040404032
94,18.0,928.0,-4.0404040404040344
95,19.0,886.0,0.20202020202020687
96,19.0,928.0,-4.040404040404031
97,19.0,928.0,-4.040404040404035
98,19.0,941.0,-5.353535353535353
99,19.0,928.0,-4.040404040404035
100,20.0,928.0,-4.040404040404035
101,20.0,928.0,-4.040404040404036
102,20.0,928.0,-4.040404040404033
103,20.0,928.0,-4.040404040404029
104,20.0,928.0,-4.040404040404038
105,21.0,928.0,-4.040404040404034
106,21.0,928.0,-4.040404040404033
107,21.0,928.0,-4.040404040404028
108,21.0,887.0,0.10101010101010122
109,21.0,928.0,-4.040404040404031
110,22.0,928.0,-4.040404040404038
111,22.0,928.0,-4.040404040404031
112,22.0,928.0,-4.040404040404033
113,22.0,887.0,0.10101010101010122
114,22.0,928.0,-4.040404040404033
115,23.0,928.0,-4.040404040404028
116,23.0,934.0,-4.646464646464645
117,23.0,928.0,-4.040404040404039
118,23.0,928.0,-4.040404040404036
119,23.0,928.0,-4.04040404040403
120,24.0,928.0,-4.040404040404038
121,24.0,928.0,-4.040404040404043
122,24.0,928.0,-4.040404040404031
123,24.0,928.0,-4.040404040404039
124,24.0,928.0,-4.040404040404039
125,25.0,928.0,-4.0404040404040344
126,25.0,928.0,-4.040404040404039
127,25.0,949.0,-6.161616161616147
128,25.0,928.0,-4.040404040404031
129,25.0,928.0,-4.040404040404031
130,26.0,928.0,-4.040404040404026
131,26.0,928.0,-4.040404040404039
132,26.0,928.0,-4.040404040404039
133,26.0,928.0,-4.040404040404041
134,26.0,928.0,-4.040404040404031
135,27.0,928.0,-4.040404040404041
136,27.0,964.0,-7.676767676767666
137,27.0,953.0,-6.565656565656566
138,27.0,928.0,-4.040404040404037
139,27.0,928.0,-4.040404040404038
140,28.0,928.0,-4.040404040404039
141,28.0,928.0,-4.040404040404031
142,28.0,928.0,-4.040404040404033
143,28.0,928.0,-4.040404040404039
144,28.0,928.0,-4.040404040404038
145,29.0,953.0,-6.5656565656565595
146,29.0,928.0,-4.040404040404039
147,29.0,928.0,-4.040404040404039
148,29.0,928.0,-4.0404040404040344
149,29.0,928.0,-4.04040404040404
150,30.0,899.0,-1.1111111111111147
151,30.0,928.0,-4.040404040404039
152,30.0,928.0,-4.040404040404031
153,30.0,928.0,-4.04040404040404
154,30.0,1032.0,-14.545454545454547
155,31.0,928.0,-4.040404040404038
156,31.0,928.0,-4.040404040404039
157,31.0,928.0,-4.0404040404040265
158,31.0,953.0,-6.56565656565656
159,31.0,887.0,0.10101010101009944
160,32.0,928.0,-4.040404040404031
161,32.0,928.0,-4.040404040404039
162,32.0,910.0,-2.2222222222222188
163,32.0,928.0,-4.0404040404040344
164,32.0,928.0,-4.040404040404039
165,33.0,928.0,-4.040404040404031
166,33.0,928.0,-4.04040404040404
167,33.0,928.0,-4.040404040404036
168,33.0,928.0,-4.040404040404039
169,33.0,928.0,-4.040404040404042
170,34.0,975.0,-8.787878787878785
171,34.0,928.0,-4.040404040404042
172,34.0,928.0,-4.040404040404032
173,34.0,928.0,-4.04040404040403
174,34.0,928.0,-4.0404040404040416
175,35.0,928.0,-4.040404040404032
176,35.0,887.0,0.10101010101009944
177,35.0,928.0,-4.040404040404034
178,35.0,928.0,-4.040404040404039
179,35.0,928.0,-4.04040404040404
180,36.0,928.0,-4.040404040404031
181,36.0,964.0,-7.676767676767667
182,36.0,964.0,-7.6767676767676685
183,36.0,928.0,-4.040404040404039
184,36.0,910.0,-2.2222222222222188
185,37.0,887.0,0.10101010101010122
186,37.0,928.0,-4.040404040404031
187,37.0,999.0,-11.212121212121206
188,37.0,928.0,-4.040404040404037
189,37.0,928.0,-4.040404040404046
190,38.0,910.0,-2.222222222222217
191,38.0,887.0,0.10101010101010122
192,38.0,928.0,-4.0404040404040344
193,38.0,887.0,0.10101010101010122
194,38.0,892.0,-0.40404040404040753
195,39.0,928.0,-4.040404040404038
196,39.0,928.0,-4.040404040404034
197,39.0,928.0,-4.040404040404039
198,39.0,928.0,-4.040404040404038
199,39.0,928.0,-4.040404040404033
200,40.0,887.0,0.10101010101010122
201,40.0,928.0,-4.040404040404039
202,40.0,887.0,0.10101010101010122
203,40.0,928.0,-4.040404040404035
204,40.0,928.0,-4.040404040404031
205,41.0,964.0,-7.676767676767667
206,41.0,892.0,-0.404040404040404
207,41.0,887.0,0.10101010101010122
208,41.0,928.0,-4.040404040404038
209,41.0,928.0,-4.040404040404039
210,42.0,946.0,-5.858585858585857
211,42.0,963.0,-7.57575757575757
212,42.0,892.0,-0.40404040404040575
213,42.0,892.0,-0.40404040404040575
214,42.0,928.0,-4.040404040404041
215,43.0,892.0,-0.4040404040404031
216,43.0,892.0,-0.40404040404040753
217,43.0,892.0,-0.40404040404040753
218,43.0,892.0,-0.40404040404039687
219,43.0,903.0,-1.5151515151515147
220,44.0,928.0,-4.040404040404031
221,44.0,887.0,0.10101010101010122
222,44.0,928.0,-4.040404040404039
223,44.0,928.0,-4.040404040404039
224,44.0,928.0,-4.040404040404039
225,45.0,892.0,-0.4040404040404031
226,45.0,886.0,0.2020202020202051
227,45.0,928.0,-4.040404040404035
228,45.0,928.0,-4.040404040404031
229,45.0,928.0,-4.040404040404029
230,46.0,892.0,-0.4040404040404013
231,46.0,912.0,-2.4242424242424203
232,46.0,892.0,-0.40404040404040664
233,46.0,892.0,-0.40404040404040664
234,46.0,953.0,-6.565656565656564
235,47.0,892.0,-0.40404040404040664
236,47.0,960.0,-7.2727272727272725
237,47.0,912.0,-2.4242424242424168
238,47.0,892.0,-0.4040404040404031
239,47.0,928.0,-4.040404040404042
240,48.0,928.0,-4.040404040404035
241,48.0,928.0,-4.040404040404039
242,48.0,892.0,-0.4040404040404031
243,48.0,928.0,-4.040404040404039
244,48.0,887.0,0.10101010101010122
245,49.0,892.0,-0.4040404040404031
246,49.0,910.0,-2.2222222222222188
247,49.0,892.0,-0.40404040404040575
248,49.0,892.0,-0.40404040404039865
249,49.0,912.0,-2.4242424242424168
250,50.0,903.0,-1.5151515151515147
251,50.0,912.0,-2.4242424242424168
252,50.0,892.0,-0.4040404040404031
253,50.0,928.0,-4.040404040404031
254,50.0,892.0,-0.40404040404039954
255,51.0,903.0,-1.515151515151513
256,51.0,912.0,-2.424242424242416
257,51.0,910.0,-2.2222222222222188
258,51.0,886.0,0.2020202020202051
259,51.0,892.0,-0.40404040404040753
260,52.0,928.0,-4.040404040404038
261,52.0,892.0,-0.404040404040404
262,52.0,934.0,-4.646464646464645
263,52.0,912.0,-2.4242424242424203
264,52.0,886.0,0.2020202020202042
265,53.0,928.0,-4.040404040404032
266,53.0,887.0,0.10101010101010122
267,53.0,928.0,-4.040404040404039
268,53.0,928.0,-4.040404040404031
269,53.0,928.0,-4.040404040404037
270,54.0,912.0,-2.424242424242424
271,54.0,892.0,-0.40404040404040487
272,54.0,928.0,-4.040404040404037
273,54.0,886.0,0.20202020202020066
274,54.0,910.0,-2.2222222222222205
275,55.0,912.0,-2.4242424242424168
276,55.0,912.0,-2.424242424242414
277,55.0,928.0,-4.040404040404032
278,55.0,887.0,0.10101010101010122
279,55.0,967.0,-7.979797979797982
280,56.0,946.0,-5.858585858585857
281,56.0,892.0,-0.40404040404039954
282,56.0,892.0,-0.40404040404039865
283,56.0,892.0,-0.4040404040404031
284,56.0,886.0,0.2020202020202051
285,57.0,903.0,-1.5151515151515138
286,57.0,892.0,-0.404040404040404
287,57.0,892.0,-0.40404040404040753
288,57.0,910.0,-2.2222222222222188
289,57.0,886.0,0.2020202020202051
290,58.0,910.0,-2.2222222222222188
291,58.0,928.0,-4.040404040404033
292,58.0,892.0,-0.40404040404040664
293,58.0,886.0,0.2020202020202051
294,58.0,912.0,-2.4242424242424168
295,59.0,892.0,-0.40404040404039954
296,59.0,939.0,-5.151515151515154
297,59.0,892.0,-0.404040404040404
298,59.0,1121.0,-23.535353535353533
299,59.0,892.0,-0.40404040404040664
300,60.0,912.0,-2.4242424242424168
301,60.0,1198.0,-31.313131313131308
302,60.0,939.0,-5.151515151515154
303,60.0,989.0,-10.202020202020202
304,60.0,912.0,-2.424242424242416
305,61.0,892.0,-0.4040404040404031
306,61.0,928.0,-4.040404040404029
307,61.0,892.0,-0.40404040404039954
308,61.0,941.0,-5.353535353535355
309,61.0,939.0,-5.151515151515154
310,62.0,928.0,-4.040404040404031
311,62.0,892.0,-0.4040404040404022
312,62.0,1016.0,-12.929292929292936
313,62.0,887.0,0.10101010101010122
314,62.0,928.0,-4.040404040404032
315,63.0,892.0,-0.404040404040404
316,63.0,954.0,-6.6666666666666625
317,63.0,892.0,-0.4040404040404031
318,63.0,912.0,-2.4242424242424185
319,63.0,892.0,-0.4040404040404031
320,64.0,939.0,-5.151515151515156
321,64.0,981.0,-9.393939393939396
322,64.0,982.0,-9.494949494949493
323,64.0,928.0,-4.040404040404039
324,64.0,928.0,-4.040404040404031
325,65.0,886.0,0.202020202020198
326,65.0,982.0,-9.494949494949495
327,65.0,1016.0,-12.929292929292934
328,65.0,886.0,0.20202020202019977
329,65.0,964.0,-7.676767676767675
330,66.0,928.0,-4.040404040404031
331,66.0,928.0,-4.040404040404033
332,66.0,893.0,-0.5050505050505061
333,66.0,928.0,-4.040404040404027
334,66.0,894.0,-0.6060606060606037
335,67.0,886.0,0.20202020202019977
336,67.0,892.0,-0.40404040404040487
337,67.0,892.0,-0.404040404040404
338,67.0,892.0,-0.40404040404039687
339,67.0,892.0,-0.404040404040404
340,68.0,892.0,-0.40404040404040664
341,68.0,896.0,-0.8080808080808035
342,68.0,886.0,0.20202020202020154
343,68.0,964.0,-7.676767676767667
344,68.0,886.0,0.20202020202019977
345,69.0,928.0,-4.040404040404038
346,69.0,892.0,-0.40404040404040575
