,episode,make_span,reward
0,0.0,1514.0,-59.575757575757564
1,0.0,1469.0,-50.030303030303024
2,0.0,1543.0,-65.72727272727275
3,0.0,1538.0,-64.6666666666667
4,0.0,1585.0,-74.63636363636363
5,1.0,1552.0,-67.63636363636363
6,1.0,1536.0,-64.24242424242424
7,1.0,1723.0,-103.9090909090909
8,1.0,1617.0,-81.42424242424244
9,1.0,1502.0,-57.03030303030302
10,2.0,1700.0,-99.03030303030305
11,2.0,1782.0,-116.42424242424244
12,2.0,1606.0,-79.09090909090912
13,2.0,1615.0,-81.00000000000001
14,2.0,1690.0,-96.90909090909092
15,3.0,1685.0,-95.84848484848484
16,3.0,1651.0,-88.63636363636367
17,3.0,1515.0,-59.78787878787876
18,3.0,1463.0,-48.75757575757572
19,3.0,1681.0,-95.0
20,4.0,1446.0,-45.15151515151514
21,4.0,1535.0,-64.03030303030303
22,4.0,1678.0,-94.36363636363636
23,4.0,1667.0,-92.03030303030303
24,4.0,1680.0,-94.78787878787882
25,5.0,1864.0,-133.8181818181818
26,5.0,1583.0,-74.21212121212122
27,5.0,1513.0,-59.36363636363636
28,5.0,1552.0,-67.63636363636364
29,5.0,1520.0,-60.84848484848485
30,6.0,1469.0,-50.03030303030301
31,6.0,1873.0,-135.7272727272727
32,6.0,1654.0,-89.27272727272727
33,6.0,1578.0,-73.15151515151514
34,6.0,1756.0,-110.9090909090909
35,7.0,1575.0,-72.5151515151515
36,7.0,1491.0,-54.696969696969695
37,7.0,1464.0,-48.969696969696976
38,7.0,1787.0,-117.4848484848485
39,7.0,1669.0,-92.45454545454545
40,8.0,1921.0,-145.9090909090909
41,8.0,1555.0,-68.27272727272728
42,8.0,1558.0,-68.90909090909092
43,8.0,1453.0,-46.636363636363626
44,8.0,1758.0,-111.33333333333334
45,9.0,1775.0,-114.93939393939395
46,9.0,1492.0,-54.9090909090909
47,9.0,1854.0,-131.6969696969697
48,9.0,1545.0,-66.15151515151516
49,9.0,1618.0,-81.63636363636364
50,10.0,1744.0,-108.36363636363637
51,10.0,1658.0,-90.12121212121212
52,10.0,1554.0,-68.06060606060606
53,10.0,1520.0,-60.84848484848483
54,10.0,1530.0,-62.96969696969698
55,11.0,1910.0,-143.57575757575754
56,11.0,1501.0,-56.818181818181806
57,11.0,1480.0,-52.363636363636374
58,11.0,1729.0,-105.1818181818182
59,11.0,1553.0,-67.84848484848487
60,12.0,1755.0,-110.6969696969697
61,12.0,1830.0,-126.60606060606061
62,12.0,1653.0,-89.06060606060606
63,12.0,1560.0,-69.33333333333333
64,12.0,1450.0,-45.999999999999986
65,13.0,1741.0,-107.72727272727272
66,13.0,1567.0,-70.81818181818184
67,13.0,1642.0,-86.72727272727273
68,13.0,1522.0,-61.27272727272729
69,13.0,1731.0,-105.60606060606061
70,14.0,1573.0,-72.0909090909091
71,14.0,1828.0,-126.18181818181817
72,14.0,1463.0,-48.75757575757575
73,14.0,1634.0,-85.03030303030305
74,14.0,1639.0,-86.09090909090912
75,15.0,1541.0,-65.30303030303028
76,15.0,1770.0,-113.87878787878789
77,15.0,1465.0,-49.181818181818194
78,15.0,1609.0,-79.72727272727272
79,15.0,1609.0,-79.72727272727273
80,16.0,1646.0,-87.57575757575759
81,16.0,1507.0,-58.090909090909115
82,16.0,1524.0,-61.69696969696972
83,16.0,1568.0,-71.03030303030303
84,16.0,1826.0,-125.75757575757575
85,17.0,1626.0,-83.33333333333334
86,17.0,1741.0,-107.72727272727275
87,17.0,1432.0,-42.181818181818194
88,17.0,1715.0,-102.21212121212122
89,17.0,1521.0,-61.060606060606055
90,18.0,1644.0,-87.15151515151518
91,18.0,1590.0,-75.6969696969697
92,18.0,1599.0,-77.60606060606061
93,18.0,1860.0,-132.96969696969697
94,18.0,1428.0,-41.333333333333336
95,19.0,1616.0,-81.21212121212122
96,19.0,1830.0,-126.60606060606061
97,19.0,1522.0,-61.27272727272727
98,19.0,1661.0,-90.75757575757575
99,19.0,1680.0,-94.78787878787881
100,20.0,1667.0,-92.03030303030305
101,20.0,1817.0,-123.84848484848484
102,20.0,1700.0,-99.03030303030305
103,20.0,1790.0,-118.12121212121212
104,20.0,1459.0,-47.9090909090909
105,21.0,1533.0,-63.606060606060595
106,21.0,1619.0,-81.84848484848487
107,21.0,1767.0,-113.24242424242424
108,21.0,1695.0,-97.96969696969697
109,21.0,1508.0,-58.3030303030303
110,22.0,1629.0,-83.96969696969697
111,22.0,1526.0,-62.12121212121213
112,22.0,1490.0,-54.48484848484852
113,22.0,1765.0,-112.81818181818183
114,22.0,1395.0,-34.333333333333336
115,23.0,1693.0,-97.54545454545456
116,23.0,1431.0,-41.96969696969697
117,23.0,1751.0,-109.84848484848486
118,23.0,1609.0,-79.72727272727272
119,23.0,1641.0,-86.51515151515153
120,24.0,1616.0,-81.21212121212123
121,24.0,1698.0,-98.6060606060606
122,24.0,1542.0,-65.51515151515153
123,24.0,1382.0,-31.575757575757542
124,24.0,1602.0,-78.24242424242425
125,25.0,1477.0,-51.727272727272755
126,25.0,1485.0,-53.42424242424244
127,25.0,1570.0,-71.45454545454544
128,25.0,1679.0,-94.57575757575758
129,25.0,1511.0,-58.939393939393945
130,26.0,1653.0,-89.06060606060606
131,26.0,1557.0,-68.69696969696972
132,26.0,1486.0,-53.63636363636363
133,26.0,1859.0,-132.75757575757575
134,26.0,1635.0,-85.24242424242425
135,27.0,1597.0,-77.1818181818182
136,27.0,1326.0,-19.696969696969703
137,27.0,1628.0,-83.75757575757578
138,27.0,1545.0,-66.15151515151516
139,27.0,1646.0,-87.57575757575754
140,28.0,1747.0,-109.0
141,28.0,1654.0,-89.27272727272728
142,28.0,1535.0,-64.03030303030302
143,28.0,1624.0,-82.9090909090909
144,28.0,1756.0,-110.90909090909092
145,29.0,1602.0,-78.24242424242428
146,29.0,1508.0,-58.303030303030326
147,29.0,1616.0,-81.2121212121212
148,29.0,1745.0,-108.5757575757576
149,29.0,1757.0,-111.1212121212121
150,30.0,1656.0,-89.69696969696972
151,30.0,1730.0,-105.39393939393939
152,30.0,1622.0,-82.48484848484848
153,30.0,1480.0,-52.36363636363636
154,30.0,1481.0,-52.57575757575758
155,31.0,1814.0,-123.21212121212122
156,31.0,1676.0,-93.93939393939395
157,31.0,1552.0,-67.63636363636365
158,31.0,1700.0,-99.03030303030303
159,31.0,1761.0,-111.96969696969698
160,32.0,1746.0,-108.7878787878788
161,32.0,1508.0,-58.3030303030303
162,32.0,1583.0,-74.21212121212122
163,32.0,1771.0,-114.0909090909091
164,32.0,1468.0,-49.818181818181806
165,33.0,1454.0,-46.84848484848484
166,33.0,1523.0,-61.484848484848484
167,33.0,1577.0,-72.93939393939394
168,33.0,1552.0,-67.63636363636367
169,33.0,1776.0,-115.15151515151513
170,34.0,1562.0,-69.75757575757576
171,34.0,1623.0,-82.6969696969697
172,34.0,1782.0,-116.42424242424244
173,34.0,1644.0,-87.15151515151518
174,34.0,1626.0,-83.33333333333333
175,35.0,1477.0,-51.727272727272705
176,35.0,1564.0,-70.18181818181817
177,35.0,1578.0,-73.15151515151516
178,35.0,1846.0,-130.0
179,35.0,1752.0,-110.06060606060606
180,36.0,1664.0,-91.3939393939394
181,36.0,1605.0,-78.87878787878786
182,36.0,1551.0,-67.42424242424241
183,36.0,1417.0,-39.000000000000014
184,36.0,1643.0,-86.93939393939394
185,37.0,1742.0,-107.93939393939395
186,37.0,1573.0,-72.09090909090911
187,37.0,1821.0,-124.69696969696969
188,37.0,1523.0,-61.484848484848484
189,37.0,1503.0,-57.24242424242424
190,38.0,1708.0,-100.72727272727273
191,38.0,1477.0,-51.72727272727274
192,38.0,1486.0,-53.63636363636363
193,38.0,1564.0,-70.18181818181817
194,38.0,1569.0,-71.24242424242424
195,39.0,1773.0,-114.51515151515153
196,39.0,1438.0,-43.454545454545446
197,39.0,1420.0,-39.63636363636365
198,39.0,1598.0,-77.39393939393938
199,39.0,1501.0,-56.818181818181834
200,40.0,1627.0,-83.54545454545453
201,40.0,1368.0,-28.606060606060602
202,40.0,1508.0,-58.30303030303028
203,40.0,1383.0,-31.787878787878785
204,40.0,1747.0,-109.00000000000004
205,41.0,1463.0,-48.75757575757574
206,41.0,1642.0,-86.72727272727272
207,41.0,1577.0,-72.93939393939395
208,41.0,1555.0,-68.27272727272727
209,41.0,1472.0,-50.66666666666668
210,42.0,1692.0,-97.33333333333333
211,42.0,1518.0,-60.42424242424242
212,42.0,1461.0,-48.333333333333336
213,42.0,1619.0,-81.84848484848487
214,42.0,1464.0,-48.96969696969697
215,43.0,1458.0,-47.69696969696971
216,43.0,1506.0,-57.87878787878786
217,43.0,1468.0,-49.818181818181806
218,43.0,1328.0,-20.121212121212128
219,43.0,1529.0,-62.75757575757577
220,44.0,1558.0,-68.9090909090909
221,44.0,1585.0,-74.63636363636363
222,44.0,1475.0,-51.3030303030303
223,44.0,1617.0,-81.42424242424242
224,44.0,1397.0,-34.75757575757575
225,45.0,1596.0,-76.96969696969697
226,45.0,1700.0,-99.03030303030302
227,45.0,1608.0,-79.51515151515154
228,45.0,1687.0,-96.2727272727273
229,45.0,1504.0,-57.454545454545425
230,46.0,1545.0,-66.15151515151514
231,46.0,1513.0,-59.363636363636346
232,46.0,1469.0,-50.03030303030305
233,46.0,1720.0,-103.27272727272728
234,46.0,1733.0,-106.03030303030303
235,47.0,1723.0,-103.90909090909092
236,47.0,1613.0,-80.5757575757576
237,47.0,1505.0,-57.666666666666664
238,47.0,1476.0,-51.515151515151516
239,47.0,1598.0,-77.39393939393938
240,48.0,1532.0,-63.39393939393939
241,48.0,1503.0,-57.24242424242424
242,48.0,1717.0,-102.63636363636364
