,episode,make_span,reward
0,0.0,1018.0,-93.05050505050507
1,0.0,930.0,-75.27272727272728
2,0.0,930.0,-75.27272727272728
3,0.0,942.0,-77.6969696969697
4,0.0,930.0,-75.27272727272728
5,1.0,930.0,-75.27272727272728
6,1.0,930.0,-75.27272727272728
7,1.0,951.0,-79.51515151515152
8,1.0,1012.0,-91.83838383838385
9,1.0,935.0,-76.28282828282829
10,2.0,945.0,-78.3030303030303
11,2.0,1036.0,-96.68686868686869
12,2.0,1036.0,-96.68686868686869
13,2.0,948.0,-78.9090909090909
14,2.0,1030.0,-95.47474747474749
15,3.0,952.0,-79.71717171717172
16,3.0,952.0,-79.71717171717172
17,3.0,930.0,-75.27272727272728
18,3.0,930.0,-75.27272727272728
19,3.0,1012.0,-91.83838383838385
20,4.0,930.0,-75.27272727272728
21,4.0,963.0,-81.93939393939394
22,4.0,921.0,-73.45454545454547
23,4.0,1026.0,-94.66666666666667
24,4.0,1012.0,-91.83838383838385
25,5.0,923.0,-73.85858585858587
26,5.0,930.0,-75.27272727272728
27,5.0,1012.0,-91.83838383838385
28,5.0,986.0,-86.5858585858586
29,5.0,930.0,-75.27272727272728
30,6.0,931.0,-75.47474747474749
31,6.0,930.0,-75.27272727272728
32,6.0,948.0,-78.9090909090909
33,6.0,930.0,-75.27272727272728
34,6.0,1012.0,-91.83838383838385
35,7.0,941.0,-77.4949494949495
36,7.0,982.0,-85.77777777777779
37,7.0,921.0,-73.45454545454547
38,7.0,930.0,-75.27272727272728
39,7.0,948.0,-78.9090909090909
40,8.0,941.0,-77.49494949494951
41,8.0,952.0,-79.71717171717171
42,8.0,1012.0,-91.83838383838385
43,8.0,930.0,-75.27272727272728
44,8.0,930.0,-75.27272727272728
45,9.0,930.0,-75.27272727272728
46,9.0,928.0,-74.86868686868688
47,9.0,946.0,-78.5050505050505
48,9.0,921.0,-73.45454545454547
49,9.0,923.0,-73.85858585858587
50,10.0,935.0,-76.28282828282829
51,10.0,945.0,-78.3030303030303
52,10.0,921.0,-73.45454545454547
53,10.0,930.0,-75.27272727272728
54,10.0,1012.0,-91.83838383838385
55,11.0,1012.0,-91.83838383838385
56,11.0,948.0,-78.9090909090909
57,11.0,921.0,-73.45454545454547
58,11.0,945.0,-78.3030303030303
59,11.0,1028.0,-95.07070707070709
60,12.0,941.0,-77.4949494949495
61,12.0,930.0,-75.27272727272728
62,12.0,930.0,-75.27272727272728
63,12.0,922.0,-73.65656565656568
64,12.0,892.0,-67.5959595959596
65,13.0,941.0,-77.4949494949495
66,13.0,927.0,-74.66666666666669
67,13.0,941.0,-77.4949494949495
68,13.0,921.0,-73.45454545454547
69,13.0,930.0,-75.27272727272728
70,14.0,930.0,-75.27272727272728
71,14.0,952.0,-79.71717171717172
72,14.0,930.0,-75.27272727272728
73,14.0,921.0,-73.45454545454547
74,14.0,948.0,-78.9090909090909
75,15.0,948.0,-78.9090909090909
76,15.0,945.0,-78.3030303030303
77,15.0,945.0,-78.30303030303031
78,15.0,941.0,-77.49494949494951
79,15.0,945.0,-78.3030303030303
80,16.0,1012.0,-91.83838383838385
81,16.0,924.0,-74.06060606060606
82,16.0,948.0,-78.9090909090909
83,16.0,921.0,-73.45454545454547
84,16.0,1030.0,-95.47474747474749
85,17.0,1018.0,-93.05050505050507
86,17.0,1034.0,-96.28282828282829
87,17.0,948.0,-78.9090909090909
88,17.0,930.0,-75.27272727272728
89,17.0,941.0,-77.4949494949495
90,18.0,948.0,-78.9090909090909
91,18.0,930.0,-75.27272727272728
92,18.0,930.0,-75.27272727272728
93,18.0,930.0,-75.27272727272728
94,18.0,921.0,-73.45454545454547
95,19.0,921.0,-73.45454545454547
96,19.0,930.0,-75.27272727272728
97,19.0,941.0,-77.4949494949495
98,19.0,930.0,-75.27272727272728
99,19.0,930.0,-75.27272727272728
100,20.0,930.0,-75.27272727272728
101,20.0,930.0,-75.27272727272728
102,20.0,930.0,-75.27272727272728
103,20.0,921.0,-73.45454545454547
104,20.0,930.0,-75.27272727272728
105,21.0,930.0,-75.27272727272728
106,21.0,952.0,-79.71717171717172
107,21.0,921.0,-73.45454545454547
108,21.0,930.0,-75.27272727272728
109,21.0,1014.0,-92.24242424242425
110,22.0,930.0,-75.27272727272728
111,22.0,941.0,-77.49494949494951
112,22.0,930.0,-75.27272727272728
113,22.0,930.0,-75.27272727272728
114,22.0,930.0,-75.27272727272728
115,23.0,903.0,-69.81818181818181
116,23.0,930.0,-75.27272727272728
117,23.0,930.0,-75.27272727272728
118,23.0,931.0,-75.47474747474749
119,23.0,930.0,-75.27272727272728
120,24.0,1012.0,-91.83838383838385
121,24.0,930.0,-75.27272727272728
122,24.0,931.0,-75.47474747474749
123,24.0,930.0,-75.27272727272728
124,24.0,930.0,-75.27272727272728
125,25.0,930.0,-75.27272727272728
126,25.0,952.0,-79.71717171717172
127,25.0,930.0,-75.27272727272728
128,25.0,1034.0,-96.28282828282829
129,25.0,964.0,-82.14141414141415
130,26.0,987.0,-86.7878787878788
131,26.0,930.0,-75.27272727272728
132,26.0,1076.0,-104.76767676767678
133,26.0,930.0,-75.27272727272728
134,26.0,930.0,-75.27272727272728
135,27.0,930.0,-75.27272727272728
136,27.0,930.0,-75.27272727272728
137,27.0,930.0,-75.27272727272728
138,27.0,930.0,-75.27272727272728
139,27.0,945.0,-78.3030303030303
140,28.0,930.0,-75.27272727272728
141,28.0,930.0,-75.27272727272728
142,28.0,1012.0,-91.83838383838385
143,28.0,1012.0,-91.83838383838385
144,28.0,952.0,-79.71717171717172
145,29.0,1012.0,-91.83838383838385
146,29.0,1012.0,-91.83838383838385
147,29.0,869.0,-62.94949494949495
148,29.0,930.0,-75.27272727272728
149,29.0,1018.0,-93.05050505050505
150,30.0,946.0,-78.5050505050505
151,30.0,930.0,-75.27272727272728
152,30.0,952.0,-79.71717171717171
153,30.0,931.0,-75.47474747474749
154,30.0,978.0,-84.96969696969697
155,31.0,930.0,-75.27272727272728
156,31.0,952.0,-79.71717171717172
157,31.0,921.0,-73.45454545454547
158,31.0,952.0,-79.71717171717172
159,31.0,921.0,-73.45454545454547
160,32.0,1012.0,-91.83838383838383
161,32.0,930.0,-75.27272727272728
162,32.0,930.0,-75.27272727272728
163,32.0,948.0,-78.9090909090909
164,32.0,930.0,-75.27272727272728
165,33.0,1048.0,-99.11111111111113
166,33.0,1012.0,-91.83838383838385
167,33.0,930.0,-75.27272727272728
168,33.0,930.0,-75.27272727272728
169,33.0,1018.0,-93.05050505050507
170,34.0,930.0,-75.27272727272728
171,34.0,1026.0,-94.66666666666667
172,34.0,930.0,-75.27272727272728
173,34.0,930.0,-75.27272727272728
174,34.0,930.0,-75.27272727272728
175,35.0,930.0,-75.27272727272728
176,35.0,931.0,-75.47474747474747
177,35.0,903.0,-69.81818181818183
178,35.0,952.0,-79.71717171717171
179,35.0,1034.0,-96.28282828282829
180,36.0,930.0,-75.27272727272728
181,36.0,1012.0,-91.83838383838385
182,36.0,929.0,-75.07070707070707
183,36.0,1023.0,-94.06060606060606
184,36.0,1012.0,-91.83838383838385
185,37.0,952.0,-79.71717171717172
186,37.0,931.0,-75.47474747474749
187,37.0,1012.0,-91.83838383838385
188,37.0,920.0,-73.25252525252526
189,37.0,1012.0,-91.83838383838385
190,38.0,930.0,-75.27272727272728
191,38.0,941.0,-77.4949494949495
192,38.0,941.0,-77.4949494949495
193,38.0,921.0,-73.45454545454545
194,38.0,929.0,-75.07070707070707
195,39.0,942.0,-77.6969696969697
196,39.0,869.0,-62.949494949494955
197,39.0,1012.0,-91.83838383838385
198,39.0,930.0,-75.27272727272728
199,39.0,982.0,-85.77777777777779
200,40.0,923.0,-73.85858585858587
201,40.0,1034.0,-96.28282828282829
202,40.0,985.0,-86.3838383838384
203,40.0,986.0,-86.5858585858586
204,40.0,986.0,-86.58585858585859
205,41.0,929.0,-75.07070707070707
206,41.0,1028.0,-95.07070707070709
207,41.0,910.0,-71.23232323232324
208,41.0,1004.0,-90.22222222222223
209,41.0,1054.0,-100.32323232323233
210,42.0,973.0,-83.95959595959596
211,42.0,931.0,-75.47474747474747
212,42.0,923.0,-73.85858585858585
213,42.0,916.0,-72.44444444444446
214,42.0,930.0,-75.27272727272728
215,43.0,999.0,-89.21212121212122
