,episode,make_span,reward
0,0.0,583.0,-37.49999999999998
1,0.0,594.0,-43.0
2,0.0,595.0,-43.50000000000001
3,0.0,624.0,-58.0
4,0.0,529.0,-10.500000000000016
5,1.0,552.0,-22.00000000000001
6,1.0,580.0,-36.0
7,1.0,553.0,-22.500000000000014
8,1.0,585.0,-38.50000000000001
9,1.0,597.0,-44.50000000000001
10,2.0,549.0,-20.499999999999993
11,2.0,544.0,-18.000000000000007
12,2.0,590.0,-40.99999999999999
13,2.0,564.0,-28.000000000000007
14,2.0,538.0,-15.000000000000004
15,3.0,525.0,-8.500000000000007
16,3.0,540.0,-15.999999999999993
17,3.0,571.0,-31.500000000000014
18,3.0,573.0,-32.49999999999999
19,3.0,565.0,-28.499999999999993
20,4.0,580.0,-36.00000000000001
21,4.0,590.0,-41.00000000000001
22,4.0,520.0,-6.000000000000014
23,4.0,589.0,-40.50000000000001
24,4.0,579.0,-35.50000000000002
25,5.0,598.0,-44.99999999999999
26,5.0,559.0,-25.499999999999986
27,5.0,563.0,-27.500000000000007
28,5.0,613.0,-52.50000000000001
29,5.0,589.0,-40.5
30,6.0,550.0,-21.0
31,6.0,614.0,-53.00000000000001
32,6.0,550.0,-21.000000000000014
33,6.0,533.0,-12.499999999999998
34,6.0,541.0,-16.5
35,7.0,533.0,-12.500000000000007
36,7.0,573.0,-32.50000000000001
37,7.0,607.0,-49.50000000000001
38,7.0,519.0,-5.499999999999989
39,7.0,615.0,-53.5
40,8.0,565.0,-28.500000000000004
41,8.0,562.0,-27.00000000000002
42,8.0,582.0,-37.00000000000001
43,8.0,517.0,-4.500000000000007
44,8.0,565.0,-28.500000000000004
45,9.0,551.0,-21.500000000000004
46,9.0,553.0,-22.500000000000007
47,9.0,532.0,-11.999999999999998
48,9.0,554.0,-23.0
49,9.0,558.0,-25.000000000000014
50,10.0,586.0,-38.999999999999986
51,10.0,542.0,-17.000000000000032
52,10.0,589.0,-40.50000000000001
53,10.0,563.0,-27.500000000000014
54,10.0,562.0,-27.0
55,11.0,520.0,-5.999999999999986
56,11.0,580.0,-35.99999999999999
57,11.0,576.0,-34.00000000000001
58,11.0,573.0,-32.49999999999999
59,11.0,558.0,-25.000000000000007
60,12.0,529.0,-10.500000000000009
61,12.0,528.0,-10.0
62,12.0,580.0,-35.99999999999999
63,12.0,536.0,-14.00000000000003
64,12.0,576.0,-34.00000000000002
65,13.0,529.0,-10.500000000000009
66,13.0,543.0,-17.5
67,13.0,546.0,-19.000000000000014
68,13.0,528.0,-9.999999999999996
69,13.0,535.0,-13.499999999999991
70,14.0,571.0,-31.499999999999993
71,14.0,519.0,-5.5
72,14.0,556.0,-24.0
73,14.0,539.0,-15.500000000000002
74,14.0,526.0,-9.000000000000004
75,15.0,542.0,-17.000000000000018
76,15.0,562.0,-27.0
77,15.0,578.0,-35.00000000000001
78,15.0,542.0,-17.000000000000014
79,15.0,553.0,-22.500000000000014
80,16.0,563.0,-27.500000000000014
81,16.0,566.0,-29.000000000000036
82,16.0,532.0,-11.999999999999998
83,16.0,538.0,-15.000000000000014
84,16.0,513.0,-2.500000000000008
85,17.0,512.0,-1.9999999999999982
86,17.0,526.0,-9.000000000000005
87,17.0,494.0,6.99999999999998
88,17.0,528.0,-9.999999999999998
89,17.0,526.0,-9.000000000000018
90,18.0,565.0,-28.499999999999996
91,18.0,522.0,-7.000000000000012
92,18.0,514.0,-3.0000000000000075
93,18.0,569.0,-30.500000000000007
94,18.0,516.0,-4.000000000000003
95,19.0,545.0,-18.500000000000014
96,19.0,535.0,-13.500000000000004
97,19.0,513.0,-2.5000000000000027
98,19.0,504.0,1.9999999999999916
99,19.0,515.0,-3.5000000000000018
100,20.0,515.0,-3.500000000000018
101,20.0,514.0,-3.0000000000000275
102,20.0,523.0,-7.500000000000011
103,20.0,531.0,-11.500000000000004
104,20.0,530.0,-11.000000000000007
105,21.0,515.0,-3.5000000000000044
106,21.0,521.0,-6.500000000000008
107,21.0,536.0,-13.99999999999999
108,21.0,514.0,-2.999999999999993
109,21.0,580.0,-36.00000000000001
110,22.0,545.0,-18.500000000000007
111,22.0,542.0,-17.00000000000001
112,22.0,566.0,-29.000000000000004
113,22.0,525.0,-8.499999999999993
114,22.0,522.0,-7.0
115,23.0,589.0,-40.5
116,23.0,506.0,0.9999999999999929
117,23.0,547.0,-19.500000000000014
118,23.0,504.0,1.9999999999999911
119,23.0,511.0,-1.4999999999999893
120,24.0,546.0,-19.00000000000003
121,24.0,514.0,-3.0000000000000098
122,24.0,552.0,-21.999999999999986
123,24.0,532.0,-12.000000000000027
124,24.0,514.0,-2.99999999999999
125,25.0,515.0,-3.4999999999999996
126,25.0,510.0,-0.9999999999999956
127,25.0,522.0,-6.999999999999993
128,25.0,590.0,-41.00000000000001
129,25.0,502.0,2.9999999999999734
130,26.0,554.0,-23.0
131,26.0,525.0,-8.500000000000016
132,26.0,586.0,-39.00000000000002
133,26.0,496.0,6.00000000000001
134,26.0,504.0,2.000000000000007
135,27.0,515.0,-3.500000000000008
136,27.0,581.0,-36.49999999999998
137,27.0,503.0,2.500000000000023
138,27.0,543.0,-17.499999999999993
139,27.0,564.0,-27.999999999999993
140,28.0,495.0,6.5
141,28.0,538.0,-14.999999999999995
142,28.0,529.0,-10.499999999999986
143,28.0,525.0,-8.500000000000014
144,28.0,525.0,-8.500000000000004
145,29.0,515.0,-3.500000000000014
146,29.0,554.0,-23.000000000000007
147,29.0,546.0,-19.00000000000001
148,29.0,540.0,-16.000000000000007
149,29.0,504.0,1.9999999999999893
150,30.0,523.0,-7.500000000000025
151,30.0,501.0,3.4999999999999982
152,30.0,508.0,-4.440892098500626e-15
153,30.0,492.0,8.000000000000007
154,30.0,525.0,-8.50000000000001
155,31.0,499.0,4.499999999999989
156,31.0,530.0,-10.999999999999995
157,31.0,515.0,-3.5000000000000044
158,31.0,525.0,-8.500000000000023
159,31.0,489.0,9.499999999999986
160,32.0,560.0,-25.999999999999986
161,32.0,513.0,-2.5000000000000036
162,32.0,498.0,4.999999999999994
163,32.0,526.0,-9.000000000000004
164,32.0,533.0,-12.49999999999999
165,33.0,547.0,-19.500000000000007
166,33.0,506.0,1.0000000000000027
167,33.0,503.0,2.5000000000000027
168,33.0,546.0,-19.0
169,33.0,544.0,-18.00000000000001
170,34.0,499.0,4.4999999999999964
171,34.0,551.0,-21.499999999999993
172,34.0,531.0,-11.500000000000005
173,34.0,525.0,-8.500000000000007
174,34.0,540.0,-15.99999999999998
175,35.0,539.0,-15.500000000000009
176,35.0,510.0,-1.000000000000023
177,35.0,516.0,-4.000000000000018
178,35.0,488.0,10.000000000000002
179,35.0,534.0,-13.000000000000002
180,36.0,541.0,-16.500000000000007
181,36.0,500.0,3.999999999999984
182,36.0,494.0,7.0
183,36.0,562.0,-27.000000000000014
184,36.0,529.0,-10.500000000000009
185,37.0,508.0,1.2434497875801753e-14
186,37.0,537.0,-14.500000000000023
187,37.0,518.0,-5.00000000000001
188,37.0,540.0,-16.0
189,37.0,535.0,-13.499999999999993
190,38.0,496.0,6.0000000000000036
191,38.0,513.0,-2.5000000000000124
192,38.0,527.0,-9.500000000000009
193,38.0,488.0,9.999999999999964
194,38.0,524.0,-8.000000000000016
195,39.0,492.0,7.999999999999996
196,39.0,521.0,-6.500000000000002
197,39.0,486.0,11.0
198,39.0,498.0,5.0000000000000036
199,39.0,519.0,-5.4999999999999964
200,40.0,507.0,0.49999999999997513
201,40.0,542.0,-17.000000000000007
202,40.0,495.0,6.500000000000002
203,40.0,504.0,2.0000000000000147
204,40.0,542.0,-17.0
205,41.0,500.0,3.9999999999999982
206,41.0,488.0,9.999999999999982
207,41.0,527.0,-9.500000000000018
208,41.0,493.0,7.499999999999993
209,41.0,538.0,-15.000000000000021
210,42.0,493.0,7.499999999999992
211,42.0,505.0,1.4999999999999778
212,42.0,508.0,3.552713678800501e-15
213,42.0,511.0,-1.5000000000000062
214,42.0,538.0,-15.000000000000005
215,43.0,497.0,5.500000000000014
216,43.0,503.0,2.4999999999999973
217,43.0,511.0,-1.5000000000000173
218,43.0,537.0,-14.499999999999998
219,43.0,513.0,-2.5000000000000067
220,44.0,533.0,-12.500000000000012
221,44.0,486.0,10.99999999999999
222,44.0,494.0,6.999999999999993
223,44.0,579.0,-35.5
224,44.0,527.0,-9.499999999999988
225,45.0,488.0,9.999999999999996
226,45.0,494.0,6.9999999999999964
227,45.0,496.0,5.999999999999998
228,45.0,522.0,-7.000000000000007
229,45.0,503.0,2.4999999999999805
230,46.0,524.0,-8.00000000000001
231,46.0,538.0,-15.000000000000028
232,46.0,491.0,8.499999999999977
233,46.0,518.0,-5.000000000000021
234,46.0,575.0,-33.50000000000002
235,47.0,494.0,6.999999999999994
236,47.0,499.0,4.500000000000012
237,47.0,503.0,2.4999999999999893
238,47.0,498.0,4.999999999999998
239,47.0,553.0,-22.50000000000001
240,48.0,501.0,3.5000000000000124
241,48.0,483.0,12.499999999999979
242,48.0,501.0,3.499999999999972
243,48.0,502.0,3.0000000000000036
244,48.0,534.0,-13.000000000000012
245,49.0,499.0,4.500000000000005
246,49.0,544.0,-17.999999999999993
247,49.0,498.0,4.999999999999989
248,49.0,512.0,-2.0000000000000178
249,49.0,483.0,12.49999999999999
250,50.0,526.0,-9.00000000000001
251,50.0,484.0,12.000000000000007
252,50.0,492.0,7.999999999999995
253,50.0,503.0,2.4999999999999805
254,50.0,514.0,-3.000000000000009
255,51.0,504.0,1.9999999999999778
256,51.0,538.0,-15.00000000000002
257,51.0,503.0,2.5000000000000044
258,51.0,486.0,10.99999999999999
259,51.0,547.0,-19.500000000000007
260,52.0,514.0,-3.0000000000000138
261,52.0,506.0,1.0000000000000018
262,52.0,511.0,-1.5000000000000244
263,52.0,492.0,7.999999999999988
264,52.0,510.0,-1.00000000000002
265,53.0,501.0,3.5000000000000027
266,53.0,497.0,5.499999999999998
267,53.0,504.0,2.000000000000003
268,53.0,518.0,-5.0
269,53.0,486.0,10.999999999999993
270,54.0,488.0,9.999999999999993
271,54.0,491.0,8.500000000000004
272,54.0,501.0,3.499999999999978
273,54.0,494.0,6.999999999999998
274,54.0,508.0,-1.509903313490213e-14
275,55.0,488.0,10.000000000000005
276,55.0,530.0,-11.00000000000002
277,55.0,491.0,8.499999999999986
278,55.0,511.0,-1.5000000000000324
279,55.0,506.0,0.9999999999999751
280,56.0,521.0,-6.5
281,56.0,493.0,7.499999999999988
282,56.0,486.0,10.999999999999998
283,56.0,495.0,6.499999999999981
284,56.0,503.0,2.499999999999986
285,57.0,542.0,-17.00000000000001
286,57.0,503.0,2.500000000000011
287,57.0,510.0,-0.9999999999999871
288,57.0,544.0,-18.000000000000014
289,57.0,501.0,3.499999999999993
290,58.0,491.0,8.500000000000007
291,58.0,518.0,-5.000000000000008
292,58.0,505.0,1.5
293,58.0,523.0,-7.4999999999999964
294,58.0,497.0,5.4999999999999805
295,59.0,494.0,6.999999999999995
296,59.0,531.0,-11.499999999999993
297,59.0,496.0,5.99999999999997
298,59.0,502.0,2.9999999999999947
299,59.0,526.0,-9.000000000000028
300,60.0,519.0,-5.499999999999994
301,60.0,494.0,6.999999999999989
302,60.0,513.0,-2.4999999999999796
303,60.0,514.0,-3.0000000000000018
304,60.0,510.0,-1.000000000000023
305,61.0,482.0,12.999999999999977
306,61.0,488.0,9.999999999999986
307,61.0,525.0,-8.50000000000001
308,61.0,508.0,-2.842170943040401e-14
309,61.0,516.0,-4.000000000000015
310,62.0,483.0,12.499999999999991
311,62.0,483.0,12.499999999999975
312,62.0,489.0,9.50000000000002
313,62.0,505.0,1.4999999999999956
314,62.0,524.0,-7.999999999999989
315,63.0,488.0,9.999999999999986
316,63.0,518.0,-4.999999999999991
317,63.0,491.0,8.500000000000004
318,63.0,496.0,5.99999999999999
319,63.0,505.0,1.499999999999977
320,64.0,496.0,5.999999999999984
321,64.0,491.0,8.499999999999979
322,64.0,490.0,8.999999999999986
323,64.0,497.0,5.499999999999993
324,64.0,491.0,8.499999999999996
325,65.0,492.0,8.000000000000027
326,65.0,486.0,11.000000000000004
327,65.0,488.0,9.999999999999996
328,65.0,507.0,0.49999999999998757
329,65.0,497.0,5.499999999999986
330,66.0,494.0,6.999999999999993
331,66.0,486.0,10.99999999999998
332,66.0,494.0,6.9999999999999964
333,66.0,488.0,9.99999999999999
334,66.0,490.0,8.99999999999998
335,67.0,524.0,-8.000000000000027
336,67.0,488.0,10.000000000000004
337,67.0,491.0,8.499999999999988
338,67.0,486.0,10.999999999999993
339,67.0,486.0,11.0
340,68.0,493.0,7.499999999999985
341,68.0,499.0,4.499999999999984
342,68.0,486.0,10.999999999999998
343,68.0,514.0,-3.000000000000017
344,68.0,486.0,10.999999999999986
345,69.0,494.0,6.999999999999989
346,69.0,496.0,5.9999999999999645
347,69.0,488.0,9.999999999999996
348,69.0,486.0,11.000000000000009
349,69.0,503.0,2.499999999999994
