,episode,make_span,reward
0,0.0,4072.0,-129.24999999999997
1,0.0,4200.0,-148.45000000000002
2,0.0,4236.0,-153.85
3,0.0,4070.0,-128.95
4,0.0,3975.0,-114.69999999999999
5,1.0,4382.0,-175.75000000000003
6,1.0,4510.0,-194.94999999999993
7,1.0,4114.0,-135.55
8,1.0,4329.0,-167.79999999999998
9,1.0,3982.0,-115.74999999999996
10,2.0,4169.0,-143.79999999999998
11,2.0,4460.0,-187.44999999999993
12,2.0,4009.0,-119.80000000000004
13,2.0,4096.0,-132.85
14,2.0,4174.0,-144.54999999999998
15,3.0,4490.0,-191.95000000000002
16,3.0,4145.0,-140.20000000000002
17,3.0,4243.0,-154.90000000000003
18,3.0,4123.0,-136.9
19,3.0,4426.0,-182.35000000000002
20,4.0,3972.0,-114.24999999999999
21,4.0,4209.0,-149.79999999999995
22,4.0,4440.0,-184.45000000000002
23,4.0,4088.0,-131.65000000000003
24,4.0,4592.0,-207.25
25,5.0,3996.0,-117.85000000000001
26,5.0,4158.0,-142.14999999999998
27,5.0,3923.0,-106.89999999999998
28,5.0,4331.0,-168.10000000000002
29,5.0,4407.0,-179.50000000000003
30,6.0,4542.0,-199.75
31,6.0,4395.0,-177.7
32,6.0,4382.0,-175.75
33,6.0,3977.0,-115.0
34,6.0,4435.0,-183.69999999999996
35,7.0,4575.0,-204.7
36,7.0,4485.0,-191.2
37,7.0,4079.0,-130.3
38,7.0,3961.0,-112.6
39,7.0,4116.0,-135.85000000000005
40,8.0,3993.0,-117.4
41,8.0,4083.0,-130.89999999999995
42,8.0,4107.0,-134.5
43,8.0,3992.0,-117.24999999999999
44,8.0,4233.0,-153.4
45,9.0,4199.0,-148.3
46,9.0,4415.0,-180.69999999999993
47,9.0,4425.0,-182.2
48,9.0,4213.0,-150.40000000000003
49,9.0,4003.0,-118.89999999999998
50,10.0,4425.0,-182.19999999999993
51,10.0,4319.0,-166.29999999999995
52,10.0,4694.0,-222.54999999999995
53,10.0,4064.0,-128.05
54,10.0,3977.0,-115.00000000000003
55,11.0,4677.0,-220.00000000000009
56,11.0,4172.0,-144.25
57,11.0,4162.0,-142.75
58,11.0,4448.0,-185.65
59,11.0,4180.0,-145.44999999999996
60,12.0,4779.0,-235.30000000000007
61,12.0,4316.0,-165.84999999999994
62,12.0,4350.0,-170.95
63,12.0,4207.0,-149.49999999999997
64,12.0,4407.0,-179.49999999999997
65,13.0,4221.0,-151.6
66,13.0,4282.0,-160.75000000000003
67,13.0,4237.0,-153.99999999999997
