,episode,make_span,reward
0,0.0,49.0,-5.8
1,0.0,57.0,-12.2
2,0.0,50.0,-6.6
3,0.0,49.0,-5.8
4,0.0,61.0,-15.399999999999999
5,1.0,62.0,-16.2
6,1.0,57.0,-12.2
7,1.0,50.0,-6.6000000000000005
8,1.0,57.0,-12.2
9,1.0,52.0,-8.2
10,2.0,57.0,-12.200000000000003
11,2.0,50.0,-6.599999999999999
12,2.0,50.0,-6.599999999999999
13,2.0,62.0,-16.2
14,2.0,49.0,-5.8
15,3.0,64.0,-17.8
16,3.0,57.0,-12.2
17,3.0,51.0,-7.3999999999999995
18,3.0,55.0,-10.6
19,3.0,57.0,-12.2
20,4.0,49.0,-5.799999999999999
21,4.0,55.0,-10.6
22,4.0,49.0,-5.8
23,4.0,52.0,-8.2
24,4.0,59.0,-13.8
25,5.0,62.0,-16.2
26,5.0,53.0,-8.999999999999998
27,5.0,50.0,-6.6000000000000005
28,5.0,49.0,-5.8
29,5.0,49.0,-5.8
30,6.0,50.0,-6.6000000000000005
31,6.0,57.0,-12.200000000000001
32,6.0,66.0,-19.400000000000002
33,6.0,51.0,-7.3999999999999995
34,6.0,50.0,-6.599999999999999
35,7.0,51.0,-7.399999999999999
36,7.0,50.0,-6.6
37,7.0,51.0,-7.3999999999999995
38,7.0,50.0,-6.6000000000000005
39,7.0,55.0,-10.599999999999998
40,8.0,47.0,-4.2
41,8.0,51.0,-7.3999999999999995
42,8.0,54.0,-9.799999999999999
43,8.0,51.0,-7.3999999999999995
44,8.0,51.0,-7.3999999999999995
45,9.0,49.0,-5.800000000000001
46,9.0,57.0,-12.200000000000003
47,9.0,49.0,-5.8
48,9.0,51.0,-7.3999999999999995
49,9.0,49.0,-5.800000000000001
50,10.0,52.0,-8.2
51,10.0,57.0,-12.2
52,10.0,49.0,-5.8
53,10.0,49.0,-5.8
54,10.0,55.0,-10.6
55,11.0,49.0,-5.8
56,11.0,49.0,-5.8
57,11.0,51.0,-7.3999999999999995
58,11.0,49.0,-5.8
59,11.0,55.0,-10.6
60,12.0,50.0,-6.6000000000000005
61,12.0,49.0,-5.8
62,12.0,50.0,-6.6
63,12.0,49.0,-5.800000000000001
64,12.0,52.0,-8.2
65,13.0,55.0,-10.6
66,13.0,53.0,-9.0
67,13.0,57.0,-12.200000000000003
68,13.0,52.0,-8.2
69,13.0,62.0,-16.2
70,14.0,49.0,-5.8
71,14.0,45.0,-2.6
72,14.0,49.0,-5.8
73,14.0,49.0,-5.8
74,14.0,49.0,-5.8
75,15.0,49.0,-5.800000000000001
76,15.0,50.0,-6.6000000000000005
77,15.0,50.0,-6.6000000000000005
78,15.0,47.0,-4.2
79,15.0,48.0,-5.0
80,16.0,50.0,-6.6000000000000005
81,16.0,58.0,-13.000000000000002
82,16.0,56.0,-11.4
83,16.0,50.0,-6.6000000000000005
84,16.0,50.0,-6.6000000000000005
85,17.0,54.0,-9.8
86,17.0,57.0,-12.2
87,17.0,62.0,-16.2
88,17.0,57.0,-12.200000000000001
89,17.0,51.0,-7.3999999999999995
90,18.0,51.0,-7.3999999999999995
91,18.0,58.0,-13.0
92,18.0,53.0,-8.999999999999998
93,18.0,53.0,-9.0
94,18.0,51.0,-7.3999999999999995
95,19.0,55.0,-10.6
96,19.0,57.0,-12.200000000000001
97,19.0,49.0,-5.8
98,19.0,62.0,-16.2
99,19.0,55.0,-10.600000000000001
100,20.0,49.0,-5.8
101,20.0,49.0,-5.8
102,20.0,49.0,-5.8
103,20.0,57.0,-12.200000000000001
104,20.0,50.0,-6.6
105,21.0,50.0,-6.6000000000000005
106,21.0,52.0,-8.2
107,21.0,56.0,-11.399999999999999
108,21.0,50.0,-6.6000000000000005
109,21.0,62.0,-16.2
110,22.0,49.0,-5.8
111,22.0,50.0,-6.6000000000000005
112,22.0,55.0,-10.6
113,22.0,50.0,-6.6
114,22.0,53.0,-9.0
115,23.0,50.0,-6.6
116,23.0,50.0,-6.6000000000000005
117,23.0,50.0,-6.6000000000000005
118,23.0,49.0,-5.8
119,23.0,50.0,-6.6000000000000005
120,24.0,49.0,-5.8
121,24.0,49.0,-5.8
122,24.0,52.0,-8.2
123,24.0,50.0,-6.6000000000000005
124,24.0,50.0,-6.6000000000000005
125,25.0,49.0,-5.8
126,25.0,50.0,-6.6000000000000005
127,25.0,50.0,-6.6
128,25.0,50.0,-6.6000000000000005
129,25.0,68.0,-21.0
130,26.0,49.0,-5.8
131,26.0,49.0,-5.8
132,26.0,50.0,-6.6000000000000005
133,26.0,50.0,-6.6000000000000005
134,26.0,49.0,-5.8
135,27.0,49.0,-5.8
136,27.0,62.0,-16.2
137,27.0,51.0,-7.4
138,27.0,49.0,-5.8
139,27.0,49.0,-5.8
140,28.0,49.0,-5.8
141,28.0,50.0,-6.6000000000000005
142,28.0,50.0,-6.6000000000000005
143,28.0,50.0,-6.6
144,28.0,62.0,-16.2
145,29.0,50.0,-6.6000000000000005
146,29.0,62.0,-16.2
147,29.0,57.0,-12.2
148,29.0,49.0,-5.8
149,29.0,49.0,-5.8
150,30.0,49.0,-5.800000000000001
151,30.0,57.0,-12.200000000000003
152,30.0,49.0,-5.8
153,30.0,57.0,-12.2
154,30.0,50.0,-6.599999999999999
155,31.0,49.0,-5.8
156,31.0,49.0,-5.799999999999999
157,31.0,51.0,-7.3999999999999995
158,31.0,49.0,-5.799999999999999
159,31.0,49.0,-5.799999999999999
160,32.0,50.0,-6.6000000000000005
161,32.0,68.0,-21.0
162,32.0,50.0,-6.6
163,32.0,49.0,-5.8
164,32.0,52.0,-8.2
165,33.0,50.0,-6.6
166,33.0,52.0,-8.2
167,33.0,49.0,-5.8
168,33.0,48.0,-5.0
169,33.0,51.0,-7.3999999999999995
170,34.0,49.0,-5.800000000000002
171,34.0,51.0,-7.3999999999999995
172,34.0,52.0,-8.2
173,34.0,49.0,-5.8
174,34.0,48.0,-5.0
175,35.0,49.0,-5.8
176,35.0,50.0,-6.6000000000000005
177,35.0,49.0,-5.8
178,35.0,50.0,-6.6000000000000005
179,35.0,57.0,-12.2
180,36.0,49.0,-5.800000000000001
181,36.0,51.0,-7.4
182,36.0,51.0,-7.3999999999999995
183,36.0,49.0,-5.799999999999999
184,36.0,49.0,-5.8
185,37.0,51.0,-7.4
186,37.0,50.0,-6.6000000000000005
187,37.0,50.0,-6.6
188,37.0,52.0,-8.2
189,37.0,49.0,-5.8
190,38.0,50.0,-6.6
191,38.0,50.0,-6.6
192,38.0,49.0,-5.8
193,38.0,47.0,-4.199999999999999
194,38.0,49.0,-5.8
195,39.0,55.0,-10.599999999999998
196,39.0,49.0,-5.800000000000001
197,39.0,49.0,-5.8
198,39.0,49.0,-5.800000000000001
199,39.0,49.0,-5.8
200,40.0,49.0,-5.8
201,40.0,49.0,-5.8
202,40.0,49.0,-5.8
203,40.0,50.0,-6.6000000000000005
204,40.0,57.0,-12.2
205,41.0,53.0,-9.0
206,41.0,49.0,-5.8
207,41.0,57.0,-12.2
208,41.0,49.0,-5.800000000000001
209,41.0,49.0,-5.8
210,42.0,50.0,-6.6000000000000005
211,42.0,55.0,-10.599999999999998
212,42.0,50.0,-6.6000000000000005
213,42.0,49.0,-5.8
214,42.0,48.0,-5.000000000000001
215,43.0,48.0,-5.0
216,43.0,49.0,-5.8
217,43.0,49.0,-5.8
218,43.0,51.0,-7.3999999999999995
219,43.0,48.0,-5.0
220,44.0,49.0,-5.8
221,44.0,48.0,-5.0
222,44.0,49.0,-5.800000000000001
223,44.0,50.0,-6.6000000000000005
224,44.0,50.0,-6.6
225,45.0,53.0,-8.999999999999998
226,45.0,50.0,-6.6000000000000005
227,45.0,47.0,-4.199999999999999
228,45.0,49.0,-5.8
229,45.0,49.0,-5.8
230,46.0,53.0,-9.0
231,46.0,48.0,-5.0
232,46.0,52.0,-8.2
233,46.0,45.0,-2.6
234,46.0,48.0,-5.000000000000001
235,47.0,49.0,-5.8
236,47.0,49.0,-5.800000000000001
237,47.0,52.0,-8.2
238,47.0,49.0,-5.8
239,47.0,48.0,-5.0
240,48.0,49.0,-5.8
241,48.0,49.0,-5.8
242,48.0,51.0,-7.4
243,48.0,48.0,-5.0
244,48.0,50.0,-6.6000000000000005
245,49.0,47.0,-4.2
246,49.0,48.0,-5.000000000000001
247,49.0,49.0,-5.8
248,49.0,45.0,-2.6
249,49.0,47.0,-4.2
250,50.0,49.0,-5.8
251,50.0,49.0,-5.8
252,50.0,48.0,-5.000000000000001
253,50.0,49.0,-5.800000000000001
254,50.0,49.0,-5.8
255,51.0,47.0,-4.199999999999999
256,51.0,49.0,-5.8
257,51.0,49.0,-5.799999999999999
258,51.0,49.0,-5.8
259,51.0,51.0,-7.4
260,52.0,45.0,-2.6
261,52.0,47.0,-4.199999999999999
262,52.0,47.0,-4.199999999999999
263,52.0,47.0,-4.2
264,52.0,45.0,-2.6
265,53.0,47.0,-4.2
266,53.0,49.0,-5.800000000000001
267,53.0,47.0,-4.199999999999999
268,53.0,51.0,-7.4
269,53.0,52.0,-8.2
270,54.0,49.0,-5.8
271,54.0,49.0,-5.8
272,54.0,45.0,-2.6000000000000005
273,54.0,51.0,-7.4
274,54.0,48.0,-5.0
275,55.0,49.0,-5.8
276,55.0,48.0,-5.000000000000001
277,55.0,45.0,-2.6000000000000005
278,55.0,49.0,-5.8
279,55.0,49.0,-5.8
280,56.0,51.0,-7.400000000000001
281,56.0,57.0,-12.2
282,56.0,47.0,-4.2
283,56.0,49.0,-5.8
284,56.0,49.0,-5.8
285,57.0,52.0,-8.2
286,57.0,45.0,-2.6000000000000005
287,57.0,45.0,-2.6000000000000005
288,57.0,48.0,-5.0
289,57.0,49.0,-5.8
290,58.0,51.0,-7.4
291,58.0,47.0,-4.199999999999999
292,58.0,45.0,-2.5999999999999996
293,58.0,51.0,-7.4
294,58.0,45.0,-2.6000000000000005
295,59.0,51.0,-7.4
296,59.0,45.0,-2.6000000000000005
297,59.0,45.0,-2.6
298,59.0,45.0,-2.6
299,59.0,49.0,-5.800000000000001
300,60.0,49.0,-5.8
301,60.0,45.0,-2.5999999999999996
302,60.0,50.0,-6.6000000000000005
303,60.0,47.0,-4.2
304,60.0,45.0,-2.6000000000000005
305,61.0,49.0,-5.800000000000001
306,61.0,47.0,-4.2
307,61.0,47.0,-4.199999999999999
308,61.0,48.0,-5.0
309,61.0,47.0,-4.199999999999999
310,62.0,45.0,-2.6
311,62.0,49.0,-5.8
312,62.0,49.0,-5.8
313,62.0,51.0,-7.4
314,62.0,45.0,-2.5999999999999996
315,63.0,47.0,-4.199999999999999
316,63.0,48.0,-5.0
317,63.0,45.0,-2.6
318,63.0,45.0,-2.6
319,63.0,49.0,-5.8
320,64.0,45.0,-2.6
321,64.0,51.0,-7.4
322,64.0,48.0,-5.0
323,64.0,45.0,-2.6
324,64.0,45.0,-2.6
325,65.0,49.0,-5.8
326,65.0,48.0,-5.0
327,65.0,45.0,-2.6
328,65.0,49.0,-5.800000000000001
329,65.0,49.0,-5.8
330,66.0,49.0,-5.8
331,66.0,49.0,-5.8
332,66.0,45.0,-2.6
333,66.0,47.0,-4.199999999999999
334,66.0,49.0,-5.8
335,67.0,45.0,-2.5999999999999996
336,67.0,47.0,-4.199999999999999
337,67.0,47.0,-4.199999999999999
338,67.0,47.0,-4.2
339,67.0,45.0,-2.5999999999999996
340,68.0,49.0,-5.8
341,68.0,49.0,-5.8
342,68.0,49.0,-5.800000000000001
343,68.0,45.0,-2.6
344,68.0,45.0,-2.6
345,69.0,47.0,-4.2
346,69.0,45.0,-2.6
347,69.0,45.0,-2.5999999999999996
348,69.0,47.0,-4.199999999999999
349,69.0,45.0,-2.6
350,70.0,45.0,-2.5999999999999996
351,70.0,45.0,-2.6
352,70.0,45.0,-2.6
353,70.0,45.0,-2.6
354,70.0,47.0,-4.199999999999999
355,71.0,51.0,-7.4
356,71.0,47.0,-4.199999999999999
357,71.0,45.0,-2.5999999999999996
358,71.0,45.0,-2.5999999999999996
359,71.0,45.0,-2.6000000000000005
360,72.0,45.0,-2.5999999999999996
361,72.0,49.0,-5.8
362,72.0,45.0,-2.6
363,72.0,49.0,-5.8
364,72.0,45.0,-2.6
365,73.0,45.0,-2.5999999999999996
366,73.0,45.0,-2.5999999999999996
367,73.0,47.0,-4.199999999999999
368,73.0,45.0,-2.6
369,73.0,45.0,-2.5999999999999996
370,74.0,45.0,-2.5999999999999996
371,74.0,45.0,-2.5999999999999996
372,74.0,45.0,-2.5999999999999996
373,74.0,45.0,-2.5999999999999996
374,74.0,45.0,-2.5999999999999996
375,75.0,49.0,-5.8
376,75.0,49.0,-5.800000000000001
377,75.0,45.0,-2.6
378,75.0,45.0,-2.6
379,75.0,49.0,-5.8
380,76.0,45.0,-2.6000000000000005
381,76.0,45.0,-2.6
382,76.0,47.0,-4.2
383,76.0,45.0,-2.6
384,76.0,45.0,-2.6
385,77.0,49.0,-5.8
386,77.0,45.0,-2.5999999999999996
387,77.0,47.0,-4.199999999999999
388,77.0,45.0,-2.6
389,77.0,45.0,-2.6
390,78.0,48.0,-5.0
391,78.0,45.0,-2.6000000000000005
392,78.0,45.0,-2.5999999999999996
393,78.0,45.0,-2.6
394,78.0,45.0,-2.5999999999999996
395,79.0,49.0,-5.8
396,79.0,51.0,-7.4
397,79.0,48.0,-5.0
398,79.0,45.0,-2.6000000000000005
399,79.0,45.0,-2.6000000000000005
400,80.0,49.0,-5.8
401,80.0,45.0,-2.6
402,80.0,45.0,-2.5999999999999996
403,80.0,45.0,-2.6000000000000005
404,80.0,45.0,-2.6000000000000005
405,81.0,45.0,-2.6
406,81.0,45.0,-2.6000000000000005
407,81.0,45.0,-2.6
408,81.0,45.0,-2.6000000000000005
409,81.0,45.0,-2.6
410,82.0,49.0,-5.800000000000001
411,82.0,45.0,-2.6000000000000005
412,82.0,45.0,-2.6000000000000005
413,82.0,49.0,-5.800000000000001
414,82.0,45.0,-2.6
415,83.0,48.0,-5.0
416,83.0,47.0,-4.199999999999999
417,83.0,49.0,-5.8
418,83.0,45.0,-2.6
419,83.0,45.0,-2.6
420,84.0,49.0,-5.8
421,84.0,45.0,-2.5999999999999996
422,84.0,49.0,-5.8
423,84.0,45.0,-2.6
424,84.0,49.0,-5.8
425,85.0,45.0,-2.6
426,85.0,45.0,-2.6
427,85.0,45.0,-2.6
428,85.0,45.0,-2.6
429,85.0,45.0,-2.6
430,86.0,48.0,-5.0
431,86.0,45.0,-2.6
432,86.0,45.0,-2.6000000000000005
433,86.0,48.0,-5.0
434,86.0,45.0,-2.6
435,87.0,45.0,-2.5999999999999996
436,87.0,45.0,-2.5999999999999996
437,87.0,47.0,-4.2
438,87.0,45.0,-2.5999999999999996
439,87.0,45.0,-2.6
440,88.0,45.0,-2.5999999999999996
441,88.0,45.0,-2.6
442,88.0,51.0,-7.4
443,88.0,45.0,-2.5999999999999996
444,88.0,45.0,-2.6
445,89.0,45.0,-2.6
446,89.0,45.0,-2.6000000000000005
447,89.0,48.0,-5.0
448,89.0,45.0,-2.6
449,89.0,45.0,-2.6
450,90.0,45.0,-2.6
451,90.0,45.0,-2.5999999999999996
452,90.0,45.0,-2.6
453,90.0,45.0,-2.6000000000000005
454,90.0,45.0,-2.6000000000000005
455,91.0,47.0,-4.199999999999999
456,91.0,45.0,-2.6
457,91.0,45.0,-2.5999999999999996
458,91.0,45.0,-2.5999999999999996
459,91.0,45.0,-2.6
460,92.0,47.0,-4.199999999999999
461,92.0,45.0,-2.6
462,92.0,45.0,-2.5999999999999996
463,92.0,45.0,-2.6
464,92.0,45.0,-2.6
465,93.0,45.0,-2.6
466,93.0,47.0,-4.2
467,93.0,45.0,-2.5999999999999996
468,93.0,45.0,-2.6
469,93.0,45.0,-2.6
470,94.0,45.0,-2.5999999999999996
471,94.0,45.0,-2.6
472,94.0,45.0,-2.6
473,94.0,45.0,-2.5999999999999996
474,94.0,45.0,-2.6
475,95.0,45.0,-2.6
476,95.0,45.0,-2.6
477,95.0,45.0,-2.6000000000000005
478,95.0,45.0,-2.6000000000000005
479,95.0,49.0,-5.8
480,96.0,45.0,-2.6
481,96.0,45.0,-2.6000000000000005
482,96.0,45.0,-2.5999999999999996
483,96.0,45.0,-2.6
484,96.0,45.0,-2.6
485,97.0,45.0,-2.6
486,97.0,47.0,-4.199999999999999
487,97.0,45.0,-2.6
488,97.0,45.0,-2.6000000000000005
489,97.0,45.0,-2.6
490,98.0,45.0,-2.6
491,98.0,49.0,-5.8
492,98.0,45.0,-2.5999999999999996
493,98.0,45.0,-2.6
494,98.0,45.0,-2.6
495,99.0,45.0,-2.6
496,99.0,45.0,-2.6
497,99.0,45.0,-2.6
498,99.0,45.0,-2.5999999999999996
499,99.0,49.0,-5.8
500,100.0,49.0,-5.8
501,100.0,45.0,-2.6
502,100.0,45.0,-2.6
503,100.0,45.0,-2.6
504,100.0,47.0,-4.2
505,101.0,45.0,-2.6000000000000005
506,101.0,45.0,-2.6
507,101.0,45.0,-2.6
508,101.0,45.0,-2.6
509,101.0,45.0,-2.6000000000000005
510,102.0,45.0,-2.6
511,102.0,45.0,-2.6
512,102.0,45.0,-2.6
513,102.0,45.0,-2.6
514,102.0,45.0,-2.6
515,103.0,45.0,-2.6
516,103.0,45.0,-2.5999999999999996
517,103.0,45.0,-2.5999999999999996
518,103.0,45.0,-2.6
519,103.0,45.0,-2.6
520,104.0,45.0,-2.6
521,104.0,48.0,-5.0
522,104.0,51.0,-7.4
523,104.0,45.0,-2.5999999999999996
524,104.0,45.0,-2.6000000000000005
525,105.0,45.0,-2.6
526,105.0,45.0,-2.5999999999999996
527,105.0,45.0,-2.6
528,105.0,45.0,-2.6000000000000005
529,105.0,45.0,-2.6
530,106.0,45.0,-2.6
531,106.0,45.0,-2.6
532,106.0,45.0,-2.5999999999999996
533,106.0,45.0,-2.6
534,106.0,45.0,-2.6
535,107.0,45.0,-2.6
536,107.0,45.0,-2.6000000000000005
537,107.0,48.0,-5.0
538,107.0,45.0,-2.5999999999999996
539,107.0,45.0,-2.6
540,108.0,45.0,-2.6
541,108.0,45.0,-2.6
542,108.0,45.0,-2.5999999999999996
543,108.0,45.0,-2.5999999999999996
544,108.0,45.0,-2.6
545,109.0,45.0,-2.6
546,109.0,45.0,-2.6
547,109.0,49.0,-5.8
548,109.0,45.0,-2.6
549,109.0,45.0,-2.5999999999999996
550,110.0,49.0,-5.8
551,110.0,45.0,-2.6
552,110.0,45.0,-2.6000000000000005
553,110.0,45.0,-2.6
554,110.0,45.0,-2.5999999999999996
555,111.0,45.0,-2.6
556,111.0,45.0,-2.5999999999999996
557,111.0,49.0,-5.800000000000001
558,111.0,45.0,-2.5999999999999996
559,111.0,45.0,-2.5999999999999996
560,112.0,47.0,-4.199999999999999
561,112.0,47.0,-4.2
562,112.0,47.0,-4.2
563,112.0,45.0,-2.6000000000000005
564,112.0,45.0,-2.6
565,113.0,45.0,-2.6
566,113.0,45.0,-2.6
567,113.0,45.0,-2.6
568,113.0,49.0,-5.8
569,113.0,45.0,-2.6
570,114.0,45.0,-2.6
571,114.0,48.0,-5.0
572,114.0,45.0,-2.6
573,114.0,49.0,-5.8
574,114.0,49.0,-5.8
575,115.0,45.0,-2.6
576,115.0,45.0,-2.5999999999999996
577,115.0,45.0,-2.6000000000000005
578,115.0,45.0,-2.6
579,115.0,45.0,-2.6
580,116.0,45.0,-2.6
581,116.0,45.0,-2.6
582,116.0,45.0,-2.6
583,116.0,45.0,-2.6
584,116.0,45.0,-2.5999999999999996
585,117.0,45.0,-2.6
586,117.0,45.0,-2.6
587,117.0,45.0,-2.6
588,117.0,45.0,-2.5999999999999996
589,117.0,45.0,-2.6
590,118.0,45.0,-2.6
591,118.0,45.0,-2.6
592,118.0,45.0,-2.5999999999999996
593,118.0,45.0,-2.5999999999999996
594,118.0,45.0,-2.5999999999999996
