,episode,make_span,reward
0,0.0,1316.0,-33.696969696969695
1,0.0,1273.0,-27.181818181818187
2,0.0,1237.0,-21.727272727272734
3,0.0,1221.0,-19.303030303030308
4,0.0,1228.0,-20.363636363636363
5,1.0,1267.0,-26.272727272727273
6,1.0,1196.0,-15.515151515151512
7,1.0,1353.0,-39.303030303030305
8,1.0,1213.0,-18.09090909090909
9,1.0,1238.0,-21.878787878787882
10,2.0,1194.0,-15.212121212121218
11,2.0,1295.0,-30.515151515151512
12,2.0,1217.0,-18.696969696969692
13,2.0,1220.0,-19.151515151515152
14,2.0,1277.0,-27.787878787878785
15,3.0,1276.0,-27.636363636363633
16,3.0,1246.0,-23.09090909090909
17,3.0,1247.0,-23.242424242424242
18,3.0,1339.0,-37.18181818181819
19,3.0,1209.0,-17.484848484848484
20,4.0,1224.0,-19.757575757575758
21,4.0,1271.0,-26.878787878787882
22,4.0,1399.0,-46.272727272727266
23,4.0,1261.0,-25.36363636363636
24,4.0,1203.0,-16.575757575757574
25,5.0,1201.0,-16.27272727272727
26,5.0,1289.0,-29.60606060606061
27,5.0,1333.0,-36.272727272727266
28,5.0,1161.0,-10.212121212121213
29,5.0,1151.0,-8.696969696969699
30,6.0,1190.0,-14.606060606060607
31,6.0,1256.0,-24.60606060606061
32,6.0,1313.0,-33.24242424242425
33,6.0,1241.0,-22.333333333333332
34,6.0,1194.0,-15.212121212121218
35,7.0,1260.0,-25.212121212121215
36,7.0,1211.0,-17.787878787878785
37,7.0,1175.0,-12.333333333333336
38,7.0,1162.0,-10.363636363636369
39,7.0,1234.0,-21.272727272727273
40,8.0,1225.0,-19.909090909090907
41,8.0,1257.0,-24.757575757575758
42,8.0,1311.0,-32.93939393939394
43,8.0,1204.0,-16.727272727272723
44,8.0,1226.0,-20.060606060606062
45,9.0,1258.0,-24.909090909090914
46,9.0,1301.0,-31.424242424242422
47,9.0,1309.0,-32.63636363636364
48,9.0,1295.0,-30.515151515151516
49,9.0,1180.0,-13.090909090909086
50,10.0,1287.0,-29.303030303030305
51,10.0,1336.0,-36.72727272727273
52,10.0,1162.0,-10.363636363636363
53,10.0,1190.0,-14.606060606060606
54,10.0,1237.0,-21.727272727272727
55,11.0,1150.0,-8.545454545454545
56,11.0,1201.0,-16.27272727272727
57,11.0,1195.0,-15.363636363636365
58,11.0,1269.0,-26.575757575757578
59,11.0,1363.0,-40.81818181818181
60,12.0,1211.0,-17.787878787878793
61,12.0,1198.0,-15.818181818181813
62,12.0,1240.0,-22.181818181818183
63,12.0,1214.0,-18.242424242424242
64,12.0,1164.0,-10.666666666666671
65,13.0,1228.0,-20.36363636363636
66,13.0,1264.0,-25.81818181818182
67,13.0,1226.0,-20.060606060606062
68,13.0,1275.0,-27.484848484848495
69,13.0,1204.0,-16.727272727272727
70,14.0,1284.0,-28.84848484848485
71,14.0,1217.0,-18.696969696969692
72,14.0,1289.0,-29.606060606060606
73,14.0,1271.0,-26.87878787878788
74,14.0,1274.0,-27.33333333333333
75,15.0,1363.0,-40.81818181818181
76,15.0,1191.0,-14.757575757575763
77,15.0,1214.0,-18.242424242424242
78,15.0,1183.0,-13.545454545454541
79,15.0,1238.0,-21.878787878787882
80,16.0,1264.0,-25.818181818181813
81,16.0,1219.0,-19.0
82,16.0,1304.0,-31.87878787878788
83,16.0,1220.0,-19.151515151515156
84,16.0,1273.0,-27.181818181818183
85,17.0,1232.0,-20.96969696969697
86,17.0,1217.0,-18.696969696969695
87,17.0,1191.0,-14.757575757575756
88,17.0,1357.0,-39.909090909090914
89,17.0,1227.0,-20.21212121212121
90,18.0,1288.0,-29.454545454545453
91,18.0,1169.0,-11.424242424242424
92,18.0,1229.0,-20.515151515151512
93,18.0,1174.0,-12.18181818181818
94,18.0,1182.0,-13.393939393939402
95,19.0,1272.0,-27.03030303030303
96,19.0,1309.0,-32.63636363636363
97,19.0,1241.0,-22.333333333333336
98,19.0,1273.0,-27.18181818181818
99,19.0,1197.0,-15.666666666666668
100,20.0,1215.0,-18.393939393939394
101,20.0,1223.0,-19.606060606060602
102,20.0,1188.0,-14.303030303030305
103,20.0,1188.0,-14.303030303030305
104,20.0,1223.0,-19.606060606060606
105,21.0,1240.0,-22.181818181818176
106,21.0,1394.0,-45.51515151515151
107,21.0,1167.0,-11.12121212121212
108,21.0,1296.0,-30.666666666666664
109,21.0,1215.0,-18.393939393939398
110,22.0,1226.0,-20.060606060606062
111,22.0,1318.0,-34.0
112,22.0,1221.0,-19.3030303030303
113,22.0,1185.0,-13.848484848484851
114,22.0,1250.0,-23.6969696969697
115,23.0,1191.0,-14.757575757575758
116,23.0,1172.0,-11.878787878787879
117,23.0,1220.0,-19.15151515151515
118,23.0,1195.0,-15.363636363636363
119,23.0,1238.0,-21.87878787878788
120,24.0,1209.0,-17.484848484848484
121,24.0,1238.0,-21.878787878787875
122,24.0,1260.0,-25.21212121212121
123,24.0,1195.0,-15.363636363636363
124,24.0,1188.0,-14.303030303030301
125,25.0,1190.0,-14.606060606060602
126,25.0,1242.0,-22.48484848484848
127,25.0,1295.0,-30.515151515151516
128,25.0,1265.0,-25.96969696969697
129,25.0,1195.0,-15.363636363636363
130,26.0,1180.0,-13.09090909090909
131,26.0,1175.0,-12.333333333333332
132,26.0,1238.0,-21.878787878787882
133,26.0,1217.0,-18.696969696969695
134,26.0,1207.0,-17.18181818181818
135,27.0,1248.0,-23.393939393939398
136,27.0,1186.0,-14.000000000000007
137,27.0,1219.0,-19.000000000000004
138,27.0,1338.0,-37.03030303030303
139,27.0,1227.0,-20.21212121212121
140,28.0,1238.0,-21.878787878787872
141,28.0,1238.0,-21.87878787878788
142,28.0,1229.0,-20.515151515151516
143,28.0,1198.0,-15.818181818181813
144,28.0,1241.0,-22.33333333333333
145,29.0,1198.0,-15.818181818181817
146,29.0,1391.0,-45.06060606060606
147,29.0,1193.0,-15.060606060606059
148,29.0,1253.0,-24.15151515151515
149,29.0,1194.0,-15.212121212121213
150,30.0,1188.0,-14.303030303030303
151,30.0,1231.0,-20.81818181818182
152,30.0,1257.0,-24.757575757575758
153,30.0,1261.0,-25.36363636363636
154,30.0,1429.0,-50.81818181818181
155,31.0,1221.0,-19.303030303030305
156,31.0,1194.0,-15.212121212121207
157,31.0,1162.0,-10.363636363636363
158,31.0,1157.0,-9.606060606060604
159,31.0,1305.0,-32.030303030303024
160,32.0,1191.0,-14.757575757575758
161,32.0,1143.0,-7.484848484848481
162,32.0,1215.0,-18.393939393939398
163,32.0,1215.0,-18.39393939393939
164,32.0,1214.0,-18.242424242424242
165,33.0,1239.0,-22.03030303030303
166,33.0,1226.0,-20.060606060606066
167,33.0,1231.0,-20.81818181818182
168,33.0,1230.0,-20.666666666666664
169,33.0,1133.0,-5.969696969696972
170,34.0,1160.0,-10.060606060606055
171,34.0,1166.0,-10.969696969696969
172,34.0,1235.0,-21.424242424242422
173,34.0,1120.0,-4.0000000000000036
174,34.0,1202.0,-16.424242424242422
175,35.0,1154.0,-9.151515151515142
176,35.0,1197.0,-15.666666666666664
