,episode,make_span,reward
0,0.0,709.0,-22.58163265306122
1,0.0,757.0,-29.928571428571427
2,0.0,785.0,-34.21428571428571
3,0.0,739.0,-27.1734693877551
4,0.0,900.0,-51.81632653061225
5,1.0,872.0,-47.530612244897966
6,1.0,851.0,-44.316326530612244
7,1.0,759.0,-30.23469387755102
8,1.0,801.0,-36.66326530612245
9,1.0,821.0,-39.724489795918366
10,2.0,760.0,-30.387755102040817
11,2.0,743.0,-27.785714285714285
12,2.0,701.0,-21.357142857142854
13,2.0,767.0,-31.459183673469386
14,2.0,773.0,-32.37755102040816
15,3.0,739.0,-27.1734693877551
16,3.0,766.0,-31.306122448979597
17,3.0,869.0,-47.07142857142858
18,3.0,759.0,-30.234693877551024
19,3.0,741.0,-27.47959183673469
20,4.0,712.0,-23.040816326530614
21,4.0,729.0,-25.642857142857135
22,4.0,873.0,-47.68367346938774
23,4.0,932.0,-56.71428571428571
24,4.0,738.0,-27.020408163265298
25,5.0,757.0,-29.928571428571427
26,5.0,771.0,-32.07142857142857
27,5.0,765.0,-31.153061224489797
28,5.0,753.0,-29.316326530612244
29,5.0,819.0,-39.41836734693878
30,6.0,800.0,-36.51020408163265
31,6.0,710.0,-22.734693877551017
32,6.0,830.0,-41.102040816326536
33,6.0,704.0,-21.81632653061224
34,6.0,887.0,-49.8265306122449
35,7.0,766.0,-31.306122448979593
36,7.0,738.0,-27.0204081632653
37,7.0,732.0,-26.102040816326536
38,7.0,736.0,-26.714285714285708
39,7.0,733.0,-26.255102040816332
40,8.0,689.0,-19.52040816326531
41,8.0,763.0,-30.846938775510203
42,8.0,898.0,-51.51020408163265
43,8.0,711.0,-22.887755102040813
44,8.0,832.0,-41.408163265306115
45,9.0,831.0,-41.255102040816325
46,9.0,738.0,-27.0204081632653
47,9.0,726.0,-25.183673469387756
48,9.0,757.0,-29.928571428571423
49,9.0,739.0,-27.1734693877551
50,10.0,742.0,-27.63265306122449
51,10.0,754.0,-29.469387755102044
52,10.0,715.0,-23.5
53,10.0,754.0,-29.469387755102037
54,10.0,795.0,-35.744897959183675
55,11.0,790.0,-34.9795918367347
56,11.0,787.0,-34.5204081632653
57,11.0,747.0,-28.39795918367347
58,11.0,765.0,-31.153061224489793
59,11.0,732.0,-26.102040816326532
60,12.0,755.0,-29.622448979591837
61,12.0,794.0,-35.59183673469388
62,12.0,681.0,-18.29591836734694
63,12.0,855.0,-44.92857142857143
64,12.0,795.0,-35.744897959183675
65,13.0,758.0,-30.081632653061224
66,13.0,792.0,-35.28571428571428
67,13.0,870.0,-47.224489795918366
68,13.0,861.0,-45.84693877551021
69,13.0,736.0,-26.71428571428571
70,14.0,800.0,-36.51020408163265
71,14.0,824.0,-40.183673469387756
72,14.0,814.0,-38.65306122448979
73,14.0,798.0,-36.20408163265307
74,14.0,871.0,-47.37755102040816
75,15.0,758.0,-30.081632653061224
76,15.0,827.0,-40.64285714285713
77,15.0,839.0,-42.47959183673469
78,15.0,778.0,-33.142857142857146
79,15.0,762.0,-30.69387755102041
80,16.0,738.0,-27.020408163265312
81,16.0,904.0,-52.42857142857143
82,16.0,801.0,-36.66326530612245
83,16.0,839.0,-42.479591836734684
84,16.0,723.0,-24.72448979591837
85,17.0,824.0,-40.183673469387756
86,17.0,738.0,-27.02040816326531
87,17.0,850.0,-44.16326530612244
88,17.0,734.0,-26.408163265306126
89,17.0,774.0,-32.53061224489795
90,18.0,750.0,-28.85714285714285
91,18.0,776.0,-32.83673469387755
92,18.0,762.0,-30.69387755102041
93,18.0,765.0,-31.15306122448979
94,18.0,700.0,-21.20408163265306
95,19.0,748.0,-28.55102040816326
96,19.0,701.0,-21.357142857142854
97,19.0,762.0,-30.69387755102041
98,19.0,789.0,-34.826530612244895
99,19.0,732.0,-26.102040816326536
100,20.0,693.0,-20.132653061224485
101,20.0,787.0,-34.52040816326531
102,20.0,775.0,-32.68367346938776
103,20.0,793.0,-35.43877551020408
104,20.0,750.0,-28.857142857142858
105,21.0,878.0,-48.448979591836746
106,21.0,753.0,-29.316326530612244
107,21.0,801.0,-36.663265306122454
108,21.0,875.0,-47.98979591836735
109,21.0,796.0,-35.89795918367348
110,22.0,707.0,-22.275510204081634
111,22.0,752.0,-29.163265306122444
112,22.0,816.0,-38.9591836734694
113,22.0,748.0,-28.551020408163264
114,22.0,875.0,-47.98979591836734
115,23.0,820.0,-39.57142857142857
116,23.0,863.0,-46.1530612244898
117,23.0,775.0,-32.683673469387756
