,episode,make_span,reward
0,0.0,1177.0,-15.444444444444454
1,0.0,1101.0,-5.464646464646462
2,0.0,1266.0,-27.131313131313128
3,0.0,1168.0,-14.26262626262626
4,0.0,1110.0,-6.6464646464646435
5,1.0,1161.0,-13.343434343434337
6,1.0,1152.0,-12.161616161616152
7,1.0,1171.0,-14.656565656565633
8,1.0,1130.0,-9.272727272727273
9,1.0,1185.0,-16.494949494949495
10,2.0,1152.0,-12.161616161616152
11,2.0,1167.0,-14.131313131313128
12,2.0,1139.0,-10.454545454545462
13,2.0,1104.0,-5.858585858585851
14,2.0,1108.0,-6.383838383838389
15,3.0,1315.0,-33.56565656565657
16,3.0,1192.0,-17.414141414141415
17,3.0,1244.0,-24.242424242424242
18,3.0,1136.0,-10.06060606060606
19,3.0,1143.0,-10.97979797979797
20,4.0,1252.0,-25.292929292929294
21,4.0,1197.0,-18.07070707070707
22,4.0,1196.0,-17.939393939393934
23,4.0,1091.0,-4.151515151515142
24,4.0,1189.0,-17.02020202020202
25,5.0,1187.0,-16.757575757575754
26,5.0,1150.0,-11.8989898989899
27,5.0,1123.0,-8.353535353535353
28,5.0,1237.0,-23.323232323232325
29,5.0,1112.0,-6.909090909090901
30,6.0,1095.0,-4.676767676767675
31,6.0,1164.0,-13.737373737373728
32,6.0,1123.0,-8.353535353535353
33,6.0,1168.0,-14.262626262626267
34,6.0,1100.0,-5.333333333333338
35,7.0,1157.0,-12.818181818181813
36,7.0,1116.0,-7.43434343434344
37,7.0,1119.0,-7.828282828282832
38,7.0,1149.0,-11.767676767676772
39,7.0,1179.0,-15.707070707070711
40,8.0,1139.0,-10.454545454545446
41,8.0,1147.0,-11.505050505050502
42,8.0,1160.0,-13.2121212121212
43,8.0,1231.0,-22.535353535353536
44,8.0,1063.0,-0.47474747474747314
45,9.0,1253.0,-25.42424242424242
46,9.0,1350.0,-38.161616161616166
47,9.0,1058.0,0.18181818181818343
48,9.0,1181.0,-15.96969696969696
49,9.0,1174.0,-15.050505050505048
50,10.0,1172.0,-14.787878787878785
51,10.0,1140.0,-10.585858585858585
52,10.0,1146.0,-11.37373737373737
53,10.0,1299.0,-31.46464646464646
54,10.0,1077.0,-2.3131313131313043
55,11.0,1144.0,-11.111111111111116
56,11.0,1110.0,-6.646464646464632
57,11.0,1133.0,-9.666666666666671
58,11.0,1285.0,-29.62626262626263
59,11.0,1122.0,-8.22222222222222
60,12.0,1135.0,-9.929292929292929
61,12.0,1207.0,-19.38383838383838
62,12.0,1148.0,-11.636363636363631
63,12.0,1159.0,-13.080808080808087
64,12.0,1144.0,-11.11111111111112
65,13.0,1098.0,-5.070707070707057
66,13.0,1146.0,-11.37373737373738
67,13.0,1104.0,-5.858585858585857
68,13.0,1210.0,-19.77777777777778
69,13.0,1090.0,-4.0202020202020226
70,14.0,1171.0,-14.656565656565657
71,14.0,1130.0,-9.272727272727275
72,14.0,1144.0,-11.111111111111118
73,14.0,1106.0,-6.121212121212133
74,14.0,1108.0,-6.383838383838388
75,15.0,1164.0,-13.737373737373742
76,15.0,1139.0,-10.454545454545464
77,15.0,1325.0,-34.87878787878788
78,15.0,1148.0,-11.636363636363644
79,15.0,1157.0,-12.818181818181813
80,16.0,1129.0,-9.141414141414131
81,16.0,1146.0,-11.373737373737372
82,16.0,1115.0,-7.303030303030303
83,16.0,1175.0,-15.18181818181818
84,16.0,1116.0,-7.43434343434343
85,17.0,1162.0,-13.474747474747476
86,17.0,1149.0,-11.767676767676772
87,17.0,1110.0,-6.646464646464648
88,17.0,1139.0,-10.454545454545453
89,17.0,1157.0,-12.818181818181822
90,18.0,1135.0,-9.929292929292924
91,18.0,1200.0,-18.46464646464647
92,18.0,1299.0,-31.464646464646464
93,18.0,1134.0,-9.7979797979798
94,18.0,1198.0,-18.202020202020194
95,19.0,1181.0,-15.969696969696969
96,19.0,1161.0,-13.343434343434339
97,19.0,1098.0,-5.0707070707070585
98,19.0,1101.0,-5.4646464646464645
99,19.0,1181.0,-15.969696969696964
100,20.0,1154.0,-12.42424242424243
101,20.0,1161.0,-13.343434343434343
102,20.0,1121.0,-8.090909090909088
103,20.0,1126.0,-8.747474747474744
104,20.0,1177.0,-15.444444444444445
105,21.0,1177.0,-15.444444444444434
106,21.0,1173.0,-14.919191919191919
107,21.0,1062.0,-0.34343434343434875
108,21.0,1161.0,-13.343434343434348
109,21.0,1183.0,-16.23232323232323
110,22.0,1139.0,-10.45454545454545
111,22.0,1174.0,-15.050505050505055
112,22.0,1115.0,-7.3030303030303
113,22.0,1100.0,-5.333333333333324
114,22.0,1147.0,-11.505050505050509
115,23.0,1161.0,-13.343434343434339
116,23.0,1148.0,-11.636363636363635
117,23.0,1130.0,-9.272727272727275
118,23.0,1114.0,-7.1717171717171695
119,23.0,1167.0,-14.131313131313128
120,24.0,1123.0,-8.353535353535353
121,24.0,1255.0,-25.68686868686869
122,24.0,1121.0,-8.090909090909097
123,24.0,1247.0,-24.63636363636364
124,24.0,1210.0,-19.77777777777777
125,25.0,1173.0,-14.919191919191924
126,25.0,1100.0,-5.333333333333325
127,25.0,1115.0,-7.3030303030303
128,25.0,1105.0,-5.989898989898995
129,25.0,1146.0,-11.373737373737372
130,26.0,1139.0,-10.454545454545451
131,26.0,1200.0,-18.464646464646464
132,26.0,1106.0,-6.121212121212116
133,26.0,1137.0,-10.191919191919196
134,26.0,1120.0,-7.9595959595959656
135,27.0,1148.0,-11.636363636363633
136,27.0,1108.0,-6.383838383838382
137,27.0,1134.0,-9.797979797979817
138,27.0,1114.0,-7.171717171717171
139,27.0,1161.0,-13.34343434343434
140,28.0,1150.0,-11.898989898989905
