,episode,make_span,reward
0,0.0,880.0,-7.367346938775505
1,0.0,1028.0,-27.0
2,0.0,945.0,-15.989795918367346
3,0.0,899.0,-9.887755102040822
4,0.0,977.0,-20.234693877551013
5,1.0,930.0,-14.0
6,1.0,881.0,-7.499999999999995
7,1.0,899.0,-9.887755102040817
8,1.0,1012.0,-24.877551020408166
9,1.0,1057.0,-30.8469387755102
10,2.0,962.0,-18.244897959183675
11,2.0,922.0,-12.93877551020408
12,2.0,932.0,-14.265306122448983
13,2.0,1013.0,-25.010204081632658
14,2.0,1067.0,-32.1734693877551
15,3.0,969.0,-19.173469387755105
16,3.0,930.0,-13.999999999999996
17,3.0,1030.0,-27.265306122448976
18,3.0,1038.0,-28.326530612244902
19,3.0,1029.0,-27.13265306122448
20,4.0,930.0,-14.000000000000004
21,4.0,967.0,-18.90816326530612
22,4.0,971.0,-19.43877551020409
23,4.0,952.0,-16.918367346938776
24,4.0,1133.0,-40.92857142857143
25,5.0,991.0,-22.09183673469387
26,5.0,1017.0,-25.54081632653062
27,5.0,1074.0,-33.102040816326536
28,5.0,1088.0,-34.959183673469376
29,5.0,897.0,-9.622448979591839
30,6.0,922.0,-12.938775510204081
31,6.0,883.0,-7.765306122448975
32,6.0,908.0,-11.081632653061224
33,6.0,904.0,-10.55102040816326
34,6.0,895.0,-9.357142857142858
35,7.0,1013.0,-25.010204081632658
36,7.0,932.0,-14.26530612244898
37,7.0,887.0,-8.295918367346934
38,7.0,899.0,-9.887755102040819
39,7.0,1044.0,-29.12244897959183
40,8.0,1023.0,-26.336734693877546
41,8.0,959.0,-17.84693877551021
42,8.0,986.0,-21.428571428571423
43,8.0,976.0,-20.10204081632653
44,8.0,1099.0,-36.41836734693878
45,9.0,1024.0,-26.469387755102037
46,9.0,1027.0,-26.867346938775512
47,9.0,889.0,-8.561224489795915
48,9.0,899.0,-9.887755102040819
49,9.0,1012.0,-24.877551020408163
50,10.0,1044.0,-29.12244897959183
51,10.0,909.0,-11.214285714285715
52,10.0,944.0,-15.857142857142854
53,10.0,904.0,-10.551020408163257
54,10.0,930.0,-13.999999999999993
55,11.0,900.0,-10.02040816326531
56,11.0,960.0,-17.979591836734684
57,11.0,958.0,-17.714285714285715
58,11.0,933.0,-14.397959183673464
59,11.0,927.0,-13.602040816326532
60,12.0,973.0,-19.70408163265306
61,12.0,1015.0,-25.27551020408164
62,12.0,962.0,-18.244897959183675
63,12.0,1006.0,-24.08163265306122
64,12.0,907.0,-10.948979591836732
65,13.0,892.0,-8.959183673469393
66,13.0,930.0,-14.000000000000004
67,13.0,997.0,-22.88775510204082
68,13.0,1014.0,-25.142857142857142
69,13.0,932.0,-14.265306122448973
70,14.0,985.0,-21.295918367346935
71,14.0,903.0,-10.418367346938771
72,14.0,930.0,-14.000000000000005
73,14.0,907.0,-10.948979591836736
74,14.0,959.0,-17.846938775510203
75,15.0,906.0,-10.816326530612244
76,15.0,999.0,-23.153061224489793
77,15.0,952.0,-16.918367346938773
78,15.0,931.0,-14.132653061224495
79,15.0,963.0,-18.377551020408156
80,16.0,929.0,-13.867346938775508
81,16.0,932.0,-14.265306122448981
82,16.0,921.0,-12.806122448979597
83,16.0,910.0,-11.3469387755102
84,16.0,950.0,-16.653061224489793
85,17.0,973.0,-19.704081632653065
86,17.0,956.0,-17.448979591836732
87,17.0,937.0,-14.928571428571425
88,17.0,911.0,-11.479591836734695
89,17.0,930.0,-13.999999999999998
90,18.0,932.0,-14.265306122448976
91,18.0,1000.0,-23.28571428571428
92,18.0,964.0,-18.51020408163265
93,18.0,913.0,-11.744897959183675
94,18.0,933.0,-14.397959183673473
95,19.0,948.0,-16.387755102040817
96,19.0,930.0,-14.000000000000002
97,19.0,915.0,-12.01020408163266
98,19.0,866.0,-5.510204081632654
99,19.0,941.0,-15.459183673469377
100,20.0,913.0,-11.744897959183664
101,20.0,909.0,-11.214285714285712
102,20.0,986.0,-21.42857142857143
103,20.0,932.0,-14.265306122448976
104,20.0,979.0,-20.5
105,21.0,903.0,-10.418367346938776
106,21.0,957.0,-17.58163265306122
107,21.0,949.0,-16.520408163265316
108,21.0,1001.0,-23.418367346938776
109,21.0,950.0,-16.653061224489804
110,22.0,920.0,-12.673469387755105
111,22.0,923.0,-13.071428571428571
112,22.0,966.0,-18.775510204081634
113,22.0,963.0,-18.377551020408163
114,22.0,941.0,-15.459183673469393
115,23.0,1036.0,-28.06122448979592
116,23.0,898.0,-9.75510204081632
117,23.0,952.0,-16.918367346938783
118,23.0,952.0,-16.91836734693878
119,23.0,962.0,-18.24489795918367
120,24.0,926.0,-13.469387755102037
121,24.0,885.0,-8.030612244897952
122,24.0,968.0,-19.04081632653062
123,24.0,948.0,-16.387755102040817
124,24.0,936.0,-14.795918367346943
125,25.0,932.0,-14.265306122448981
126,25.0,930.0,-14.0
127,25.0,898.0,-9.755102040816332
128,25.0,943.0,-15.724489795918373
129,25.0,930.0,-14.00000000000001
130,26.0,896.0,-9.489795918367346
131,26.0,886.0,-8.163265306122442
132,26.0,885.0,-8.030612244897958
133,26.0,850.0,-3.3877551020408108
134,26.0,943.0,-15.72448979591837
135,27.0,892.0,-8.95918367346939
136,27.0,911.0,-11.479591836734688
137,27.0,943.0,-15.724489795918373
138,27.0,919.0,-12.540816326530614
139,27.0,1096.0,-36.02040816326531
140,28.0,895.0,-9.357142857142863
141,28.0,941.0,-15.459183673469385
142,28.0,853.0,-3.7857142857142763
143,28.0,930.0,-14.000000000000002
144,28.0,1036.0,-28.06122448979592
145,29.0,981.0,-20.765306122448976
146,29.0,983.0,-21.030612244897956
147,29.0,1006.0,-24.081632653061224
148,29.0,984.0,-21.163265306122447
149,29.0,970.0,-19.306122448979593
150,30.0,899.0,-9.887755102040808
