,episode,make_span,reward
0,0.0,3391.0,-407.5353535353535
1,0.0,3303.0,-371.97979797979804
2,0.0,3362.0,-395.8181818181816
3,0.0,3309.0,-374.4040404040406
4,0.0,3284.0,-364.3030303030302
5,1.0,3318.0,-378.0404040404041
6,1.0,3278.0,-361.8787878787878
7,1.0,3362.0,-395.8181818181818
8,1.0,3211.0,-334.808080808081
9,1.0,3158.0,-313.39393939393955
10,2.0,3304.0,-372.38383838383845
11,2.0,3082.0,-282.68686868686854
12,2.0,3127.0,-300.86868686868684
13,2.0,3164.0,-315.8181818181818
14,2.0,3220.0,-338.4444444444447
15,3.0,3271.0,-359.05050505050525
16,3.0,3103.0,-291.1717171717171
17,3.0,3208.0,-333.5959595959595
18,3.0,3142.0,-306.9292929292928
19,3.0,3314.0,-376.42424242424244
20,4.0,3065.0,-275.8181818181816
21,4.0,3162.0,-315.0101010101008
22,4.0,3399.0,-410.76767676767656
23,4.0,3498.0,-450.76767676767673
24,4.0,3201.0,-330.76767676767645
25,5.0,3154.0,-311.777777777778
26,5.0,3207.0,-333.191919191919
27,5.0,3147.0,-308.94949494949486
28,5.0,3306.0,-373.1919191919191
29,5.0,3165.0,-316.2222222222224
30,6.0,3228.0,-341.6767676767677
31,6.0,3138.0,-305.31313131313135
32,6.0,3349.0,-390.56565656565647
33,6.0,3219.0,-338.04040404040387
34,6.0,3169.0,-317.8383838383837
35,7.0,3214.0,-336.0202020202019
36,7.0,3126.0,-300.46464646464653
37,7.0,3202.0,-331.1717171717172
38,7.0,3124.0,-299.6565656565658
39,7.0,3208.0,-333.59595959595936
40,8.0,3078.0,-281.07070707070716
41,8.0,3113.0,-295.2121212121213
42,8.0,3242.0,-347.33333333333326
43,8.0,3210.0,-334.4040404040402
44,8.0,3296.0,-369.1515151515151
45,9.0,3134.0,-303.69696969696963
46,9.0,3262.0,-355.41414141414117
47,9.0,3326.0,-381.2727272727276
48,9.0,3143.0,-307.3333333333332
49,9.0,3154.0,-311.7777777777777
50,10.0,3286.0,-365.11111111111074
51,10.0,3176.0,-320.66666666666674
52,10.0,3192.0,-327.13131313131294
53,10.0,3172.0,-319.0505050505047
54,10.0,3256.0,-352.98989898989896
55,11.0,3386.0,-405.51515151515156
56,11.0,3166.0,-316.6262626262626
57,11.0,3303.0,-371.9797979797978
58,11.0,3104.0,-291.57575757575717
59,11.0,3254.0,-352.1818181818183
60,12.0,3090.0,-285.9191919191917
61,12.0,3254.0,-352.18181818181824
62,12.0,3283.0,-363.89898989898995
63,12.0,3231.0,-342.88888888888897
64,12.0,3255.0,-352.5858585858588
65,13.0,3210.0,-334.4040404040406
66,13.0,3192.0,-327.1313131313128
67,13.0,3360.0,-395.010101010101
68,13.0,3230.0,-342.48484848484867
69,13.0,3199.0,-329.9595959595956
70,14.0,3144.0,-307.7373737373737
71,14.0,3184.0,-323.89898989898984
72,14.0,3071.0,-278.24242424242425
73,14.0,3216.0,-336.8282828282832
74,14.0,3009.0,-253.19191919191903
75,15.0,3234.0,-344.10101010101
76,15.0,3189.0,-325.9191919191921
77,15.0,3109.0,-293.59595959595964
78,15.0,3422.0,-420.0606060606061
79,15.0,3148.0,-309.35353535353516
80,16.0,3393.0,-408.3434343434347
81,16.0,3114.0,-295.6161616161618
82,16.0,3209.0,-334.0000000000001
83,16.0,3213.0,-335.6161616161613
84,16.0,3126.0,-300.4646464646462
85,17.0,3167.0,-317.03030303030283
86,17.0,3200.0,-330.36363636363643
87,17.0,3091.0,-286.3232323232324
88,17.0,3190.0,-326.3232323232322
89,17.0,3188.0,-325.5151515151515
90,18.0,3041.0,-266.12121212121207
91,18.0,3037.0,-264.5050505050505
92,18.0,3138.0,-305.3131313131314
93,18.0,3163.0,-315.41414141414157
94,18.0,3080.0,-281.87878787878805
95,19.0,3158.0,-313.39393939393926
96,19.0,3138.0,-305.31313131313124
97,19.0,3157.0,-312.989898989899
98,19.0,3289.0,-366.32323232323193
99,19.0,3046.0,-268.1414141414138
100,20.0,2990.0,-245.51515151515156
101,20.0,3133.0,-303.29292929292933
102,20.0,3095.0,-287.939393939394
103,20.0,3205.0,-332.3838383838383
104,20.0,3137.0,-304.90909090909093
105,21.0,3233.0,-343.6969696969696
106,21.0,3097.0,-288.74747474747494
107,21.0,3083.0,-283.09090909090924
108,21.0,3070.0,-277.8383838383838
109,21.0,3135.0,-304.1010101010101
110,22.0,3241.0,-346.9292929292926
111,22.0,3164.0,-315.81818181818153
112,22.0,3031.0,-262.08080808080814
113,22.0,3215.0,-336.4242424242427
