,episode,make_span,reward
0,0.0,2095.0,-410.38775510204096
1,0.0,1877.0,-321.40816326530614
2,0.0,1964.0,-356.9183673469389
3,0.0,1938.0,-346.30612244897964
4,0.0,1931.0,-343.44897959183686
5,1.0,1886.0,-325.08163265306115
6,1.0,1779.0,-281.4081632653061
7,1.0,2015.0,-377.73469387755114
8,1.0,1876.0,-321.0
9,1.0,1874.0,-320.18367346938777
10,2.0,1911.0,-335.2857142857142
11,2.0,1900.0,-330.795918367347
12,2.0,1867.0,-317.32653061224494
13,2.0,1807.0,-292.8367346938776
14,2.0,1842.0,-307.1224489795918
15,3.0,1812.0,-294.8775510204083
16,3.0,1839.0,-305.8979591836735
17,3.0,1929.0,-342.6326530612246
18,3.0,1840.0,-306.30612244897947
19,3.0,1860.0,-314.46938775510216
20,4.0,1803.0,-291.2040816326531
21,4.0,1868.0,-317.734693877551
22,4.0,1895.0,-328.7551020408163
23,4.0,1886.0,-325.0816326530614
24,4.0,1885.0,-324.67346938775523
25,5.0,1964.0,-356.9183673469388
26,5.0,1813.0,-295.28571428571433
27,5.0,1815.0,-296.1020408163265
28,5.0,1938.0,-346.3061224489798
29,5.0,1939.0,-346.71428571428584
30,6.0,1976.0,-361.81632653061234
31,6.0,1889.0,-326.3061224489796
32,6.0,1828.0,-301.40816326530626
33,6.0,1902.0,-331.6122448979592
34,6.0,1846.0,-308.7551020408164
35,7.0,2012.0,-376.51020408163254
36,7.0,1933.0,-344.265306122449
37,7.0,1957.0,-354.0612244897959
38,7.0,1911.0,-335.2857142857144
39,7.0,1931.0,-343.44897959183663
40,8.0,1890.0,-326.71428571428584
41,8.0,1913.0,-336.10204081632645
42,8.0,1828.0,-301.4081632653062
43,8.0,1843.0,-307.5306122448979
44,8.0,1897.0,-329.5714285714287
45,9.0,1842.0,-307.12244897959175
46,9.0,1950.0,-351.2040816326529
47,9.0,1829.0,-301.81632653061206
48,9.0,1912.0,-335.6938775510203
