,episode,make_span,reward
0,0.0,486.0,-20.149999999999995
1,0.0,510.0,-31.54999999999999
2,0.0,477.0,-15.874999999999998
3,0.0,499.0,-26.325000000000006
4,0.0,538.0,-44.85
5,1.0,527.0,-39.62500000000001
6,1.0,539.0,-45.32500000000001
7,1.0,461.0,-8.274999999999995
8,1.0,498.0,-25.85
9,1.0,573.0,-61.475
10,2.0,512.0,-32.500000000000014
11,2.0,507.0,-30.125000000000014
12,2.0,541.0,-46.275
13,2.0,543.0,-47.225
14,2.0,535.0,-43.425000000000004
15,3.0,537.0,-44.37500000000001
16,3.0,506.0,-29.650000000000006
17,3.0,518.0,-35.35
18,3.0,500.0,-26.800000000000004
19,3.0,503.0,-28.224999999999998
20,4.0,536.0,-43.9
21,4.0,572.0,-61.000000000000014
22,4.0,494.0,-23.950000000000006
23,4.0,483.0,-18.725
24,4.0,521.0,-36.77500000000002
25,5.0,563.0,-56.725
26,5.0,514.0,-33.44999999999999
27,5.0,531.0,-41.52500000000001
28,5.0,534.0,-42.95000000000002
29,5.0,534.0,-42.949999999999996
30,6.0,570.0,-60.05000000000001
31,6.0,542.0,-46.75000000000001
32,6.0,522.0,-37.25000000000001
33,6.0,514.0,-33.44999999999999
34,6.0,511.0,-32.024999999999984
35,7.0,534.0,-42.949999999999996
36,7.0,569.0,-59.57500000000001
37,7.0,506.0,-29.64999999999999
38,7.0,499.0,-26.325000000000003
39,7.0,508.0,-30.6
40,8.0,575.0,-62.42500000000001
41,8.0,535.0,-43.425000000000004
42,8.0,493.0,-23.47500000000001
43,8.0,481.0,-17.775000000000013
44,8.0,553.0,-51.975000000000016
45,9.0,477.0,-15.87499999999998
46,9.0,516.0,-34.400000000000006
47,9.0,551.0,-51.025
48,9.0,549.0,-50.07500000000001
49,9.0,485.0,-19.675000000000004
50,10.0,475.0,-14.925000000000002
51,10.0,515.0,-33.925
52,10.0,467.0,-11.125000000000004
53,10.0,531.0,-41.525
54,10.0,500.0,-26.80000000000001
55,11.0,516.0,-34.4
