,episode,make_span,reward
0,0.0,402.0,-68.85
1,0.0,393.0,-64.575
2,0.0,353.0,-45.574999999999996
3,0.0,402.0,-68.85
4,0.0,435.0,-84.52499999999999
5,1.0,386.0,-61.25000000000001
6,1.0,429.0,-81.675
7,1.0,353.0,-45.57500000000001
8,1.0,397.0,-66.475
9,1.0,393.0,-64.575
10,2.0,420.0,-77.4
11,2.0,455.0,-94.02499999999998
12,2.0,456.0,-94.5
13,2.0,398.0,-66.95
14,2.0,397.0,-66.475
15,3.0,443.0,-88.32499999999999
16,3.0,400.0,-67.89999999999999
17,3.0,399.0,-67.425
18,3.0,392.0,-64.1
19,3.0,386.0,-61.25000000000001
20,4.0,445.0,-89.27499999999999
21,4.0,426.0,-80.24999999999999
22,4.0,381.0,-58.875
23,4.0,384.0,-60.300000000000004
24,4.0,372.0,-54.60000000000001
25,5.0,403.0,-69.325
26,5.0,383.0,-59.824999999999996
27,5.0,383.0,-59.825
28,5.0,390.0,-63.15
29,5.0,375.0,-56.025
30,6.0,385.0,-60.775000000000006
31,6.0,381.0,-58.87500000000001
32,6.0,353.0,-45.57500000000001
33,6.0,436.0,-85.0
34,6.0,404.0,-69.8
35,7.0,373.0,-55.07500000000002
36,7.0,432.0,-83.09999999999998
37,7.0,380.0,-58.4
38,7.0,439.0,-86.42499999999998
39,7.0,407.0,-71.22500000000001
40,8.0,384.0,-60.3
41,8.0,397.0,-66.475
42,8.0,371.0,-54.12500000000001
43,8.0,431.0,-82.62500000000001
44,8.0,394.0,-65.05
45,9.0,376.0,-56.5
46,9.0,383.0,-59.82499999999999
47,9.0,442.0,-87.84999999999998
48,9.0,353.0,-45.57499999999999
49,9.0,351.0,-44.62500000000001
50,10.0,348.0,-43.199999999999996
51,10.0,377.0,-56.97500000000001
52,10.0,437.0,-85.475
53,10.0,409.0,-72.17499999999998
54,10.0,353.0,-45.57500000000001
55,11.0,414.0,-74.55000000000001
56,11.0,357.0,-47.475
57,11.0,414.0,-74.55
58,11.0,402.0,-68.85000000000001
59,11.0,383.0,-59.825
60,12.0,428.0,-81.19999999999997
61,12.0,363.0,-50.325
62,12.0,365.0,-51.27499999999999
63,12.0,405.0,-70.275
64,12.0,393.0,-64.57499999999999
65,13.0,394.0,-65.04999999999998
66,13.0,382.0,-59.349999999999994
67,13.0,402.0,-68.85000000000001
68,13.0,353.0,-45.575
69,13.0,368.0,-52.7
70,14.0,386.0,-61.24999999999999
71,14.0,398.0,-66.95
72,14.0,450.0,-91.64999999999999
73,14.0,388.0,-62.20000000000001
74,14.0,366.0,-51.75
75,15.0,398.0,-66.95
76,15.0,363.0,-50.325
77,15.0,335.0,-37.02499999999999
78,15.0,384.0,-60.300000000000004
79,15.0,405.0,-70.27499999999999
80,16.0,358.0,-47.95
81,16.0,353.0,-45.575
82,16.0,383.0,-59.82500000000001
83,16.0,379.0,-57.92500000000001
84,16.0,405.0,-70.275
85,17.0,418.0,-76.45
86,17.0,385.0,-60.775000000000006
87,17.0,405.0,-70.27499999999999
88,17.0,399.0,-67.425
89,17.0,361.0,-49.37499999999999
90,18.0,404.0,-69.8
91,18.0,418.0,-76.45
92,18.0,383.0,-59.824999999999996
93,18.0,361.0,-49.375
94,18.0,457.0,-94.975
95,19.0,385.0,-60.775
96,19.0,398.0,-66.94999999999999
97,19.0,388.0,-62.199999999999996
98,19.0,392.0,-64.1
99,19.0,437.0,-85.475
100,20.0,379.0,-57.925000000000004
101,20.0,355.0,-46.52499999999999
102,20.0,437.0,-85.47499999999998
103,20.0,399.0,-67.425
104,20.0,381.0,-58.875
105,21.0,341.0,-39.875
106,21.0,411.0,-73.125
107,21.0,370.0,-53.650000000000006
108,21.0,398.0,-66.94999999999999
109,21.0,379.0,-57.925
110,22.0,470.0,-101.14999999999998
111,22.0,361.0,-49.375
112,22.0,400.0,-67.89999999999999
113,22.0,367.0,-52.224999999999994
114,22.0,386.0,-61.24999999999999
115,23.0,401.0,-68.375
116,23.0,373.0,-55.075
117,23.0,363.0,-50.325
118,23.0,403.0,-69.325
119,23.0,349.0,-43.67499999999999
120,24.0,377.0,-56.97499999999999
121,24.0,424.0,-79.3
122,24.0,333.0,-36.074999999999996
123,24.0,423.0,-78.82499999999999
124,24.0,353.0,-45.575
125,25.0,427.0,-80.725
126,25.0,464.0,-98.3
127,25.0,375.0,-56.02499999999999
128,25.0,405.0,-70.275
129,25.0,353.0,-45.57499999999999
130,26.0,353.0,-45.574999999999996
131,26.0,353.0,-45.57500000000001
132,26.0,459.0,-95.92500000000001
