,episode,make_span,reward
0,0.0,4231.0,-37.395000000000024
1,0.0,4337.0,-51.705000000000005
2,0.0,4233.0,-37.66499999999999
3,0.0,4317.0,-49.005
4,0.0,4425.0,-63.58500000000002
5,1.0,4663.0,-95.71500000000002
6,1.0,4643.0,-93.01500000000003
7,1.0,4432.0,-64.53
8,1.0,4375.0,-56.83500000000001
9,1.0,4270.0,-42.660000000000025
10,2.0,4401.0,-60.34500000000005
11,2.0,4387.0,-58.45500000000003
12,2.0,4021.0,-9.044999999999973
13,2.0,4726.0,-104.22000000000001
14,2.0,4200.0,-33.210000000000036
15,3.0,4266.0,-42.120000000000005
16,3.0,5057.0,-148.90499999999997
17,3.0,4746.0,-106.91999999999997
18,3.0,4278.0,-43.739999999999995
19,3.0,4411.0,-61.69500000000003
20,4.0,4759.0,-108.67500000000001
21,4.0,4761.0,-108.94499999999996
22,4.0,4554.0,-81.0
23,4.0,4636.0,-92.07
24,4.0,4511.0,-75.19500000000004
25,5.0,4729.0,-104.62500000000001
26,5.0,4382.0,-57.77999999999997
27,5.0,4308.0,-47.79000000000001
28,5.0,4685.0,-98.68499999999996
29,5.0,4388.0,-58.590000000000046
30,6.0,4360.0,-54.80999999999999
31,6.0,4592.0,-86.13
32,6.0,4200.0,-33.21000000000002
33,6.0,4522.0,-76.68000000000002
34,6.0,4815.0,-116.23499999999999
35,7.0,4303.0,-47.114999999999995
36,7.0,4733.0,-105.16499999999999
37,7.0,4298.0,-46.44000000000001
38,7.0,4637.0,-92.20500000000001
39,7.0,4744.0,-106.65000000000002
40,8.0,4602.0,-87.47999999999999
41,8.0,4200.0,-33.21000000000002
42,8.0,4576.0,-83.96999999999998
43,8.0,4154.0,-26.99999999999994
44,8.0,4564.0,-82.34999999999998
45,9.0,4581.0,-84.645
46,9.0,4394.0,-59.40000000000005
47,9.0,4384.0,-58.04999999999997
48,9.0,4374.0,-56.7
49,9.0,4273.0,-43.06500000000001
50,10.0,4694.0,-99.9
51,10.0,4292.0,-45.63000000000002
52,10.0,4297.0,-46.30500000000001
53,10.0,4545.0,-79.785
54,10.0,4474.0,-70.19999999999999
55,11.0,4307.0,-47.65500000000006
56,11.0,4340.0,-52.11000000000002
57,11.0,4415.0,-62.234999999999985
58,11.0,4379.0,-57.37500000000004
59,11.0,4287.0,-44.954999999999984
60,12.0,4223.0,-36.315000000000005
61,12.0,4293.0,-45.76500000000003
62,12.0,4179.0,-30.37499999999998
63,12.0,4532.0,-78.03
64,12.0,4640.0,-92.61
65,13.0,4322.0,-49.680000000000035
66,13.0,4188.0,-31.59000000000002
67,13.0,4082.0,-17.279999999999973
68,13.0,4351.0,-53.59500000000003
69,13.0,4225.0,-36.58500000000001
70,14.0,4260.0,-41.31000000000004
71,14.0,4354.0,-54.000000000000014
72,14.0,4068.0,-15.389999999999993
73,14.0,4373.0,-56.56500000000004
74,14.0,4386.0,-58.32000000000003
75,15.0,4175.0,-29.83500000000003
76,15.0,4456.0,-67.77000000000002
77,15.0,4259.0,-41.17500000000002
78,15.0,4399.0,-60.07500000000002
79,15.0,4345.0,-52.78499999999999
80,16.0,4300.0,-46.71000000000002
81,16.0,4044.0,-12.15000000000003
82,16.0,4424.0,-63.45
83,16.0,4258.0,-41.04000000000004
84,16.0,4272.0,-42.93000000000002
85,17.0,4508.0,-74.79
86,17.0,3856.0,13.230000000000011
87,17.0,4049.0,-12.825000000000006
88,17.0,4267.0,-42.25500000000003
89,17.0,4102.0,-19.980000000000018
90,18.0,4205.0,-33.88499999999999
91,18.0,4523.0,-76.81499999999997
92,18.0,4129.0,-23.625000000000014
93,18.0,4047.0,-12.555000000000007
94,18.0,4201.0,-33.345
95,19.0,4234.0,-37.800000000000004
96,19.0,4177.0,-30.105000000000025
97,19.0,4312.0,-48.329999999999956
98,19.0,4230.0,-37.260000000000005
99,19.0,4128.0,-23.490000000000038
100,20.0,4337.0,-51.70500000000001
101,20.0,4284.0,-44.55000000000001
102,20.0,3993.0,-5.265000000000034
103,20.0,4111.0,-21.195000000000007
104,20.0,4369.0,-56.025
105,21.0,4078.0,-16.740000000000027
106,21.0,4198.0,-32.94
107,21.0,4192.0,-32.12999999999999
108,21.0,4283.0,-44.41500000000002
109,21.0,4216.0,-35.369999999999976
110,22.0,4167.0,-28.754999999999995
111,22.0,4267.0,-42.25499999999998
112,22.0,4192.0,-32.130000000000024
113,22.0,4194.0,-32.40000000000001
114,22.0,4310.0,-48.06
115,23.0,4117.0,-22.005000000000003
116,23.0,4289.0,-45.22500000000001
117,23.0,4307.0,-47.655000000000015
118,23.0,4380.0,-57.510000000000005
119,23.0,4098.0,-19.439999999999976
120,24.0,4243.0,-39.01500000000005
121,24.0,4325.0,-50.084999999999994
122,24.0,4446.0,-66.42000000000002
123,24.0,4165.0,-28.484999999999985
124,24.0,4212.0,-34.83000000000002
125,25.0,4354.0,-54.00000000000004
126,25.0,4307.0,-47.65499999999997
127,25.0,4125.0,-23.08500000000001
128,25.0,4125.0,-23.085000000000008
129,25.0,4112.0,-21.330000000000027
130,26.0,4159.0,-27.674999999999983
131,26.0,4094.0,-18.900000000000016
132,26.0,4230.0,-37.26000000000002
133,26.0,4130.0,-23.760000000000012
134,26.0,3893.0,8.234999999999978
135,27.0,4223.0,-36.31500000000001
136,27.0,4390.0,-58.86
137,27.0,4449.0,-66.82500000000002
