,episode,make_span,reward
0,0.0,3488.0,-91.89000000000001
1,0.0,3554.0,-100.80000000000003
2,0.0,3427.0,-83.65500000000002
3,0.0,3475.0,-90.13499999999999
4,0.0,3201.0,-53.14500000000001
5,1.0,3525.0,-96.885
6,1.0,3401.0,-80.145
7,1.0,3613.0,-108.76500000000001
8,1.0,3358.0,-74.33999999999999
9,1.0,3485.0,-91.48500000000001
10,2.0,3481.0,-90.94500000000002
11,2.0,3340.0,-71.90999999999997
12,2.0,3304.0,-67.05000000000003
13,2.0,3234.0,-57.599999999999994
14,2.0,3390.0,-78.66
15,3.0,3325.0,-69.88499999999999
16,3.0,3367.0,-75.55500000000004
17,3.0,3666.0,-115.92000000000004
18,3.0,3501.0,-93.64499999999998
19,3.0,3318.0,-68.94
20,4.0,3448.0,-86.49000000000005
21,4.0,3398.0,-79.74000000000001
22,4.0,3422.0,-82.98000000000003
23,4.0,3366.0,-75.41999999999999
24,4.0,3259.0,-60.97500000000002
25,5.0,3255.0,-60.43499999999999
26,5.0,3249.0,-59.625000000000014
27,5.0,3538.0,-98.64000000000001
28,5.0,3186.0,-51.12
29,5.0,3285.0,-64.485
30,6.0,3243.0,-58.81499999999998
31,6.0,3431.0,-84.19499999999996
32,6.0,3361.0,-74.745
33,6.0,3474.0,-90.0
34,6.0,3195.0,-52.334999999999994
35,7.0,3266.0,-61.91999999999999
36,7.0,3462.0,-88.38
37,7.0,3450.0,-86.76000000000002
38,7.0,3664.0,-115.64999999999999
39,7.0,3120.0,-42.20999999999999
40,8.0,3215.0,-55.03499999999998
41,8.0,3158.0,-47.34000000000003
42,8.0,3369.0,-75.82500000000002
43,8.0,3383.0,-77.715
44,8.0,3104.0,-40.050000000000026
45,9.0,3396.0,-79.46999999999996
46,9.0,3277.0,-63.404999999999994
47,9.0,3429.0,-83.925
48,9.0,3362.0,-74.88
49,9.0,3161.0,-47.74499999999993
50,10.0,3235.0,-57.73500000000003
51,10.0,3228.0,-56.78999999999999
52,10.0,3351.0,-73.39500000000001
53,10.0,3704.0,-121.04999999999997
54,10.0,3421.0,-82.84499999999997
55,11.0,3463.0,-88.51500000000001
56,11.0,3577.0,-103.905
57,11.0,3207.0,-53.955
58,11.0,3509.0,-94.725
59,11.0,3468.0,-89.19000000000004
60,12.0,3193.0,-52.065
61,12.0,3339.0,-71.77500000000003
62,12.0,3346.0,-72.72000000000003
63,12.0,3322.0,-69.48000000000003
64,12.0,3246.0,-59.22000000000001
65,13.0,3573.0,-103.36500000000004
66,13.0,3215.0,-55.03499999999998
67,13.0,3263.0,-61.515000000000015
68,13.0,3453.0,-87.16499999999999
69,13.0,3526.0,-97.02000000000005
70,14.0,3461.0,-88.24500000000003
71,14.0,3137.0,-44.504999999999995
72,14.0,3320.0,-69.20999999999994
73,14.0,3236.0,-57.870000000000026
74,14.0,3263.0,-61.51500000000002
75,15.0,3208.0,-54.08999999999998
76,15.0,3290.0,-65.16000000000003
77,15.0,3185.0,-50.985000000000014
78,15.0,3639.0,-112.27500000000002
79,15.0,3333.0,-70.96500000000002
80,16.0,3325.0,-69.88499999999999
81,16.0,3222.0,-55.980000000000004
82,16.0,3136.0,-44.36999999999999
83,16.0,3315.0,-68.53499999999998
84,16.0,3399.0,-79.87500000000001
85,17.0,3157.0,-47.20500000000001
86,17.0,3387.0,-78.25500000000002
87,17.0,3356.0,-74.07000000000005
88,17.0,3394.0,-79.19999999999999
89,17.0,3183.0,-50.715
90,18.0,3280.0,-63.81000000000001
91,18.0,3413.0,-81.76500000000001
92,18.0,3294.0,-65.70000000000002
93,18.0,3225.0,-56.385000000000005
94,18.0,3361.0,-74.74499999999999
95,19.0,3229.0,-56.925000000000004
96,19.0,3335.0,-71.235
97,19.0,3350.0,-73.26
98,19.0,3582.0,-104.58
99,19.0,3118.0,-41.940000000000005
100,20.0,3289.0,-65.02499999999998
101,20.0,3413.0,-81.765
102,20.0,3382.0,-77.57999999999991
103,20.0,3402.0,-80.28
104,20.0,3250.0,-59.76000000000001
105,21.0,3180.0,-50.309999999999974
106,21.0,3278.0,-63.54000000000002
107,21.0,3369.0,-75.82499999999999
108,21.0,3071.0,-35.59500000000003
109,21.0,3034.0,-30.599999999999977
110,22.0,3356.0,-74.07000000000001
111,22.0,3225.0,-56.38500000000002
112,22.0,3415.0,-82.03500000000003
113,22.0,3265.0,-61.78500000000001
114,22.0,3207.0,-53.954999999999984
115,23.0,3196.0,-52.46999999999997
116,23.0,3410.0,-81.35999999999999
117,23.0,3260.0,-61.11000000000002
118,23.0,3307.0,-67.45500000000001
119,23.0,3304.0,-67.05000000000004
120,24.0,3301.0,-66.64499999999997
121,24.0,3134.0,-44.10000000000001
122,24.0,3215.0,-55.035
123,24.0,3184.0,-50.85000000000002
124,24.0,3261.0,-61.24500000000002
125,25.0,3168.0,-48.69
126,25.0,3346.0,-72.72
127,25.0,3438.0,-85.14
128,25.0,3450.0,-86.76000000000002
129,25.0,3295.0,-65.83500000000001
130,26.0,3237.0,-58.00500000000004
131,26.0,3373.0,-76.36500000000001
132,26.0,3349.0,-73.12500000000003
133,26.0,3298.0,-66.24000000000004
134,26.0,3210.0,-54.36000000000003
135,27.0,3050.0,-32.760000000000005
136,27.0,3125.0,-42.885000000000005
137,27.0,3316.0,-68.67
138,27.0,3290.0,-65.16000000000001
139,27.0,3224.0,-56.250000000000014
140,28.0,3235.0,-57.73499999999997
141,28.0,3187.0,-51.25499999999998
142,28.0,3396.0,-79.47000000000004
143,28.0,3494.0,-92.70000000000002
144,28.0,3366.0,-75.41999999999999
145,29.0,3200.0,-53.010000000000005
146,29.0,3292.0,-65.43
147,29.0,3137.0,-44.50500000000002
148,29.0,3097.0,-39.10500000000002
149,29.0,3191.0,-51.795
150,30.0,3401.0,-80.14500000000002
151,30.0,3264.0,-61.650000000000034
152,30.0,3302.0,-66.78000000000003
153,30.0,3350.0,-73.26000000000003
154,30.0,3404.0,-80.55000000000001
155,31.0,3282.0,-64.07999999999997
156,31.0,3154.0,-46.80000000000001
157,31.0,3365.0,-75.28500000000005
158,31.0,3262.0,-61.37999999999998
159,31.0,3220.0,-55.71000000000001
160,32.0,3318.0,-68.94000000000004
161,32.0,3091.0,-38.295000000000016
162,32.0,3276.0,-63.269999999999996
163,32.0,3140.0,-44.90999999999997
164,32.0,3371.0,-76.095
165,33.0,3155.0,-46.934999999999995
166,33.0,3120.0,-42.21
167,33.0,3368.0,-75.69
168,33.0,3391.0,-78.79500000000002
169,33.0,3348.0,-72.99000000000001
170,34.0,3158.0,-47.340000000000025
171,34.0,3451.0,-86.89500000000002
172,34.0,3162.0,-47.879999999999995
173,34.0,3228.0,-56.790000000000006
174,34.0,3248.0,-59.490000000000016
175,35.0,3334.0,-71.10000000000001
176,35.0,3232.0,-57.33000000000001
177,35.0,3297.0,-66.10499999999998
178,35.0,3307.0,-67.45499999999998
179,35.0,3333.0,-70.96500000000003
180,36.0,3277.0,-63.40500000000002
181,36.0,3126.0,-43.01999999999998
182,36.0,3164.0,-48.15000000000003
183,36.0,3227.0,-56.65499999999999
184,36.0,3396.0,-79.47000000000003
185,37.0,3255.0,-60.43500000000002
186,37.0,3429.0,-83.92500000000001
187,37.0,3245.0,-59.08499999999999
188,37.0,3424.0,-83.24999999999999
189,37.0,3351.0,-73.39500000000001
190,38.0,3342.0,-72.17999999999998
191,38.0,3260.0,-61.11000000000001
192,38.0,3300.0,-66.50999999999998
193,38.0,3123.0,-42.61500000000001
194,38.0,3377.0,-76.905
195,39.0,3214.0,-54.89999999999996
196,39.0,3230.0,-57.06
197,39.0,3225.0,-56.38500000000003
198,39.0,3265.0,-61.78500000000002
199,39.0,3161.0,-47.74499999999996
200,40.0,3355.0,-73.93500000000006
201,40.0,3324.0,-69.74999999999999
202,40.0,3215.0,-55.03500000000002
203,40.0,3288.0,-64.89000000000001
204,40.0,3338.0,-71.63999999999999
205,41.0,3031.0,-30.19500000000003
206,41.0,3296.0,-65.97
207,41.0,3224.0,-56.25
208,41.0,3359.0,-74.47499999999998
209,41.0,3242.0,-58.680000000000014
210,42.0,3213.0,-54.76499999999997
211,42.0,3276.0,-63.26999999999999
212,42.0,3308.0,-67.58999999999999
213,42.0,3353.0,-73.66500000000003
214,42.0,3208.0,-54.09000000000003
215,43.0,3532.0,-97.82999999999998
216,43.0,3210.0,-54.35999999999998
217,43.0,3446.0,-86.22
218,43.0,3313.0,-68.26499999999999
219,43.0,3251.0,-59.894999999999996
220,44.0,3323.0,-69.615
221,44.0,3188.0,-51.39
222,44.0,3300.0,-66.51000000000003
223,44.0,3226.0,-56.52000000000001
224,44.0,3355.0,-73.93499999999999
225,45.0,3293.0,-65.56500000000003
226,45.0,3158.0,-47.33999999999996
227,45.0,3256.0,-60.57000000000002
228,45.0,3227.0,-56.65500000000001
229,45.0,3335.0,-71.23500000000001
230,46.0,3151.0,-46.394999999999996
231,46.0,3303.0,-66.915
232,46.0,3411.0,-81.495
233,46.0,3250.0,-59.760000000000005
