,episode,make_span,reward
0,0.0,53.0,-16.1
1,0.0,53.0,-16.1
2,0.0,53.0,-16.1
3,0.0,53.0,-16.1
4,0.0,53.0,-16.1
5,1.0,53.0,-16.1
6,1.0,53.0,-16.1
7,1.0,53.0,-16.1
8,1.0,53.0,-16.099999999999998
9,1.0,53.0,-16.1
10,2.0,53.0,-16.1
11,2.0,53.0,-16.1
12,2.0,53.0,-16.1
13,2.0,53.0,-16.1
14,2.0,53.0,-16.1
15,3.0,53.0,-16.1
16,3.0,53.0,-16.1
17,3.0,53.0,-16.1
18,3.0,53.0,-16.1
19,3.0,53.0,-16.1
20,4.0,53.0,-16.1
21,4.0,53.0,-16.1
22,4.0,53.0,-16.1
23,4.0,53.0,-16.1
24,4.0,53.0,-16.1
25,5.0,53.0,-16.1
26,5.0,53.0,-16.1
27,5.0,53.0,-16.1
28,5.0,53.0,-16.1
29,5.0,53.0,-16.1
