,episode,make_span,reward
0,0.0,45.0,-10.5
1,0.0,47.0,-11.899999999999999
2,0.0,40.0,-7.000000000000001
3,0.0,43.0,-9.1
4,0.0,50.0,-14.0
5,1.0,53.0,-16.1
6,1.0,43.0,-9.1
7,1.0,53.0,-16.099999999999998
8,1.0,41.0,-7.700000000000001
9,1.0,45.0,-10.499999999999998
10,2.0,43.0,-9.1
11,2.0,46.0,-11.2
12,2.0,40.0,-7.0
13,2.0,43.0,-9.1
14,2.0,51.0,-14.700000000000001
15,3.0,53.0,-16.1
16,3.0,50.0,-14.0
17,3.0,43.0,-9.100000000000001
18,3.0,43.0,-9.1
19,3.0,53.0,-16.1
20,4.0,51.0,-14.7
21,4.0,50.0,-13.999999999999998
22,4.0,40.0,-7.000000000000001
23,4.0,43.0,-9.1
24,4.0,46.0,-11.2
25,5.0,49.0,-13.3
26,5.0,40.0,-7.000000000000001
27,5.0,53.0,-16.1
28,5.0,45.0,-10.5
29,5.0,43.0,-9.1
30,6.0,45.0,-10.5
31,6.0,45.0,-10.5
32,6.0,46.0,-11.2
33,6.0,41.0,-7.699999999999999
34,6.0,45.0,-10.5
35,7.0,41.0,-7.699999999999999
36,7.0,53.0,-16.1
37,7.0,50.0,-14.0
38,7.0,54.0,-16.8
39,7.0,53.0,-16.1
40,8.0,43.0,-9.1
41,8.0,49.0,-13.3
42,8.0,43.0,-9.1
43,8.0,46.0,-11.2
44,8.0,53.0,-16.099999999999998
45,9.0,41.0,-7.7
46,9.0,43.0,-9.1
47,9.0,40.0,-7.000000000000001
48,9.0,41.0,-7.699999999999999
49,9.0,40.0,-7.000000000000001
50,10.0,43.0,-9.1
51,10.0,41.0,-7.7
52,10.0,40.0,-7.000000000000001
53,10.0,46.0,-11.2
54,10.0,41.0,-7.700000000000001
55,11.0,41.0,-7.699999999999999
56,11.0,40.0,-7.000000000000001
57,11.0,41.0,-7.699999999999999
58,11.0,50.0,-14.0
59,11.0,43.0,-9.1
60,12.0,54.0,-16.799999999999997
61,12.0,50.0,-14.0
62,12.0,41.0,-7.7
63,12.0,50.0,-14.0
64,12.0,40.0,-7.000000000000001
65,13.0,41.0,-7.7
66,13.0,46.0,-11.2
67,13.0,40.0,-7.000000000000001
68,13.0,43.0,-9.1
69,13.0,54.0,-16.8
70,14.0,54.0,-16.8
71,14.0,51.0,-14.700000000000001
72,14.0,43.0,-9.100000000000001
73,14.0,41.0,-7.7
74,14.0,51.0,-14.700000000000001
75,15.0,42.0,-8.4
76,15.0,41.0,-7.7
77,15.0,41.0,-7.7
78,15.0,47.0,-11.9
79,15.0,43.0,-9.1
80,16.0,41.0,-7.7
81,16.0,46.0,-11.2
82,16.0,41.0,-7.7
83,16.0,43.0,-9.1
84,16.0,41.0,-7.7
85,17.0,49.0,-13.3
86,17.0,53.0,-16.1
87,17.0,42.0,-8.4
88,17.0,40.0,-7.0
89,17.0,49.0,-13.3
90,18.0,49.0,-13.3
91,18.0,40.0,-7.0
92,18.0,40.0,-7.000000000000001
93,18.0,41.0,-7.699999999999999
94,18.0,41.0,-7.699999999999999
95,19.0,42.0,-8.4
96,19.0,45.0,-10.5
97,19.0,40.0,-7.000000000000001
98,19.0,42.0,-8.4
99,19.0,40.0,-7.0
100,20.0,41.0,-7.699999999999999
101,20.0,41.0,-7.700000000000001
102,20.0,53.0,-16.1
103,20.0,41.0,-7.7
104,20.0,41.0,-7.7
105,21.0,40.0,-7.0
106,21.0,43.0,-9.100000000000001
107,21.0,42.0,-8.4
