,episode,make_span,reward
0,0.0,1151.0,-11.474747474747476
1,0.0,1100.0,-4.262626262626261
2,0.0,1167.0,-13.737373737373737
3,0.0,1127.0,-8.080808080808083
4,0.0,1129.0,-8.363636363636367
5,1.0,1138.0,-9.636363636363637
6,1.0,1145.0,-10.626262626262621
7,1.0,1089.0,-2.707070707070696
8,1.0,1151.0,-11.474747474747478
9,1.0,1213.0,-20.24242424242424
10,2.0,1125.0,-7.797979797979802
11,2.0,1174.0,-14.72727272727272
12,2.0,1188.0,-16.7070707070707
13,2.0,1205.0,-19.111111111111114
14,2.0,1135.0,-9.212121212121207
15,3.0,1186.0,-16.424242424242433
16,3.0,1115.0,-6.383838383838381
17,3.0,1246.0,-24.909090909090907
18,3.0,1126.0,-7.939393939393932
19,3.0,1230.0,-22.646464646464644
20,4.0,1149.0,-11.19191919191919
21,4.0,1111.0,-5.818181818181817
22,4.0,1130.0,-8.505050505050505
23,4.0,1170.0,-14.161616161616164
24,4.0,1102.0,-4.5454545454545485
25,5.0,1147.0,-10.909090909090914
26,5.0,1150.0,-11.333333333333323
27,5.0,1226.0,-22.080808080808083
28,5.0,1097.0,-3.838383838383834
29,5.0,1084.0,-2.000000000000001
30,6.0,1167.0,-13.737373737373739
31,6.0,1209.0,-19.67676767676768
32,6.0,1133.0,-8.929292929292926
33,6.0,1134.0,-9.070707070707066
34,6.0,1178.0,-15.292929292929294
35,7.0,1129.0,-8.363636363636367
36,7.0,1173.0,-14.58585858585859
37,7.0,1164.0,-13.313131313131306
38,7.0,1132.0,-8.787878787878793
39,7.0,1137.0,-9.49494949494949
40,8.0,1147.0,-10.909090909090903
41,8.0,1131.0,-8.646464646464636
42,8.0,1146.0,-10.767676767676763
43,8.0,1083.0,-1.858585858585855
44,8.0,1165.0,-13.454545454545455
45,9.0,1176.0,-15.01010101010101
46,9.0,1153.0,-11.757575757575758
47,9.0,1143.0,-10.343434343434343
48,9.0,1098.0,-3.979797979797984
49,9.0,1141.0,-10.060606060606059
50,10.0,1125.0,-7.797979797979796
51,10.0,1139.0,-9.777777777777775
52,10.0,1125.0,-7.797979797979799
53,10.0,1132.0,-8.787878787878789
54,10.0,1175.0,-14.868686868686869
55,11.0,1207.0,-19.393939393939387
56,11.0,1095.0,-3.555555555555558
57,11.0,1121.0,-7.2323232323232265
58,11.0,1133.0,-8.929292929292924
59,11.0,1126.0,-7.939393939393936
60,12.0,1161.0,-12.888888888888891
61,12.0,1104.0,-4.828282828282825
62,12.0,1168.0,-13.878787878787877
63,12.0,1139.0,-9.777777777777771
64,12.0,1158.0,-12.464646464646464
65,13.0,1068.0,0.262626262626263
66,13.0,1127.0,-8.08080808080808
67,13.0,1093.0,-3.2727272727272734
68,13.0,1098.0,-3.9797979797979792
69,13.0,1135.0,-9.212121212121213
70,14.0,1129.0,-8.363636363636363
71,14.0,1145.0,-10.626262626262626
72,14.0,1134.0,-9.070707070707073
73,14.0,1177.0,-15.151515151515149
74,14.0,1190.0,-16.98989898989899
75,15.0,1124.0,-7.656565656565654
76,15.0,1122.0,-7.37373737373737
77,15.0,1132.0,-8.787878787878787
78,15.0,1132.0,-8.787878787878789
79,15.0,1057.0,1.8181818181818077
80,16.0,1069.0,0.12121212121212821
81,16.0,1107.0,-5.252525252525253
82,16.0,1146.0,-10.767676767676772
83,16.0,1073.0,-0.444444444444442
84,16.0,1121.0,-7.232323232323228
85,17.0,1139.0,-9.777777777777784
86,17.0,1120.0,-7.090909090909089
87,17.0,1080.0,-1.4343434343434316
88,17.0,1096.0,-3.6969696969696955
89,17.0,1100.0,-4.262626262626259
90,18.0,1191.0,-17.131313131313135
91,18.0,1145.0,-10.626262626262623
92,18.0,1134.0,-9.07070707070707
93,18.0,1154.0,-11.898989898989901
94,18.0,1080.0,-1.4343434343434343
95,19.0,1081.0,-1.5757575757575708
96,19.0,1088.0,-2.5656565656565613
97,19.0,1097.0,-3.838383838383842
98,19.0,1131.0,-8.646464646464644
99,19.0,1112.0,-5.959595959595958
100,20.0,1095.0,-3.555555555555557
101,20.0,1054.0,2.2424242424242498
102,20.0,1218.0,-20.949494949494948
103,20.0,1073.0,-0.4444444444444393
104,20.0,1235.0,-23.35353535353535
105,21.0,1095.0,-3.555555555555552
106,21.0,1149.0,-11.19191919191919
107,21.0,1080.0,-1.4343434343434287
108,21.0,1080.0,-1.434343434343429
109,21.0,1088.0,-2.56565656565657
110,22.0,1080.0,-1.4343434343434271
111,22.0,1148.0,-11.050505050505048
112,22.0,1092.0,-3.131313131313134
113,22.0,1176.0,-15.010101010101003
114,22.0,1119.0,-6.949494949494949
115,23.0,1125.0,-7.797979797979804
116,23.0,1159.0,-12.606060606060602
117,23.0,1088.0,-2.565656565656564
118,23.0,1123.0,-7.515151515151513
119,23.0,1084.0,-2.0000000000000018
120,24.0,1073.0,-0.44444444444444997
121,24.0,1097.0,-3.8383838383838373
122,24.0,1094.0,-3.414141414141409
123,24.0,1096.0,-3.6969696969696946
124,24.0,1073.0,-0.4444444444444411
125,25.0,1099.0,-4.121212121212122
126,25.0,1096.0,-3.6969696969696964
127,25.0,1099.0,-4.121212121212119
128,25.0,1117.0,-6.666666666666667
129,25.0,1066.0,0.5454545454545485
130,26.0,1146.0,-10.76767676767677
131,26.0,1198.0,-18.121212121212125
132,26.0,1080.0,-1.4343434343434307
133,26.0,1121.0,-7.232323232323233
134,26.0,1103.0,-4.68686868686868
135,27.0,1149.0,-11.191919191919197
136,27.0,1128.0,-8.222222222222225
137,27.0,1117.0,-6.666666666666667
138,27.0,1074.0,-0.5858585858585759
139,27.0,1094.0,-3.414141414141416
140,28.0,1093.0,-3.272727272727268
141,28.0,1165.0,-13.454545454545446
142,28.0,1122.0,-7.373737373737378
143,28.0,1107.0,-5.252525252525256
144,28.0,1135.0,-9.212121212121207
145,29.0,1100.0,-4.262626262626263
146,29.0,1126.0,-7.9393939393939394
147,29.0,1084.0,-1.9999999999999964
148,29.0,1126.0,-7.939393939393931
149,29.0,1073.0,-0.4444444444444482
150,30.0,1092.0,-3.1313131313131297
151,30.0,1132.0,-8.787878787878782
152,30.0,1086.0,-2.282828282828279
153,30.0,1158.0,-12.46464646464646
154,30.0,1057.0,1.8181818181818183
155,31.0,1093.0,-3.2727272727272716
156,31.0,1120.0,-7.090909090909096
157,31.0,1057.0,1.8181818181818183
158,31.0,1115.0,-6.383838383838386
159,31.0,1091.0,-2.9898989898989914
160,32.0,1085.0,-2.1414141414141454
161,32.0,1080.0,-1.4343434343434343
162,32.0,1143.0,-10.34343434343435
163,32.0,1071.0,-0.16161616161615555
164,32.0,1138.0,-9.636363636363637
165,33.0,1080.0,-1.4343434343434298
166,33.0,1080.0,-1.4343434343434343
167,33.0,1080.0,-1.4343434343434343
168,33.0,1080.0,-1.4343434343434378
169,33.0,1132.0,-8.787878787878785
170,34.0,1132.0,-8.787878787878784
171,34.0,1132.0,-8.787878787878789
172,34.0,1080.0,-1.4343434343434343
173,34.0,1080.0,-1.4343434343434396
174,34.0,1073.0,-0.4444444444444482
175,35.0,1132.0,-8.787878787878784
176,35.0,1075.0,-0.7272727272727222
177,35.0,1080.0,-1.4343434343434343
178,35.0,1080.0,-1.4343434343434325
179,35.0,1142.0,-10.202020202020204
180,36.0,1093.0,-3.2727272727272654
181,36.0,1068.0,0.26262626262626654
182,36.0,1100.0,-4.262626262626263
183,36.0,1057.0,1.8181818181818148
184,36.0,1100.0,-4.262626262626259
185,37.0,1114.0,-6.242424242424238
186,37.0,1126.0,-7.939393939393938
187,37.0,1058.0,1.6767676767676882
188,37.0,1132.0,-8.787878787878789
189,37.0,1121.0,-7.2323232323232265
190,38.0,1080.0,-1.4343434343434254
191,38.0,1207.0,-19.393939393939384
192,38.0,1093.0,-3.272727272727267
193,38.0,1142.0,-10.202020202020202
194,38.0,1064.0,0.8282828282828274
195,39.0,1080.0,-1.4343434343434314
