,episode,make_span,reward
0,0.0,1489.0,-47.57575757575758
1,0.0,1486.0,-47.090909090909086
2,0.0,1485.0,-46.929292929292934
3,0.0,1393.0,-32.06060606060606
4,0.0,1470.0,-44.50505050505051
5,1.0,1353.0,-25.5959595959596
6,1.0,1535.0,-55.01010101010101
7,1.0,1635.0,-71.17171717171718
8,1.0,1278.0,-13.474747474747474
9,1.0,1415.0,-35.61616161616161
10,2.0,1494.0,-48.38383838383838
11,2.0,1450.0,-41.27272727272727
12,2.0,1468.0,-44.18181818181818
13,2.0,1401.0,-33.35353535353536
14,2.0,1391.0,-31.737373737373737
15,3.0,1523.0,-53.07070707070707
16,3.0,1453.0,-41.75757575757576
17,3.0,1380.0,-29.959595959595966
18,3.0,1625.0,-69.55555555555556
19,3.0,1556.0,-58.40404040404041
20,4.0,1515.0,-51.77777777777777
21,4.0,1463.0,-43.37373737373738
22,4.0,1436.0,-39.01010101010101
23,4.0,1608.0,-66.8080808080808
24,4.0,1369.0,-28.18181818181818
25,5.0,1490.0,-47.73737373737373
26,5.0,1337.0,-23.010101010101014
27,5.0,1722.0,-85.23232323232322
28,5.0,1701.0,-81.83838383838385
29,5.0,1296.0,-16.383838383838388
30,6.0,1366.0,-27.696969696969695
31,6.0,1359.0,-26.56565656565657
32,6.0,1366.0,-27.696969696969703
33,6.0,1375.0,-29.151515151515156
34,6.0,1470.0,-44.505050505050505
35,7.0,1456.0,-42.24242424242424
36,7.0,1341.0,-23.656565656565654
37,7.0,1466.0,-43.858585858585855
38,7.0,1414.0,-35.45454545454546
39,7.0,1425.0,-37.23232323232323
40,8.0,1428.0,-37.717171717171716
41,8.0,1408.0,-34.48484848484849
42,8.0,1386.0,-30.929292929292934
43,8.0,1535.0,-55.01010101010101
44,8.0,1572.0,-60.989898989899
45,9.0,1440.0,-39.65656565656566
46,9.0,1332.0,-22.2020202020202
47,9.0,1407.0,-34.323232323232325
48,9.0,1351.0,-25.272727272727277
49,9.0,1341.0,-23.65656565656566
50,10.0,1415.0,-35.61616161616162
51,10.0,1327.0,-21.39393939393939
52,10.0,1461.0,-43.05050505050505
53,10.0,1348.0,-24.787878787878793
54,10.0,1330.0,-21.878787878787882
55,11.0,1385.0,-30.767676767676768
56,11.0,1474.0,-45.151515151515156
57,11.0,1385.0,-30.767676767676768
58,11.0,1408.0,-34.484848484848484
59,11.0,1298.0,-16.707070707070702
60,12.0,1424.0,-37.07070707070709
61,12.0,1361.0,-26.888888888888893
62,12.0,1417.0,-35.93939393939394
63,12.0,1499.0,-49.1919191919192
64,12.0,1295.0,-16.222222222222214
65,13.0,1420.0,-36.42424242424242
66,13.0,1451.0,-41.43434343434344
67,13.0,1340.0,-23.4949494949495
68,13.0,1479.0,-45.95959595959596
69,13.0,1285.0,-14.606060606060606
70,14.0,1318.0,-19.939393939393945
71,14.0,1291.0,-15.575757575757585
72,14.0,1350.0,-25.1111111111111
73,14.0,1384.0,-30.60606060606061
74,14.0,1338.0,-23.171717171717177
75,15.0,1336.0,-22.84848484848485
76,15.0,1383.0,-30.44444444444445
77,15.0,1386.0,-30.92929292929293
78,15.0,1332.0,-22.202020202020204
79,15.0,1444.0,-40.30303030303031
80,16.0,1579.0,-62.121212121212125
81,16.0,1340.0,-23.494949494949495
82,16.0,1359.0,-26.565656565656568
83,16.0,1372.0,-28.666666666666668
84,16.0,1482.0,-46.44444444444444
85,17.0,1434.0,-38.686868686868685
86,17.0,1313.0,-19.131313131313135
87,17.0,1418.0,-36.1010101010101
88,17.0,1345.0,-24.303030303030305
89,17.0,1373.0,-28.828282828282823
90,18.0,1473.0,-44.98989898989899
91,18.0,1415.0,-35.61616161616161
92,18.0,1474.0,-45.151515151515156
93,18.0,1462.0,-43.21212121212121
94,18.0,1402.0,-33.51515151515152
95,19.0,1466.0,-43.85858585858586
96,19.0,1416.0,-35.777777777777786
97,19.0,1407.0,-34.32323232323233
98,19.0,1364.0,-27.373737373737377
99,19.0,1465.0,-43.6969696969697
100,20.0,1344.0,-24.14141414141414
101,20.0,1508.0,-50.64646464646465
102,20.0,1411.0,-34.96969696969697
103,20.0,1406.0,-34.16161616161616
104,20.0,1461.0,-43.05050505050505
105,21.0,1457.0,-42.4040404040404
106,21.0,1478.0,-45.7979797979798
107,21.0,1455.0,-42.08080808080808
108,21.0,1445.0,-40.464646464646464
109,21.0,1540.0,-55.81818181818181
110,22.0,1486.0,-47.09090909090909
111,22.0,1348.0,-24.787878787878785
112,22.0,1441.0,-39.81818181818182
113,22.0,1376.0,-29.313131313131315
114,22.0,1452.0,-41.5959595959596
115,23.0,1439.0,-39.494949494949495
116,23.0,1428.0,-37.71717171717172
117,23.0,1411.0,-34.969696969696976
118,23.0,1406.0,-34.16161616161616
119,23.0,1400.0,-33.19191919191919
120,24.0,1439.0,-39.494949494949495
121,24.0,1488.0,-47.41414141414142
122,24.0,1434.0,-38.68686868686869
123,24.0,1407.0,-34.323232323232325
124,24.0,1411.0,-34.96969696969697
125,25.0,1330.0,-21.878787878787875
126,25.0,1380.0,-29.959595959595966
127,25.0,1377.0,-29.474747474747474
128,25.0,1356.0,-26.080808080808087
129,25.0,1270.0,-12.181818181818183
130,26.0,1380.0,-29.95959595959595
131,26.0,1500.0,-49.353535353535364
132,26.0,1465.0,-43.696969696969695
133,26.0,1408.0,-34.48484848484849
134,26.0,1343.0,-23.979797979797976
135,27.0,1413.0,-35.292929292929294
136,27.0,1376.0,-29.313131313131315
137,27.0,1343.0,-23.979797979797986
138,27.0,1337.0,-23.010101010101007
139,27.0,1375.0,-29.15151515151514
140,28.0,1384.0,-30.606060606060606
141,28.0,1367.0,-27.858585858585858
142,28.0,1476.0,-45.474747474747474
143,28.0,1453.0,-41.75757575757576
144,28.0,1295.0,-16.22222222222222
145,29.0,1332.0,-22.2020202020202
146,29.0,1343.0,-23.979797979797983
147,29.0,1285.0,-14.606060606060609
148,29.0,1524.0,-53.23232323232324
149,29.0,1427.0,-37.55555555555556
150,30.0,1429.0,-37.87878787878788
151,30.0,1407.0,-34.323232323232325
152,30.0,1488.0,-47.414141414141405
153,30.0,1451.0,-41.43434343434343
154,30.0,1415.0,-35.61616161616162
155,31.0,1443.0,-40.141414141414145
156,31.0,1243.0,-7.818181818181818
157,31.0,1416.0,-35.77777777777777
158,31.0,1550.0,-57.43434343434345
159,31.0,1402.0,-33.515151515151516
160,32.0,1376.0,-29.313131313131315
161,32.0,1382.0,-30.282828282828284
162,32.0,1412.0,-35.131313131313135
163,32.0,1273.0,-12.666666666666664
164,32.0,1336.0,-22.848484848484848
165,33.0,1346.0,-24.464646464646467
166,33.0,1433.0,-38.52525252525252
167,33.0,1489.0,-47.57575757575757
168,33.0,1295.0,-16.22222222222222
169,33.0,1467.0,-44.020202020202014
170,34.0,1409.0,-34.64646464646464
171,34.0,1367.0,-27.858585858585858
172,34.0,1451.0,-41.43434343434343
173,34.0,1328.0,-21.555555555555557
174,34.0,1321.0,-20.424242424242422
175,35.0,1420.0,-36.42424242424243
176,35.0,1468.0,-44.18181818181818
177,35.0,1545.0,-56.626262626262616
178,35.0,1399.0,-33.03030303030303
179,35.0,1522.0,-52.90909090909091
180,36.0,1292.0,-15.737373737373732
181,36.0,1450.0,-41.27272727272728
182,36.0,1363.0,-27.212121212121207
183,36.0,1326.0,-21.232323232323232
184,36.0,1440.0,-39.65656565656566
185,37.0,1420.0,-36.42424242424242
186,37.0,1480.0,-46.121212121212125
187,37.0,1341.0,-23.656565656565657
188,37.0,1269.0,-12.020202020202024
189,37.0,1359.0,-26.565656565656568
190,38.0,1488.0,-47.41414141414142
191,38.0,1332.0,-22.202020202020197
192,38.0,1390.0,-31.575757575757578
193,38.0,1367.0,-27.858585858585865
194,38.0,1357.0,-26.242424242424242
195,39.0,1470.0,-44.50505050505049
196,39.0,1349.0,-24.94949494949495
197,39.0,1435.0,-38.84848484848485
198,39.0,1336.0,-22.848484848484848
199,39.0,1348.0,-24.787878787878775
200,40.0,1388.0,-31.25252525252526
201,40.0,1377.0,-29.47474747474747
202,40.0,1385.0,-30.767676767676775
203,40.0,1275.0,-12.989898989898991
204,40.0,1330.0,-21.878787878787882
205,41.0,1413.0,-35.292929292929294
206,41.0,1453.0,-41.75757575757576
207,41.0,1366.0,-27.696969696969695
208,41.0,1474.0,-45.151515151515156
209,41.0,1381.0,-30.121212121212114
210,42.0,1302.0,-17.353535353535353
211,42.0,1383.0,-30.44444444444445
212,42.0,1376.0,-29.313131313131308
213,42.0,1410.0,-34.8080808080808
214,42.0,1376.0,-29.313131313131315
215,43.0,1296.0,-16.38383838383838
216,43.0,1386.0,-30.92929292929293
217,43.0,1285.0,-14.606060606060607
218,43.0,1329.0,-21.717171717171716
219,43.0,1409.0,-34.64646464646465
220,44.0,1390.0,-31.575757575757574
221,44.0,1420.0,-36.42424242424242
222,44.0,1354.0,-25.757575757575758
223,44.0,1287.0,-14.929292929292924
224,44.0,1331.0,-22.040404040404034
225,45.0,1301.0,-17.19191919191919
226,45.0,1272.0,-12.505050505050498
227,45.0,1389.0,-31.41414141414141
