,episode,make_span,reward
0,0.0,1083.0,-6.757575757575752
1,0.0,1104.0,-9.090909090909097
2,0.0,1076.0,-5.979797979797985
3,0.0,1228.0,-22.868686868686872
4,0.0,1056.0,-3.7575757575757436
5,1.0,1058.0,-3.9797979797979774
6,1.0,1057.0,-3.8686868686868743
7,1.0,1060.0,-4.202020202020201
8,1.0,1056.0,-3.757575757575747
9,1.0,1073.0,-5.646464646464651
10,2.0,1056.0,-3.7575757575757485
11,2.0,1243.0,-24.53535353535355
12,2.0,1109.0,-9.64646464646465
13,2.0,1209.0,-20.757575757575754
14,2.0,1228.0,-22.868686868686876
15,3.0,1196.0,-19.313131313131315
16,3.0,1249.0,-25.202020202020208
17,3.0,1249.0,-25.2020202020202
18,3.0,1250.0,-25.31313131313131
19,3.0,1059.0,-4.090909090909089
20,4.0,1229.0,-22.97979797979798
21,4.0,1210.0,-20.868686868686865
22,4.0,1138.0,-12.868686868686869
23,4.0,1293.0,-30.090909090909086
24,4.0,1193.0,-18.979797979797976
25,5.0,1056.0,-3.757575757575749
26,5.0,1341.0,-35.42424242424241
27,5.0,1109.0,-9.646464646464644
28,5.0,1157.0,-14.979797979797972
29,5.0,1081.0,-6.535353535353535
30,6.0,1241.0,-24.313131313131308
31,6.0,1060.0,-4.202020202020206
32,6.0,1127.0,-11.646464646464654
33,6.0,1099.0,-8.535353535353536
34,6.0,1136.0,-12.64646464646464
35,7.0,1280.0,-28.64646464646464
36,7.0,1280.0,-28.646464646464644
37,7.0,1096.0,-8.202020202020192
38,7.0,1196.0,-19.31313131313131
39,7.0,1061.0,-4.313131313131313
40,8.0,1235.0,-23.646464646464636
41,8.0,1360.0,-37.53535353535353
42,8.0,1061.0,-4.31313131313131
43,8.0,1210.0,-20.86868686868687
44,8.0,1061.0,-4.31313131313131
45,9.0,1061.0,-4.313131313131315
46,9.0,1061.0,-4.313131313131305
47,9.0,1050.0,-3.0909090909090855
48,9.0,1056.0,-3.757575757575758
49,9.0,1135.0,-12.535353535353533
50,10.0,1230.0,-23.09090909090909
51,10.0,1149.0,-14.09090909090909
52,10.0,1096.0,-8.202020202020194
53,10.0,1206.0,-20.42424242424242
54,10.0,1085.0,-6.9797979797979774
55,11.0,1118.0,-10.646464646464654
56,11.0,1096.0,-8.202020202020192
57,11.0,1061.0,-4.31313131313131
58,11.0,1175.0,-16.979797979797976
59,11.0,1148.0,-13.979797979797977
60,12.0,1061.0,-4.313131313131311
61,12.0,1155.0,-14.757575757575758
62,12.0,1097.0,-8.313131313131306
63,12.0,1096.0,-8.202020202020194
64,12.0,1191.0,-18.757575757575747
65,13.0,1226.0,-22.64646464646464
66,13.0,1096.0,-8.202020202020197
67,13.0,1061.0,-4.313131313131301
68,13.0,1155.0,-14.757575757575761
69,13.0,1243.0,-24.53535353535353
70,14.0,1096.0,-8.202020202020195
71,14.0,1093.0,-7.868686868686875
72,14.0,1109.0,-9.646464646464645
