,episode,make_span,reward
0,0.0,1684.0,-296.6734693877551
1,0.0,1734.0,-315.5510204081633
2,0.0,1698.0,-301.95918367346945
3,0.0,1795.0,-338.5816326530612
4,0.0,1699.0,-302.33673469387764
5,1.0,1681.0,-295.54081632653066
6,1.0,1731.0,-314.4183673469388
7,1.0,1740.0,-317.8163265306122
8,1.0,1597.0,-263.8265306122449
9,1.0,1720.0,-310.265306122449
10,2.0,1692.0,-299.69387755102036
11,2.0,1696.0,-301.2040816326531
12,2.0,1659.0,-287.23469387755097
13,2.0,1629.0,-275.90816326530603
14,2.0,1739.0,-317.43877551020415
15,3.0,1732.0,-314.7959183673469
16,3.0,1662.0,-288.36734693877554
17,3.0,1833.0,-352.92857142857156
18,3.0,1670.0,-291.3877551020408
19,3.0,1902.0,-378.97959183673464
20,4.0,1692.0,-299.6938775510204
21,4.0,1847.0,-358.2142857142857
22,4.0,1826.0,-350.28571428571433
23,4.0,1674.0,-292.89795918367344
24,4.0,1725.0,-312.1530612244899
25,5.0,1828.0,-351.0408163265307
26,5.0,1792.0,-337.4489795918367
27,5.0,1779.0,-332.54081632653055
28,5.0,1633.0,-277.4183673469388
29,5.0,1782.0,-333.67346938775506
30,6.0,1668.0,-290.63265306122446
31,6.0,1679.0,-294.78571428571433
32,6.0,1811.0,-344.6224489795918
33,6.0,1743.0,-318.94897959183675
34,6.0,1720.0,-310.26530612244903
35,7.0,1771.0,-329.52040816326536
36,7.0,1801.0,-340.84693877551007
37,7.0,1826.0,-350.28571428571433
38,7.0,1723.0,-311.39795918367344
39,7.0,1701.0,-303.09183673469386
40,8.0,1744.0,-319.3265306122449
41,8.0,1648.0,-283.0816326530612
42,8.0,1728.0,-313.2857142857142
43,8.0,1775.0,-331.030612244898
44,8.0,1895.0,-376.3367346938777
45,9.0,1637.0,-278.92857142857156
46,9.0,1693.0,-300.07142857142867
47,9.0,1616.0,-271.00000000000006
48,9.0,1837.0,-354.4387755102041
49,9.0,1712.0,-307.2448979591837
50,10.0,1890.0,-374.44897959183663
51,10.0,1748.0,-320.8367346938776
52,10.0,1770.0,-329.14285714285717
53,10.0,1772.0,-329.8979591836733
54,10.0,1736.0,-316.30612244897947
55,11.0,1820.0,-348.02040816326536
56,11.0,1902.0,-378.9795918367348
57,11.0,1703.0,-303.8469387755101
58,11.0,1931.0,-389.9285714285714
59,11.0,1722.0,-311.02040816326536
60,12.0,1768.0,-328.38775510204084
61,12.0,1940.0,-393.326530612245
62,12.0,1679.0,-294.7857142857143
63,12.0,1788.0,-335.93877551020415
64,12.0,1812.0,-345.0
65,13.0,1747.0,-320.45918367346945
66,13.0,1647.0,-282.70408163265313
67,13.0,1736.0,-316.30612244897964
68,13.0,1700.0,-302.7142857142856
69,13.0,1750.0,-321.5918367346939
70,14.0,1899.0,-377.8469387755101
71,14.0,1910.0,-382.0
72,14.0,1700.0,-302.7142857142857
73,14.0,1654.0,-285.3469387755102
74,14.0,1678.0,-294.4081632653061
75,15.0,1656.0,-286.1020408163265
76,15.0,1719.0,-309.8877551020409
77,15.0,1754.0,-323.1020408163265
78,15.0,1833.0,-352.9285714285715
79,15.0,1684.0,-296.6734693877551
80,16.0,1716.0,-308.7551020408165
81,16.0,1788.0,-335.93877551020415
82,16.0,1832.0,-352.55102040816337
83,16.0,1644.0,-281.5714285714286
84,16.0,1659.0,-287.23469387755097
85,17.0,1762.0,-326.12244897959175
86,17.0,1732.0,-314.795918367347
87,17.0,1651.0,-284.2142857142859
88,17.0,1651.0,-284.21428571428567
89,17.0,1731.0,-314.4183673469388
90,18.0,1718.0,-309.51020408163265
91,18.0,1883.0,-371.8061224489796
92,18.0,1624.0,-274.0204081632653
93,18.0,1717.0,-309.13265306122435
94,18.0,1670.0,-291.38775510204084
95,19.0,1664.0,-289.122448979592
96,19.0,1606.0,-267.2244897959184
97,19.0,1884.0,-372.18367346938777
98,19.0,1866.0,-365.38775510204084
99,19.0,1719.0,-309.8877551020407
100,20.0,1582.0,-258.1632653061225
101,20.0,1658.0,-286.85714285714295
102,20.0,1727.0,-312.9081632653061
103,20.0,1677.0,-294.030612244898
104,20.0,1758.0,-324.61224489795916
105,21.0,1698.0,-301.95918367346945
106,21.0,1821.0,-348.3979591836734
107,21.0,1635.0,-278.1734693877552
108,21.0,1689.0,-298.56122448979596
109,21.0,1707.0,-305.35714285714295
110,22.0,1684.0,-296.673469387755
111,22.0,1685.0,-297.0510204081633
112,22.0,1665.0,-289.50000000000006
113,22.0,1765.0,-327.2551020408164
114,22.0,1608.0,-267.97959183673476
115,23.0,1592.0,-261.93877551020415
116,23.0,1589.0,-260.80612244897964
117,23.0,1702.0,-303.469387755102
118,23.0,1607.0,-267.6020408163265
119,23.0,1678.0,-294.40816326530614
120,24.0,1659.0,-287.234693877551
121,24.0,1618.0,-271.75510204081627
122,24.0,1675.0,-293.27551020408157
123,24.0,1777.0,-331.7857142857143
124,24.0,1643.0,-281.1938775510205
125,25.0,1645.0,-281.94897959183675
126,25.0,1704.0,-304.2244897959184
127,25.0,1722.0,-311.02040816326536
128,25.0,1717.0,-309.1326530612245
129,25.0,1638.0,-279.3061224489795
130,26.0,1801.0,-340.8469387755101
131,26.0,1631.0,-276.66326530612247
132,26.0,1750.0,-321.5918367346939
133,26.0,1624.0,-274.02040816326536
134,26.0,1730.0,-314.04081632653066
135,27.0,1714.0,-307.99999999999994
136,27.0,1793.0,-337.82653061224477
137,27.0,1795.0,-338.58163265306126
138,27.0,1723.0,-311.39795918367344
139,27.0,1676.0,-293.6530612244898
140,28.0,1736.0,-316.30612244897964
141,28.0,1672.0,-292.14285714285717
142,28.0,1718.0,-309.5102040816326
143,28.0,1747.0,-320.45918367346934
144,28.0,1576.0,-255.89795918367346
145,29.0,1820.0,-348.02040816326536
146,29.0,1565.0,-251.74489795918367
147,29.0,1591.0,-261.561224489796
148,29.0,1859.0,-362.7448979591836
149,29.0,1588.0,-260.42857142857133
150,30.0,1709.0,-306.11224489795916
151,30.0,1634.0,-277.795918367347
152,30.0,1865.0,-365.0102040816328
153,30.0,1715.0,-308.37755102040825
154,30.0,1706.0,-304.97959183673476
155,31.0,1793.0,-337.8265306122449
156,31.0,1767.0,-328.01020408163265
157,31.0,1698.0,-301.9591836734694
158,31.0,1684.0,-296.6734693877551
159,31.0,1710.0,-306.4897959183674
160,32.0,1647.0,-282.704081632653
