,episode,make_span,reward
0,0.0,416.0,-4.000000000000003
1,0.0,426.0,-8.499999999999995
2,0.0,437.0,-13.449999999999994
3,0.0,410.0,-1.2999999999999918
4,0.0,405.0,0.9499999999999851
5,1.0,428.0,-9.400000000000004
6,1.0,419.0,-5.349999999999999
7,1.0,403.0,1.8500000000000005
8,1.0,445.0,-17.050000000000004
9,1.0,416.0,-4.000000000000009
10,2.0,417.0,-4.450000000000012
11,2.0,418.0,-4.899999999999995
12,2.0,423.0,-7.150000000000005
13,2.0,419.0,-5.350000000000007
14,2.0,435.0,-12.550000000000004
15,3.0,408.0,-0.40000000000000124
16,3.0,415.0,-3.5499999999999967
17,3.0,433.0,-11.650000000000002
18,3.0,414.0,-3.1000000000000094
19,3.0,389.0,8.15000000000001
20,4.0,417.0,-4.450000000000006
21,4.0,426.0,-8.500000000000004
22,4.0,413.0,-2.6500000000000057
23,4.0,425.0,-8.049999999999997
24,4.0,429.0,-9.849999999999996
25,5.0,399.0,3.649999999999997
26,5.0,417.0,-4.450000000000007
27,5.0,406.0,0.5
28,5.0,430.0,-10.299999999999994
29,5.0,395.0,5.4500000000000135
30,6.0,404.0,1.4000000000000004
31,6.0,427.0,-8.950000000000005
32,6.0,409.0,-0.850000000000005
33,6.0,427.0,-8.950000000000008
34,6.0,417.0,-4.450000000000012
35,7.0,433.0,-11.649999999999993
36,7.0,430.0,-10.300000000000006
37,7.0,425.0,-8.04999999999999
38,7.0,417.0,-4.4499999999999975
39,7.0,440.0,-14.799999999999988
40,8.0,399.0,3.6499999999999897
41,8.0,424.0,-7.600000000000005
42,8.0,412.0,-2.200000000000011
43,8.0,415.0,-3.550000000000006
44,8.0,419.0,-5.35000000000001
45,9.0,416.0,-4.000000000000012
46,9.0,432.0,-11.2
47,9.0,437.0,-13.450000000000014
48,9.0,447.0,-17.95000000000001
49,9.0,450.0,-19.300000000000008
50,10.0,425.0,-8.050000000000008
51,10.0,411.0,-1.7500000000000053
52,10.0,420.0,-5.800000000000007
53,10.0,466.0,-26.499999999999996
54,10.0,430.0,-10.3
55,11.0,427.0,-8.95
56,11.0,423.0,-7.15000000000002
57,11.0,455.0,-21.54999999999999
58,11.0,410.0,-1.3000000000000016
59,11.0,423.0,-7.150000000000004
