,episode,make_span,reward
0,0.0,3704.0,-162.18
1,0.0,3200.0,-99.18
2,0.0,2920.0,-64.18000000000002
3,0.0,3323.0,-114.555
4,0.0,3126.0,-89.92999999999999
5,1.0,3231.0,-103.055
6,1.0,3731.0,-165.555
7,1.0,3491.0,-135.555
8,1.0,3062.0,-81.92999999999999
9,1.0,3086.0,-84.93
10,2.0,3285.0,-109.805
11,2.0,3202.0,-99.43
12,2.0,3379.0,-121.55499999999998
13,2.0,2840.0,-54.18000000000002
14,2.0,3094.0,-85.93
15,3.0,3154.0,-93.42999999999999
16,3.0,2883.0,-59.55500000000001
17,3.0,3463.0,-132.055
18,3.0,3763.0,-169.55499999999998
19,3.0,3130.0,-90.43
20,4.0,2852.0,-55.68000000000001
21,4.0,3044.0,-79.68000000000004
22,4.0,3528.0,-140.18
23,4.0,3375.0,-121.055
24,4.0,3395.0,-123.555
25,5.0,3619.0,-151.555
26,5.0,3088.0,-85.17999999999998
27,5.0,3297.0,-111.30499999999998
28,5.0,3128.0,-90.17999999999999
29,5.0,3346.0,-117.43
30,6.0,3114.0,-88.42999999999999
31,6.0,3451.0,-130.55500000000004
32,6.0,3248.0,-105.17999999999999
33,6.0,3164.0,-94.68
34,6.0,3342.0,-116.93
35,7.0,3314.0,-113.42999999999998
36,7.0,3147.0,-92.55499999999999
37,7.0,3366.0,-119.93
38,7.0,3550.0,-142.93
39,7.0,3348.0,-117.67999999999998
40,8.0,3298.0,-111.43
41,8.0,3633.0,-153.30500000000004
42,8.0,3242.0,-104.43
43,8.0,3425.0,-127.305
44,8.0,3639.0,-154.055
45,9.0,3039.0,-79.055
46,9.0,3217.0,-101.30499999999998
47,9.0,3366.0,-119.92999999999999
48,9.0,3238.0,-103.92999999999999
49,9.0,3501.0,-136.80499999999998
50,10.0,3500.0,-136.68
51,10.0,3551.0,-143.055
52,10.0,3842.0,-179.42999999999995
53,10.0,3465.0,-132.30499999999998
54,10.0,3485.0,-134.805
55,11.0,3121.0,-89.30499999999998
56,11.0,3173.0,-95.80499999999999
57,11.0,3367.0,-120.055
58,11.0,3176.0,-96.18
59,11.0,3438.0,-128.93
60,12.0,3392.0,-123.17999999999999
61,12.0,3047.0,-80.055
62,12.0,3540.0,-141.68
63,12.0,3263.0,-107.055
64,12.0,3529.0,-140.30500000000004
65,13.0,3584.0,-147.17999999999998
66,13.0,3392.0,-123.18
67,13.0,3016.0,-76.18
