,episode,make_span,reward
0,0.0,44.0,-11.4
1,0.0,44.0,-11.4
2,0.0,44.0,-11.4
3,0.0,44.0,-11.4
4,0.0,44.0,-11.4
5,1.0,44.0,-11.4
6,1.0,44.0,-11.4
7,1.0,44.0,-11.4
8,1.0,44.0,-11.4
9,1.0,44.0,-11.4
10,2.0,44.0,-11.4
11,2.0,44.0,-11.4
12,2.0,44.0,-11.4
13,2.0,44.0,-11.4
14,2.0,44.0,-11.4
15,3.0,44.0,-11.4
16,3.0,44.0,-11.4
17,3.0,44.0,-11.4
18,3.0,44.0,-11.4
19,3.0,44.0,-11.4
20,4.0,44.0,-11.4
21,4.0,44.0,-11.4
22,4.0,44.0,-11.4
23,4.0,44.0,-11.4
24,4.0,44.0,-11.4
25,5.0,44.0,-11.4
26,5.0,44.0,-11.4
27,5.0,44.0,-11.4
28,5.0,44.0,-11.4
29,5.0,44.0,-11.4
