,episode,make_span,reward
0,0.0,682.0,-42.72164948453609
1,0.0,793.0,-59.88659793814433
2,0.0,707.0,-46.587628865979376
3,0.0,716.0,-47.97938144329897
4,0.0,674.0,-41.484536082474236
5,1.0,645.0,-37.0
6,1.0,711.0,-47.206185567010316
7,1.0,674.0,-41.484536082474236
8,1.0,674.0,-41.48453608247423
9,1.0,633.0,-35.14432989690722
10,2.0,620.0,-33.134020618556704
11,2.0,788.0,-59.11340206185567
12,2.0,707.0,-46.58762886597938
13,2.0,699.0,-45.350515463917525
14,2.0,672.0,-41.175257731958766
15,3.0,677.0,-41.948453608247426
16,3.0,670.0,-40.8659793814433
17,3.0,674.0,-41.48453608247423
18,3.0,707.0,-46.58762886597938
19,3.0,674.0,-41.48453608247423
20,4.0,709.0,-46.896907216494846
21,4.0,725.0,-49.371134020618555
22,4.0,633.0,-35.14432989690722
23,4.0,699.0,-45.350515463917525
24,4.0,647.0,-37.30927835051547
25,5.0,714.0,-47.670103092783506
26,5.0,671.0,-41.02061855670104
27,5.0,648.0,-37.4639175257732
28,5.0,672.0,-41.175257731958766
29,5.0,674.0,-41.48453608247423
30,6.0,771.0,-56.48453608247422
31,6.0,812.0,-62.82474226804124
32,6.0,674.0,-41.48453608247423
33,6.0,672.0,-41.175257731958766
34,6.0,707.0,-46.58762886597938
35,7.0,762.0,-55.092783505154635
36,7.0,641.0,-36.381443298969074
37,7.0,674.0,-41.484536082474236
38,7.0,744.0,-52.30927835051546
39,7.0,696.0,-44.886597938144334
40,8.0,672.0,-41.175257731958766
41,8.0,631.0,-34.83505154639175
42,8.0,674.0,-41.48453608247423
43,8.0,672.0,-41.175257731958766
44,8.0,674.0,-41.48453608247422
45,9.0,672.0,-41.175257731958766
46,9.0,672.0,-41.175257731958766
47,9.0,672.0,-41.175257731958766
48,9.0,674.0,-41.48453608247423
49,9.0,631.0,-34.83505154639175
50,10.0,701.0,-45.659793814432994
51,10.0,613.0,-32.05154639175258
52,10.0,650.0,-37.77319587628866
53,10.0,824.0,-64.68041237113403
54,10.0,688.0,-43.649484536082475
55,11.0,661.0,-39.47422680412372
56,11.0,688.0,-43.649484536082475
57,11.0,671.0,-41.02061855670104
58,11.0,672.0,-41.175257731958766
59,11.0,674.0,-41.48453608247423
60,12.0,608.0,-31.27835051546392
61,12.0,674.0,-41.48453608247422
62,12.0,674.0,-41.48453608247423
63,12.0,608.0,-31.27835051546392
64,12.0,644.0,-36.84536082474227
65,13.0,644.0,-36.84536082474227
66,13.0,672.0,-41.175257731958766
67,13.0,672.0,-41.175257731958766
68,13.0,672.0,-41.175257731958766
