,episode,make_span,reward
0,0.0,650.0,-29.367346938775512
1,0.0,650.0,-29.367346938775512
2,0.0,650.0,-29.367346938775512
3,0.0,650.0,-29.367346938775512
4,0.0,737.0,-38.244897959183675
5,1.0,690.0,-33.44897959183673
6,1.0,737.0,-38.244897959183675
7,1.0,737.0,-38.244897959183675
8,1.0,650.0,-29.367346938775512
9,1.0,650.0,-29.367346938775512
10,2.0,690.0,-33.44897959183673
11,2.0,650.0,-29.367346938775512
12,2.0,650.0,-29.367346938775512
13,2.0,650.0,-29.367346938775512
14,2.0,650.0,-29.367346938775512
15,3.0,650.0,-29.367346938775512
16,3.0,650.0,-29.367346938775512
17,3.0,650.0,-29.367346938775512
18,3.0,650.0,-29.367346938775512
19,3.0,690.0,-33.44897959183673
20,4.0,650.0,-29.367346938775512
21,4.0,650.0,-29.367346938775512
22,4.0,650.0,-29.367346938775512
23,4.0,650.0,-29.367346938775512
24,4.0,690.0,-33.44897959183673
25,5.0,650.0,-29.367346938775512
26,5.0,650.0,-29.367346938775512
27,5.0,650.0,-29.367346938775512
28,5.0,650.0,-29.367346938775512
29,5.0,650.0,-29.367346938775512
30,6.0,650.0,-29.367346938775512
31,6.0,650.0,-29.367346938775512
32,6.0,650.0,-29.367346938775512
33,6.0,650.0,-29.367346938775512
34,6.0,650.0,-29.367346938775512
35,7.0,650.0,-29.367346938775512
36,7.0,650.0,-29.367346938775512
37,7.0,650.0,-29.367346938775512
38,7.0,650.0,-29.367346938775512
39,7.0,650.0,-29.367346938775512
40,8.0,650.0,-29.367346938775512
41,8.0,650.0,-29.367346938775512
42,8.0,650.0,-29.367346938775512
43,8.0,650.0,-29.367346938775512
44,8.0,650.0,-29.367346938775512
45,9.0,650.0,-29.367346938775512
46,9.0,650.0,-29.367346938775512
47,9.0,650.0,-29.367346938775512
48,9.0,650.0,-29.367346938775512
49,9.0,650.0,-29.367346938775512
50,10.0,650.0,-29.367346938775512
51,10.0,650.0,-29.367346938775512
52,10.0,650.0,-29.367346938775512
53,10.0,650.0,-29.367346938775512
54,10.0,650.0,-29.367346938775512
