,episode,make_span,reward
0,0.0,2141.0,-228.59595959595947
1,0.0,2088.0,-209.85858585858597
2,0.0,1982.0,-172.38383838383837
3,0.0,2149.0,-231.42424242424252
4,0.0,2038.0,-192.1818181818182
5,1.0,1933.0,-155.06060606060612
6,1.0,1846.0,-124.30303030303023
7,1.0,2065.0,-201.72727272727278
8,1.0,1905.0,-145.16161616161617
9,1.0,1922.0,-151.17171717171715
10,2.0,1997.0,-177.68686868686865
11,2.0,1993.0,-176.27272727272725
12,2.0,1897.0,-142.33333333333337
13,2.0,2078.0,-206.3232323232323
14,2.0,1960.0,-164.60606060606057
15,3.0,2074.0,-204.90909090909088
16,3.0,2098.0,-213.39393939393943
17,3.0,1873.0,-133.84848484848484
18,3.0,2121.0,-221.5252525252525
19,3.0,2009.0,-181.9292929292929
20,4.0,2023.0,-186.87878787878785
21,4.0,2028.0,-188.64646464646466
22,4.0,1956.0,-163.19191919191914
23,4.0,1926.0,-152.58585858585855
24,4.0,2069.0,-203.14141414141415
25,5.0,2095.0,-212.33333333333334
26,5.0,2020.0,-185.8181818181819
27,5.0,1979.0,-171.32323232323233
28,5.0,1960.0,-164.6060606060606
29,5.0,2104.0,-215.51515151515147
30,6.0,1900.0,-143.39393939393935
31,6.0,2019.0,-185.46464646464645
32,6.0,2044.0,-194.30303030303037
33,6.0,1974.0,-169.5555555555555
34,6.0,2024.0,-187.23232323232318
35,7.0,1993.0,-176.27272727272725
36,7.0,2063.0,-201.02020202020202
37,7.0,1978.0,-170.96969696969705
38,7.0,1926.0,-152.58585858585852
39,7.0,1836.0,-120.76767676767673
40,8.0,1904.0,-144.80808080808077
41,8.0,1932.0,-154.7070707070707
42,8.0,2069.0,-203.14141414141417
43,8.0,1904.0,-144.80808080808083
44,8.0,1998.0,-178.040404040404
45,9.0,1924.0,-151.87878787878782
46,9.0,1929.0,-153.6464646464646
47,9.0,2023.0,-186.87878787878788
48,9.0,1997.0,-177.68686868686868
49,9.0,1842.0,-122.88888888888887
50,10.0,1913.0,-147.989898989899
51,10.0,2095.0,-212.3333333333333
52,10.0,1833.0,-119.7070707070707
53,10.0,1916.0,-149.05050505050514
54,10.0,2056.0,-198.5454545454546
55,11.0,1978.0,-170.96969696969694
56,11.0,2025.0,-187.58585858585855
57,11.0,1990.0,-175.2121212121212
58,11.0,1916.0,-149.05050505050508
59,11.0,2039.0,-192.53535353535355
60,12.0,1853.0,-126.77777777777781
61,12.0,1940.0,-157.53535353535355
62,12.0,1828.0,-117.93939393939397
63,12.0,1871.0,-133.14141414141412
64,12.0,1836.0,-120.7676767676767
65,13.0,1850.0,-125.71717171717172
66,13.0,1903.0,-144.45454545454547
67,13.0,1889.0,-139.50505050505055
68,13.0,1894.0,-141.27272727272725
69,13.0,1822.0,-115.81818181818181
70,14.0,1876.0,-134.90909090909088
71,14.0,1940.0,-157.5353535353535
72,14.0,1897.0,-142.33333333333334
73,14.0,1788.0,-103.79797979797982
