,episode,make_span,reward
0,0.0,3326.0,-158.57
1,0.0,3527.0,-188.72000000000006
2,0.0,3590.0,-198.17
3,0.0,3452.0,-177.46999999999994
4,0.0,3645.0,-206.42
5,1.0,3797.0,-229.2199999999999
6,1.0,3511.0,-186.32
7,1.0,3441.0,-175.81999999999996
8,1.0,3802.0,-229.96999999999994
9,1.0,3449.0,-177.01999999999995
10,2.0,3420.0,-172.67000000000002
11,2.0,3380.0,-166.67
12,2.0,3820.0,-232.66999999999996
13,2.0,3527.0,-188.72
14,2.0,3607.0,-200.71999999999994
15,3.0,3362.0,-163.96999999999997
16,3.0,3746.0,-221.57
17,3.0,3672.0,-210.47000000000003
18,3.0,3366.0,-164.56999999999996
19,3.0,3745.0,-221.41999999999996
20,4.0,3766.0,-224.5699999999999
21,4.0,3149.0,-132.01999999999998
22,4.0,3899.0,-244.51999999999998
23,4.0,3384.0,-167.26999999999998
24,4.0,3788.0,-227.87
25,5.0,3575.0,-195.92
26,5.0,3880.0,-241.67000000000007
27,5.0,3451.0,-177.32000000000002
28,5.0,3488.0,-182.87000000000003
29,5.0,3410.0,-171.17
30,6.0,3330.0,-159.17000000000007
31,6.0,3799.0,-229.51999999999998
32,6.0,3536.0,-190.07
33,6.0,3531.0,-189.31999999999994
34,6.0,3763.0,-224.11999999999998
35,7.0,3487.0,-182.71999999999997
36,7.0,3819.0,-232.51999999999998
37,7.0,3629.0,-204.02000000000004
38,7.0,3440.0,-175.66999999999996
39,7.0,3474.0,-180.77000000000004
40,8.0,3621.0,-202.81999999999996
41,8.0,3678.0,-211.36999999999998
42,8.0,3658.0,-208.36999999999995
43,8.0,4049.0,-267.02
44,8.0,3519.0,-187.5200000000001
45,9.0,3372.0,-165.47000000000003
46,9.0,3574.0,-195.76999999999995
47,9.0,3487.0,-182.72000000000003
48,9.0,3304.0,-155.26999999999998
49,9.0,3726.0,-218.57000000000005
50,10.0,3599.0,-199.52000000000004
51,10.0,3483.0,-182.11999999999992
52,10.0,3516.0,-187.06999999999996
53,10.0,3625.0,-203.41999999999996
54,10.0,3420.0,-172.66999999999996
55,11.0,3419.0,-172.51999999999995
56,11.0,3366.0,-164.57
57,11.0,3808.0,-230.8700000000001
58,11.0,3407.0,-170.71999999999997
59,11.0,3510.0,-186.17
60,12.0,3207.0,-140.71999999999997
61,12.0,3869.0,-240.02000000000004
62,12.0,3368.0,-164.86999999999992
63,12.0,3411.0,-171.32000000000002
64,12.0,3680.0,-211.67000000000002
65,13.0,3386.0,-167.57000000000005
66,13.0,3572.0,-195.46999999999997
67,13.0,3564.0,-194.26999999999992
68,13.0,3593.0,-198.62
69,13.0,3599.0,-199.51999999999992
70,14.0,3595.0,-198.92000000000002
71,14.0,3655.0,-207.91999999999996
72,14.0,3592.0,-198.47000000000003
73,14.0,3630.0,-204.17000000000004
74,14.0,3386.0,-167.56999999999994
75,15.0,3684.0,-212.26999999999995
76,15.0,3735.0,-219.92
77,15.0,3731.0,-219.32
78,15.0,3600.0,-199.67000000000002
79,15.0,3740.0,-220.67000000000002
80,16.0,3659.0,-208.52000000000004
81,16.0,3321.0,-157.82000000000005
82,16.0,3491.0,-183.31999999999996
83,16.0,3449.0,-177.01999999999998
84,16.0,3520.0,-187.67000000000002
85,17.0,3596.0,-199.06999999999994
86,17.0,3489.0,-183.01999999999998
87,17.0,3707.0,-215.71999999999997
88,17.0,3528.0,-188.87000000000006
89,17.0,3485.0,-182.42000000000004
90,18.0,3453.0,-177.61999999999995
91,18.0,3413.0,-171.61999999999998
92,18.0,3480.0,-181.67000000000002
93,18.0,3285.0,-152.42000000000002
94,18.0,3529.0,-189.01999999999992
95,19.0,3789.0,-228.02
96,19.0,3182.0,-136.96999999999997
97,19.0,3384.0,-167.26999999999998
98,19.0,3379.0,-166.51999999999998
99,19.0,3571.0,-195.32
100,20.0,3374.0,-165.77
101,20.0,3533.0,-189.61999999999995
102,20.0,3368.0,-164.86999999999998
103,20.0,3455.0,-177.91999999999993
104,20.0,3229.0,-144.01999999999995
105,21.0,3383.0,-167.12
106,21.0,3725.0,-218.41999999999996
107,21.0,3415.0,-171.92000000000007
108,21.0,3458.0,-178.3700000000001
109,21.0,3547.0,-191.72
110,22.0,3477.0,-181.22
111,22.0,3475.0,-180.92
112,22.0,3629.0,-204.01999999999995
113,22.0,3627.0,-203.72000000000003
114,22.0,3572.0,-195.46999999999997
115,23.0,3244.0,-146.26999999999995
116,23.0,3577.0,-196.22000000000003
117,23.0,3409.0,-171.01999999999998
118,23.0,3556.0,-193.06999999999996
119,23.0,3588.0,-197.86999999999992
120,24.0,3406.0,-170.57000000000002
121,24.0,3376.0,-166.07000000000002
122,24.0,3150.0,-132.17000000000002
123,24.0,3624.0,-203.2699999999999
124,24.0,3412.0,-171.47
125,25.0,3301.0,-154.82
126,25.0,3237.0,-145.22000000000003
127,25.0,3527.0,-188.72
128,25.0,3364.0,-164.26999999999998
129,25.0,3380.0,-166.6699999999999
130,26.0,3625.0,-203.41999999999996
131,26.0,3672.0,-210.46999999999997
132,26.0,3515.0,-186.91999999999996
133,26.0,3333.0,-159.61999999999995
134,26.0,3361.0,-163.82
135,27.0,3165.0,-134.42
136,27.0,3413.0,-171.62000000000003
137,27.0,3542.0,-190.96999999999994
138,27.0,3286.0,-152.57000000000002
139,27.0,3462.0,-178.96999999999997
140,28.0,3856.0,-238.06999999999994
141,28.0,3539.0,-190.52
142,28.0,3426.0,-173.57
143,28.0,3355.0,-162.92000000000002
144,28.0,3199.0,-139.51999999999995
145,29.0,3616.0,-202.06999999999994
146,29.0,3738.0,-220.36999999999992
147,29.0,3374.0,-165.77
148,29.0,3175.0,-135.92000000000004
149,29.0,3475.0,-180.92000000000002
150,30.0,3689.0,-213.01999999999995
151,30.0,3749.0,-222.02
152,30.0,3274.0,-150.76999999999998
153,30.0,3322.0,-157.97
154,30.0,3413.0,-171.62000000000006
155,31.0,3210.0,-141.17000000000002
156,31.0,3493.0,-183.61999999999995
157,31.0,3484.0,-182.27000000000004
158,31.0,3693.0,-213.62
159,31.0,3450.0,-177.17000000000007
160,32.0,3484.0,-182.26999999999998
161,32.0,3435.0,-174.91999999999993
162,32.0,3367.0,-164.7199999999999
163,32.0,3395.0,-168.92000000000002
164,32.0,3299.0,-154.51999999999998
165,33.0,3416.0,-172.07
166,33.0,3231.0,-144.32
167,33.0,3463.0,-179.12000000000003
168,33.0,3242.0,-145.96999999999997
169,33.0,3503.0,-185.11999999999995
170,34.0,3417.0,-172.21999999999997
