,episode,make_span,reward
0,0.0,3456.0,-178.06999999999996
1,0.0,3826.0,-233.57000000000008
2,0.0,4199.0,-289.52
3,0.0,3824.0,-233.26999999999992
4,0.0,3619.0,-202.52
5,1.0,4135.0,-279.92
6,1.0,3903.0,-245.12000000000003
7,1.0,3671.0,-210.32000000000002
8,1.0,3876.0,-241.06999999999996
9,1.0,3692.0,-213.47
10,2.0,3764.0,-224.26999999999995
11,2.0,3463.0,-179.12000000000006
12,2.0,3926.0,-248.56999999999994
13,2.0,3469.0,-180.01999999999992
14,2.0,3752.0,-222.46999999999997
15,3.0,3821.0,-232.82
16,3.0,3837.0,-235.21999999999997
17,3.0,3488.0,-182.86999999999998
18,3.0,3434.0,-174.77
19,3.0,3895.0,-243.92000000000002
20,4.0,3988.0,-257.87
21,4.0,3633.0,-204.62
22,4.0,3792.0,-228.46999999999994
23,4.0,3914.0,-246.76999999999995
24,4.0,3773.0,-225.61999999999998
25,5.0,3809.0,-231.02000000000004
26,5.0,3798.0,-229.37
27,5.0,3602.0,-199.97
28,5.0,3682.0,-211.96999999999997
29,5.0,3731.0,-219.31999999999996
30,6.0,3829.0,-234.01999999999995
31,6.0,3713.0,-216.62
32,6.0,3511.0,-186.32000000000002
33,6.0,3680.0,-211.66999999999996
34,6.0,3491.0,-183.31999999999996
35,7.0,4268.0,-299.87
36,7.0,3883.0,-242.11999999999992
37,7.0,3463.0,-179.12
38,7.0,3733.0,-219.61999999999995
39,7.0,3240.0,-145.67000000000004
40,8.0,3490.0,-183.17
41,8.0,3598.0,-199.36999999999992
42,8.0,3443.0,-176.12
43,8.0,3807.0,-230.71999999999997
44,8.0,3715.0,-216.92000000000004
45,9.0,3622.0,-202.97
46,9.0,3550.0,-192.17000000000002
47,9.0,3617.0,-202.22000000000008
48,9.0,3471.0,-180.32
49,9.0,3852.0,-237.46999999999994
50,10.0,3830.0,-234.16999999999987
51,10.0,3996.0,-259.06999999999994
52,10.0,3867.0,-239.71999999999997
53,10.0,3560.0,-193.67
54,10.0,3599.0,-199.51999999999995
55,11.0,3709.0,-216.01999999999992
56,11.0,3434.0,-174.77000000000007
57,11.0,3639.0,-205.52
58,11.0,3393.0,-168.62
59,11.0,3370.0,-165.16999999999996
60,12.0,3496.0,-184.06999999999994
61,12.0,3815.0,-231.92000000000007
62,12.0,3609.0,-201.01999999999998
63,12.0,3783.0,-227.12000000000003
64,12.0,3813.0,-231.61999999999995
65,13.0,4013.0,-261.62
66,13.0,3486.0,-182.57
67,13.0,3772.0,-225.47
68,13.0,3617.0,-202.22000000000006
69,13.0,3588.0,-197.87000000000003
70,14.0,3343.0,-161.11999999999998
71,14.0,3398.0,-169.36999999999998
72,14.0,3703.0,-215.11999999999998
73,14.0,3447.0,-176.72000000000003
74,14.0,3242.0,-145.97
75,15.0,3436.0,-175.07
76,15.0,4094.0,-273.7699999999999
77,15.0,3637.0,-205.21999999999994
78,15.0,3565.0,-194.42000000000002
79,15.0,3292.0,-153.46999999999997
80,16.0,4074.0,-270.77000000000004
81,16.0,3861.0,-238.82
82,16.0,3578.0,-196.37
83,16.0,3422.0,-172.96999999999997
84,16.0,3807.0,-230.72000000000003
85,17.0,3928.0,-248.86999999999995
86,17.0,3450.0,-177.16999999999993
87,17.0,3479.0,-181.51999999999995
88,17.0,3388.0,-167.87
89,17.0,3367.0,-164.72000000000003
90,18.0,3325.0,-158.4199999999999
91,18.0,3501.0,-184.82
92,18.0,3811.0,-231.3199999999999
93,18.0,3908.0,-245.87000000000006
94,18.0,3911.0,-246.32000000000008
95,19.0,3770.0,-225.16999999999996
96,19.0,3825.0,-233.41999999999996
97,19.0,3295.0,-153.92000000000002
98,19.0,3900.0,-244.66999999999996
99,19.0,3522.0,-187.97000000000003
100,20.0,3514.0,-186.77000000000004
101,20.0,3397.0,-169.22000000000003
102,20.0,3668.0,-209.86999999999995
103,20.0,3591.0,-198.32000000000014
104,20.0,3436.0,-175.07000000000002
105,21.0,3473.0,-180.61999999999995
106,21.0,3746.0,-221.57
107,21.0,3471.0,-180.32
108,21.0,3286.0,-152.56999999999996
109,21.0,3637.0,-205.21999999999997
110,22.0,3536.0,-190.06999999999994
111,22.0,3322.0,-157.97000000000003
112,22.0,3411.0,-171.32
113,22.0,3818.0,-232.36999999999992
114,22.0,4081.0,-271.82
115,23.0,3755.0,-222.91999999999993
116,23.0,3409.0,-171.01999999999998
117,23.0,3311.0,-156.31999999999996
118,23.0,3415.0,-171.91999999999996
119,23.0,3752.0,-222.46999999999994
120,24.0,3587.0,-197.72000000000006
121,24.0,3827.0,-233.72
122,24.0,3504.0,-185.27
123,24.0,3680.0,-211.66999999999996
124,24.0,3715.0,-216.92000000000004
125,25.0,3418.0,-172.37000000000003
126,25.0,3533.0,-189.62
127,25.0,3787.0,-227.72000000000003
128,25.0,3496.0,-184.07000000000002
129,25.0,3813.0,-231.61999999999998
130,26.0,3576.0,-196.07
131,26.0,3531.0,-189.32
132,26.0,3516.0,-187.07000000000002
133,26.0,3541.0,-190.81999999999994
134,26.0,3789.0,-228.01999999999998
135,27.0,3732.0,-219.46999999999997
