,episode,make_span,reward
0,0.0,49.0,-5.799999999999999
1,0.0,49.0,-5.799999999999999
2,0.0,49.0,-5.8
3,0.0,49.0,-5.800000000000001
4,0.0,49.0,-5.799999999999999
5,1.0,49.0,-5.799999999999999
6,1.0,49.0,-5.799999999999999
7,1.0,49.0,-5.799999999999999
8,1.0,49.0,-5.800000000000001
9,1.0,49.0,-5.800000000000001
10,2.0,49.0,-5.800000000000001
11,2.0,49.0,-5.799999999999999
12,2.0,49.0,-5.799999999999999
13,2.0,49.0,-5.800000000000001
14,2.0,49.0,-5.799999999999999
15,3.0,49.0,-5.799999999999999
16,3.0,49.0,-5.8
17,3.0,49.0,-5.799999999999999
18,3.0,49.0,-5.799999999999999
19,3.0,49.0,-5.800000000000001
20,4.0,49.0,-5.800000000000001
21,4.0,49.0,-5.800000000000001
22,4.0,49.0,-5.799999999999999
23,4.0,49.0,-5.799999999999999
24,4.0,49.0,-5.800000000000001
25,5.0,49.0,-5.799999999999999
26,5.0,49.0,-5.800000000000001
27,5.0,49.0,-5.799999999999999
28,5.0,49.0,-5.799999999999999
29,5.0,49.0,-5.799999999999999
