,episode,make_span,reward
0,0.0,1258.0,-69.36082474226802
1,0.0,1170.0,-53.030927835051536
2,0.0,1266.0,-70.84536082474227
3,0.0,1234.0,-64.90721649484536
4,0.0,1163.0,-51.731958762886606
5,1.0,1263.0,-70.28865979381443
6,1.0,1278.0,-73.07216494845362
7,1.0,1186.0,-56.0
8,1.0,1252.0,-68.24742268041236
9,1.0,1144.0,-48.2061855670103
10,2.0,1183.0,-55.44329896907216
11,2.0,1216.0,-61.56701030927836
12,2.0,1152.0,-49.690721649484544
13,2.0,1177.0,-54.32989690721649
14,2.0,1201.0,-58.783505154639165
15,3.0,1108.0,-41.52577319587628
16,3.0,1141.0,-47.64948453608248
17,3.0,1161.0,-51.36082474226804
18,3.0,1161.0,-51.36082474226805
19,3.0,1278.0,-73.07216494845362
20,4.0,1135.0,-46.5360824742268
21,4.0,1253.0,-68.43298969072166
22,4.0,1295.0,-76.22680412371135
23,4.0,1149.0,-49.13402061855671
24,4.0,1140.0,-47.4639175257732
25,5.0,1144.0,-48.20618556701031
26,5.0,1228.0,-63.79381443298969
27,5.0,1298.0,-76.78350515463917
28,5.0,1139.0,-47.2783505154639
29,5.0,1076.0,-35.58762886597938
30,6.0,1156.0,-50.432989690721655
31,6.0,1202.0,-58.96907216494846
32,6.0,1119.0,-43.56701030927835
33,6.0,1202.0,-58.96907216494846
34,6.0,1197.0,-58.041237113402076
35,7.0,1228.0,-63.79381443298968
36,7.0,1128.0,-45.237113402061865
37,7.0,1137.0,-46.907216494845365
38,7.0,1084.0,-37.07216494845361
39,7.0,1244.0,-66.76288659793815
40,8.0,1257.0,-69.17525773195875
41,8.0,1156.0,-50.43298969072166
42,8.0,1222.0,-62.680412371134025
43,8.0,1107.0,-41.34020618556701
44,8.0,1178.0,-54.515463917525764
45,9.0,1180.0,-54.88659793814433
46,9.0,1281.0,-73.62886597938144
47,9.0,1257.0,-69.17525773195874
48,9.0,1143.0,-48.020618556701045
49,9.0,1192.0,-57.113402061855666
50,10.0,1232.0,-64.53608247422682
51,10.0,1136.0,-46.72164948453609
52,10.0,1142.0,-47.83505154639175
53,10.0,1121.0,-43.9381443298969
54,10.0,1191.0,-56.9278350515464
55,11.0,1120.0,-43.75257731958764
56,11.0,1307.0,-78.45360824742266
57,11.0,1202.0,-58.96907216494846
58,11.0,1153.0,-49.876288659793815
59,11.0,1251.0,-68.06185567010309
60,12.0,1272.0,-71.95876288659792
61,12.0,1220.0,-62.30927835051547
62,12.0,1272.0,-71.95876288659794
63,12.0,1168.0,-52.65979381443299
64,12.0,1225.0,-63.23711340206185
65,13.0,1164.0,-51.917525773195884
66,13.0,1158.0,-50.80412371134021
67,13.0,1150.0,-49.31958762886598
68,13.0,1258.0,-69.36082474226805
69,13.0,1178.0,-54.51546391752578
70,14.0,1263.0,-70.28865979381446
71,14.0,1241.0,-66.20618556701032
72,14.0,1183.0,-55.443298969072174
73,14.0,1145.0,-48.391752577319586
74,14.0,1143.0,-48.02061855670104
75,15.0,1184.0,-55.62886597938144
76,15.0,1250.0,-67.87628865979383
77,15.0,1165.0,-52.10309278350516
78,15.0,1252.0,-68.24742268041237
79,15.0,1232.0,-64.53608247422682
80,16.0,1152.0,-49.69072164948454
81,16.0,1259.0,-69.5463917525773
82,16.0,1223.0,-62.8659793814433
83,16.0,1171.0,-53.21649484536082
84,16.0,1189.0,-56.556701030927826
85,17.0,1163.0,-51.7319587628866
86,17.0,1152.0,-49.69072164948454
87,17.0,1205.0,-59.525773195876276
88,17.0,1224.0,-63.05154639175258
89,17.0,1124.0,-44.49484536082475
90,18.0,1145.0,-48.391752577319586
91,18.0,1128.0,-45.237113402061844
92,18.0,1160.0,-51.17525773195876
93,18.0,1191.0,-56.92783505154639
94,18.0,1136.0,-46.72164948453609
95,19.0,1180.0,-54.88659793814432
96,19.0,1141.0,-47.64948453608247
97,19.0,1134.0,-46.350515463917525
98,19.0,1147.0,-48.76288659793815
99,19.0,1128.0,-45.237113402061865
100,20.0,1184.0,-55.62886597938145
101,20.0,1164.0,-51.91752577319587
102,20.0,1113.0,-42.45360824742268
103,20.0,1166.0,-52.288659793814446
104,20.0,1164.0,-51.917525773195884
105,21.0,1185.0,-55.81443298969072
106,21.0,1087.0,-37.62886597938144
107,21.0,1179.0,-54.70103092783506
108,21.0,1110.0,-41.896907216494846
109,21.0,1147.0,-48.76288659793814
110,22.0,1178.0,-54.515463917525764
111,22.0,1185.0,-55.81443298969073
112,22.0,1114.0,-42.639175257731964
113,22.0,1165.0,-52.10309278350515
114,22.0,1222.0,-62.680412371134025
115,23.0,1172.0,-53.402061855670105
116,23.0,1108.0,-41.52577319587628
117,23.0,1220.0,-62.30927835051548
118,23.0,1185.0,-55.814432989690715
119,23.0,1103.0,-40.59793814432989
120,24.0,1279.0,-73.25773195876289
121,24.0,1172.0,-53.4020618556701
122,24.0,1088.0,-37.81443298969072
123,24.0,1216.0,-61.56701030927835
124,24.0,1115.0,-42.824742268041234
125,25.0,1139.0,-47.27835051546391
126,25.0,1220.0,-62.30927835051546
127,25.0,1102.0,-40.41237113402062
128,25.0,1203.0,-59.15463917525772
129,25.0,1098.0,-39.6701030927835
130,26.0,1172.0,-53.4020618556701
131,26.0,1160.0,-51.17525773195877
132,26.0,1113.0,-42.45360824742268
133,26.0,1179.0,-54.70103092783505
134,26.0,1175.0,-53.95876288659795
135,27.0,1139.0,-47.27835051546391
136,27.0,1242.0,-66.3917525773196
137,27.0,1081.0,-36.51546391752578
138,27.0,1181.0,-55.072164948453604
139,27.0,1135.0,-46.53608247422681
140,28.0,1175.0,-53.95876288659794
141,28.0,1161.0,-51.36082474226803
142,28.0,1160.0,-51.17525773195876
143,28.0,1124.0,-44.49484536082475
144,28.0,1103.0,-40.597938144329895
145,29.0,1142.0,-47.83505154639176
146,29.0,1212.0,-60.82474226804125
147,29.0,1154.0,-50.061855670103085
148,29.0,1103.0,-40.59793814432989
149,29.0,1166.0,-52.28865979381443
150,30.0,1092.0,-38.556701030927826
151,30.0,1171.0,-53.21649484536082
152,30.0,1050.0,-30.76288659793814
153,30.0,1131.0,-45.7938144329897
154,30.0,1258.0,-69.36082474226806
155,31.0,1120.0,-43.752577319587644
156,31.0,1062.0,-32.98969072164949
157,31.0,1225.0,-63.23711340206185
158,31.0,1223.0,-62.865979381443296
159,31.0,1242.0,-66.39175257731958
160,32.0,1141.0,-47.64948453608246
161,32.0,1187.0,-56.18556701030928
162,32.0,1199.0,-58.41237113402062
163,32.0,1137.0,-46.907216494845365
164,32.0,1237.0,-65.46391752577321
165,33.0,1139.0,-47.27835051546392
166,33.0,1117.0,-43.195876288659804
167,33.0,1184.0,-55.62886597938144
168,33.0,1222.0,-62.68041237113401
169,33.0,1234.0,-64.90721649484536
170,34.0,1083.0,-36.88659793814434
171,34.0,1220.0,-62.30927835051548
172,34.0,1165.0,-52.103092783505154
173,34.0,1263.0,-70.28865979381443
174,34.0,1185.0,-55.81443298969072
175,35.0,1194.0,-57.48453608247422
176,35.0,1237.0,-65.46391752577321
177,35.0,1109.0,-41.711340206185575
178,35.0,1175.0,-53.95876288659794
179,35.0,1134.0,-46.35051546391752
180,36.0,1145.0,-48.39175257731959
181,36.0,1171.0,-53.216494845360835
182,36.0,1120.0,-43.75257731958765
183,36.0,1248.0,-67.50515463917526
184,36.0,1144.0,-48.2061855670103
185,37.0,1174.0,-53.77319587628866
186,37.0,1095.0,-39.113402061855695
187,37.0,1095.0,-39.11340206185568
188,37.0,1272.0,-71.95876288659795
189,37.0,1073.0,-35.03092783505155
190,38.0,1169.0,-52.845360824742265
191,38.0,1122.0,-44.12371134020619
192,38.0,1070.0,-34.47422680412371
193,38.0,1130.0,-45.60824742268041
194,38.0,1204.0,-59.340206185567006
195,39.0,1056.0,-31.876288659793815
196,39.0,1235.0,-65.09278350515464
197,39.0,1081.0,-36.515463917525786
198,39.0,1199.0,-58.41237113402061
199,39.0,1201.0,-58.78350515463917
200,40.0,1106.0,-41.154639175257735
201,40.0,1216.0,-61.567010309278366
202,40.0,1141.0,-47.649484536082475
203,40.0,1128.0,-45.23711340206186
204,40.0,1056.0,-31.87628865979381
205,41.0,1075.0,-35.402061855670105
206,41.0,1137.0,-46.90721649484535
207,41.0,1137.0,-46.907216494845365
208,41.0,1123.0,-44.30927835051547
209,41.0,1129.0,-45.42268041237115
210,42.0,1073.0,-35.03092783505155
211,42.0,1109.0,-41.71134020618558
212,42.0,1089.0,-38.0
213,42.0,1139.0,-47.278350515463906
214,42.0,1114.0,-42.639175257731964
215,43.0,1152.0,-49.69072164948454
216,43.0,1082.0,-36.701030927835056
217,43.0,1080.0,-36.329896907216494
218,43.0,1172.0,-53.402061855670105
219,43.0,1326.0,-81.97938144329899
220,44.0,1089.0,-38.0
221,44.0,1108.0,-41.525773195876305
222,44.0,1168.0,-52.659793814432994
223,44.0,1101.0,-40.22680412371135
224,44.0,1160.0,-51.17525773195876
225,45.0,1218.0,-61.93814432989691
226,45.0,1162.0,-51.54639175257732
227,45.0,1108.0,-41.525773195876305
228,45.0,1075.0,-35.402061855670105
229,45.0,1374.0,-90.88659793814433
230,46.0,1134.0,-46.35051546391753
231,46.0,1129.0,-45.422680412371136
232,46.0,1058.0,-32.24742268041237
233,46.0,1299.0,-76.96907216494846
234,46.0,1111.0,-42.082474226804116
235,47.0,1093.0,-38.74226804123711
236,47.0,1139.0,-47.278350515463934
237,47.0,1150.0,-49.31958762886599
238,47.0,1161.0,-51.360824742268036
239,47.0,1166.0,-52.28865979381444
240,48.0,1083.0,-36.886597938144334
241,48.0,1186.0,-56.0
242,48.0,1075.0,-35.40206185567011
243,48.0,1081.0,-36.51546391752577
244,48.0,1123.0,-44.309278350515456
245,49.0,1063.0,-33.175257731958766
246,49.0,1215.0,-61.38144329896907
247,49.0,1128.0,-45.23711340206185
248,49.0,1074.0,-35.21649484536082
249,49.0,1052.0,-31.1340206185567
250,50.0,1153.0,-49.87628865979382
251,50.0,1076.0,-35.587628865979376
252,50.0,1120.0,-43.75257731958763
253,50.0,1090.0,-38.185567010309285
254,50.0,1030.0,-27.051546391752574
255,51.0,1197.0,-58.041237113402076
256,51.0,1124.0,-44.49484536082474
257,51.0,1061.0,-32.80412371134021
258,51.0,1116.0,-43.01030927835052
259,51.0,1075.0,-35.402061855670105
260,52.0,1188.0,-56.371134020618555
261,52.0,1129.0,-45.422680412371136
262,52.0,1109.0,-41.71134020618556
263,52.0,1115.0,-42.82474226804125
264,52.0,1220.0,-62.309278350515484
265,53.0,1101.0,-40.22680412371134
266,53.0,1042.0,-29.278350515463917
267,53.0,1115.0,-42.82474226804125
268,53.0,1074.0,-35.21649484536082
269,53.0,1110.0,-41.89690721649484
270,54.0,1193.0,-57.29896907216496
271,54.0,1183.0,-55.44329896907217
272,54.0,1128.0,-45.237113402061865
273,54.0,1272.0,-71.95876288659794
274,54.0,1186.0,-56.00000000000001
275,55.0,1089.0,-38.00000000000001
276,55.0,1194.0,-57.48453608247422
277,55.0,1206.0,-59.71134020618556
278,55.0,1196.0,-57.855670103092784
279,55.0,1270.0,-71.5876288659794
280,56.0,1097.0,-39.48453608247423
281,56.0,1179.0,-54.70103092783506
282,56.0,1090.0,-38.18556701030928
283,56.0,1094.0,-38.927835051546396
284,56.0,1139.0,-47.278350515463934
285,57.0,1184.0,-55.62886597938145
286,57.0,1235.0,-65.09278350515463
287,57.0,1053.0,-31.319587628865982
288,57.0,1060.0,-32.61855670103092
289,57.0,1153.0,-49.87628865979382
290,58.0,1069.0,-34.288659793814425
291,58.0,1005.0,-22.41237113402062
292,58.0,1071.0,-34.659793814432994
293,58.0,1119.0,-43.56701030927836
294,58.0,1217.0,-61.752577319587644
295,59.0,1179.0,-54.701030927835056
296,59.0,1143.0,-48.020618556701045
297,59.0,1095.0,-39.11340206185566
298,59.0,1065.0,-33.54639175257732
299,59.0,1008.0,-22.969072164948457
300,60.0,1030.0,-27.051546391752574
301,60.0,1097.0,-39.48453608247423
302,60.0,1087.0,-37.62886597938144
303,60.0,1128.0,-45.23711340206185
304,60.0,1076.0,-35.58762886597939
305,61.0,1053.0,-31.319587628865982
306,61.0,1079.0,-36.144329896907216
307,61.0,1098.0,-39.67010309278351
308,61.0,1105.0,-40.96907216494846
309,61.0,1119.0,-43.567010309278345
310,62.0,1097.0,-39.48453608247422
311,62.0,1053.0,-31.319587628865982
312,62.0,1089.0,-38.0
313,62.0,1141.0,-47.64948453608249
314,62.0,1092.0,-38.55670103092783
315,63.0,1106.0,-41.15463917525773
316,63.0,1090.0,-38.18556701030927
317,63.0,1098.0,-39.67010309278352
318,63.0,1144.0,-48.2061855670103
319,63.0,1260.0,-69.73195876288662
320,64.0,1046.0,-30.02061855670103
321,64.0,1210.0,-60.45360824742267
322,64.0,1166.0,-52.288659793814425
323,64.0,1023.0,-25.752577319587626
324,64.0,1061.0,-32.8041237113402
325,65.0,1156.0,-50.43298969072162
326,65.0,1100.0,-40.04123711340207
327,65.0,1211.0,-60.639175257731964
328,65.0,1137.0,-46.90721649484536
329,65.0,1063.0,-33.175257731958766
330,66.0,1055.0,-31.69072164948453
331,66.0,1176.0,-54.14432989690722
332,66.0,1144.0,-48.2061855670103
333,66.0,1189.0,-56.55670103092784
334,66.0,1091.0,-38.371134020618555
335,67.0,1087.0,-37.628865979381466
336,67.0,1070.0,-34.47422680412371
337,67.0,1059.0,-32.43298969072165
338,67.0,1207.0,-59.896907216494824
339,67.0,1119.0,-43.56701030927835
340,68.0,1039.0,-28.721649484536083
341,68.0,1135.0,-46.5360824742268
342,68.0,1074.0,-35.21649484536083
343,68.0,1225.0,-63.23711340206187
344,68.0,1047.0,-30.206185567010316
345,69.0,1102.0,-40.41237113402062
346,69.0,1074.0,-35.21649484536083
347,69.0,1050.0,-30.76288659793814
348,69.0,1141.0,-47.64948453608247
349,69.0,1322.0,-81.23711340206185
350,70.0,1177.0,-54.3298969072165
351,70.0,1112.0,-42.2680412371134
352,70.0,1059.0,-32.43298969072164
353,70.0,1068.0,-34.10309278350515
354,70.0,1149.0,-49.134020618556704
355,71.0,1098.0,-39.6701030927835
356,71.0,1125.0,-44.680412371134025
357,71.0,1199.0,-58.41237113402062
358,71.0,1072.0,-34.845360824742265
359,71.0,1095.0,-39.113402061855666
360,72.0,1038.0,-28.5360824742268
361,72.0,1109.0,-41.71134020618557
362,72.0,1135.0,-46.5360824742268
363,72.0,1059.0,-32.432989690721655
364,72.0,1101.0,-40.22680412371134
365,73.0,1133.0,-46.16494845360826
366,73.0,1109.0,-41.71134020618556
367,73.0,1050.0,-30.762886597938145
368,73.0,1147.0,-48.76288659793815
369,73.0,1110.0,-41.896907216494846
370,74.0,1103.0,-40.5979381443299
371,74.0,1071.0,-34.659793814432994
372,74.0,1057.0,-32.06185567010309
373,74.0,1190.0,-56.742268041237125
374,74.0,1152.0,-49.690721649484544
375,75.0,1110.0,-41.896907216494846
376,75.0,1061.0,-32.8041237113402
377,75.0,1073.0,-35.03092783505155
378,75.0,1140.0,-47.463917525773205
379,75.0,1085.0,-37.25773195876288
380,76.0,1166.0,-52.28865979381443
381,76.0,1061.0,-32.8041237113402
382,76.0,1071.0,-34.659793814432994
383,76.0,1101.0,-40.22680412371134
384,76.0,1084.0,-37.07216494845361
385,77.0,1125.0,-44.680412371134025
386,77.0,1057.0,-32.061855670103085
387,77.0,1089.0,-37.99999999999999
388,77.0,1068.0,-34.103092783505154
389,77.0,1097.0,-39.48453608247423
390,78.0,1107.0,-41.340206185567006
