,episode,make_span,reward
0,0.0,1084.0,-85.95876288659794
1,0.0,1030.0,-75.93814432989691
2,0.0,961.0,-63.13402061855671
3,0.0,1068.0,-82.98969072164951
4,0.0,1076.0,-84.47422680412372
5,1.0,998.0,-70.0
6,1.0,1062.0,-81.87628865979383
7,1.0,1044.0,-78.53608247422682
8,1.0,1031.0,-76.12371134020621
9,1.0,1080.0,-85.21649484536081
10,2.0,1015.0,-73.15463917525774
11,2.0,991.0,-68.70103092783503
12,2.0,936.0,-58.49484536082475
13,2.0,1043.0,-78.35051546391753
14,2.0,1043.0,-78.35051546391753
15,3.0,1099.0,-88.74226804123711
16,3.0,1048.0,-79.27835051546393
17,3.0,1024.0,-74.82474226804125
18,3.0,1026.0,-75.19587628865979
19,3.0,957.0,-62.391752577319586
20,4.0,963.0,-63.50515463917525
21,4.0,1025.0,-75.01030927835052
22,4.0,930.0,-57.38144329896907
23,4.0,1030.0,-75.93814432989691
24,4.0,1056.0,-80.76288659793815
25,5.0,1050.0,-79.64948453608248
26,5.0,1040.0,-77.79381443298968
27,5.0,1006.0,-71.48453608247424
28,5.0,1025.0,-75.01030927835052
29,5.0,1022.0,-74.4536082474227
30,6.0,1076.0,-84.4742268041237
31,6.0,1085.0,-86.14432989690722
32,6.0,973.0,-65.36082474226802
33,6.0,1083.0,-85.77319587628867
34,6.0,1052.0,-80.02061855670104
35,7.0,1042.0,-78.16494845360826
36,7.0,1025.0,-75.01030927835052
37,7.0,1010.0,-72.22680412371136
38,7.0,973.0,-65.36082474226804
39,7.0,1098.0,-88.55670103092783
40,8.0,1056.0,-80.76288659793813
41,8.0,1117.0,-92.08247422680411
42,8.0,950.0,-61.092783505154635
43,8.0,960.0,-62.94845360824743
44,8.0,1096.0,-88.18556701030928
45,9.0,1031.0,-76.12371134020617
46,9.0,1021.0,-74.26804123711341
47,9.0,1025.0,-75.01030927835052
48,9.0,1018.0,-73.71134020618558
49,9.0,1034.0,-76.68041237113401
50,10.0,964.0,-63.69072164948452
51,10.0,976.0,-65.91752577319589
52,10.0,935.0,-58.30927835051546
53,10.0,1031.0,-76.12371134020617
54,10.0,1019.0,-73.89690721649484
55,11.0,1077.0,-84.65979381443299
56,11.0,1221.0,-111.38144329896909
57,11.0,1036.0,-77.0515463917526
58,11.0,1073.0,-83.91752577319589
59,11.0,1026.0,-75.19587628865978
60,12.0,1033.0,-76.49484536082475
61,12.0,950.0,-61.092783505154635
62,12.0,1025.0,-75.01030927835052
63,12.0,1006.0,-71.48453608247422
64,12.0,946.0,-60.350515463917525
65,13.0,1004.0,-71.1134020618557
66,13.0,958.0,-62.57731958762888
67,13.0,1054.0,-80.3917525773196
68,13.0,977.0,-66.10309278350516
69,13.0,1056.0,-80.76288659793815
70,14.0,949.0,-60.90721649484537
71,14.0,973.0,-65.36082474226804
72,14.0,1012.0,-72.5979381443299
73,14.0,1044.0,-78.53608247422682
74,14.0,887.0,-49.402061855670105
75,15.0,984.0,-67.40206185567011
76,15.0,1025.0,-75.01030927835052
77,15.0,962.0,-63.319587628865996
78,15.0,964.0,-63.69072164948453
79,15.0,1022.0,-74.4536082474227
80,16.0,970.0,-64.80412371134021
81,16.0,972.0,-65.17525773195877
82,16.0,926.0,-56.63917525773197
83,16.0,983.0,-67.21649484536083
84,16.0,994.0,-69.25773195876289
85,17.0,976.0,-65.91752577319586
86,17.0,876.0,-47.36082474226805
87,17.0,934.0,-58.123711340206206
88,17.0,1003.0,-70.9278350515464
89,17.0,1030.0,-75.93814432989691
90,18.0,933.0,-57.938144329896915
91,18.0,1017.0,-73.5257731958763
92,18.0,981.0,-66.84536082474227
93,18.0,945.0,-60.16494845360825
94,18.0,995.0,-69.44329896907217
95,19.0,903.0,-52.37113402061856
96,19.0,996.0,-69.62886597938146
97,19.0,960.0,-62.94845360824745
98,19.0,893.0,-50.51546391752578
99,19.0,963.0,-63.50515463917526
100,20.0,1016.0,-73.340206185567
101,20.0,950.0,-61.09278350515465
102,20.0,957.0,-62.391752577319586
103,20.0,1027.0,-75.38144329896909
104,20.0,904.0,-52.55670103092784
105,21.0,1023.0,-74.63917525773198
106,21.0,924.0,-56.268041237113394
107,21.0,1009.0,-72.04123711340205
108,21.0,884.0,-48.84536082474227
109,21.0,954.0,-61.835051546391746
110,22.0,944.0,-59.97938144329897
111,22.0,911.0,-53.85567010309279
112,22.0,945.0,-60.16494845360827
113,22.0,965.0,-63.876288659793815
114,22.0,1025.0,-75.0103092783505
115,23.0,977.0,-66.10309278350516
116,23.0,980.0,-66.65979381443299
117,23.0,951.0,-61.27835051546391
118,23.0,1000.0,-70.37113402061856
119,23.0,1026.0,-75.19587628865979
120,24.0,1014.0,-72.96907216494846
121,24.0,953.0,-61.64948453608247
122,24.0,908.0,-53.29896907216495
123,24.0,933.0,-57.938144329896915
124,24.0,1014.0,-72.96907216494846
125,25.0,941.0,-59.42268041237114
126,25.0,951.0,-61.27835051546393
127,25.0,1015.0,-73.15463917525773
128,25.0,957.0,-62.39175257731959
129,25.0,976.0,-65.91752577319588
130,26.0,1002.0,-70.74226804123712
131,26.0,978.0,-66.28865979381445
132,26.0,981.0,-66.84536082474229
133,26.0,1005.0,-71.29896907216497
134,26.0,914.0,-54.41237113402062
135,27.0,988.0,-68.14432989690721
136,27.0,973.0,-65.36082474226805
137,27.0,945.0,-60.164948453608254
138,27.0,944.0,-59.97938144329899
139,27.0,953.0,-61.64948453608247
140,28.0,959.0,-62.76288659793814
141,28.0,1015.0,-73.15463917525774
142,28.0,967.0,-64.24742268041237
143,28.0,885.0,-49.03092783505154
144,28.0,974.0,-65.54639175257732
145,29.0,957.0,-62.39175257731959
146,29.0,1049.0,-79.4639175257732
147,29.0,997.0,-69.81443298969072
148,29.0,954.0,-61.83505154639174
149,29.0,969.0,-64.61855670103091
150,30.0,981.0,-66.84536082474226
151,30.0,951.0,-61.27835051546393
152,30.0,965.0,-63.87628865979383
153,30.0,912.0,-54.04123711340207
154,30.0,935.0,-58.309278350515456
155,31.0,957.0,-62.391752577319586
156,31.0,1051.0,-79.83505154639177
157,31.0,881.0,-48.28865979381443
158,31.0,947.0,-60.5360824742268
159,31.0,1027.0,-75.38144329896906
160,32.0,935.0,-58.30927835051546
161,32.0,946.0,-60.350515463917525
162,32.0,944.0,-59.979381443298976
163,32.0,934.0,-58.123711340206185
164,32.0,937.0,-58.680412371134025
165,33.0,982.0,-67.03092783505156
166,33.0,1002.0,-70.74226804123711
167,33.0,965.0,-63.87628865979382
168,33.0,934.0,-58.1237113402062
169,33.0,1007.0,-71.6701030927835
170,34.0,880.0,-48.103092783505154
171,34.0,907.0,-53.11340206185568
172,34.0,998.0,-70.00000000000001
173,34.0,887.0,-49.40206185567011
174,34.0,976.0,-65.91752577319588
175,35.0,900.0,-51.814432989690715
176,35.0,908.0,-53.29896907216495
177,35.0,963.0,-63.50515463917527
178,35.0,908.0,-53.29896907216496
179,35.0,917.0,-54.96907216494846
180,36.0,919.0,-55.340206185567006
181,36.0,976.0,-65.91752577319588
182,36.0,926.0,-56.63917525773196
183,36.0,897.0,-51.25773195876289
184,36.0,963.0,-63.50515463917526
185,37.0,960.0,-62.948453608247426
186,37.0,939.0,-59.05154639175258
187,37.0,898.0,-51.443298969072174
188,37.0,934.0,-58.123711340206185
189,37.0,974.0,-65.54639175257734
190,38.0,982.0,-67.03092783505154
191,38.0,920.0,-55.52577319587628
192,38.0,904.0,-52.55670103092785
193,38.0,966.0,-64.0618556701031
194,38.0,887.0,-49.40206185567009
195,39.0,957.0,-62.3917525773196
196,39.0,908.0,-53.29896907216495
197,39.0,919.0,-55.340206185567006
198,39.0,947.0,-60.53608247422681
199,39.0,1007.0,-71.67010309278349
200,40.0,904.0,-52.55670103092783
201,40.0,900.0,-51.81443298969073
