,episode,make_span,reward
0,0.0,3089.0,-285.5151515151514
1,0.0,3144.0,-307.7373737373739
2,0.0,3039.0,-265.31313131313107
3,0.0,3046.0,-268.141414141414
4,0.0,3075.0,-279.8585858585861
5,1.0,2952.0,-230.16161616161614
6,1.0,3022.0,-258.4444444444444
7,1.0,3021.0,-258.0404040404039
8,1.0,3154.0,-311.77777777777777
9,1.0,3025.0,-259.6565656565657
10,2.0,2938.0,-224.50505050505063
11,2.0,3050.0,-269.75757575757586
12,2.0,2974.0,-239.050505050505
13,2.0,3084.0,-283.49494949494954
14,2.0,3046.0,-268.141414141414
15,3.0,2975.0,-239.45454545454544
16,3.0,3063.0,-275.01010101010115
17,3.0,3000.0,-249.55555555555546
18,3.0,2939.0,-224.90909090909076
19,3.0,2970.0,-237.43434343434342
20,4.0,3089.0,-285.51515151515156
21,4.0,2978.0,-240.6666666666665
22,4.0,3051.0,-270.1616161616162
23,4.0,3147.0,-308.9494949494948
24,4.0,3081.0,-282.2828282828281
25,5.0,3021.0,-258.0404040404038
26,5.0,2992.0,-246.32323232323228
27,5.0,3020.0,-257.6363636363637
28,5.0,3160.0,-314.20202020202015
29,5.0,3033.0,-262.8888888888887
30,6.0,3062.0,-274.60606060606074
31,6.0,3035.0,-263.6969696969695
32,6.0,3146.0,-308.54545454545456
33,6.0,3046.0,-268.14141414141426
34,6.0,3068.0,-277.0303030303032
35,7.0,2999.0,-249.15151515151533
36,7.0,3007.0,-252.38383838383837
37,7.0,3054.0,-271.37373737373713
38,7.0,2987.0,-244.30303030303045
39,7.0,3070.0,-277.8383838383839
40,8.0,3077.0,-280.66666666666674
41,8.0,3151.0,-310.56565656565647
42,8.0,3147.0,-308.9494949494948
43,8.0,3105.0,-291.9797979797979
44,8.0,3067.0,-276.62626262626264
45,9.0,3145.0,-308.141414141414
46,9.0,2990.0,-245.51515151515187
47,9.0,3024.0,-259.2525252525252
48,9.0,3056.0,-272.1818181818183
49,9.0,2985.0,-243.4949494949494
50,10.0,2965.0,-235.41414141414134
51,10.0,3089.0,-285.51515151515116
52,10.0,3045.0,-267.73737373737356
53,10.0,3072.0,-278.64646464646444
54,10.0,2990.0,-245.5151515151514
55,11.0,3034.0,-263.29292929292933
56,11.0,3048.0,-268.9494949494948
57,11.0,3067.0,-276.6262626262628
58,11.0,2964.0,-235.01010101010115
59,11.0,2935.0,-223.29292929292936
60,12.0,2915.0,-215.21212121212127
61,12.0,3061.0,-274.20202020202044
62,12.0,3105.0,-291.97979797979804
63,12.0,3165.0,-316.2222222222223
64,12.0,3008.0,-252.78787878787878
65,13.0,3080.0,-281.8787878787877
66,13.0,3014.0,-255.21212121212125
67,13.0,3068.0,-277.0303030303031
68,13.0,2949.0,-228.94949494949498
69,13.0,3079.0,-281.4747474747476
70,14.0,3018.0,-256.8282828282828
71,14.0,3060.0,-273.7979797979797
72,14.0,3102.0,-290.76767676767685
73,14.0,2947.0,-228.14141414141417
74,14.0,2954.0,-230.96969696969703
75,15.0,3122.0,-298.8484848484849
76,15.0,2910.0,-213.19191919191923
77,15.0,3062.0,-274.60606060606074
78,15.0,2972.0,-238.24242424242428
79,15.0,3129.0,-301.6767676767676
80,16.0,3004.0,-251.17171717171715
81,16.0,3006.0,-251.97979797979784
82,16.0,3147.0,-308.94949494949503
83,16.0,3078.0,-281.07070707070704
84,16.0,2910.0,-213.19191919191925
85,17.0,2981.0,-241.87878787878782
86,17.0,3118.0,-297.23232323232344
87,17.0,3117.0,-296.82828282828285
88,17.0,3067.0,-276.62626262626264
89,17.0,3078.0,-281.0707070707071
90,18.0,3027.0,-260.4646464646464
91,18.0,3047.0,-268.54545454545473
92,18.0,3070.0,-277.8383838383836
93,18.0,2997.0,-248.34343434343435
94,18.0,2980.0,-241.47474747474763
95,19.0,3105.0,-291.97979797979804
96,19.0,3068.0,-277.03030303030306
97,19.0,3100.0,-289.9595959595961
98,19.0,3054.0,-271.3737373737373
99,19.0,3134.0,-303.6969696969697
100,20.0,3155.0,-312.1818181818182
101,20.0,3058.0,-272.9898989898988
102,20.0,3144.0,-307.7373737373734
103,20.0,3128.0,-301.2727272727274
104,20.0,3033.0,-262.8888888888889
105,21.0,3027.0,-260.46464646464625
106,21.0,3007.0,-252.3838383838386
107,21.0,3132.0,-302.8888888888887
108,21.0,3113.0,-295.2121212121215
109,21.0,3112.0,-294.80808080808066
110,22.0,3052.0,-270.56565656565675
111,22.0,3075.0,-279.8585858585856
112,22.0,3199.0,-329.9595959595959
113,22.0,3042.0,-266.5252525252526
114,22.0,3000.0,-249.55555555555537
115,23.0,3061.0,-274.20202020202004
116,23.0,3177.0,-321.0707070707071
117,23.0,3020.0,-257.6363636363636
