,episode,make_span,reward
0,0.0,2628.0,-354.5454545454546
1,0.0,2634.0,-356.96969696969677
2,0.0,2552.0,-323.8383838383838
3,0.0,2730.0,-395.75757575757564
4,0.0,2559.0,-326.6666666666666
5,1.0,2592.0,-339.9999999999999
6,1.0,2785.0,-417.9797979797981
7,1.0,2638.0,-358.58585858585866
8,1.0,2812.0,-428.88888888888863
9,1.0,2680.0,-375.5555555555555
10,2.0,2694.0,-381.212121212121
11,2.0,2750.0,-403.83838383838383
12,2.0,2784.0,-417.5757575757578
13,2.0,2631.0,-355.75757575757564
14,2.0,2645.0,-361.4141414141412
15,3.0,2619.0,-350.909090909091
16,3.0,2700.0,-383.63636363636357
17,3.0,2804.0,-425.65656565656576
18,3.0,2709.0,-387.27272727272737
19,3.0,2630.0,-355.3535353535353
20,4.0,2669.0,-371.1111111111111
21,4.0,2608.0,-346.46464646464636
22,4.0,2699.0,-383.23232323232327
23,4.0,2676.0,-373.9393939393941
24,4.0,2617.0,-350.1010101010105
25,5.0,2627.0,-354.1414141414141
26,5.0,2483.0,-295.9595959595958
27,5.0,2632.0,-356.16161616161617
28,5.0,2642.0,-360.20202020202026
29,5.0,2660.0,-367.47474747474746
30,6.0,2617.0,-350.1010101010102
31,6.0,2749.0,-403.4343434343438
32,6.0,2657.0,-366.26262626262604
33,6.0,2738.0,-398.98989898989896
34,6.0,2655.0,-365.4545454545459
35,7.0,2609.0,-346.8686868686869
36,7.0,2640.0,-359.3939393939393
37,7.0,2710.0,-387.6767676767677
38,7.0,2663.0,-368.68686868686865
39,7.0,2503.0,-304.0404040404039
40,8.0,2692.0,-380.4040404040403
41,8.0,2511.0,-307.27272727272725
42,8.0,2796.0,-422.4242424242426
43,8.0,2598.0,-342.4242424242423
44,8.0,2689.0,-379.191919191919
45,9.0,2890.0,-460.4040404040403
46,9.0,2472.0,-291.5151515151514
47,9.0,2676.0,-373.9393939393939
48,9.0,2652.0,-364.242424242424
49,9.0,2574.0,-332.72727272727275
50,10.0,2499.0,-302.42424242424255
51,10.0,2739.0,-399.39393939393915
52,10.0,2786.0,-418.3838383838383
53,10.0,2752.0,-404.64646464646466
54,10.0,2508.0,-306.06060606060635
55,11.0,2602.0,-344.04040404040416
56,11.0,2700.0,-383.6363636363635
57,11.0,2589.0,-338.7878787878788
58,11.0,2661.0,-367.87878787878793
59,11.0,2617.0,-350.10101010101005
60,12.0,2799.0,-423.6363636363636
61,12.0,2505.0,-304.8484848484847
62,12.0,2857.0,-447.07070707070704
63,12.0,2729.0,-395.35353535353505
64,12.0,2555.0,-325.05050505050497
65,13.0,2601.0,-343.6363636363635
66,13.0,2633.0,-356.5656565656564
67,13.0,2810.0,-428.080808080808
68,13.0,2507.0,-305.6565656565656
69,13.0,2580.0,-335.151515151515
70,14.0,2701.0,-384.040404040404
71,14.0,2628.0,-354.54545454545445
72,14.0,2682.0,-376.36363636363626
73,14.0,2768.0,-411.11111111111114
74,14.0,2599.0,-342.82828282828234
75,15.0,2789.0,-419.5959595959596
76,15.0,2601.0,-343.6363636363636
77,15.0,2597.0,-342.02020202020196
78,15.0,2582.0,-335.95959595959596
79,15.0,2690.0,-379.5959595959595
80,16.0,2543.0,-320.2020202020201
81,16.0,2447.0,-281.41414141414145
82,16.0,2799.0,-423.63636363636334
83,16.0,2595.0,-341.2121212121213
84,16.0,2512.0,-307.67676767676795
85,17.0,2609.0,-346.868686868687
86,17.0,2525.0,-312.92929292929307
87,17.0,2518.0,-310.10101010101016
88,17.0,2442.0,-279.3939393939393
89,17.0,2445.0,-280.6060606060605
90,18.0,2585.0,-337.17171717171715
91,18.0,2508.0,-306.0606060606061
92,18.0,2641.0,-359.79797979797985
93,18.0,2565.0,-329.0909090909089
94,18.0,2632.0,-356.1616161616162
95,19.0,2536.0,-317.37373737373736
96,19.0,2589.0,-338.7878787878787
97,19.0,2600.0,-343.2323232323233
98,19.0,2543.0,-320.2020202020202
99,19.0,2594.0,-340.8080808080806
100,20.0,2642.0,-360.20202020202004
101,20.0,2538.0,-318.181818181818
102,20.0,2522.0,-311.71717171717165
103,20.0,2683.0,-376.7676767676765
104,20.0,2723.0,-392.929292929293
105,21.0,2663.0,-368.68686868686865
106,21.0,2732.0,-396.5656565656568
107,21.0,2592.0,-340.0000000000001
108,21.0,2607.0,-346.06060606060595
109,21.0,2543.0,-320.20202020202
110,22.0,2579.0,-334.74747474747466
111,22.0,2677.0,-374.3434343434342
112,22.0,2642.0,-360.2020202020202
113,22.0,2691.0,-380.00000000000006
114,22.0,2450.0,-282.62626262626253
115,23.0,2593.0,-340.4040404040406
116,23.0,2468.0,-289.8989898989899
117,23.0,2479.0,-294.34343434343447
118,23.0,2503.0,-304.0404040404039
119,23.0,2451.0,-283.03030303030323
120,24.0,2456.0,-285.0505050505049
121,24.0,2362.0,-247.07070707070716
122,24.0,2473.0,-291.9191919191918
123,24.0,2455.0,-284.6464646464648
124,24.0,2476.0,-293.1313131313131
125,25.0,2447.0,-281.4141414141414
126,25.0,2571.0,-331.51515151515173
127,25.0,2349.0,-241.81818181818176
128,25.0,2328.0,-233.3333333333336
129,25.0,2468.0,-289.89898989899
130,26.0,2507.0,-305.65656565656565
131,26.0,2524.0,-312.52525252525226
132,26.0,2397.0,-261.21212121212113
133,26.0,2483.0,-295.959595959596
134,26.0,2459.0,-286.26262626262627
135,27.0,2491.0,-299.19191919191917
136,27.0,2370.0,-250.30303030302989
137,27.0,2394.0,-259.99999999999994
138,27.0,2490.0,-298.78787878787875
139,27.0,2529.0,-314.54545454545445
140,28.0,2463.0,-287.87878787878776
141,28.0,2453.0,-283.8383838383838
142,28.0,2460.0,-286.66666666666646
143,28.0,2519.0,-310.5050505050506
144,28.0,2400.0,-262.4242424242423
145,29.0,2447.0,-281.41414141414134
146,29.0,2417.0,-269.29292929292933
147,29.0,2332.0,-234.94949494949492
148,29.0,2422.0,-271.31313131313135
149,29.0,2355.0,-244.24242424242414
150,30.0,2429.0,-274.14141414141415
151,30.0,2493.0,-300.0
152,30.0,2308.0,-225.2525252525252
153,30.0,2395.0,-260.40404040404053
154,30.0,2289.0,-217.57575757575762
155,31.0,2364.0,-247.8787878787879
156,31.0,2343.0,-239.39393939393932
157,31.0,2378.0,-253.5353535353536
158,31.0,2394.0,-259.99999999999994
159,31.0,2224.0,-191.3131313131312
160,32.0,2319.0,-229.69696969696975
161,32.0,2364.0,-247.8787878787879
162,32.0,2362.0,-247.07070707070702
163,32.0,2398.0,-261.61616161616155
164,32.0,2321.0,-230.50505050505066
165,33.0,2233.0,-194.9494949494948
166,33.0,2325.0,-232.1212121212121
167,33.0,2344.0,-239.79797979797982
168,33.0,2323.0,-231.31313131313135
169,33.0,2345.0,-240.20202020202018
170,34.0,2254.0,-203.43434343434348
171,34.0,2246.0,-200.20202020202032
172,34.0,2399.0,-262.0202020202018
173,34.0,2298.0,-221.21212121212116
174,34.0,2294.0,-219.59595959595953
175,35.0,2304.0,-223.6363636363635
176,35.0,2355.0,-244.24242424242416
177,35.0,2326.0,-232.5252525252523
178,35.0,2339.0,-237.77777777777777
179,35.0,2326.0,-232.52525252525254
180,36.0,2307.0,-224.8484848484846
181,36.0,2341.0,-238.5858585858584
182,36.0,2268.0,-209.09090909090907
183,36.0,2388.0,-257.5757575757577
184,36.0,2339.0,-237.77777777777774
185,37.0,2266.0,-208.28282828282826
186,37.0,2360.0,-246.2626262626261
187,37.0,2334.0,-235.75757575757575
188,37.0,2341.0,-238.58585858585857
189,37.0,2370.0,-250.3030303030301
190,38.0,2386.0,-256.76767676767685
191,38.0,2311.0,-226.46464646464645
192,38.0,2273.0,-211.1111111111111
193,38.0,2372.0,-251.1111111111111
194,38.0,2410.0,-266.4646464646463
195,39.0,2303.0,-223.23232323232338
196,39.0,2301.0,-222.42424242424227
197,39.0,2279.0,-213.53535353535347
198,39.0,2309.0,-225.65656565656568
199,39.0,2270.0,-209.8989898989899
200,40.0,2264.0,-207.47474747474755
201,40.0,2398.0,-261.61616161616155
202,40.0,2329.0,-233.73737373737362
203,40.0,2243.0,-198.98989898989896
204,40.0,2278.0,-213.1313131313131
205,41.0,2245.0,-199.79797979797976
206,41.0,2329.0,-233.73737373737347
207,41.0,2317.0,-228.88888888888883
208,41.0,2399.0,-262.0202020202021
209,41.0,2317.0,-228.8888888888888
210,42.0,2342.0,-238.98989898989896
211,42.0,2260.0,-205.8585858585859
212,42.0,2310.0,-226.060606060606
213,42.0,2230.0,-193.73737373737373
214,42.0,2311.0,-226.46464646464648
215,43.0,2346.0,-240.60606060606074
216,43.0,2363.0,-247.4747474747474
217,43.0,2246.0,-200.2020202020202
218,43.0,2299.0,-221.61616161616163
219,43.0,2330.0,-234.14141414141417
220,44.0,2240.0,-197.77777777777777
221,44.0,2346.0,-240.60606060606082
222,44.0,2382.0,-255.15151515151504
223,44.0,2270.0,-209.89898989898958
224,44.0,2351.0,-242.62626262626256
225,45.0,2295.0,-219.99999999999997
226,45.0,2398.0,-261.61616161616143
227,45.0,2314.0,-227.6767676767676
228,45.0,2348.0,-241.41414141414148
229,45.0,2263.0,-207.07070707070704
230,46.0,2332.0,-234.94949494949483
231,46.0,2345.0,-240.20202020202024
232,46.0,2386.0,-256.76767676767656
233,46.0,2357.0,-245.0505050505049
234,46.0,2243.0,-198.98989898989893
235,47.0,2303.0,-223.23232323232313
236,47.0,2265.0,-207.87878787878793
237,47.0,2321.0,-230.50505050505038
238,47.0,2294.0,-219.59595959595953
239,47.0,2294.0,-219.59595959595958
240,48.0,2332.0,-234.94949494949498
241,48.0,2347.0,-241.01010101010084
242,48.0,2340.0,-238.18181818181824
243,48.0,2362.0,-247.07070707070707
244,48.0,2421.0,-270.9090909090908
245,49.0,2362.0,-247.07070707070704
246,49.0,2292.0,-218.78787878787867
247,49.0,2343.0,-239.3939393939393
248,49.0,2495.0,-300.8080808080807
249,49.0,2360.0,-246.26262626262613
250,50.0,2414.0,-268.0808080808081
251,50.0,2386.0,-256.76767676767656
252,50.0,2289.0,-217.57575757575745
253,50.0,2285.0,-215.959595959596
254,50.0,2332.0,-234.94949494949498
255,51.0,2460.0,-286.6666666666665
256,51.0,2328.0,-233.33333333333346
257,51.0,2388.0,-257.5757575757575
258,51.0,2292.0,-218.78787878787875
259,51.0,2318.0,-229.29292929292927
260,52.0,2330.0,-234.1414141414141
261,52.0,2311.0,-226.46464646464636
262,52.0,2328.0,-233.33333333333323
263,52.0,2346.0,-240.60606060606054
264,52.0,2256.0,-204.2424242424242
265,53.0,2364.0,-247.87878787878785
266,53.0,2275.0,-211.91919191919195
267,53.0,2275.0,-211.91919191919192
268,53.0,2297.0,-220.8080808080808
269,53.0,2224.0,-191.31313131313127
270,54.0,2224.0,-191.31313131313152
271,54.0,2227.0,-192.52525252525268
272,54.0,2331.0,-234.54545454545448
273,54.0,2278.0,-213.1313131313131
274,54.0,2263.0,-207.07070707070716
275,55.0,2451.0,-283.03030303030295
276,55.0,2229.0,-193.33333333333331
277,55.0,2298.0,-221.21212121212133
278,55.0,2302.0,-222.82828282828282
279,55.0,2352.0,-243.03030303030286
280,56.0,2389.0,-257.9797979797979
281,56.0,2224.0,-191.31313131313138
282,56.0,2303.0,-223.23232323232338
283,56.0,2246.0,-200.2020202020201
284,56.0,2369.0,-249.89898989898984
285,57.0,2294.0,-219.59595959595964
286,57.0,2239.0,-197.37373737373738
287,57.0,2240.0,-197.77777777777774
288,57.0,2295.0,-220.0
289,57.0,2331.0,-234.54545454545462
290,58.0,2292.0,-218.7878787878787
291,58.0,2358.0,-245.45454545454538
292,58.0,2337.0,-236.96969696969697
293,58.0,2249.0,-201.41414141414128
294,58.0,2340.0,-238.18181818181813
295,59.0,2252.0,-202.62626262626262
296,59.0,2232.0,-194.54545454545453
297,59.0,2276.0,-212.32323232323225
298,59.0,2302.0,-222.82828282828282
299,59.0,2327.0,-232.92929292929298
300,60.0,2270.0,-209.8989898989899
301,60.0,2256.0,-204.24242424242433
302,60.0,2407.0,-265.2525252525252
303,60.0,2410.0,-266.4646464646464
304,60.0,2331.0,-234.54545454545467
305,61.0,2226.0,-192.12121212121215
306,61.0,2235.0,-195.75757575757575
307,61.0,2227.0,-192.52525252525248
308,61.0,2296.0,-220.40404040404053
309,61.0,2224.0,-191.3131313131311
310,62.0,2238.0,-196.96969696969694
311,62.0,2229.0,-193.33333333333334
312,62.0,2340.0,-238.1818181818182
313,62.0,2343.0,-239.39393939393943
314,62.0,2243.0,-198.98989898989888
315,63.0,2343.0,-239.3939393939393
316,63.0,2224.0,-191.31313131313135
317,63.0,2224.0,-191.31313131313135
318,63.0,2415.0,-268.4848484848485
319,63.0,2307.0,-224.84848484848484
320,64.0,2314.0,-227.67676767676767
321,64.0,2224.0,-191.31313131313127
322,64.0,2252.0,-202.6262626262625
323,64.0,2229.0,-193.33333333333334
324,64.0,2230.0,-193.73737373737367
325,65.0,2243.0,-198.98989898989907
326,65.0,2276.0,-212.32323232323208
327,65.0,2301.0,-222.4242424242425
328,65.0,2320.0,-230.10101010100993
329,65.0,2249.0,-201.41414141414126
330,66.0,2253.0,-203.03030303030286
331,66.0,2226.0,-192.12121212121195
332,66.0,2226.0,-192.12121212121195
333,66.0,2224.0,-191.3131313131313
334,66.0,2224.0,-191.3131313131313
335,67.0,2253.0,-203.030303030303
336,67.0,2245.0,-199.79797979797988
337,67.0,2234.0,-195.35353535353536
338,67.0,2281.0,-214.34343434343435
339,67.0,2275.0,-211.91919191919192
340,68.0,2356.0,-244.64646464646458
341,68.0,2280.0,-213.939393939394
342,68.0,2282.0,-214.74747474747468
343,68.0,2248.0,-201.01010101010095
344,68.0,2359.0,-245.85858585858588
345,69.0,2314.0,-227.6767676767675
346,69.0,2295.0,-220.0
347,69.0,2240.0,-197.77777777777786
348,69.0,2295.0,-219.99999999999994
349,69.0,2238.0,-196.9696969696968
350,70.0,2224.0,-191.31313131313124
351,70.0,2379.0,-253.93939393939382
352,70.0,2224.0,-191.31313131313124
353,70.0,2224.0,-191.3131313131312
354,70.0,2267.0,-208.68686868686868
355,71.0,2235.0,-195.75757575757572
356,71.0,2303.0,-223.2323232323233
357,71.0,2253.0,-203.030303030303
358,71.0,2297.0,-220.80808080808072
359,71.0,2224.0,-191.31313131313144
