,data_set_rescheduling_new_large,converge_cnt,total_time,no_op
abz7_new_25_26_15,661.0,1824.0,3604.356604576111,0.0
abz7_new_50_26_15,471.0,3369.0,3600.742740869522,0.0
abz7_new_75_26_15,387.0,1624.0,1197.958497285843,0.0
dmu16_new_25_40_20,4203.0,679.0,3623.4535887241364,0.0
dmu16_new_50_40_20,3548.0,879.0,3601.026185274124,0.0
dmu16_new_75_40_20,3039.0,1264.0,3604.7679567337036,0.0
ft06_new_25_10_6,68.0,299.0,22.895798444747925,0.0
ft06_new_50_10_6,58.0,189.0,11.566458940505981,0.0
ft06_new_75_10_6,49.0,29.0,1.4746034145355225,0.0
la21_new_25_20_10,1096.0,2954.0,1311.875742673874,0.0
la21_new_50_20_10,834.0,4024.0,1367.2613575458527,0.0
la21_new_75_20_10,685.0,994.0,236.63830518722534,0.0
la26_new_25_26_10,1276.0,5064.0,3600.054853439331,0.0
la26_new_50_26_10,995.0,2739.0,1472.963360786438,0.0
la26_new_75_26_10,816.0,524.0,193.3364839553833,0.0
orb01_new_25_16_10,1066.0,1484.0,477.1485779285431,0.0
orb01_new_50_16_10,850.0,719.0,187.9229290485382,0.0
orb01_new_75_16_10,751.0,1004.0,208.5623688697815,0.0
ta21_new_25_26_20,1696.0,1514.0,3600.66904091835,0.0
ta21_new_50_26_20,1357.0,1979.0,3603.5131237506866,0.0
ta21_new_75_26_20,1331.0,1599.0,2057.312144756317,0.0
ta61_new_25_60_20,2974.0,314.0,3651.282569169998,0.0
ta61_new_50_60_20,2224.0,424.0,3604.6873891353607,0.0
ta61_new_75_60_20,1640.0,559.0,3017.3368010520935,0.0
